Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-07-06;121.05;121.39;117;117.17;8471186
2011-07-07;117.17;120.87;117.17;120.36;3224540
2011-07-08;120.78;122.94;119.75;121.47;1276091
2011-07-11;120.87;122.25;118.11;118.89;513010
2011-07-12;118.03;120.1;117.17;119.66;965478
2011-07-13;119.24;121.82;119.24;121.73;926749
2011-07-14;120.87;121.47;119.84;121.47;284375
2011-07-15;120.78;122.08;120.61;121.91;523009
2011-07-18;121.47;121.91;118.89;120.61;604859
2011-07-19;120.78;122.16;120.44;120.61;4135440
2011-07-20;120.19;120.61;117.6;118.46;396119
2011-07-21;118.63;118.89;117.34;118.03;362573
2011-07-22;118.63;118.63;117.51;117.6;190955
2011-07-25;117.6;117.6;117.17;117.17;899264
2011-07-26;117.17;117.69;117.17;117.34;2284135
2011-07-27;117.17;117.25;115.1;115.96;3601757
2011-07-28;114.67;116.74;114.24;116.74;202220
2011-07-29;115.61;117.77;115.61;117.6;452726
2011-08-01;117.25;118.55;117.25;118.03;496578
2011-08-02;117.6;117.6;115.27;115.78;154532
2011-08-03;113.38;114.92;106.05;108.55;550199
2011-08-04;108.13;109.33;98.044;101.57;801396
2011-08-05;93.044;99.94;93.044;97.779;724267
2011-08-08;95.194;96.832;87.444;87.789;507227
2011-08-09;87.013;90.115;76.675;81.242;1122453
2011-08-10;86.152;88.133;73.66;74.091;602026
2011-08-11;77.45;86.152;74.091;86.152;947690
2011-08-12;89.253;93.044;87.013;90.459;489109
2011-08-16;92.958;92.958;89.598;91.408;263302
2011-08-17;91.234;92.097;89.77;92.097;186291
2011-08-18;90.804;90.804;80.121;82.965;398231
2011-08-19;80.207;87.961;78.398;86.109;455113
2011-08-22;85.807;88.822;83.998;86.669;217542
2011-08-23;88.392;90.459;87.703;90.459;276541
2011-08-24;91.408;91.752;89.167;90.115;140805
2011-08-25;91.234;92.011;90.115;91.752;95906
2011-08-26;90.89;91.234;88.306;90.459;68335
2011-08-29;91.321;94.078;91.148;93.561;103343
2011-08-30;94.768;97.608;93.906;95.63;235716
2011-08-31;91.752;94.418;90.028;93.044;733093
2011-09-01;92.786;92.786;87.961;89.339;181562
2011-09-02;88.306;88.736;83.74;85.98;264736
2011-09-05;82.663;83.998;80.121;80.121;177187
2011-09-06;80.94;83.568;77.967;80.121;242283
2011-09-07;82.62;84.946;81.845;84.946;191490
2011-09-08;86.066;88.822;85.721;88.306;237346
2011-09-09;86.669;88.306;85.204;86.152;238146
2011-09-12;83.74;84.816;81.845;82.749;200405
2011-09-13;85.291;85.635;81.112;83.137;149259
2011-09-14;84.257;85.291;82.49;85.291;296753
2011-09-15;86.152;87.444;85.377;86.152;339672
2011-09-16;87.013;89.598;86.324;89.598;1392165
2011-09-19;86.324;87.875;86.152;87.789;202967
2011-09-20;88.306;89.598;86.669;88.306;156608
2011-09-21;88.219;88.65;85.765;86.583;131924
2011-09-22;83.998;84.257;77.537;77.537;530408
2011-09-23;76.589;80.121;72.368;76.675;667789
2011-09-26;74.522;79.259;73.66;76.46;370754
2011-09-27;79.346;79.69;77.537;77.537;167982
2011-09-28;77.537;78.829;75.211;76.675;264899
2011-09-29;75.943;77.322;74.995;75.383;544800
2011-09-30;75.685;75.685;72.799;73.229;229988
2011-10-03;72.368;73.617;70.171;71.851;192995
2011-10-04;70.731;71.076;67.414;70.042;379924
2011-10-05;71.506;72.799;71.118;72.368;329926
2011-10-06;74.263;76.675;73.488;75.512;325601
2011-10-07;76.675;78.183;74.952;76.417;380698
2011-10-10;77.666;80.121;76.589;80.121;235045
2011-10-11;80.121;81.328;79.001;80.681;314870
2011-10-12;80.121;85.505;77.45;85.505;566549
2011-10-13;84.688;88.392;83.568;84.429;421171
2011-10-14;84.429;85.635;83.051;84.902;115602
2011-10-17;85.98;87.013;80.164;81.845;178694
2011-10-18;80.94;80.94;79.259;80.552;289599
2011-10-19;81.414;81.759;78.226;78.743;218799
2011-10-20;77.537;77.839;75.297;75.297;444481
2011-10-21;76.331;78.226;75.728;77.106;446834
2011-10-24;78.57;79.949;78.57;79.949;285122
2011-10-25;80.94;81.672;78.484;79.862;565670
2011-10-26;79.259;80.81;78.398;80.251;242960
2011-10-27;82.275;82.878;81.414;81.672;372758
2011-10-28;82.189;82.189;79.432;81.672;206938
2011-10-31;80.465;80.465;79.346;80.207;154991
2011-11-02;75.814;79.906;75.555;79.087;576365
2011-11-03;78.053;81.414;78.053;81.155;124122
2011-11-04;81.414;81.5;78.57;79.259;144613
2011-11-07;79.173;80.983;78.829;79.734;90373
2011-11-08;80.121;81.069;79.776;80.121;149014
2011-11-09;80.983;80.983;76.891;77.106;242341
2011-11-10;76.675;77.752;75.814;75.9;245818
2011-11-14;78.829;78.915;77.278;78.312;268079
2011-11-15;78.398;78.958;76.03;77.063;228196
2011-11-16;76.761;77.839;76.244;77.839;131984
2011-11-17;76.244;77.752;76.158;76.158;94023
2011-11-18;76.633;77.537;75.943;76.675;65221
2011-11-21;75.814;76.244;71.162;72.971;312478
