<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AADR.US,D,20100721,000000,23.915,23.915,23.535,23.535,44076,0
AADR.US,D,20100722,000000,24.222,24.222,23.944,24.068,18346,0
AADR.US,D,20100723,000000,24.334,24.334,23.896,24.088,9053,0
AADR.US,D,20100726,000000,24.202,24.202,24.03,24.174,19782,0
AADR.US,D,20100727,000000,24.058,24.097,24.013,24.097,8604,0
AADR.US,D,20100728,000000,24.058,24.097,23.934,24.013,5054,0
AADR.US,D,20100729,000000,24.107,24.107,23.84,23.84,1260,0
AADR.US,D,20100730,000000,23.812,23.915,23.812,23.915,628,0
AADR.US,D,20100802,000000,24.489,24.499,24.242,24.413,7285,0
AADR.US,D,20100803,000000,24.538,24.641,24.538,24.614,11716,0
AADR.US,D,20100804,000000,24.641,24.641,24.641,24.641,522,0
AADR.US,D,20100805,000000,24.688,24.688,24.688,24.688,522,0
AADR.US,D,20100806,000000,24.117,24.499,24.117,24.499,734,0
AADR.US,D,20100809,000000,24.775,24.993,24.775,24.832,5717,0
AADR.US,D,20100810,000000,24.852,24.852,24.852,24.852,522,0
AADR.US,D,20100811,000000,23.983,23.983,23.983,23.983,103,0
AADR.US,D,20100812,000000,23.86,23.86,23.86,23.86,1049,0
AADR.US,D,20100813,000000,23.983,23.983,23.983,23.983,103,0
AADR.US,D,20100816,000000,24.088,24.088,24.048,24.048,3150,0
AADR.US,D,20100817,000000,24.363,24.538,24.363,24.538,6820,0
AADR.US,D,20100818,000000,24.585,24.68,24.585,24.68,597,0
AADR.US,D,20100819,000000,24.538,24.538,24.538,24.538,522,0
AADR.US,D,20100820,000000,24.117,24.117,24.097,24.107,1260,0
AADR.US,D,20100823,000000,24.136,24.136,24.136,24.136,208,0
AADR.US,D,20100824,000000,23.726,23.783,23.726,23.783,3989,0
AADR.US,D,20100825,000000,23.679,23.698,23.679,23.698,734,0
AADR.US,D,20100826,000000,23.934,23.963,23.822,23.822,7871,0
AADR.US,D,20100827,000000,23.915,24.068,23.773,24.068,10731,0
AADR.US,D,20100830,000000,24.097,24.097,24.097,24.097,315,0
AADR.US,D,20100831,000000,24.107,24.146,24.088,24.146,1074,0
AADR.US,D,20100901,000000,24.462,24.726,24.462,24.726,1571,0
AADR.US,D,20100902,000000,24.804,24.804,24.804,24.804,103,0
AADR.US,D,20100903,000000,25.071,25.071,24.993,24.993,4436,0
AADR.US,D,20100907,000000,24.993,24.993,24.993,24.993,103,0
AADR.US,D,20100908,000000,25.119,25.211,25.061,25.061,4199,0
AADR.US,D,20100909,000000,25.268,25.268,25.268,25.268,838,0
AADR.US,D,20100910,000000,25.364,25.364,25.268,25.305,1993,0
AADR.US,D,20100913,000000,25.594,25.793,25.594,25.793,218,0
AADR.US,D,20100914,000000,25.86,25.898,25.86,25.86,1266,0
AADR.US,D,20100915,000000,25.955,25.984,25.946,25.984,1571,0
AADR.US,D,20100916,000000,26.033,26.033,26.033,26.033,208,0
AADR.US,D,20100917,000000,25.936,25.955,25.936,25.955,578,0
AADR.US,D,20100920,000000,26.433,26.497,26.433,26.497,522,0
AADR.US,D,20100921,000000,26.357,26.442,26.357,26.442,449,0
AADR.US,D,20100922,000000,26.327,26.407,26.233,26.278,32221,0
AADR.US,D,20100923,000000,26.535,26.535,26.288,26.387,4984,0
AADR.US,D,20100924,000000,26.471,26.61,26.471,26.61,16266,0
AADR.US,D,20100927,000000,26.774,26.833,26.755,26.833,11440,0
AADR.US,D,20100928,000000,26.755,26.926,26.755,26.89,7557,0
AADR.US,D,20100929,000000,26.926,26.985,26.899,26.985,105002,0
AADR.US,D,20100930,000000,27.033,27.033,26.871,26.881,5165,0
AADR.US,D,20101001,000000,26.965,26.965,26.965,26.965,5248,0
AADR.US,D,20101004,000000,27.395,27.395,26.678,26.726,22523,0
AADR.US,D,20101005,000000,26.995,27.309,26.995,27.299,73119,0
AADR.US,D,20101006,000000,27.395,27.395,27.165,27.222,5048,0
AADR.US,D,20101007,000000,27.241,27.241,27.05,27.05,3518,0
AADR.US,D,20101008,000000,27.116,27.212,27.116,27.175,1110,0
