<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAXJ.US,D,20080815,000000,41.843,41.843,41.843,41.843,121,0
AAXJ.US,D,20080818,000000,41.546,41.546,40.904,40.904,30569,0
AAXJ.US,D,20080819,000000,40.351,40.351,40.351,40.351,121,0
AAXJ.US,D,20080820,000000,40.942,40.942,40.919,40.919,4793,0
AAXJ.US,D,20080822,000000,41.109,41.109,41.036,41.084,4297,0
AAXJ.US,D,20080825,000000,41.059,41.059,40.318,40.318,20355,0
AAXJ.US,D,20080826,000000,40.833,40.833,40.525,40.702,5908,0
AAXJ.US,D,20080827,000000,41.546,41.546,41.444,41.444,1797,0
AAXJ.US,D,20080828,000000,41.412,41.46,41.412,41.46,7172,0
AAXJ.US,D,20080829,000000,41.228,41.228,41.179,41.179,478,0
AAXJ.US,D,20080902,000000,40.904,40.904,40.904,40.904,121,0
AAXJ.US,D,20080903,000000,39.415,39.525,39.316,39.374,4600,0
AAXJ.US,D,20080904,000000,38.992,38.992,38.314,38.365,3069,0
AAXJ.US,D,20080905,000000,37.752,38.397,37.629,38.397,7307,0
AAXJ.US,D,20080908,000000,39.322,39.423,38.924,39.423,4552,0
AAXJ.US,D,20080909,000000,39.124,39.124,38.297,38.297,13643,0
AAXJ.US,D,20080911,000000,36.862,37.271,36.712,37.103,3890,0
AAXJ.US,D,20080912,000000,36.821,36.828,36.554,36.554,1816,0
AAXJ.US,D,20080915,000000,36.145,36.145,35.35,35.417,7339,0
AAXJ.US,D,20080916,000000,35.026,35.057,34.225,34.708,4454,0
AAXJ.US,D,20080917,000000,34.607,34.607,33.598,33.598,2038,0
AAXJ.US,D,20080918,000000,34.567,36.027,34.242,36.01,5295,0
AAXJ.US,D,20080919,000000,37.154,38.591,37.154,38.557,4387,0
AAXJ.US,D,20080922,000000,38.289,38.289,37.321,37.581,4573,0
AAXJ.US,D,20080923,000000,36.242,36.644,36.242,36.251,8296,0
AAXJ.US,D,20080924,000000,36.085,36.226,36.077,36.093,13778,0
AAXJ.US,D,20080925,000000,36.579,37.437,36.579,37.437,13441,0
AAXJ.US,D,20080926,000000,36.187,36.452,35.86,36.261,4313,0
AAXJ.US,D,20080929,000000,34.308,34.374,33.055,33.055,8267,0
AAXJ.US,D,20080930,000000,34.133,34.559,34.133,34.559,31286,0
AAXJ.US,D,20081001,000000,34.234,37.22,34.234,35.341,88205,0
AAXJ.US,D,20081002,000000,34.274,34.301,33.975,33.975,23361,0
AAXJ.US,D,20081003,000000,33.907,33.917,33.531,33.531,3595,0
