<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,D,20080328,000000,40.396,40.396,40.396,40.396,250,0
ACWI.US,D,20080331,000000,40.315,40.315,39.771,39.771,495,0
ACWI.US,D,20080401,000000,40.519,40.84,40.446,40.84,723,0
ACWI.US,D,20080402,000000,44.919,44.919,41.161,41.292,13267,0
ACWI.US,D,20080403,000000,48.139,48.139,41.083,41.525,35982,0
ACWI.US,D,20080404,000000,41.124,44.307,41.124,41.503,12191,0
ACWI.US,D,20080407,000000,42.727,42.727,41.324,41.743,13957,0
ACWI.US,D,20080408,000000,42.333,42.333,41.389,41.999,905,0
ACWI.US,D,20080409,000000,41.382,41.382,41.149,41.222,5281,0
ACWI.US,D,20080410,000000,41.525,41.525,40.992,41.222,8474,0
ACWI.US,D,20080411,000000,40.349,40.977,40.349,40.566,653,0
ACWI.US,D,20080414,000000,41.277,41.277,40.639,40.726,4836,0
ACWI.US,D,20080415,000000,41.285,41.285,40.646,40.84,3754,0
ACWI.US,D,20080416,000000,41.285,41.768,41.277,41.394,3526,0
ACWI.US,D,20080417,000000,41.67,42.655,41.65,41.952,20332,0
ACWI.US,D,20080418,000000,42.962,42.962,42.09,42.412,12005,0
ACWI.US,D,20080421,000000,45.365,48.743,42.308,42.606,73243,0
ACWI.US,D,20080422,000000,42.219,42.494,42.034,42.219,4362,0
ACWI.US,D,20080423,000000,42.412,42.606,42.075,42.325,26573,0
ACWI.US,D,20080424,000000,41.93,42.446,41.93,42.339,8781,0
ACWI.US,D,20080425,000000,42.638,42.638,42.388,42.509,2060,0
ACWI.US,D,20080428,000000,43.139,43.139,42.704,42.856,19874,0
ACWI.US,D,20080429,000000,42.745,42.745,42.171,42.364,16861,0
ACWI.US,D,20080430,000000,42.518,43.403,42.509,42.936,11998,0
ACWI.US,D,20080501,000000,42.455,42.89,42.388,42.807,7728,0
ACWI.US,D,20080502,000000,43.139,43.323,42.994,43.075,19078,0
ACWI.US,D,20080505,000000,43.227,43.227,43.057,43.197,5522,0
ACWI.US,D,20080506,000000,43.122,43.485,43.05,43.485,2652,0
ACWI.US,D,20080507,000000,43.437,43.437,42.736,42.761,6501,0
ACWI.US,D,20080508,000000,42.904,43.62,42.883,42.904,234981,0
ACWI.US,D,20080509,000000,42.825,42.825,42.455,42.718,1243,0
ACWI.US,D,20080512,000000,42.832,43.154,42.832,43.154,3232,0
ACWI.US,D,20080513,000000,43.092,43.62,42.919,43.205,348953,0
ACWI.US,D,20080514,000000,43.615,43.628,43.301,43.301,24028,0
ACWI.US,D,20080515,000000,43.533,43.759,43.533,43.759,10372,0
ACWI.US,D,20080516,000000,43.979,44.132,43.838,44.132,5432,0
ACWI.US,D,20080519,000000,44.025,44.542,44.025,44.116,15213,0
ACWI.US,D,20080520,000000,44.051,44.051,43.68,43.68,367299,0
ACWI.US,D,20080521,000000,43.906,43.962,43.356,43.38,15022,0
ACWI.US,D,20080522,000000,43.54,43.653,43.259,43.446,14087,0
ACWI.US,D,20080523,000000,43.446,43.462,42.009,42.769,17054,0
ACWI.US,D,20080527,000000,44.025,44.025,42.518,43.099,4885,0
ACWI.US,D,20080528,000000,42.954,43.099,42.825,43.092,5916,0
ACWI.US,D,20080529,000000,43.092,44.276,42.962,43.356,305947,0
ACWI.US,D,20080530,000000,43.826,43.826,43.301,43.308,53598,0
ACWI.US,D,20080602,000000,43.372,43.372,42.838,42.976,56402,0
ACWI.US,D,20080603,000000,42.976,43.356,42.47,42.874,23091,0
ACWI.US,D,20080604,000000,42.557,42.777,42.429,42.439,3509,0
ACWI.US,D,20080605,000000,42.614,43.347,42.614,43.347,19113,0
ACWI.US,D,20080606,000000,43.01,43.01,42.203,42.203,11720,0
ACWI.US,D,20080609,000000,42.196,42.325,41.93,41.946,5328,0
ACWI.US,D,20080610,000000,41.776,41.776,41.453,41.534,8897,0
ACWI.US,D,20080611,000000,41.575,41.575,41.037,41.037,2302,0
ACWI.US,D,20080612,000000,40.945,41.333,40.929,41.058,17092,0
ACWI.US,D,20080613,000000,41.058,41.357,41.058,41.342,4763,0
ACWI.US,D,20080616,000000,41.679,41.679,41.382,41.615,4041,0
ACWI.US,D,20080617,000000,41.525,41.751,41.525,41.606,11566,0
ACWI.US,D,20080618,000000,41.525,41.525,41.229,41.309,12064,0
ACWI.US,D,20080619,000000,41.229,41.229,40.761,40.761,94626,0
ACWI.US,D,20080620,000000,40.889,41.518,40.413,40.469,44154,0
ACWI.US,D,20080623,000000,40.388,40.606,40.315,40.606,13940,0
ACWI.US,D,20080624,000000,40.315,40.694,40.108,40.205,61356,0
ACWI.US,D,20080625,000000,40.753,40.753,40.446,40.639,2230,0
ACWI.US,D,20080626,000000,40.501,40.501,39.624,39.624,27215,0
ACWI.US,D,20080627,000000,39.681,39.791,39.428,39.696,6799,0
ACWI.US,D,20080630,000000,39.844,40.205,39.844,39.852,75874,0
ACWI.US,D,20080701,000000,39.358,39.735,39.025,39.544,49623,0
ACWI.US,D,20080702,000000,39.745,39.745,38.849,38.92,10024,0
ACWI.US,D,20080703,000000,39.025,39.025,38.663,38.761,6943,0
ACWI.US,D,20080707,000000,37.903,40.882,37.895,38.912,18412,0
ACWI.US,D,20080708,000000,38.499,38.799,38.101,38.799,3813,0
ACWI.US,D,20080709,000000,39.058,39.436,38.464,38.713,140906,0
ACWI.US,D,20080710,000000,38.582,38.832,38.351,38.582,38393,0
ACWI.US,D,20080711,000000,38.374,38.582,37.947,38.302,668962,0
ACWI.US,D,20080714,000000,38.413,38.647,38.019,38.147,1526875,0
ACWI.US,D,20080715,000000,37.895,37.912,37.213,37.751,28128,0
ACWI.US,D,20080716,000000,37.542,38.181,37.438,38.117,793633,0
ACWI.US,D,20080717,000000,38.728,38.807,38.448,38.624,153027,0
ACWI.US,D,20080718,000000,40.808,40.808,38.325,38.656,7325,0
ACWI.US,D,20080721,000000,39.633,39.633,38.816,38.826,380614,0
ACWI.US,D,20080722,000000,38.704,38.866,38.554,38.807,21983,0
ACWI.US,D,20080723,000000,39.193,39.492,39.193,39.332,5030,0
ACWI.US,D,20080724,000000,39.358,39.358,38.499,38.499,16335,0
ACWI.US,D,20080725,000000,38.499,38.713,38.464,38.491,31576,0
ACWI.US,D,20080728,000000,38.456,38.616,38.035,38.035,54382,0
ACWI.US,D,20080729,000000,38.003,38.517,38.003,38.464,19457,0
ACWI.US,D,20080730,000000,38.663,38.896,38.448,38.688,48905,0
ACWI.US,D,20080731,000000,38.728,38.963,38.591,38.591,11508,0
ACWI.US,D,20080801,000000,38.545,38.545,38.117,38.14,17197,0
ACWI.US,D,20080804,000000,37.947,38.003,37.655,37.751,19253,0
ACWI.US,D,20080805,000000,38.155,38.399,37.97,38.366,37565,0
ACWI.US,D,20080806,000000,38.536,38.799,38.422,38.799,10143,0
ACWI.US,D,20080807,000000,38.639,38.639,38.003,38.056,51855,0
ACWI.US,D,20080808,000000,37.833,38.536,37.833,38.486,54279,0
ACWI.US,D,20080811,000000,38.536,38.591,38.536,38.545,6519,0
ACWI.US,D,20080812,000000,38.536,38.573,38.196,38.246,94735,0
ACWI.US,D,20080813,000000,38.019,38.172,37.72,38.056,10146,0
ACWI.US,D,20080814,000000,37.895,38.14,37.895,38.092,3209,0
ACWI.US,D,20080815,000000,38.003,38.051,37.823,37.939,26644,0
ACWI.US,D,20080818,000000,38.019,38.019,37.469,37.592,5462,0
ACWI.US,D,20080819,000000,37.323,37.323,37.02,37.122,35340,0
ACWI.US,D,20080820,000000,37.236,37.518,37.13,37.341,9716,0
ACWI.US,D,20080821,000000,37.446,37.794,37.387,37.72,94908,0
ACWI.US,D,20080822,000000,37.72,37.947,37.72,37.85,9721,0
ACWI.US,D,20080825,000000,37.729,37.729,37.115,37.213,50448,0
ACWI.US,D,20080826,000000,37.146,37.387,37.146,37.387,7088,0
ACWI.US,D,20080827,000000,37.518,38.508,37.387,37.655,26896,0
ACWI.US,D,20080828,000000,37.841,38.124,37.841,38.124,16849,0
ACWI.US,D,20080829,000000,38.285,38.285,37.921,37.947,31098,0
ACWI.US,D,20080902,000000,37.868,37.986,37.31,37.43,21814,0
ACWI.US,D,20080903,000000,37.358,37.387,36.875,36.915,33031,0
