<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWX.US,D,20080331,000000,38.384,38.384,38.384,38.384,390,0
ACWX.US,D,20080401,000000,49.615,49.615,38.858,39.204,1440,0
ACWX.US,D,20080402,000000,39.577,39.712,39.577,39.585,2613,0
ACWX.US,D,20080403,000000,39.775,39.964,39.775,39.935,2292,0
ACWX.US,D,20080404,000000,43.928,43.928,39.89,40.036,2199,0
ACWX.US,D,20080407,000000,39.852,40.234,38.791,40.234,1016,0
ACWX.US,D,20080408,000000,50.51,52.035,39.76,40.043,5869,0
ACWX.US,D,20080409,000000,39.898,39.905,39.898,39.905,732,0
ACWX.US,D,20080410,000000,42.737,42.737,39.448,39.678,19885,0
ACWX.US,D,20080411,000000,39.539,40.362,39.295,39.295,10770,0
ACWX.US,D,20080414,000000,38.193,39.279,36.439,39.034,11532,0
ACWX.US,D,20080415,000000,39.982,39.982,39.377,39.423,2029,0
ACWX.US,D,20080416,000000,40.424,41.524,40.424,40.539,17185,0
ACWX.US,D,20080417,000000,40.318,40.492,40.318,40.492,4612,0
ACWX.US,D,20080418,000000,40.6,40.936,40.6,40.845,4100,0
ACWX.US,D,20080421,000000,41.255,41.255,40.898,41.182,5161,0
ACWX.US,D,20080422,000000,41.155,41.155,40.736,40.736,1187,0
ACWX.US,D,20080423,000000,40.906,41.081,40.906,40.958,2972,0
ACWX.US,D,20080424,000000,40.539,40.965,40.455,40.965,3494,0
ACWX.US,D,20080425,000000,40.95,40.95,40.875,40.875,3667,0
ACWX.US,D,20080428,000000,41.25,42.132,41.25,41.645,6369,0
ACWX.US,D,20080429,000000,41.149,41.149,40.867,40.92,14988,0
ACWX.US,D,20080430,000000,41.134,42.279,41.134,41.555,7601,0
ACWX.US,D,20080501,000000,41.025,41.196,40.859,41.096,8655,0
ACWX.US,D,20080502,000000,41.622,42.67,41.316,41.34,97119,0
ACWX.US,D,20080505,000000,41.631,41.691,41.577,41.684,13405,0
ACWX.US,D,20080506,000000,41.631,42.006,41.622,41.998,26665,0
ACWX.US,D,20080507,000000,41.862,41.862,41.334,41.334,9174,0
ACWX.US,D,20080508,000000,41.516,41.615,41.432,41.432,10707,0
ACWX.US,D,20080509,000000,41.386,41.456,41.303,41.401,14019,0
ACWX.US,D,20080512,000000,41.592,41.854,41.5,41.844,2615,0
ACWX.US,D,20080513,000000,41.722,41.798,41.639,41.752,4367,0
ACWX.US,D,20080514,000000,41.973,42.036,41.768,41.768,8632,0
ACWX.US,D,20080515,000000,42.139,42.348,42.105,42.333,8959,0
ACWX.US,D,20080516,000000,42.77,42.912,42.623,42.912,10586,0
ACWX.US,D,20080519,000000,43.106,43.227,43.012,43.052,6510,0
ACWX.US,D,20080520,000000,42.539,42.67,42.461,42.515,54819,0
ACWX.US,D,20080521,000000,42.575,42.639,42.048,42.048,45207,0
ACWX.US,D,20080522,000000,42.623,42.623,42.041,42.379,51658,0
ACWX.US,D,20080523,000000,42.354,42.354,41.836,41.951,12703,0
ACWX.US,D,20080527,000000,43.058,43.058,41.57,41.577,31908,0
ACWX.US,D,20080528,000000,41.464,41.615,41.448,41.57,4563,0
ACWX.US,D,20080529,000000,41.691,41.951,41.691,41.798,3163,0
ACWX.US,D,20080530,000000,41.922,42.006,41.881,41.881,2191,0
ACWX.US,D,20080602,000000,41.868,42.744,41.57,41.752,33589,0
ACWX.US,D,20080603,000000,41.746,41.752,41.432,41.469,12280,0
ACWX.US,D,20080604,000000,41.189,41.386,41.066,41.149,9837,0
ACWX.US,D,20080605,000000,41.371,41.761,41.34,41.761,2588,0
ACWX.US,D,20080606,000000,41.401,41.417,40.881,40.881,7376,0
ACWX.US,D,20080609,000000,40.95,40.95,40.477,40.531,3173,0
ACWX.US,D,20080610,000000,40.104,40.104,39.929,40.028,9456,0
ACWX.US,D,20080611,000000,40.005,40.104,39.547,39.547,14877,0
ACWX.US,D,20080612,000000,39.386,39.629,39.386,39.4,57965,0
ACWX.US,D,20080613,000000,39.357,39.731,39.295,39.692,19159,0
ACWX.US,D,20080616,000000,39.929,40.219,39.821,40.095,24750,0
ACWX.US,D,20080617,000000,40.111,40.339,40.111,40.325,9403,0
ACWX.US,D,20080618,000000,39.935,39.998,39.898,39.973,8765,0
ACWX.US,D,20080619,000000,39.791,39.791,39.791,39.791,129,0
ACWX.US,D,20080620,000000,39.308,39.308,38.912,38.912,16989,0
ACWX.US,D,20080623,000000,38.813,39.034,38.797,38.875,13269,0
ACWX.US,D,20080624,000000,38.7,38.964,38.659,38.659,13266,0
ACWX.US,D,20080625,000000,39.041,39.295,39.034,39.12,5255,0
ACWX.US,D,20080626,000000,38.769,38.813,38.186,38.34,49714,0
ACWX.US,D,20080627,000000,38.358,38.515,38.272,38.415,45831,0
ACWX.US,D,20080630,000000,38.577,38.63,38.324,38.348,24470,0
ACWX.US,D,20080701,000000,37.942,38.029,37.676,37.906,22904,0
ACWX.US,D,20080702,000000,38.096,38.096,37.638,37.638,133965,0
ACWX.US,D,20080703,000000,37.784,37.784,37.594,37.594,70256,0
ACWX.US,D,20080707,000000,37.47,37.692,36.989,37.158,15127,0
ACWX.US,D,20080708,000000,36.957,37.701,36.661,37.701,83133,0
ACWX.US,D,20080709,000000,37.63,37.676,37.018,37.046,28421,0
ACWX.US,D,20080710,000000,37.126,37.317,36.791,37.065,13537,0
ACWX.US,D,20080711,000000,36.906,36.965,36.134,36.836,5521,0
ACWX.US,D,20080714,000000,36.906,36.951,36.698,36.897,2381,0
ACWX.US,D,20080715,000000,36.18,36.53,36.18,36.514,16980,0
ACWX.US,D,20080716,000000,36.052,36.6,35.966,36.6,7636,0
ACWX.US,D,20080717,000000,37.279,37.288,37.027,37.24,10606,0
ACWX.US,D,20080718,000000,36.499,37.325,36.499,37.263,7661,0
ACWX.US,D,20080721,000000,37.621,37.644,37.537,37.56,17846,0
ACWX.US,D,20080722,000000,37.225,37.608,37.203,37.608,7226,0
