<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADRE.US,D,20050225,000000,18.037,18.37,18.037,18.37,76118,0
ADRE.US,D,20050228,000000,19.086,19.086,18.271,18.335,107113,0
ADRE.US,D,20050301,000000,18.732,18.732,18.176,18.229,56727,0
ADRE.US,D,20050302,000000,18.08,18.162,18.016,18.129,25254,0
ADRE.US,D,20050303,000000,18.68,18.68,18.098,18.154,30511,0
ADRE.US,D,20050304,000000,18.635,18.635,18.255,18.318,21755,0
ADRE.US,D,20050307,000000,18.732,19.034,18.344,18.385,94142,0
ADRE.US,D,20050308,000000,18.835,18.835,18.237,18.255,17793,0
ADRE.US,D,20050309,000000,18.129,18.884,18.107,18.137,61827,0
ADRE.US,D,20050310,000000,18.114,18.651,17.877,17.921,82912,0
ADRE.US,D,20050311,000000,18,18.529,17.968,17.984,54332,0
ADRE.US,D,20050314,000000,18.475,18.475,17.737,17.781,59174,0
ADRE.US,D,20050315,000000,17.404,17.671,17.404,17.469,47243,0
ADRE.US,D,20050316,000000,17.3,17.51,17.3,17.453,184574,0
ADRE.US,D,20050317,000000,17.453,17.703,17.453,17.703,19547,0
ADRE.US,D,20050318,000000,18.08,18.08,17.53,17.581,27578,0
ADRE.US,D,20050321,000000,18.122,18.122,17.372,17.523,508685,0
ADRE.US,D,20050322,000000,17.477,17.501,17.13,17.154,125874,0
ADRE.US,D,20050323,000000,17.042,17.042,16.778,16.844,47130,0
ADRE.US,D,20050324,000000,16.672,17.019,16.481,16.97,51485,0
ADRE.US,D,20050328,000000,16.567,17.003,16.567,16.89,18086,0
ADRE.US,D,20050329,000000,16.873,16.873,16.481,16.481,31747,0
ADRE.US,D,20050330,000000,16.438,16.81,16.438,16.803,66650,0
ADRE.US,D,20050331,000000,17.523,17.523,16.49,17.025,20104,0
ADRE.US,D,20050401,000000,17.548,17.548,16.961,17.18,42181,0
ADRE.US,D,20050404,000000,17.113,17.113,17.058,17.106,83114,0
ADRE.US,D,20050405,000000,17.09,17.22,17.09,17.113,24730,0
