<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGNG.US,D,20160512,000000,15.002,15.002,15.002,15.002,273,0
AGNG.US,D,20160517,000000,15.082,15.082,15.082,15.082,362,0
AGNG.US,D,20160518,000000,15.003,15.003,15.003,15.003,180,0
AGNG.US,D,20160519,000000,14.825,14.825,14.825,14.825,100,0
AGNG.US,D,20160527,000000,15.478,15.478,15.478,15.478,200,0
AGNG.US,D,20160531,000000,15.524,15.524,15.524,15.524,100,0
AGNG.US,D,20160601,000000,15.517,15.597,15.517,15.597,305,0
AGNG.US,D,20160603,000000,15.744,15.755,15.744,15.755,521,0
AGNG.US,D,20160606,000000,15.854,15.854,15.854,15.854,666,0
AGNG.US,D,20160607,000000,15.795,15.795,15.785,15.785,1073,0
AGNG.US,D,20160610,000000,15.489,15.489,15.392,15.392,1690,0
AGNG.US,D,20160614,000000,15.192,15.192,15.192,15.192,544,0
AGNG.US,D,20160617,000000,15.122,15.122,15.122,15.122,200,0
AGNG.US,D,20160621,000000,15.23,15.23,15.23,15.23,505,0
AGNG.US,D,20160805,000000,16.67,16.67,16.67,16.67,100,0
AGNG.US,D,20160810,000000,16.605,16.605,16.571,16.571,395,0
AGNG.US,D,20160812,000000,16.655,16.655,16.655,16.655,150,0
AGNG.US,D,20160818,000000,16.505,16.505,16.505,16.505,360,0
AGNG.US,D,20160825,000000,16.408,16.408,16.408,16.408,102,0
AGNG.US,D,20160826,000000,16.368,16.368,16.368,16.368,130,0
AGNG.US,D,20160829,000000,16.427,16.427,16.427,16.427,145,0
AGNG.US,D,20160901,000000,16.239,16.239,16.239,16.239,242,0
AGNG.US,D,20160909,000000,16.298,16.298,16.149,16.149,1058,0
AGNG.US,D,20160916,000000,16.328,16.328,16.328,16.328,221,0
AGNG.US,D,20160919,000000,16.485,16.485,16.348,16.388,405,0
AGNG.US,D,20160928,000000,16.675,16.675,16.622,16.622,596,0
AGNG.US,D,20161006,000000,15.952,16.09,15.952,16.09,505,0
AGNG.US,D,20161007,000000,16.051,16.051,16.051,16.051,299,0
AGNG.US,D,20161017,000000,15.587,15.587,15.439,15.439,465,0
AGNG.US,D,20161019,000000,15.607,15.607,15.607,15.607,130,0
AGNG.US,D,20161027,000000,15.127,15.127,15.127,15.127,165,0
AGNG.US,D,20161031,000000,14.845,14.845,14.845,14.845,320,0
AGNG.US,D,20161103,000000,14.735,14.735,14.735,14.735,494,0
AGNG.US,D,20161114,000000,15.3,15.389,15.23,15.389,476,0
AGNG.US,D,20161118,000000,15.373,15.373,15.373,15.373,193,0
AGNG.US,D,20161123,000000,15.088,15.088,15.088,15.088,100,0
AGNG.US,D,20161207,000000,14.923,14.967,14.923,14.967,356,0
AGNG.US,D,20161222,000000,14.964,14.964,14.964,14.964,251,0
AGNG.US,D,20161228,000000,15.154,15.154,15.154,15.154,455,0
AGNG.US,D,20170123,000000,15.597,15.597,15.597,15.597,588,0
AGNG.US,D,20170124,000000,15.378,15.396,15.369,15.396,507,0
AGNG.US,D,20170130,000000,15.436,15.489,15.436,15.489,229,0
AGNG.US,D,20170201,000000,15.719,15.719,15.719,15.719,125,0
