<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGZD.US,D,20131220,000000,43.095,43.095,43.095,43.095,209,0
AGZD.US,D,20131223,000000,43.025,43.178,43.025,43.178,17832,0
AGZD.US,D,20131224,000000,43.288,43.288,43.288,43.288,3231,0
AGZD.US,D,20131227,000000,43.263,43.263,43.263,43.263,917,0
AGZD.US,D,20131230,000000,43.182,43.182,43.182,43.182,4621,0
AGZD.US,D,20131231,000000,43.199,43.199,43.199,43.199,12734,0
AGZD.US,D,20140102,000000,43.14,43.14,43.14,43.14,209,0
AGZD.US,D,20140107,000000,43.334,43.334,43.248,43.271,12397,0
AGZD.US,D,20140108,000000,43.356,43.402,43.334,43.334,16604,0
AGZD.US,D,20140109,000000,43.37,43.37,43.288,43.307,11242,0
AGZD.US,D,20140110,000000,43.198,43.307,43.178,43.208,12572,0
AGZD.US,D,20140113,000000,43.263,43.263,43.206,43.206,13011,0
AGZD.US,D,20140114,000000,43.288,43.288,43.222,43.222,7944,0
AGZD.US,D,20140115,000000,43.255,43.255,43.196,43.196,3381,0
AGZD.US,D,20140116,000000,43.271,43.271,43.256,43.26,4323,0
AGZD.US,D,20140117,000000,43.378,43.378,43.224,43.246,8347,0
AGZD.US,D,20140121,000000,43.213,43.217,43.207,43.217,4754,0
AGZD.US,D,20140122,000000,43.236,43.297,43.217,43.297,41076,0
AGZD.US,D,20140123,000000,43.067,43.067,43.03,43.03,7178,0
AGZD.US,D,20140124,000000,43.118,43.118,43.118,43.118,479,0
AGZD.US,D,20140127,000000,43.241,43.241,43.241,43.241,11552,0
AGZD.US,D,20140128,000000,43.275,43.275,43.259,43.267,1179,0
AGZD.US,D,20140130,000000,43.24,43.245,43.24,43.245,209,0
AGZD.US,D,20140131,000000,43.185,43.185,43.184,43.185,5782,0
AGZD.US,D,20140205,000000,43.178,43.178,43.178,43.178,4615,0
AGZD.US,D,20140207,000000,43.25,43.25,43.25,43.25,921,0
AGZD.US,D,20140210,000000,43.25,43.25,43.25,43.25,478,0
AGZD.US,D,20140212,000000,43.347,43.347,43.347,43.347,478,0
AGZD.US,D,20140221,000000,42.752,42.752,42.752,42.752,113,0
AGZD.US,D,20140227,000000,43.174,43.174,43.174,43.174,1677,0
AGZD.US,D,20140303,000000,43.301,43.301,43.301,43.301,174,0
AGZD.US,D,20140305,000000,43.422,43.422,43.422,43.422,1099,0
AGZD.US,D,20140311,000000,43.413,43.413,43.413,43.413,1158,0
AGZD.US,D,20140319,000000,43.441,43.441,43.441,43.441,580,0
AGZD.US,D,20140414,000000,43.348,44.27,43.348,43.412,3574,0
AGZD.US,D,20140424,000000,43.554,43.563,43.554,43.563,343,0
AGZD.US,D,20140428,000000,43.539,43.539,43.539,43.539,222,0
AGZD.US,D,20140501,000000,43.47,43.47,43.47,43.47,170,0
AGZD.US,D,20140506,000000,43.635,43.635,43.635,43.635,209,0
AGZD.US,D,20140507,000000,43.604,43.604,43.371,43.371,11286,0
AGZD.US,D,20140508,000000,43.578,43.662,43.578,43.604,2884,0
AGZD.US,D,20140512,000000,43.635,43.644,43.616,43.635,4823,0
AGZD.US,D,20140513,000000,43.556,43.556,43.542,43.542,1716,0
AGZD.US,D,20140514,000000,43.522,43.522,43.522,43.522,101,0
AGZD.US,D,20140515,000000,44.329,44.329,43.47,43.556,2639,0
AGZD.US,D,20140521,000000,43.361,43.496,43.361,43.496,1251,0
AGZD.US,D,20140523,000000,43.465,43.465,43.465,43.465,343,0
AGZD.US,D,20140527,000000,43.357,43.456,43.003,43.426,3216,0
AGZD.US,D,20140528,000000,43.446,43.508,43.446,43.508,921,0
AGZD.US,D,20140529,000000,43.446,43.527,43.446,43.517,16660,0
AGZD.US,D,20140530,000000,43.399,43.56,43.399,43.56,19830,0
AGZD.US,D,20140602,000000,43.481,43.534,43.481,43.508,2296,0
AGZD.US,D,20140603,000000,43.491,43.582,43.491,43.552,14931,0
AGZD.US,D,20140604,000000,43.575,43.575,43.446,43.465,5308,0
AGZD.US,D,20140605,000000,43.491,43.56,43.491,43.534,5624,0
AGZD.US,D,20140609,000000,43.534,43.582,43.534,43.582,461,0
AGZD.US,D,20140611,000000,43.399,43.657,43.399,43.657,1780,0
AGZD.US,D,20140612,000000,43.552,43.568,43.499,43.508,12876,0
AGZD.US,D,20140613,000000,43.582,43.599,43.582,43.599,353,0
AGZD.US,D,20140624,000000,43.616,43.616,43.616,43.616,170,0
AGZD.US,D,20140625,000000,43.626,43.626,43.43,43.431,1712,0
AGZD.US,D,20140626,000000,43.542,43.542,43.542,43.542,100,0
AGZD.US,D,20140627,000000,43.604,43.67,43.512,43.596,9458,0
AGZD.US,D,20140630,000000,43.539,43.626,43.53,43.626,15945,0
AGZD.US,D,20140701,000000,43.548,43.662,43.53,43.652,25809,0
AGZD.US,D,20140702,000000,43.755,43.755,43.563,43.697,18460,0
AGZD.US,D,20140703,000000,43.729,43.729,43.626,43.67,15482,0
AGZD.US,D,20140707,000000,43.395,43.395,43.39,43.39,1630,0
AGZD.US,D,20140708,000000,43.335,43.608,43.335,43.539,40168,0
AGZD.US,D,20140709,000000,43.604,43.644,43.47,43.644,15406,0
AGZD.US,D,20140710,000000,43.53,43.745,43.53,43.644,21388,0
AGZD.US,D,20140711,000000,43.539,43.644,43.422,43.572,24988,0
AGZD.US,D,20140714,000000,43.596,43.697,43.596,43.644,13205,0
AGZD.US,D,20140715,000000,43.556,43.701,43.548,43.701,11569,0
AGZD.US,D,20140716,000000,43.512,43.608,43.422,43.604,13078,0
AGZD.US,D,20140717,000000,43.596,43.596,43.288,43.361,18254,0
AGZD.US,D,20140718,000000,43.556,43.556,43.556,43.556,100,0
AGZD.US,D,20140721,000000,43.639,43.639,43.639,43.639,105,0
AGZD.US,D,20140722,000000,46,46,43.61,43.61,827,0
AGZD.US,D,20140723,000000,43.63,43.648,43.63,43.648,1640,0
AGZD.US,D,20140724,000000,43.657,43.707,43.657,43.707,3313,0
AGZD.US,D,20140725,000000,43.639,43.639,43.639,43.639,131,0
AGZD.US,D,20140729,000000,43.75,43.76,43.75,43.76,357,0
AGZD.US,D,20140730,000000,43.575,43.675,43.534,43.675,13144,0
AGZD.US,D,20140731,000000,43.582,43.582,43.582,43.582,227,0
AGZD.US,D,20140801,000000,43.582,43.591,43.221,43.293,67853,0
AGZD.US,D,20140804,000000,43.399,43.508,43.357,43.357,29172,0
AGZD.US,D,20140805,000000,43.409,43.552,43.366,43.366,6579,0
AGZD.US,D,20140806,000000,43.392,43.426,43.348,43.348,1019,0
AGZD.US,D,20140807,000000,43.426,43.491,43.293,43.465,9741,0
AGZD.US,D,20140808,000000,43.456,43.538,43.456,43.538,826,0
AGZD.US,D,20140812,000000,43.582,43.582,43.582,43.582,749,0
AGZD.US,D,20140815,000000,43.399,43.399,43.366,43.399,810,0
AGZD.US,D,20140818,000000,43.465,43.508,43.465,43.481,3435,0
AGZD.US,D,20140820,000000,43.498,43.514,43.34,43.399,16168,0
AGZD.US,D,20140821,000000,43.249,43.436,43.183,43.436,1516,0
AGZD.US,D,20140822,000000,43.508,43.527,43.357,43.456,2262,0
AGZD.US,D,20140825,000000,43.47,43.975,43.422,43.548,27083,0
AGZD.US,D,20140826,000000,43.883,43.883,43.883,43.883,812,0
AGZD.US,D,20140827,000000,43.783,43.783,43.783,43.783,343,0
AGZD.US,D,20140902,000000,43.288,43.857,43.288,43.857,1943,0
AGZD.US,D,20140903,000000,44.604,45.326,43.608,43.783,21785,0
AGZD.US,D,20140904,000000,43.652,43.832,43.65,43.689,1215227,0
AGZD.US,D,20140905,000000,43.704,43.711,43.626,43.626,249449,0
AGZD.US,D,20140908,000000,43.6,43.761,43.522,43.687,16934,0
AGZD.US,D,20140909,000000,43.634,43.634,43.522,43.604,13507,0
AGZD.US,D,20140910,000000,43.567,43.577,43.478,43.577,1982,0
AGZD.US,D,20140911,000000,43.539,43.539,43.511,43.539,3022,0
AGZD.US,D,20140912,000000,43.704,43.729,43.604,43.729,5826,0
AGZD.US,D,20140915,000000,43.53,43.563,43.395,43.404,8581,0
