<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIA.US,D,20071116,000000,39.284,39.896,39.063,39.856,64081,0
AIA.US,D,20071119,000000,41.063,41.063,37.541,37.716,19337,0
AIA.US,D,20071120,000000,39.055,39.097,37.871,38.814,9296,0
AIA.US,D,20071121,000000,37.999,37.999,36.795,37.094,2106,0
AIA.US,D,20071126,000000,38.218,38.523,37.581,37.581,9172,0
AIA.US,D,20071127,000000,37.581,38.345,37.581,38.274,9048,0
AIA.US,D,20071128,000000,39.168,39.756,38.992,39.756,19707,0
AIA.US,D,20071129,000000,39.984,40.354,39.524,40.251,22063,0
AIA.US,D,20071130,000000,40.708,40.905,39.824,39.824,11652,0
AIA.US,D,20071203,000000,40.613,40.613,39.677,39.677,6941,0
AIA.US,D,20071204,000000,40.168,40.168,39.744,39.744,151341,0
AIA.US,D,20071205,000000,40.447,40.631,40.136,40.268,238605,0
AIA.US,D,20071206,000000,41.024,41.525,40.613,41.525,18468,0
AIA.US,D,20071207,000000,41.525,41.525,40.389,40.466,12766,0
AIA.US,D,20071210,000000,41.354,41.354,40.007,40.34,7686,0
AIA.US,D,20071211,000000,40.516,40.631,38.694,38.918,7560,0
AIA.US,D,20071212,000000,40.631,40.631,38.627,39.177,85277,0
AIA.US,D,20071213,000000,38.412,38.936,38.089,38.87,33097,0
AIA.US,D,20071214,000000,39.049,39.049,38.047,38.128,19089,0
AIA.US,D,20071217,000000,38.12,38.12,36.458,36.458,29998,0
AIA.US,D,20071218,000000,38.581,38.581,36.482,36.983,29748,0
AIA.US,D,20071219,000000,38.218,38.274,37.676,38.082,16485,0
AIA.US,D,20071220,000000,39.782,39.782,37.353,38.082,6568,0
AIA.US,D,20071221,000000,39.168,39.177,38.749,39.177,5204,0
AIA.US,D,20071224,000000,39.749,39.749,39.517,39.524,2355,0
AIA.US,D,20071226,000000,39.782,39.782,39.509,39.509,6199,0
AIA.US,D,20071227,000000,38.927,38.959,38.54,38.54,25779,0
AIA.US,D,20071228,000000,39.467,39.509,38.533,38.742,30863,0
AIA.US,D,20071231,000000,40.098,40.098,38.685,38.797,18468,0
AIA.US,D,20080102,000000,38.725,38.725,37.581,37.822,18222,0
AIA.US,D,20080103,000000,39.242,39.242,37.864,37.919,24048,0
AIA.US,D,20080104,000000,37.887,37.919,36.831,37.023,15991,0
AIA.US,D,20080107,000000,38.274,38.274,36.862,37.45,14500,0
AIA.US,D,20080108,000000,38.372,38.372,36.911,37.066,39290,0
AIA.US,D,20080109,000000,38.499,38.499,37.443,38.144,1734,0
AIA.US,D,20080110,000000,39.041,39.041,37.11,38.159,33963,0
AIA.US,D,20080111,000000,36.911,37.388,36.87,36.87,16980,0
AIA.US,D,20080114,000000,37.208,37.321,36.949,37.243,25658,0
AIA.US,D,20080115,000000,37.11,37.192,35.554,35.879,22187,0
AIA.US,D,20080116,000000,34.892,35.112,34.101,34.522,24417,0
AIA.US,D,20080117,000000,35.638,35.638,34.402,34.402,11035,0
AIA.US,D,20080118,000000,33.677,35.58,33.677,35.167,5950,0
AIA.US,D,20080122,000000,35.49,35.725,31.343,34.949,10535,0
AIA.US,D,20080123,000000,34.965,34.965,32.554,33.974,9048,0
AIA.US,D,20080124,000000,34.522,35.104,34.522,35.087,20202,0
AIA.US,D,20080125,000000,36.983,36.983,34.771,34.991,7066,0
AIA.US,D,20080128,000000,34.725,34.725,34.209,34.642,7686,0
AIA.US,D,20080129,000000,35.072,35.15,34.854,34.973,19707,0
AIA.US,D,20080130,000000,34.434,35.104,34.176,34.256,9669,0
AIA.US,D,20080131,000000,34.032,35.191,33.741,35.191,12394,0
AIA.US,D,20080201,000000,35.63,35.63,35.216,35.216,2602,0
AIA.US,D,20080204,000000,36.635,36.635,35.893,36.006,7560,0
AIA.US,D,20080205,000000,36.289,36.289,34.107,34.489,9794,0
AIA.US,D,20080206,000000,34.304,34.538,33.287,33.287,14254,0
AIA.US,D,20080207,000000,33.417,34.086,32.844,33.755,4090,0
AIA.US,D,20080208,000000,34.07,34.07,33.619,33.812,9915,0
AIA.US,D,20080211,000000,33.724,34.061,33.092,34.053,4461,0
AIA.US,D,20080212,000000,34.394,34.756,34.232,34.232,5822,0
AIA.US,D,20080213,000000,34.618,35.014,34.232,35.014,10042,0
AIA.US,D,20080214,000000,35.127,35.476,34.973,34.973,2481,0
AIA.US,D,20080215,000000,35.449,35.449,34.771,34.933,20573,0
AIA.US,D,20080219,000000,36.54,36.54,35.32,35.353,14750,0
AIA.US,D,20080220,000000,35.449,35.58,34.837,35.58,12146,0
