<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIQ.US,D,20180517,000000,14.752,14.908,14.742,14.83,58162,0
AIQ.US,D,20180518,000000,14.762,14.776,14.682,14.716,48361,0
AIQ.US,D,20180521,000000,14.83,14.834,14.662,14.747,31648,0
AIQ.US,D,20180522,000000,14.839,14.839,14.682,14.682,28001,0
AIQ.US,D,20180523,000000,14.603,14.76,14.545,14.752,13670,0
AIQ.US,D,20180524,000000,14.81,14.82,14.702,14.792,30006,0
AIQ.US,D,20180525,000000,14.762,14.83,14.742,14.762,23911,0
AIQ.US,D,20180529,000000,14.692,14.732,14.554,14.603,43961,0
AIQ.US,D,20180530,000000,14.712,14.812,14.692,14.782,17682,0
AIQ.US,D,20180531,000000,14.81,14.839,14.732,14.738,20784,0
AIQ.US,D,20180601,000000,14.83,14.972,14.82,14.967,38397,0
AIQ.US,D,20180604,000000,15.124,15.167,15.015,15.167,48395,0
AIQ.US,D,20180605,000000,15.212,15.322,15.182,15.284,44954,0
AIQ.US,D,20180606,000000,15.34,15.379,15.282,15.379,23760,0
AIQ.US,D,20180607,000000,15.448,15.448,15.144,15.232,20036,0
AIQ.US,D,20180608,000000,15.192,15.302,15.152,15.272,16974,0
AIQ.US,D,20180611,000000,15.331,15.377,15.272,15.349,40831,0
AIQ.US,D,20180612,000000,15.389,15.448,15.359,15.359,36613,0
AIQ.US,D,20180613,000000,15.458,15.556,15.389,15.4,44558,0
AIQ.US,D,20180614,000000,15.516,15.576,15.476,15.516,53679,0
AIQ.US,D,20180615,000000,15.516,15.516,15.322,15.468,28732,0
AIQ.US,D,20180618,000000,15.458,15.477,15.322,15.468,23029,0
AIQ.US,D,20180619,000000,15.322,15.379,15.145,15.359,22810,0
AIQ.US,D,20180620,000000,15.448,15.468,15.399,15.399,17889,0
AIQ.US,D,20180621,000000,15.448,15.448,15.172,15.217,19772,0
AIQ.US,D,20180622,000000,15.331,15.331,15.08,15.134,14807,0
AIQ.US,D,20180625,000000,15.055,15.055,14.594,14.706,28705,0
AIQ.US,D,20180626,000000,14.82,14.843,14.709,14.797,11865,0
AIQ.US,D,20180627,000000,14.868,14.898,14.446,14.446,34384,0
AIQ.US,D,20180628,000000,14.437,14.701,14.423,14.677,11396,0
AIQ.US,D,20180629,000000,14.742,14.81,14.696,14.712,8853,0
AIQ.US,D,20180702,000000,14.496,14.742,14.496,14.734,15041,0
AIQ.US,D,20180703,000000,14.803,14.918,14.724,14.782,5470,0
AIQ.US,D,20180705,000000,14.81,14.928,14.742,14.928,8895,0
AIQ.US,D,20180706,000000,14.928,15.144,14.908,15.137,7412,0
AIQ.US,D,20180709,000000,15.192,15.262,15.075,15.262,11048,0
AIQ.US,D,20180710,000000,15.379,15.379,15.262,15.312,150226,0
AIQ.US,D,20180711,000000,15.192,15.245,15.056,15.207,14229,0
AIQ.US,D,20180712,000000,15.272,15.497,15.272,15.497,10643,0
AIQ.US,D,20180713,000000,15.448,15.506,15.448,15.504,5899,0
AIQ.US,D,20180716,000000,15.556,15.556,15.419,15.468,5277,0
AIQ.US,D,20180717,000000,15.282,15.487,15.282,15.484,9688,0
AIQ.US,D,20180718,000000,15.516,15.516,15.46,15.509,4787,0
AIQ.US,D,20180719,000000,15.477,15.477,15.383,15.399,5542,0
AIQ.US,D,20180720,000000,15.369,15.429,15.359,15.359,4289,0
AIQ.US,D,20180723,000000,15.359,15.359,15.23,15.359,6127,0
AIQ.US,D,20180724,000000,15.448,15.516,15.257,15.282,5839,0
AIQ.US,D,20180725,000000,15.379,15.516,15.322,15.516,280066,0
AIQ.US,D,20180726,000000,15.409,15.458,15.287,15.384,6103,0
AIQ.US,D,20180727,000000,15.399,15.399,14.997,15.073,7553,0
AIQ.US,D,20180730,000000,14.977,14.977,14.692,14.752,17095,0
AIQ.US,D,20180731,000000,14.752,14.854,14.722,14.769,6515,0
AIQ.US,D,20180801,000000,14.772,14.824,14.732,14.761,6788,0
AIQ.US,D,20180802,000000,14.692,14.867,14.612,14.867,6989,0
AIQ.US,D,20180803,000000,14.848,14.918,14.792,14.898,14458,0
AIQ.US,D,20180806,000000,14.898,14.938,14.858,14.931,3478,0
AIQ.US,D,20180807,000000,14.996,15.114,14.996,15.064,3910,0
AIQ.US,D,20180808,000000,15.065,15.123,15.055,15.055,2551,0
AIQ.US,D,20180809,000000,15.025,15.167,15.025,15.104,3384,0
AIQ.US,D,20180810,000000,15.045,15.045,14.928,15.005,4655,0
AIQ.US,D,20180813,000000,15.083,15.115,14.967,14.976,6376,0
AIQ.US,D,20180814,000000,14.928,15.025,14.928,15.019,5507,0
AIQ.US,D,20180815,000000,14.888,14.888,14.732,14.814,6502,0
AIQ.US,D,20180816,000000,14.995,14.995,14.858,14.876,7794,0
AIQ.US,D,20180817,000000,14.976,14.976,14.762,14.928,204298,0
AIQ.US,D,20180820,000000,14.878,14.986,14.878,14.986,2935,0
AIQ.US,D,20180821,000000,15.111,15.111,15.06,15.07,1598,0
AIQ.US,D,20180822,000000,15.065,15.137,15.065,15.065,7995,0
AIQ.US,D,20180823,000000,15.094,15.272,15.094,15.152,76829,0
AIQ.US,D,20180824,000000,15.357,15.433,15.357,15.39,12369,0
AIQ.US,D,20180827,000000,15.487,15.615,15.487,15.536,20246,0
AIQ.US,D,20180828,000000,15.566,15.615,15.556,15.582,5365,0
AIQ.US,D,20180829,000000,15.636,15.753,15.632,15.753,11167,0
AIQ.US,D,20180830,000000,15.753,15.753,15.556,15.595,74555,0
AIQ.US,D,20180831,000000,15.558,15.625,15.546,15.546,14385,0
AIQ.US,D,20180904,000000,15.556,15.576,15.491,15.576,7521,0
AIQ.US,D,20180905,000000,15.615,15.615,15.234,15.322,5294,0
AIQ.US,D,20180906,000000,15.322,15.322,15.116,15.132,3685,0
AIQ.US,D,20180907,000000,15.172,15.247,15.172,15.216,3005,0
AIQ.US,D,20180910,000000,15.222,15.282,15.215,15.282,2728,0
AIQ.US,D,20180911,000000,15.272,15.369,15.272,15.346,2272,0
AIQ.US,D,20180912,000000,15.359,15.422,15.202,15.422,3698,0
AIQ.US,D,20180913,000000,15.526,15.566,15.516,15.516,3349,0
AIQ.US,D,20180914,000000,15.615,15.615,15.534,15.603,2557,0
AIQ.US,D,20180917,000000,15.625,15.625,15.331,15.331,23462,0
AIQ.US,D,20180918,000000,15.46,15.516,15.458,15.458,176657,0
AIQ.US,D,20180919,000000,15.34,15.409,15.34,15.389,3401,0
AIQ.US,D,20180920,000000,15.468,15.53,15.449,15.53,7430,0
AIQ.US,D,20180921,000000,15.684,15.684,15.497,15.531,10097,0
AIQ.US,D,20180924,000000,15.448,15.497,15.369,15.497,4570,0
AIQ.US,D,20180925,000000,15.585,15.585,15.526,15.566,12085,0
AIQ.US,D,20180926,000000,15.645,15.645,15.595,15.615,3657,0
AIQ.US,D,20180927,000000,15.635,15.635,15.556,15.615,4815,0
AIQ.US,D,20180928,000000,15.536,15.615,15.536,15.55,1437,0
AIQ.US,D,20181001,000000,15.635,15.665,15.554,15.581,5133,0
AIQ.US,D,20181002,000000,15.526,15.526,15.345,15.345,8302,0
AIQ.US,D,20181003,000000,15.444,15.468,15.419,15.458,6022,0
AIQ.US,D,20181004,000000,15.439,15.439,15.042,15.123,8438,0
AIQ.US,D,20181005,000000,15.085,15.212,14.871,15.035,27008,0
AIQ.US,D,20181008,000000,14.967,15.025,14.682,14.858,245463,0
AIQ.US,D,20181009,000000,14.782,14.839,14.682,14.727,8078,0
AIQ.US,D,20181010,000000,14.772,14.772,14.045,14.045,16716,0
AIQ.US,D,20181011,000000,13.985,14.026,13.768,13.922,9481,0
AIQ.US,D,20181012,000000,14.2,14.313,14.132,14.313,17639,0
AIQ.US,D,20181015,000000,14.288,14.288,14.067,14.195,4687,0
AIQ.US,D,20181016,000000,14.318,14.554,14.318,14.554,3289,0
AIQ.US,D,20181017,000000,14.692,14.692,14.476,14.594,55826,0
AIQ.US,D,20181018,000000,14.525,14.525,14.142,14.181,677,0
AIQ.US,D,20181019,000000,14.23,14.257,14,14.055,3632,0
AIQ.US,D,20181022,000000,14.152,14.152,13.965,14.152,20082,0
AIQ.US,D,20181023,000000,13.876,14.083,13.74,14.083,6761,0
AIQ.US,D,20181024,000000,13.945,13.997,13.287,13.287,10908,0
AIQ.US,D,20181025,000000,13.434,13.69,13.434,13.66,17035,0
AIQ.US,D,20181026,000000,13.181,13.504,13.112,13.387,10135,0
AIQ.US,D,20181029,000000,13.464,13.484,12.775,12.943,9714,0
AIQ.US,D,20181030,000000,12.943,13.228,12.943,13.223,37253,0
AIQ.US,D,20181031,000000,13.66,13.66,13.572,13.66,2933,0
AIQ.US,D,20181101,000000,13.738,13.906,13.572,13.906,23441,0
AIQ.US,D,20181102,000000,13.965,14.035,13.76,13.808,15904,0
AIQ.US,D,20181105,000000,13.737,13.787,13.7,13.739,1260,0
AIQ.US,D,20181106,000000,13.888,13.945,13.768,13.798,6138,0
AIQ.US,D,20181107,000000,13.965,14.24,13.965,14.24,21488,0
AIQ.US,D,20181108,000000,14.25,14.25,14.045,14.063,8938,0
AIQ.US,D,20181109,000000,13.995,13.995,13.72,13.848,8203,0
AIQ.US,D,20181112,000000,13.385,13.438,13.385,13.438,5656,0
AIQ.US,D,20181113,000000,13.454,13.578,13.454,13.578,1091,0
AIQ.US,D,20181114,000000,13.574,13.592,13.434,13.514,7187,0
AIQ.US,D,20181115,000000,13.514,13.736,13.395,13.736,32509,0
AIQ.US,D,20181116,000000,13.621,13.66,13.529,13.66,34053,0
AIQ.US,D,20181119,000000,13.651,13.651,12.993,12.993,11473,0
AIQ.US,D,20181120,000000,12.727,13.062,12.694,12.878,17419,0
AIQ.US,D,20181121,000000,13.151,13.181,13.111,13.141,6244,0
AIQ.US,D,20181123,000000,13.122,13.131,13.084,13.131,1338,0
AIQ.US,D,20181126,000000,13.357,13.414,13.273,13.414,15122,0
AIQ.US,D,20181127,000000,13.267,13.376,13.257,13.347,21658,0
AIQ.US,D,20181128,000000,13.621,13.867,13.464,13.818,81728,0
AIQ.US,D,20181129,000000,13.72,13.867,13.66,13.838,40085,0
AIQ.US,D,20181130,000000,13.848,13.975,13.748,13.945,19663,0
AIQ.US,D,20181203,000000,14.268,14.278,14.13,14.24,4052,0
AIQ.US,D,20181204,000000,14.132,14.132,13.66,13.66,4271,0
AIQ.US,D,20181206,000000,13.434,13.623,13.337,13.623,2278,0
AIQ.US,D,20181207,000000,13.7,13.803,13.385,13.385,1476,0
AIQ.US,D,20181210,000000,13.385,13.514,13.237,13.494,23366,0
AIQ.US,D,20181211,000000,13.67,13.7,13.459,13.612,26856,0
