<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIRR.US,D,20140313,000000,19.787,19.787,19.056,19.135,8891,0
AIRR.US,D,20140314,000000,19.212,19.222,19.14,19.14,1115728,0
AIRR.US,D,20140317,000000,19.38,19.38,19.282,19.282,8405,0
AIRR.US,D,20140318,000000,19.272,19.477,19.222,19.438,42676,0
AIRR.US,D,20140319,000000,19.632,19.632,19.312,19.409,74735,0
AIRR.US,D,20140320,000000,19.506,19.506,19.39,19.438,46338,0
AIRR.US,D,20140321,000000,19.564,19.651,19.458,19.496,17196,0
AIRR.US,D,20140324,000000,19.7,19.71,19.184,19.292,61727,0
AIRR.US,D,20140325,000000,19.448,19.468,19.288,19.341,5192,0
AIRR.US,D,20140326,000000,19.516,19.516,19.017,19.027,39381,0
AIRR.US,D,20140327,000000,18.888,18.987,18.77,18.83,22441,0
AIRR.US,D,20140328,000000,19.056,19.115,18.849,18.879,38335,0
AIRR.US,D,20140331,000000,19.096,19.282,19.089,19.222,10711,0
AIRR.US,D,20140401,000000,19.272,19.428,19.262,19.409,14107,0
AIRR.US,D,20140402,000000,19.468,19.554,19.44,19.545,28395,0
AIRR.US,D,20140403,000000,19.477,19.506,19.341,19.428,48398,0
AIRR.US,D,20140404,000000,19.612,19.612,18.987,19.027,31639,0
AIRR.US,D,20140407,000000,18.898,19.125,18.528,18.602,17507,0
AIRR.US,D,20140408,000000,18.749,18.877,18.672,18.79,13264,0
AIRR.US,D,20140409,000000,19.027,19.066,18.82,19.066,40166,0
AIRR.US,D,20140410,000000,19.046,19.066,18.588,18.672,68626,0
AIRR.US,D,20140411,000000,18.8,18.8,18.468,18.516,109644,0
AIRR.US,D,20140414,000000,18.869,18.869,18.379,18.516,12679,0
AIRR.US,D,20140415,000000,18.672,18.71,18.203,18.555,52016,0
AIRR.US,D,20140416,000000,18.78,18.78,18.594,18.75,15463,0
AIRR.US,D,20140417,000000,18.81,18.987,18.76,18.948,79111,0
AIRR.US,D,20140421,000000,18.982,18.987,18.869,18.974,9264,0
AIRR.US,D,20140422,000000,19.017,19.242,19.017,19.202,7529,0
AIRR.US,D,20140423,000000,19.332,19.332,19.076,19.115,19532,0
AIRR.US,D,20140424,000000,19.212,19.212,19.027,19.133,22004,0
AIRR.US,D,20140425,000000,18.928,18.967,18.77,18.82,20155,0
AIRR.US,D,20140428,000000,18.898,18.918,18.508,18.73,28508,0
AIRR.US,D,20140429,000000,18.898,18.948,18.64,18.681,49246,0
AIRR.US,D,20140430,000000,18.663,18.798,18.633,18.79,8977,0
AIRR.US,D,20140501,000000,18.967,18.967,18.488,18.62,137163,0
AIRR.US,D,20140502,000000,18.84,18.869,18.73,18.73,22103,0
AIRR.US,D,20140505,000000,18.493,18.594,18.493,18.594,11424,0
AIRR.US,D,20140506,000000,18.526,18.555,18.301,18.349,22662,0
AIRR.US,D,20140507,000000,18.213,18.478,18.192,18.348,22249,0
AIRR.US,D,20140508,000000,18.33,18.399,17.985,18.064,21054,0
AIRR.US,D,20140509,000000,18.005,18.272,17.946,18.272,44751,0
AIRR.US,D,20140512,000000,18.399,18.79,18.399,18.77,48987,0
AIRR.US,D,20140513,000000,18.78,18.81,18.584,18.613,46655,0
AIRR.US,D,20140514,000000,18.439,18.439,18.173,18.213,30962,0
AIRR.US,D,20140515,000000,18.682,18.682,17.81,18.034,25928,0
AIRR.US,D,20140516,000000,18.262,18.262,17.869,18.153,30995,0
AIRR.US,D,20140519,000000,18.133,18.379,18.133,18.379,24377,0
AIRR.US,D,20140520,000000,18.34,18.478,17.975,18.064,23148,0
AIRR.US,D,20140521,000000,18.103,18.143,17.975,18.123,10742,0
AIRR.US,D,20140522,000000,18.243,18.253,18.074,18.183,35487,0
AIRR.US,D,20140523,000000,18.183,18.439,18.183,18.434,10423,0
AIRR.US,D,20140527,000000,18.72,18.869,18.633,18.76,24067,0
AIRR.US,D,20140528,000000,18.623,18.888,18.623,18.692,42072,0
AIRR.US,D,20140529,000000,18.672,18.702,18.545,18.603,16412,0
AIRR.US,D,20140530,000000,18.653,18.682,18.508,18.545,90936,0
AIRR.US,D,20140602,000000,18.272,18.449,18.253,18.379,6730,0
AIRR.US,D,20140603,000000,18.439,18.83,18.233,18.3,5316,0
AIRR.US,D,20140604,000000,18.253,18.322,18.193,18.223,23080,0
AIRR.US,D,20140605,000000,18.367,18.702,18.351,18.702,18380,0
AIRR.US,D,20140606,000000,18.948,19.017,18.869,19.017,47242,0
AIRR.US,D,20140609,000000,18.948,19.232,18.948,19.232,15380,0
AIRR.US,D,20140610,000000,19.302,19.302,19.105,19.174,30402,0
AIRR.US,D,20140611,000000,19.212,19.212,18.908,18.948,7855,0
AIRR.US,D,20140612,000000,18.8,18.859,18.653,18.692,23135,0
AIRR.US,D,20140613,000000,18.74,18.78,18.613,18.643,18371,0
AIRR.US,D,20140616,000000,18.508,18.633,18.498,18.623,10591,0
AIRR.US,D,20140617,000000,18.643,18.83,18.527,18.736,16684,0
AIRR.US,D,20140618,000000,18.73,18.854,18.663,18.854,9518,0
AIRR.US,D,20140619,000000,18.8,18.938,18.8,18.938,12745,0
AIRR.US,D,20140620,000000,19.016,19.017,18.93,18.977,20726,0
AIRR.US,D,20140623,000000,18.967,19.135,18.83,18.888,22146,0
AIRR.US,D,20140624,000000,19.009,19.068,18.769,18.769,12987,0
AIRR.US,D,20140625,000000,18.693,18.86,18.673,18.85,8867,0
AIRR.US,D,20140626,000000,18.791,19.058,18.791,18.821,12534,0
AIRR.US,D,20140627,000000,18.929,18.979,18.929,18.969,6855,0
AIRR.US,D,20140630,000000,18.929,19.068,18.929,19.058,21237,0
AIRR.US,D,20140701,000000,19.244,19.343,19.244,19.244,11584,0
AIRR.US,D,20140702,000000,19.343,19.372,19.204,19.224,16804,0
AIRR.US,D,20140703,000000,19.244,19.45,19.244,19.41,11184,0
AIRR.US,D,20140707,000000,19.508,19.508,19.009,19.009,13113,0
AIRR.US,D,20140708,000000,18.85,18.929,18.771,18.889,34362,0
AIRR.US,D,20140709,000000,18.919,18.959,18.771,18.771,30376,0
AIRR.US,D,20140710,000000,18.499,18.572,18.469,18.509,8176,0
AIRR.US,D,20140711,000000,18.449,18.469,18.43,18.43,3115,0
AIRR.US,D,20140714,000000,18.634,18.644,18.575,18.575,7011,0
AIRR.US,D,20140715,000000,18.751,18.751,18.39,18.44,10362,0
AIRR.US,D,20140716,000000,18.673,18.673,18.38,18.38,82761,0
AIRR.US,D,20140717,000000,18.44,18.44,18.06,18.143,44069,0
AIRR.US,D,20140718,000000,18.253,18.36,18.143,18.35,17643,0
AIRR.US,D,20140721,000000,18.163,18.253,18.123,18.233,11463,0
AIRR.US,D,20140722,000000,18.325,18.461,18.32,18.41,24045,0
AIRR.US,D,20140723,000000,18.41,18.499,18.33,18.34,10975,0
AIRR.US,D,20140724,000000,18.34,18.44,18.253,18.262,4994,0
AIRR.US,D,20140725,000000,18.084,18.163,18.054,18.084,12280,0
AIRR.US,D,20140728,000000,17.918,17.946,17.8,17.859,24555,0
AIRR.US,D,20140729,000000,17.976,17.976,17.81,17.824,20068,0
AIRR.US,D,20140730,000000,17.849,17.888,17.8,17.879,15695,0
AIRR.US,D,20140731,000000,17.879,17.888,17.369,17.408,29571,0
AIRR.US,D,20140801,000000,17.576,17.576,17.201,17.32,166862,0
AIRR.US,D,20140804,000000,17.664,17.751,17.447,17.751,16384,0
AIRR.US,D,20140805,000000,17.8,17.946,17.595,17.786,6612,0
AIRR.US,D,20140806,000000,17.791,17.975,17.693,17.898,13756,0
AIRR.US,D,20140807,000000,18.044,18.044,17.761,17.839,243454,0
AIRR.US,D,20140808,000000,17.975,18.103,17.829,18.084,82582,0
AIRR.US,D,20140811,000000,18.163,18.47,18.163,18.34,12175,0
AIRR.US,D,20140812,000000,18.35,18.38,18.113,18.217,99812,0
AIRR.US,D,20140813,000000,18.213,18.39,18.213,18.33,9849,0
AIRR.US,D,20140814,000000,18.301,18.43,18.301,18.43,24317,0
AIRR.US,D,20140815,000000,18.565,18.575,18.253,18.39,61227,0
AIRR.US,D,20140818,000000,18.721,18.731,18.595,18.721,92366,0
AIRR.US,D,20140819,000000,18.88,18.88,18.741,18.751,576565,0
AIRR.US,D,20140820,000000,18.741,18.741,18.614,18.673,17257,0
AIRR.US,D,20140821,000000,18.585,18.781,18.459,18.751,8945,0
AIRR.US,D,20140822,000000,18.693,18.781,18.64,18.751,8541,0
AIRR.US,D,20140825,000000,18.87,18.969,18.811,18.87,25387,0
AIRR.US,D,20140826,000000,18.87,19.107,18.87,19.078,94770,0
AIRR.US,D,20140827,000000,19.117,19.127,18.969,19.048,32735,0
AIRR.US,D,20140828,000000,18.989,18.989,18.899,18.949,56328,0
AIRR.US,D,20140829,000000,19.029,19.029,18.91,18.989,2027,0
AIRR.US,D,20140902,000000,19.048,19.254,19.048,19.214,66553,0
AIRR.US,D,20140903,000000,19.334,19.334,19.068,19.078,12068,0
AIRR.US,D,20140904,000000,19.284,19.294,19.048,19.048,41355,0
AIRR.US,D,20140905,000000,19.038,19.107,18.989,19.107,558893,0
AIRR.US,D,20140908,000000,19.176,19.254,19.127,19.146,19118,0
AIRR.US,D,20140909,000000,19.045,19.073,18.969,18.989,4030,0
AIRR.US,D,20140910,000000,19.029,19.107,18.929,19.088,25784,0
AIRR.US,D,20140911,000000,19.127,19.234,19.048,19.231,28189,0
AIRR.US,D,20140912,000000,19.156,19.164,18.971,19.019,18257,0
