<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALTY.US,D,20150715,000000,10.186,12.217,10.18,12.217,9341,0
ALTY.US,D,20150716,000000,10.24,10.289,10.206,10.289,2523,0
ALTY.US,D,20150717,000000,10.349,10.349,10.18,10.2,14865,0
ALTY.US,D,20150720,000000,10.172,10.172,10.135,10.135,9813,0
ALTY.US,D,20150721,000000,10.105,10.105,10.079,10.079,5499,0
ALTY.US,D,20150723,000000,10.155,10.155,9.958,9.958,5793,0
ALTY.US,D,20150724,000000,9.873,9.883,9.822,9.883,1631,0
ALTY.US,D,20150727,000000,9.839,9.839,9.831,9.831,1935,0
ALTY.US,D,20150728,000000,9.845,9.845,9.845,9.845,288,0
ALTY.US,D,20150729,000000,9.947,10.007,9.687,9.687,37154,0
ALTY.US,D,20150731,000000,10.007,10.015,9.985,10.015,2825,0
ALTY.US,D,20150803,000000,10.135,10.135,10.015,10.015,1277,0
ALTY.US,D,20150805,000000,9.963,9.963,9.963,9.963,159,0
ALTY.US,D,20150806,000000,9.954,9.954,9.857,9.938,2236,0
ALTY.US,D,20150807,000000,9.938,9.938,9.896,9.896,2671,0
ALTY.US,D,20150810,000000,9.932,10.02,9.896,10.02,4612,0
ALTY.US,D,20150811,000000,9.998,9.998,9.998,9.998,338,0
ALTY.US,D,20150813,000000,10.033,10.033,10.028,10.028,743,0
ALTY.US,D,20150814,000000,10.033,10.033,10.033,10.033,443,0
ALTY.US,D,20150821,000000,9.864,9.864,9.795,9.818,1935,0
ALTY.US,D,20150824,000000,9.533,9.851,9.0096,9.507,9664,0
ALTY.US,D,20150825,000000,9.533,9.533,9.533,9.533,159,0
ALTY.US,D,20150826,000000,9.571,9.571,9.571,9.571,159,0
ALTY.US,D,20150827,000000,9.657,9.681,9.657,9.681,602,0
ALTY.US,D,20150828,000000,9.717,9.725,9.717,9.717,885,0
ALTY.US,D,20150831,000000,9.695,9.725,9.538,9.695,6686,0
ALTY.US,D,20150901,000000,9.695,9.695,9.527,9.527,1771,0
ALTY.US,D,20150902,000000,9.559,9.559,9.512,9.512,599,0
ALTY.US,D,20150908,000000,9.695,9.695,9.681,9.686,599,0
ALTY.US,D,20150909,000000,9.725,9.725,9.703,9.703,287,0
ALTY.US,D,20150910,000000,9.656,9.656,9.656,9.656,402,0
ALTY.US,D,20150911,000000,9.608,9.608,9.608,9.608,737,0
ALTY.US,D,20150915,000000,9.649,9.649,9.649,9.649,158,0
ALTY.US,D,20150917,000000,9.851,9.851,9.851,9.851,599,0
ALTY.US,D,20150918,000000,9.753,9.784,9.753,9.753,1474,0
ALTY.US,D,20150923,000000,9.703,9.703,9.681,9.681,1921,0
ALTY.US,D,20150924,000000,9.649,9.649,9.643,9.643,1623,0
ALTY.US,D,20150929,000000,9.4512,9.4512,9.33,9.33,2362,0
ALTY.US,D,20150930,000000,9.4155,9.4155,9.4087,9.4087,1180,0
ALTY.US,D,20151002,000000,9.513,9.513,9.4853,9.4982,1314,0
ALTY.US,D,20151005,000000,9.665,9.665,9.66,9.66,286,0
ALTY.US,D,20151008,000000,9.902,9.902,9.902,9.902,286,0
ALTY.US,D,20151009,000000,9.921,9.921,9.921,9.921,1466,0
