<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMCA.US,D,20170811,000000,22.57,22.577,22.546,22.556,7080,0
AMCA.US,D,20170814,000000,22.763,22.763,22.763,22.763,122,0
AMCA.US,D,20170815,000000,22.707,22.707,22.696,22.696,655,0
AMCA.US,D,20170817,000000,22.543,22.543,22.46,22.46,2024,0
AMCA.US,D,20170818,000000,22.304,22.429,22.304,22.429,2636,0
AMCA.US,D,20170821,000000,22.389,22.441,22.352,22.441,3011,0
AMCA.US,D,20170823,000000,22.573,22.573,22.573,22.573,219,0
AMCA.US,D,20170825,000000,22.577,22.646,22.577,22.617,1106,0
AMCA.US,D,20170828,000000,22.527,22.527,22.527,22.527,876,0
AMCA.US,D,20170830,000000,22.607,22.607,22.607,22.607,161,0
AMCA.US,D,20170912,000000,22.694,22.694,22.694,22.694,546,0
AMCA.US,D,20170913,000000,22.763,22.763,22.763,22.763,2157,0
AMCA.US,D,20170914,000000,22.789,22.808,22.789,22.794,31069,0
AMCA.US,D,20170915,000000,22.799,22.799,22.799,22.799,1113,0
AMCA.US,D,20170918,000000,22.808,22.854,22.808,22.854,984,0
AMCA.US,D,20170922,000000,22.899,22.899,22.864,22.864,394,0
AMCA.US,D,20170927,000000,23.12,23.13,23.12,23.13,4361,0
AMCA.US,D,20170928,000000,23.138,23.138,23.138,23.138,111,0
AMCA.US,D,20171002,000000,23.275,23.294,23.275,23.275,873,0
AMCA.US,D,20171005,000000,23.394,23.498,23.394,23.498,4707,0
AMCA.US,D,20171006,000000,23.423,23.423,23.42,23.423,1154,0
AMCA.US,D,20171009,000000,23.423,23.423,23.423,23.423,600,0
AMCA.US,D,20171010,000000,23.442,23.442,23.385,23.385,1294,0
AMCA.US,D,20171011,000000,23.385,23.385,23.385,23.385,2183,0
AMCA.US,D,20171013,000000,23.295,23.295,23.175,23.252,2098,0
AMCA.US,D,20171016,000000,23.236,23.236,23.236,23.236,207,0
AMCA.US,D,20171017,000000,23.237,23.237,23.237,23.237,111,0
AMCA.US,D,20171018,000000,23.332,23.332,23.332,23.332,2183,0
AMCA.US,D,20171023,000000,23.614,23.614,23.535,23.535,1357,0
AMCA.US,D,20171024,000000,23.535,23.535,23.535,23.535,1984,0
AMCA.US,D,20171025,000000,23.341,23.341,23.341,23.341,1092,0
AMCA.US,D,20171027,000000,23.367,23.367,23.349,23.349,218,0
AMCA.US,D,20171031,000000,23.394,23.469,23.394,23.451,1510,0
AMCA.US,D,20171103,000000,23.543,23.543,23.543,23.543,1249,0
AMCA.US,D,20171108,000000,23.375,23.375,23.375,23.375,172,0
AMCA.US,D,20171113,000000,23.432,23.432,23.432,23.432,746,0
AMCA.US,D,20171115,000000,23.744,23.744,23.595,23.595,1352,0
AMCA.US,D,20171117,000000,23.551,23.551,23.551,23.551,111,0
AMCA.US,D,20171128,000000,23.698,23.698,23.671,23.689,6016,0
AMCA.US,D,20171129,000000,24,24,24,24,172,0
AMCA.US,D,20171130,000000,24.432,24.432,24.384,24.384,9446,0
AMCA.US,D,20171201,000000,24.451,24.451,24.209,24.209,700,0
AMCA.US,D,20171204,000000,24.77,24.87,24.77,24.852,37202,0
AMCA.US,D,20171205,000000,24.681,24.69,24.681,24.69,4110,0
AMCA.US,D,20171206,000000,24.494,24.532,24.494,24.532,8197,0
AMCA.US,D,20171207,000000,24.588,24.588,24.588,24.588,12306,0
AMCA.US,D,20171208,000000,24.751,24.751,24.751,24.751,219,0
