<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANGL.US,D,20120416,000000,16.025,16.025,15.996,16.01,16785,0
ANGL.US,D,20120417,000000,16.088,16.116,16.088,16.116,2417,0
ANGL.US,D,20120418,000000,16.116,17.844,16.1,16.1,27410,0
ANGL.US,D,20120419,000000,16.18,16.213,16.088,16.146,7473,0
ANGL.US,D,20120420,000000,16.129,16.18,16.104,16.122,4597,0
ANGL.US,D,20120423,000000,16.112,16.116,15.943,16.072,3588,0
ANGL.US,D,20120424,000000,16.116,16.116,16.072,16.1,2540,0
ANGL.US,D,20120425,000000,15.853,16.116,15.853,16.116,798,0
ANGL.US,D,20120426,000000,16.116,16.116,16.047,16.062,11375,0
ANGL.US,D,20120427,000000,16.104,16.116,16.035,16.062,103034,0
ANGL.US,D,20120430,000000,16.089,16.143,16.042,16.118,39629,0
ANGL.US,D,20120501,000000,15.915,16.1,15.915,16.047,192788,0
ANGL.US,D,20120502,000000,16.129,16.129,16.025,16.062,156472,0
ANGL.US,D,20120503,000000,16.122,16.122,16.054,16.066,117896,0
ANGL.US,D,20120504,000000,16.093,16.093,16.04,16.054,72101,0
ANGL.US,D,20120507,000000,16.04,16.054,16.025,16.035,20450,0
ANGL.US,D,20120508,000000,16.088,16.112,16.062,16.093,23797,0
ANGL.US,D,20120509,000000,16.093,16.116,16.047,16.047,19283,0
ANGL.US,D,20120510,000000,16.478,16.478,16.017,16.035,18300,0
ANGL.US,D,20120511,000000,16.035,16.054,16.003,16.025,55170,0
ANGL.US,D,20120514,000000,16.04,16.054,15.943,16.01,92384,0
ANGL.US,D,20120515,000000,16.04,16.04,15.978,15.996,92265,0
ANGL.US,D,20120516,000000,16.025,16.093,15.9,15.904,73873,0
ANGL.US,D,20120517,000000,15.8,15.958,15.8,15.833,2757,0
ANGL.US,D,20120518,000000,15.828,15.846,15.665,15.665,17356,0
ANGL.US,D,20120521,000000,15.704,15.751,15.704,15.711,46444,0
ANGL.US,D,20120522,000000,15.711,15.759,15.711,15.735,18223,0
ANGL.US,D,20120523,000000,15.808,15.828,15.645,15.665,26633,0
ANGL.US,D,20120524,000000,15.665,15.8,15.665,15.769,77047,0
ANGL.US,D,20120525,000000,15.769,15.808,15.769,15.783,4201,0
ANGL.US,D,20120529,000000,15.821,15.821,15.764,15.794,31393,0
ANGL.US,D,20120530,000000,15.821,15.828,15.704,15.704,49136,0
ANGL.US,D,20120531,000000,15.784,15.857,15.784,15.857,1263,0
ANGL.US,D,20120601,000000,15.769,15.869,15.728,15.869,18707,0
ANGL.US,D,20120604,000000,15.715,15.715,15.715,15.715,798,0
ANGL.US,D,20120605,000000,15.651,15.651,15.651,15.651,336,0
ANGL.US,D,20120606,000000,15.591,15.643,15.591,15.635,4127,0
ANGL.US,D,20120607,000000,15.859,15.859,15.651,15.651,2101,0
ANGL.US,D,20120608,000000,16.062,16.062,15.722,15.722,2611,0
ANGL.US,D,20120611,000000,16.04,16.04,15.704,15.704,3444,0
ANGL.US,D,20120612,000000,15.8,15.8,15.783,15.8,1430,0
ANGL.US,D,20120613,000000,15.794,15.869,15.711,15.869,12175,0
ANGL.US,D,20120614,000000,15.783,15.9,15.783,15.869,1744,0
ANGL.US,D,20120615,000000,15.814,15.814,15.773,15.814,1901,0
ANGL.US,D,20120618,000000,15.892,15.892,15.879,15.879,1258,0
ANGL.US,D,20120619,000000,15.9,15.9,15.9,15.9,1098,0
ANGL.US,D,20120620,000000,15.989,15.989,15.972,15.972,6846,0
ANGL.US,D,20120621,000000,16.054,16.054,16.054,16.054,1263,0
ANGL.US,D,20120622,000000,16.024,16.024,15.989,15.989,6029,0
ANGL.US,D,20120625,000000,16.054,16.054,16.031,16.031,2583,0
ANGL.US,D,20120626,000000,16.01,16.01,15.958,15.989,2353,0
ANGL.US,D,20120627,000000,15.989,16.003,15.989,15.989,20253,0
ANGL.US,D,20120628,000000,15.958,16.024,15.942,16.024,16597,0
ANGL.US,D,20120629,000000,16.057,16.057,16.057,16.057,1440,0
ANGL.US,D,20120702,000000,16.135,16.135,16.135,16.135,627,0
ANGL.US,D,20120705,000000,16.167,16.167,16.167,16.167,627,0
ANGL.US,D,20120706,000000,16.168,16.168,16.168,16.168,3731,0
ANGL.US,D,20120709,000000,16.16,16.16,16.16,16.16,4642,0
ANGL.US,D,20120710,000000,16.168,16.168,16.035,16.035,304,0
ANGL.US,D,20120711,000000,16.073,16.16,16.024,16.024,2315,0
ANGL.US,D,20120713,000000,16.135,16.159,16.135,16.159,968,0
ANGL.US,D,20120716,000000,16.112,16.233,16.112,16.214,7411,0
ANGL.US,D,20120717,000000,16.3,16.3,16.3,16.3,7746,0
ANGL.US,D,20120718,000000,16.339,16.339,16.136,16.266,132125,0
ANGL.US,D,20120719,000000,16.325,16.356,16.325,16.356,1771,0
ANGL.US,D,20120720,000000,16.469,16.469,16.383,16.422,7116,0
ANGL.US,D,20120723,000000,16.389,16.389,16.225,16.264,2212,0
ANGL.US,D,20120724,000000,16.17,16.17,16.17,16.17,487,0
ANGL.US,D,20120725,000000,16.135,16.389,16.104,16.389,64741,0
ANGL.US,D,20120726,000000,16.343,16.343,16.219,16.219,2837,0
ANGL.US,D,20120727,000000,16.331,16.331,16.232,16.232,1418,0
ANGL.US,D,20120730,000000,16.389,16.389,16.389,16.389,1112,0
ANGL.US,D,20120731,000000,16.33,16.33,16.33,16.33,1109,0
ANGL.US,D,20120801,000000,16.512,16.512,16.444,16.444,14572,0
ANGL.US,D,20120802,000000,16.814,16.814,16.571,16.571,17094,0
ANGL.US,D,20120803,000000,17.155,17.155,16.64,16.664,60004,0
ANGL.US,D,20120806,000000,16.646,16.646,16.591,16.64,2349,0
ANGL.US,D,20120807,000000,16.605,16.639,16.605,16.639,2047,0
ANGL.US,D,20120808,000000,16.69,16.69,16.633,16.633,1506,0
ANGL.US,D,20120809,000000,16.737,16.737,16.705,16.737,6889,0
ANGL.US,D,20120810,000000,16.795,16.795,16.789,16.789,1533,0
ANGL.US,D,20120813,000000,16.863,16.863,16.767,16.767,5112,0
ANGL.US,D,20120814,000000,16.795,16.795,16.795,16.795,337,0
ANGL.US,D,20120815,000000,16.832,16.832,16.574,16.6,17730,0
ANGL.US,D,20120816,000000,16.737,16.737,16.606,16.606,8624,0
ANGL.US,D,20120817,000000,16.639,16.639,16.639,16.639,191,0
ANGL.US,D,20120820,000000,16.705,16.705,16.705,16.705,1538,0
ANGL.US,D,20120821,000000,16.795,16.795,16.718,16.718,1412,0
ANGL.US,D,20120822,000000,16.795,16.795,16.795,16.795,4682,0
ANGL.US,D,20120823,000000,16.992,16.992,16.705,16.767,2907,0
ANGL.US,D,20120824,000000,16.997,16.997,16.947,16.947,1150,0
ANGL.US,D,20120827,000000,16.835,16.925,16.835,16.925,565,0
ANGL.US,D,20120828,000000,17.015,17.015,16.992,16.992,1416,0
ANGL.US,D,20120829,000000,17.141,17.141,16.841,16.862,2993,0
ANGL.US,D,20120830,000000,16.984,16.984,16.862,16.954,2383,0
