<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQWA.US,D,20210413,000000,15.252,15.271,15.182,15.257,3207,0
AQWA.US,D,20210414,000000,15.302,15.319,15.302,15.312,1380,0
AQWA.US,D,20210415,000000,15.77,15.77,15.371,15.416,2690,0
AQWA.US,D,20210416,000000,15.481,17.037,15.477,15.551,13694,0
AQWA.US,D,20210419,000000,15.641,15.641,15.523,15.534,39013,0
AQWA.US,D,20210420,000000,15.561,15.581,15.471,15.506,13760,0
AQWA.US,D,20210421,000000,15.551,15.63,15.511,15.616,13477,0
AQWA.US,D,20210422,000000,15.701,15.731,15.651,15.731,14386,0
AQWA.US,D,20210423,000000,15.671,15.75,15.671,15.686,9763,0
AQWA.US,D,20210426,000000,15.691,15.691,15.573,15.576,2190,0
AQWA.US,D,20210427,000000,15.611,15.611,15.401,15.452,9905,0
AQWA.US,D,20210428,000000,15.541,15.561,15.496,15.501,8993,0
AQWA.US,D,20210429,000000,15.471,15.571,15.471,15.537,2352,0
AQWA.US,D,20210430,000000,15.561,15.571,15.451,15.489,6085,0
AQWA.US,D,20210503,000000,15.611,15.651,15.566,15.593,6310,0
AQWA.US,D,20210504,000000,15.581,15.621,15.541,15.621,5952,0
AQWA.US,D,20210505,000000,15.661,15.661,15.561,15.611,2298,0
AQWA.US,D,20210506,000000,15.726,15.726,15.651,15.725,1750,0
AQWA.US,D,20210507,000000,15.77,15.879,15.77,15.85,2030,0
AQWA.US,D,20210510,000000,15.94,16.018,15.893,15.893,6619,0
AQWA.US,D,20210511,000000,15.81,15.81,15.661,15.71,15552,0
AQWA.US,D,20210512,000000,15.561,15.561,15.312,15.312,3748,0
AQWA.US,D,20210513,000000,15.481,15.651,15.481,15.631,4825,0
AQWA.US,D,20210514,000000,15.85,15.85,15.827,15.827,1742,0
AQWA.US,D,20210517,000000,15.78,15.78,15.672,15.672,5112,0
AQWA.US,D,20210518,000000,15.731,15.731,15.63,15.63,6576,0
AQWA.US,D,20210519,000000,15.531,15.531,15.431,15.501,4526,0
AQWA.US,D,20210520,000000,15.591,15.671,15.591,15.671,2229,0
AQWA.US,D,20210521,000000,15.711,15.731,15.691,15.726,1941,0
AQWA.US,D,20210524,000000,15.8,15.81,15.779,15.793,2198,0
AQWA.US,D,20210525,000000,15.83,15.83,15.78,15.795,1306,0
AQWA.US,D,20210526,000000,15.821,15.92,15.82,15.9,4001,0
AQWA.US,D,20210527,000000,15.96,15.98,15.945,15.945,1746,0
AQWA.US,D,20210528,000000,15.99,15.99,15.924,15.924,900,0
AQWA.US,D,20210601,000000,16.06,16.06,15.989,16,2337,0
AQWA.US,D,20210602,000000,16.06,16.06,15.97,15.98,1484,0
AQWA.US,D,20210603,000000,15.95,15.95,15.83,15.835,7733,0
AQWA.US,D,20210604,000000,15.935,15.96,15.921,15.945,1151,0
AQWA.US,D,20210607,000000,16.02,16.02,15.965,15.985,2514,0
AQWA.US,D,20210608,000000,16,16,15.87,15.962,2762,0
AQWA.US,D,20210609,000000,15.93,15.955,15.93,15.93,1130,0
AQWA.US,D,20210610,000000,15.9,15.97,15.9,15.915,1938,0
AQWA.US,D,20210611,000000,15.99,16.01,15.92,16.01,1643,0
