<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASET.US,D,20151125,000000,21.385,21.385,21.385,21.385,583,0
ASET.US,D,20151127,000000,21.36,21.369,21.36,21.369,2336,0
ASET.US,D,20151130,000000,21.431,21.431,21.431,21.431,583,0
ASET.US,D,20151201,000000,21.472,21.516,21.472,21.516,8181,0
ASET.US,D,20151202,000000,21.369,21.385,21.266,21.266,3356,0
ASET.US,D,20151203,000000,21.107,21.107,21.107,21.107,583,0
ASET.US,D,20151207,000000,21.012,21.028,21.012,21.028,1287,0
ASET.US,D,20151208,000000,20.84,20.84,20.84,20.84,897,0
ASET.US,D,20151210,000000,20.822,20.822,20.77,20.822,7363,0
ASET.US,D,20151215,000000,20.669,20.729,20.661,20.702,5727,0
ASET.US,D,20151216,000000,20.712,20.927,20.712,20.927,24778,0
ASET.US,D,20151217,000000,20.908,20.908,20.831,20.831,818,0
ASET.US,D,20151221,000000,20.692,20.692,20.692,20.692,583,0
ASET.US,D,20151222,000000,20.788,20.822,20.746,20.822,9467,0
ASET.US,D,20151223,000000,21.028,21.133,21.028,21.133,8413,0
ASET.US,D,20151224,000000,21.148,21.148,21.148,21.148,4443,0
ASET.US,D,20151229,000000,21.296,21.296,21.251,21.251,5181,0
ASET.US,D,20151230,000000,21.223,21.223,21.172,21.172,577,0
ASET.US,D,20151231,000000,21.039,21.067,21.039,21.067,346,0
ASET.US,D,20160104,000000,20.726,20.726,20.679,20.688,346,0
ASET.US,D,20160105,000000,20.809,20.887,20.757,20.887,577,0
ASET.US,D,20160106,000000,20.648,20.648,20.629,20.629,346,0
ASET.US,D,20160107,000000,20.332,20.332,20.315,20.315,1502,0
ASET.US,D,20160108,000000,20.179,20.179,20.179,20.179,114,0
ASET.US,D,20160111,000000,20.222,20.222,20.005,20.098,5781,0
ASET.US,D,20160112,000000,20.222,20.222,19.943,20.068,1271,0
ASET.US,D,20160113,000000,20.196,20.196,19.929,19.929,1850,0
ASET.US,D,20160114,000000,19.97,20.068,19.97,20.068,695,0
ASET.US,D,20160115,000000,19.651,19.651,19.651,19.651,114,0
ASET.US,D,20160119,000000,19.739,19.739,19.566,19.641,5204,0
ASET.US,D,20160120,000000,19.398,19.398,18.986,19.39,5780,0
ASET.US,D,20160121,000000,19.504,19.504,19.39,19.39,4279,0
ASET.US,D,20160122,000000,19.806,19.868,19.806,19.868,233,0
ASET.US,D,20160126,000000,19.979,20.015,19.979,20.015,1041,0
ASET.US,D,20160127,000000,19.323,20.509,19.323,20.509,233,0
ASET.US,D,20160129,000000,20.465,20.473,20.465,20.465,2892,0
ASET.US,D,20160201,000000,20.433,20.566,20.429,20.541,20855,0
ASET.US,D,20160217,000000,20.385,20.395,20.385,20.395,2213,0
ASET.US,D,20160222,000000,20.878,20.878,20.844,20.844,1341,0
ASET.US,D,20160223,000000,20.62,20.62,20.62,20.62,134,0
ASET.US,D,20160229,000000,20.696,20.861,20.696,20.861,346,0
ASET.US,D,20160301,000000,20.844,20.844,20.844,20.844,233,0
ASET.US,D,20160302,000000,20.941,20.941,20.941,20.941,233,0
ASET.US,D,20160303,000000,21.153,21.153,21.153,21.153,233,0
ASET.US,D,20160308,000000,21.304,21.935,21.226,21.287,1990,0
ASET.US,D,20160314,000000,21.72,21.72,21.72,21.72,233,0
ASET.US,D,20160318,000000,22.234,22.234,22.227,22.227,383,0
ASET.US,D,20160321,000000,22.125,22.125,22.107,22.107,233,0
ASET.US,D,20160322,000000,21.977,21.977,21.977,21.977,114,0
ASET.US,D,20160323,000000,21.794,21.794,21.794,21.794,464,0
ASET.US,D,20160328,000000,21.916,21.916,21.916,21.916,124,0
ASET.US,D,20160330,000000,22.334,22.334,22.334,22.334,1462,0
ASET.US,D,20160401,000000,21.995,21.995,21.969,21.969,462,0
ASET.US,D,20160404,000000,22.115,22.115,22.115,22.115,697,0
ASET.US,D,20160411,000000,22.308,22.308,22.308,22.308,344,0
ASET.US,D,20160419,000000,22.811,22.811,22.811,22.811,346,0
ASET.US,D,20160420,000000,22.812,22.812,22.812,22.812,697,0
ASET.US,D,20160421,000000,22.569,22.569,22.422,22.422,574,0
ASET.US,D,20160422,000000,22.541,22.541,22.541,22.541,133,0
ASET.US,D,20160503,000000,22.523,22.523,22.523,22.523,232,0
ASET.US,D,20160510,000000,22.804,22.804,22.804,22.804,232,0
ASET.US,D,20160512,000000,22.647,22.647,22.647,22.647,232,0
ASET.US,D,20160527,000000,22.584,22.584,22.584,22.584,288,0
ASET.US,D,20160531,000000,22.518,22.518,22.518,22.518,114,0
ASET.US,D,20160602,000000,22.53,22.543,22.53,22.543,522,0
ASET.US,D,20160609,000000,23.079,23.079,23.079,23.079,441,0
ASET.US,D,20160613,000000,22.619,22.619,22.619,22.619,114,0
ASET.US,D,20160614,000000,22.455,22.455,22.455,22.455,114,0
ASET.US,D,20160615,000000,22.602,22.611,22.602,22.61,1728,0
ASET.US,D,20160616,000000,22.395,22.438,22.395,22.413,616,0
ASET.US,D,20160617,000000,22.585,22.615,22.551,22.551,440,0
ASET.US,D,20160620,000000,22.959,22.959,22.959,22.959,114,0
ASET.US,D,20160622,000000,23.124,23.143,23.028,23.028,462,0
ASET.US,D,20160624,000000,22.429,22.429,22.429,22.429,114,0
ASET.US,D,20160627,000000,22.151,22.151,22.151,22.151,113,0
ASET.US,D,20160701,000000,23.464,23.464,23.464,23.464,113,0
ASET.US,D,20160705,000000,23.272,23.296,23.272,23.296,229,0
ASET.US,D,20160715,000000,23.831,23.831,23.831,23.831,113,0
ASET.US,D,20160719,000000,23.691,23.691,23.691,23.691,113,0
ASET.US,D,20160720,000000,23.841,23.85,23.826,23.849,2538,0
ASET.US,D,20160721,000000,23.751,23.751,23.751,23.751,229,0
ASET.US,D,20160727,000000,23.831,23.831,23.661,23.795,1756,0
ASET.US,D,20160728,000000,23.822,23.822,23.822,23.822,113,0
ASET.US,D,20160811,000000,23.857,23.869,23.857,23.858,341,0
ASET.US,D,20160812,000000,23.907,23.907,23.907,23.907,113,0
ASET.US,D,20160817,000000,23.637,23.646,23.637,23.646,229,0
ASET.US,D,20160818,000000,23.735,23.751,23.735,23.751,229,0
ASET.US,D,20160824,000000,23.637,23.637,23.637,23.637,550,0
ASET.US,D,20160829,000000,23.524,23.524,23.524,23.524,113,0
ASET.US,D,20160901,000000,23.349,23.349,23.349,23.349,457,0
ASET.US,D,20160908,000000,23.831,23.831,23.831,23.831,113,0
ASET.US,D,20160909,000000,23.569,23.569,23.569,23.569,113,0
ASET.US,D,20160912,000000,22.973,23.367,22.973,23.367,229,0
ASET.US,D,20160913,000000,23.084,23.084,23.084,23.084,113,0
ASET.US,D,20160915,000000,22.867,22.939,22.867,22.939,229,0
ASET.US,D,20160916,000000,22.876,22.876,22.876,22.876,229,0
ASET.US,D,20160922,000000,23.673,23.682,23.673,23.682,457,0
ASET.US,D,20160923,000000,23.655,23.664,23.637,23.664,2674,0
ASET.US,D,20160926,000000,23.555,23.555,23.555,23.555,112,0
