<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBH.US,D,20050225,000000,19.918,20.323,19.909,20.245,2043356,0
BBH.US,D,20050228,000000,19.147,19.167,18.722,18.935,8409741,0
BBH.US,D,20050301,000000,18.935,19.123,18.901,19.123,2374067,0
BBH.US,D,20050302,000000,18.983,19.453,18.983,19.099,5740275,0
BBH.US,D,20050303,000000,19.173,19.263,18.852,18.938,3899625,0
BBH.US,D,20050304,000000,18.986,18.989,18.743,18.749,3723066,0
BBH.US,D,20050307,000000,18.785,19.028,18.717,18.74,2067124,0
BBH.US,D,20050308,000000,18.826,18.876,18.736,18.812,2016533,0
BBH.US,D,20050309,000000,18.725,18.785,18.565,18.63,3157391,0
BBH.US,D,20050310,000000,18.687,18.727,18.374,18.452,3985530,0
BBH.US,D,20050311,000000,18.449,18.537,18.164,18.195,2572015,0
BBH.US,D,20050314,000000,18.253,19.897,18.23,19.788,9649063,0
BBH.US,D,20050315,000000,20.1,20.233,19.352,19.352,8951313,0
BBH.US,D,20050316,000000,19.274,19.623,19.2,19.322,5862846,0
BBH.US,D,20050317,000000,19.316,19.337,19.07,19.269,2740095,0
BBH.US,D,20050318,000000,19.234,19.31,19.105,19.254,2420922,0
BBH.US,D,20050321,000000,19.963,19.963,19.658,19.803,2855875,0
BBH.US,D,20050322,000000,19.777,19.868,19.691,19.691,1612479,0
BBH.US,D,20050323,000000,19.697,19.971,19.658,19.927,2094967,0
BBH.US,D,20050324,000000,19.921,20.124,19.85,20.045,1442705,0
BBH.US,D,20050328,000000,20.059,20.115,19.712,19.753,1574450,0
BBH.US,D,20050329,000000,19.709,19.897,19.511,19.603,2960791,0
BBH.US,D,20050330,000000,19.609,19.838,19.609,19.748,3269782,0
BBH.US,D,20050331,000000,19.573,19.661,19.409,19.517,2001588,0
BBH.US,D,20050401,000000,19.573,19.667,19.222,19.325,2076287,0
BBH.US,D,20050404,000000,19.295,19.382,19.034,19.316,2076287,0
BBH.US,D,20050405,000000,19.409,19.6,19.28,19.558,2378820,0
BBH.US,D,20050406,000000,19.794,20.082,19.753,19.882,2321437,0
BBH.US,D,20050407,000000,19.933,20.266,19.832,20.212,2466423,0
BBH.US,D,20050408,000000,20.239,20.296,19.921,20.024,2171363,0
BBH.US,D,20050411,000000,19.977,20.121,19.829,19.885,1640996,0
BBH.US,D,20050412,000000,19.753,20.242,19.685,20.148,3143469,0
BBH.US,D,20050413,000000,20.03,20.352,20.024,20.203,2491545,0
BBH.US,D,20050414,000000,20.224,20.29,20.054,20.136,2986262,0
BBH.US,D,20050415,000000,20.878,21.611,20.878,21.334,8598528,0
BBH.US,D,20050418,000000,21.223,21.255,20.959,21.223,2767258,0
BBH.US,D,20050419,000000,21.211,21.432,21.196,21.319,3965157,0
BBH.US,D,20050420,000000,21.343,21.54,21.272,21.444,4365812,0
BBH.US,D,20050421,000000,21.488,21.65,21.355,21.626,2462350,0
BBH.US,D,20050422,000000,21.432,21.718,21.349,21.509,2502072,0
BBH.US,D,20050425,000000,21.423,21.423,21.152,21.37,1879697,0
BBH.US,D,20050426,000000,21.938,22.11,21.349,21.647,4904324,0
BBH.US,D,20050427,000000,21.694,21.709,21.447,21.611,2395801,0
BBH.US,D,20050428,000000,21.626,21.626,21.184,21.243,3753620,0
BBH.US,D,20050429,000000,21.266,21.534,20.932,21.423,3635121,0
BBH.US,D,20050502,000000,21.563,21.611,21.471,21.552,1510619,0
BBH.US,D,20050503,000000,21.506,22.045,21.506,21.929,2017206,0
BBH.US,D,20050504,000000,22.057,22.271,22.016,22.265,1942851,0
BBH.US,D,20050505,000000,22.229,22.307,22.04,22.176,1776139,0
BBH.US,D,20050506,000000,22.298,22.298,22.007,22.145,1554079,0
BBH.US,D,20050509,000000,22.283,22.393,22.104,22.355,2158459,0
BBH.US,D,20050510,000000,22.319,22.769,22.241,22.548,2352001,0
BBH.US,D,20050511,000000,22.527,22.634,22.31,22.634,2326533,0
BBH.US,D,20050512,000000,22.654,22.775,22.322,22.458,3750566,0
BBH.US,D,20050513,000000,22.425,22.458,22.042,22.416,4104029,0
BBH.US,D,20050516,000000,22.247,22.598,22.048,22.575,2640265,0
BBH.US,D,20050517,000000,22.495,22.607,22.253,22.587,2514976,0
BBH.US,D,20050518,000000,22.652,22.772,22.515,22.616,2510900,0
BBH.US,D,20050519,000000,22.598,22.81,22.53,22.795,2495621,0
BBH.US,D,20050520,000000,22.767,22.886,22.67,22.874,2818868,0
BBH.US,D,20050523,000000,22.833,23.12,22.74,23.031,2693580,0
BBH.US,D,20050524,000000,23.343,23.411,23.105,23.187,2755037,0
BBH.US,D,20050525,000000,23.163,23.163,22.928,23.025,1888525,0
BBH.US,D,20050526,000000,23.178,23.387,23.099,23.343,1102826,0
BBH.US,D,20050527,000000,23.272,23.494,23.219,23.468,967693,0
BBH.US,D,20050531,000000,23.503,23.52,23.32,23.396,1617232,0
BBH.US,D,20050601,000000,23.459,23.897,23.441,23.765,2476611,0
BBH.US,D,20050602,000000,23.747,23.894,23.691,23.888,1603312,0
BBH.US,D,20050603,000000,23.912,23.912,23.378,23.387,3096273,0
BBH.US,D,20050606,000000,23.42,23.488,23.09,23.222,1885471,0
BBH.US,D,20050607,000000,23.302,23.408,22.977,23.025,2205998,0
BBH.US,D,20050608,000000,23.081,23.096,22.783,22.801,2356073,0
BBH.US,D,20050609,000000,23.01,23.378,22.971,23.234,1911273,0
BBH.US,D,20050610,000000,23.311,23.34,23.135,23.237,681455,0
BBH.US,D,20050613,000000,23.293,23.323,23.102,23.19,623394,0
BBH.US,D,20050614,000000,23.193,23.249,22.968,23.205,1461383,0
BBH.US,D,20050615,000000,23.249,23.249,22.968,23.099,2329248,0
BBH.US,D,20050616,000000,23.129,23.512,23.129,23.429,1201294,0
BBH.US,D,20050617,000000,23.656,23.78,23.509,23.702,1554079,0
BBH.US,D,20050620,000000,23.697,23.965,23.671,23.818,1229474,0
BBH.US,D,20050621,000000,23.829,23.894,23.453,23.497,1601277,0
BBH.US,D,20050622,000000,23.456,23.578,23.266,23.302,1485828,0
BBH.US,D,20050623,000000,23.278,23.48,22.989,23.04,2117378,0
BBH.US,D,20050624,000000,23.111,23.32,23.061,23.193,1341185,0
BBH.US,D,20050627,000000,23.219,23.275,23.058,23.087,918799,0
BBH.US,D,20050628,000000,23.149,23.593,23.129,23.566,1568678,0
BBH.US,D,20050629,000000,23.532,23.532,23.281,23.29,1181599,0
BBH.US,D,20050630,000000,23.196,23.332,23.154,23.193,598272,0
BBH.US,D,20050701,000000,23.184,23.343,23.163,23.329,671952,0
BBH.US,D,20050705,000000,23.231,23.599,23.231,23.584,947998,0
BBH.US,D,20050706,000000,23.587,23.841,23.546,23.572,1108942,0
BBH.US,D,20050707,000000,23.608,24.192,23.599,24.165,2287825,0
BBH.US,D,20050708,000000,24.165,24.686,24.092,24.608,2409041,0
BBH.US,D,20050711,000000,24.584,24.772,24.522,24.59,2699691,0
BBH.US,D,20050712,000000,24.653,24.928,24.578,24.883,2492232,0
BBH.US,D,20050713,000000,24.952,25.108,24.863,24.961,1273618,0
BBH.US,D,20050714,000000,25.198,25.704,25.123,25.704,3557368,0
BBH.US,D,20050715,000000,25.617,25.935,25.464,25.777,2602238,0
BBH.US,D,20050718,000000,25.695,25.774,25.523,25.632,2362182,0
BBH.US,D,20050719,000000,25.632,25.897,25.538,25.566,2541800,0
BBH.US,D,20050720,000000,26.313,26.946,26.227,26.812,4755608,0
BBH.US,D,20050721,000000,26.754,26.856,26.278,26.67,2526522,0
BBH.US,D,20050722,000000,26.503,26.536,25.989,26.304,1936400,0
BBH.US,D,20050725,000000,26.2,26.337,25.882,25.962,2344870,0
BBH.US,D,20050726,000000,25.995,26.557,25.995,26.459,2119756,0
BBH.US,D,20050727,000000,26.47,26.696,26.34,26.652,1953720,0
BBH.US,D,20050728,000000,26.617,26.841,26.595,26.721,829497,0
BBH.US,D,20050729,000000,26.713,26.795,26.533,26.584,926270,0
BBH.US,D,20050801,000000,26.224,27.21,26.224,27.087,1635569,0
BBH.US,D,20050802,000000,27.146,27.243,26.958,27.116,1530307,0
BBH.US,D,20050803,000000,27.03,27.298,27.004,27.298,1404677,0
BBH.US,D,20050804,000000,27.101,27.11,26.768,26.934,1485148,0
BBH.US,D,20050805,000000,26.928,26.952,26.476,26.506,1785643,0
BBH.US,D,20050808,000000,26.575,26.67,25.953,26.043,2766919,0
BBH.US,D,20050809,000000,26.079,26.295,26.079,26.224,847152,0
BBH.US,D,20050810,000000,26.307,26.319,25.944,26.07,1566301,0
BBH.US,D,20050811,000000,26.149,26.575,26.14,26.533,1845404,0
BBH.US,D,20050812,000000,26.518,26.518,26.269,26.417,1054957,0
BBH.US,D,20050815,000000,26.47,26.724,26.396,26.608,846812,0
BBH.US,D,20050816,000000,26.623,26.727,26.286,26.298,2769633,0
BBH.US,D,20050817,000000,26.298,26.414,26.129,26.185,1117088,0
BBH.US,D,20050818,000000,26.064,26.408,25.962,26.173,1847103,0
BBH.US,D,20050819,000000,26.194,26.382,26.194,26.346,986024,0
BBH.US,D,20050822,000000,26.373,26.512,26.239,26.382,1938437,0
BBH.US,D,20050823,000000,26.402,26.491,26.176,26.346,1095017,0
BBH.US,D,20050824,000000,26.319,26.506,26.132,26.194,1630473,0
BBH.US,D,20050825,000000,26.2,26.405,26.179,26.272,1639299,0
BBH.US,D,20050826,000000,26.248,26.313,26.031,26.275,2041318,0
BBH.US,D,20050829,000000,26.167,26.721,26.04,26.673,1976802,0
BBH.US,D,20050830,000000,26.632,26.692,26.428,26.587,1684123,0
BBH.US,D,20050831,000000,26.62,27.213,26.617,27.169,3355679,0
BBH.US,D,20050901,000000,27.307,27.627,27.243,27.518,1960170,0
BBH.US,D,20050902,000000,27.521,27.546,27.19,27.255,1416901,0
BBH.US,D,20050906,000000,27.252,27.775,27.252,27.726,1563246,0
BBH.US,D,20050907,000000,27.597,27.597,27.273,27.414,1885808,0
BBH.US,D,20050908,000000,27.402,27.76,27.219,27.334,1840995,0
BBH.US,D,20050909,000000,27.431,27.793,27.411,27.726,1891582,0
BBH.US,D,20050912,000000,27.808,27.89,27.561,27.567,1640320,0
BBH.US,D,20050913,000000,27.552,27.666,27.343,27.42,1950661,0
BBH.US,D,20050914,000000,27.449,27.594,27.03,27.128,2158799,0
BBH.US,D,20050915,000000,27.449,27.518,27.24,27.399,1019301,0
BBH.US,D,20050916,000000,27.34,27.546,27.292,27.509,820670,0
BBH.US,D,20050919,000000,27.578,27.592,27.184,27.373,1692611,0
BBH.US,D,20050920,000000,27.42,27.744,27.288,27.44,1607046,0
BBH.US,D,20050921,000000,27.512,27.512,27.033,27.042,1464777,0
BBH.US,D,20050922,000000,26.964,27.219,26.739,26.967,2354716,0
BBH.US,D,20050923,000000,26.818,26.91,26.414,26.673,3218844,0
BBH.US,D,20050926,000000,26.617,26.892,26.037,26.236,4790916,0
BBH.US,D,20050927,000000,26.248,26.358,25.647,25.647,3174023,0
BBH.US,D,20050928,000000,25.785,26.283,25.785,26.149,2238593,0
BBH.US,D,20050929,000000,26.182,26.34,26.089,26.319,1662733,0
BBH.US,D,20050930,000000,26.313,26.485,26.215,26.439,1801941,0
BBH.US,D,20051003,000000,26.482,26.801,26.482,26.742,2705463,0
BBH.US,D,20051004,000000,26.824,27.21,26.647,26.673,2448428,0
BBH.US,D,20051005,000000,26.625,26.777,25.841,25.87,3820170,0
BBH.US,D,20051006,000000,26.004,26.004,25.024,25.35,4996337,0
BBH.US,D,20051007,000000,25.487,25.608,25.131,25.517,4386867,0
BBH.US,D,20051010,000000,25.638,25.716,25.378,25.549,1951340,0
BBH.US,D,20051011,000000,26.325,26.325,25.671,25.765,3778404,0
BBH.US,D,20051012,000000,25.79,25.799,25.081,25.181,4800426,0
BBH.US,D,20051013,000000,25.063,25.692,25.063,25.546,3384885,0
BBH.US,D,20051014,000000,25.771,25.906,25.575,25.835,1410788,0
BBH.US,D,20051017,000000,25.826,25.882,25.523,25.771,2689845,0
BBH.US,D,20051018,000000,25.756,26.013,25.756,25.844,1208769,0
BBH.US,D,20051019,000000,25.523,26.085,25.482,26.076,2462687,0
BBH.US,D,20051020,000000,25.938,25.989,25.59,25.659,2845350,0
BBH.US,D,20051021,000000,25.71,25.855,25.56,25.626,1779874,0
BBH.US,D,20051024,000000,25.659,26.206,25.632,26.2,2114660,0
BBH.US,D,20051025,000000,26.283,26.566,26.248,26.521,1674274,0
BBH.US,D,20051026,000000,26.367,26.809,26.367,26.536,1512318,0
BBH.US,D,20051027,000000,26.028,26.536,25.935,25.935,3296938,0
BBH.US,D,20051028,000000,26.022,26.34,25.953,26.298,1315043,0
BBH.US,D,20051031,000000,26.542,26.928,26.482,26.798,2007024,0
BBH.US,D,20051101,000000,26.652,27.027,26.527,26.827,2293939,0
BBH.US,D,20051102,000000,26.859,27.285,26.859,26.979,2256586,0
BBH.US,D,20051103,000000,27.352,27.726,27.301,27.586,2075950,0
BBH.US,D,20051104,000000,27.618,27.981,27.586,27.865,1467833,0
BBH.US,D,20051107,000000,27.89,27.942,27.594,27.738,1425388,0
BBH.US,D,20051108,000000,27.534,28.1,27.534,27.966,1947604,0
BBH.US,D,20051109,000000,28.002,28.138,27.85,28.023,1240000,0
BBH.US,D,20051110,000000,28.023,28.483,27.808,28.459,1384647,0
BBH.US,D,20051111,000000,28.499,28.535,28.362,28.499,605399,0
BBH.US,D,20051114,000000,28.314,28.68,28.314,28.639,2946870,0
BBH.US,D,20051115,000000,28.656,28.797,28.35,28.45,1730981,0
BBH.US,D,20051116,000000,28.626,28.685,28.424,28.682,1497716,0
BBH.US,D,20051117,000000,28.682,29.102,28.556,29.102,1952358,0
BBH.US,D,20051118,000000,29.111,29.378,28.954,29.079,1585996,0
BBH.US,D,20051121,000000,29.132,29.409,28.945,29.409,1345937,0
BBH.US,D,20051122,000000,29.384,29.42,29.159,29.308,1231172,0
BBH.US,D,20051123,000000,29.204,29.251,29.001,29.198,1677328,0
BBH.US,D,20051125,000000,29.162,29.162,28.867,28.98,530702,0
BBH.US,D,20051128,000000,28.945,28.945,28.38,28.462,2572700,0
BBH.US,D,20051129,000000,28.639,28.639,28.311,28.329,1547964,0
BBH.US,D,20051130,000000,28.329,28.508,28.223,28.35,1458664,0
BBH.US,D,20051201,000000,28.398,28.971,28.359,28.817,1904822,0
BBH.US,D,20051202,000000,28.629,28.891,28.421,28.859,1081777,0
BBH.US,D,20051205,000000,28.7,29.016,28.567,28.992,1195859,0
BBH.US,D,20051206,000000,29.053,29.076,28.489,28.505,2689845,0
BBH.US,D,20051207,000000,28.626,28.694,28.094,28.359,2551646,0
BBH.US,D,20051208,000000,28.362,28.68,28.085,28.623,1258337,0
BBH.US,D,20051209,000000,28.632,28.632,28.156,28.188,1188395,0
BBH.US,D,20051212,000000,28.341,28.374,27.916,28.141,1601956,0
BBH.US,D,20051213,000000,28.002,28.35,28.002,28.32,1591428,0
BBH.US,D,20051214,000000,28.356,28.365,27.879,27.901,1786320,0
BBH.US,D,20051215,000000,28.279,28.279,27.89,28.179,1355445,0
BBH.US,D,20051216,000000,28.106,28.141,27.738,27.76,2376781,0
BBH.US,D,20051219,000000,27.726,27.778,27.19,27.237,2745870,0
BBH.US,D,20051220,000000,27.425,27.69,27.169,27.618,2300048,0
BBH.US,D,20051221,000000,27.618,28.197,27.603,28.121,2820230,0
BBH.US,D,20051222,000000,28.141,28.477,28.127,28.468,1457987,0
BBH.US,D,20051223,000000,28.508,28.508,28.197,28.389,958866,0
BBH.US,D,20051227,000000,28.73,28.73,28.047,28.124,1317755,0
BBH.US,D,20051228,000000,28.115,28.273,27.984,28.038,827461,0
BBH.US,D,20051229,000000,28.115,28.173,27.747,27.808,1307910,0
BBH.US,D,20051230,000000,27.781,27.882,27.552,27.832,1416227,0
BBH.US,D,20060103,000000,27.879,28.483,27.509,28.347,3293546,0
BBH.US,D,20060104,000000,28.276,28.597,28.185,28.489,2675583,0
BBH.US,D,20060105,000000,28.418,28.508,28.314,28.371,1253245,0
BBH.US,D,20060106,000000,28.436,28.52,27.945,27.966,2412435,0
BBH.US,D,20060109,000000,28.153,28.439,28.097,28.374,2220940,0
BBH.US,D,20060110,000000,28.294,28.326,28.05,28.326,1889204,0
BBH.US,D,20060111,000000,27.618,28.056,27.586,27.772,3762108,0
BBH.US,D,20060112,000000,27.723,27.723,27.187,27.352,2817510,0
BBH.US,D,20060113,000000,27.31,27.597,27.261,27.586,1180925,0
BBH.US,D,20060117,000000,27.597,27.887,27.455,27.884,1583958,0
BBH.US,D,20060118,000000,27.738,27.904,27.654,27.835,1530651,0
BBH.US,D,20060119,000000,27.835,27.887,27.543,27.826,1913310,0
BBH.US,D,20060120,000000,27.865,27.934,27.066,27.14,3838168,0
BBH.US,D,20060123,000000,27.084,27.084,26.355,26.754,3222916,0
BBH.US,D,20060124,000000,26.874,27.045,26.724,26.973,1362575,0
BBH.US,D,20060125,000000,27.143,27.21,26.934,26.979,1511636,0
BBH.US,D,20060126,000000,27.01,27.054,26.69,26.83,1500091,0
BBH.US,D,20060127,000000,26.795,27.013,26.699,26.999,973124,0
BBH.US,D,20060130,000000,27.045,27.137,26.768,26.771,1226763,0
BBH.US,D,20060131,000000,26.824,27.134,26.724,26.964,750382,0
BBH.US,D,20060201,000000,27.57,27.606,27.273,27.452,2186303,0
BBH.US,D,20060202,000000,27.449,27.449,27.098,27.24,1041034,0
BBH.US,D,20060203,000000,27.205,27.367,27.098,27.295,788076,0
BBH.US,D,20060206,000000,27.417,27.417,27.128,27.184,509990,0
BBH.US,D,20060207,000000,27.417,27.417,26.862,26.883,1704496,0
BBH.US,D,20060208,000000,26.847,26.847,26.437,26.512,1496700,0
BBH.US,D,20060209,000000,26.56,26.681,26.194,26.257,3132258,0
BBH.US,D,20060210,000000,26.2,26.497,25.938,26.437,2721078,0
BBH.US,D,20060213,000000,26.319,26.319,25.885,26.064,1986315,0
BBH.US,D,20060214,000000,26.064,26.654,26.064,26.506,2724817,0
BBH.US,D,20060215,000000,26.506,26.745,26.437,26.699,827797,0
BBH.US,D,20060216,000000,26.809,27.128,26.742,27.098,967013,0
BBH.US,D,20060217,000000,27.101,27.146,27.027,27.143,516779,0
BBH.US,D,20060221,000000,27.169,27.19,26.847,26.877,1837937,0
BBH.US,D,20060222,000000,26.892,27.205,26.88,27.146,1846083,0
BBH.US,D,20060223,000000,27.081,27.178,26.964,27.075,428159,0
BBH.US,D,20060224,000000,27.075,27.485,26.999,27.385,644788,0
BBH.US,D,20060227,000000,27.331,27.919,27.331,27.752,1600593,0
BBH.US,D,20060228,000000,27.618,27.642,27.166,27.358,1468851,0
BBH.US,D,20060301,000000,27.449,27.479,27.01,27.337,1285499,0
BBH.US,D,20060302,000000,27.166,27.361,27.03,27.361,1747278,0
BBH.US,D,20060303,000000,27.184,27.316,26.999,26.999,1347636,0
