<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFIT.US,D,20160921,000000,15.426,15.426,15.426,15.426,517,0
BFIT.US,D,20160926,000000,15.406,15.406,15.262,15.262,670,0
BFIT.US,D,20160927,000000,15.484,15.484,15.484,15.484,113,0
BFIT.US,D,20161003,000000,15.338,15.338,15.338,15.338,172,0
BFIT.US,D,20161013,000000,14.81,14.81,14.81,14.81,155,0
BFIT.US,D,20161017,000000,14.845,14.845,14.845,14.845,516,0
BFIT.US,D,20161026,000000,14.695,14.695,14.695,14.695,103,0
BFIT.US,D,20161101,000000,14.689,14.689,14.507,14.507,416,0
BFIT.US,D,20161109,000000,14.116,14.116,14.116,14.116,696,0
BFIT.US,D,20161209,000000,14.615,14.615,14.615,14.615,200,0
BFIT.US,D,20161219,000000,14.367,14.367,14.367,14.367,1030,0
BFIT.US,D,20161227,000000,14.193,14.193,14.193,14.193,1083,0
BFIT.US,D,20161229,000000,14.127,14.127,14.127,14.127,218,0
BFIT.US,D,20161230,000000,14.177,14.177,14.177,14.177,170,0
BFIT.US,D,20170109,000000,14.432,14.432,14.432,14.432,126,0
BFIT.US,D,20170117,000000,14.579,14.655,14.579,14.655,204,0
BFIT.US,D,20170120,000000,14.627,14.627,14.627,14.627,174,0
BFIT.US,D,20170123,000000,14.56,14.56,14.481,14.521,2341,0
BFIT.US,D,20170125,000000,14.642,14.642,14.642,14.642,204,0
BFIT.US,D,20170127,000000,14.521,14.521,14.521,14.521,172,0
BFIT.US,D,20170130,000000,14.46,14.46,14.46,14.46,139,0
BFIT.US,D,20170206,000000,14.462,14.462,14.462,14.462,274,0
BFIT.US,D,20170214,000000,14.452,14.452,14.452,14.452,140,0
BFIT.US,D,20170215,000000,14.511,14.511,14.511,14.511,259,0
BFIT.US,D,20170221,000000,14.511,14.517,14.511,14.517,204,0
BFIT.US,D,20170314,000000,14.519,14.519,14.519,14.519,488,0
BFIT.US,D,20170321,000000,14.736,14.736,14.714,14.714,674,0
BFIT.US,D,20170327,000000,14.785,14.785,14.785,14.785,204,0
BFIT.US,D,20170330,000000,14.844,14.844,14.844,14.844,155,0
BFIT.US,D,20170420,000000,15.144,15.144,15.144,15.144,628,0
BFIT.US,D,20170426,000000,15.253,15.253,15.21,15.21,350,0
BFIT.US,D,20170503,000000,15.124,15.124,15.116,15.116,2126,0
BFIT.US,D,20170504,000000,15.16,15.16,15.16,15.16,304,0
BFIT.US,D,20170505,000000,15.327,15.327,15.327,15.327,445,0
BFIT.US,D,20170508,000000,15.32,15.32,15.253,15.253,458,0
BFIT.US,D,20170509,000000,15.388,15.388,15.388,15.388,375,0
BFIT.US,D,20170510,000000,15.398,15.398,15.398,15.398,279,0
BFIT.US,D,20170512,000000,15.263,15.263,15.24,15.263,606,0
BFIT.US,D,20170515,000000,15.329,15.339,15.267,15.283,2810,0
BFIT.US,D,20170518,000000,15.047,15.047,15.047,15.047,429,0
BFIT.US,D,20170519,000000,15.096,15.096,15.057,15.057,412,0
BFIT.US,D,20170526,000000,15.16,15.16,15.16,15.16,140,0
BFIT.US,D,20170530,000000,15.193,15.193,15.193,15.193,107,0
BFIT.US,D,20170531,000000,15.18,15.18,15.18,15.18,513,0
BFIT.US,D,20170605,000000,15.425,15.425,15.425,15.425,188,0
BFIT.US,D,20170607,000000,15.339,15.349,15.318,15.349,1247,0
BFIT.US,D,20170612,000000,15.457,15.457,15.457,15.457,584,0
BFIT.US,D,20170613,000000,15.515,15.515,15.515,15.515,1020,0
BFIT.US,D,20170622,000000,15.495,15.495,15.495,15.495,107,0
BFIT.US,D,20170623,000000,15.457,15.525,15.44,15.524,777,0
BFIT.US,D,20170629,000000,15.476,15.476,15.476,15.476,614,0
BFIT.US,D,20170630,000000,15.73,15.73,15.73,15.73,127,0
BFIT.US,D,20170705,000000,15.681,15.681,15.681,15.681,513,0
BFIT.US,D,20170711,000000,15.476,15.476,15.476,15.476,585,0
BFIT.US,D,20170717,000000,15.71,15.71,15.686,15.71,3556,0
BFIT.US,D,20170718,000000,15.525,15.525,15.525,15.525,559,0
BFIT.US,D,20170724,000000,15.74,15.759,15.74,15.759,5567,0
BFIT.US,D,20170726,000000,15.622,15.622,15.604,15.604,343,0
BFIT.US,D,20170727,000000,15.73,15.73,15.73,15.73,102,0
BFIT.US,D,20170731,000000,15.75,15.75,15.75,15.75,574,0
BFIT.US,D,20170809,000000,15.895,15.895,15.895,15.895,102,0
BFIT.US,D,20170814,000000,15.867,15.867,15.867,15.867,204,0
BFIT.US,D,20170815,000000,16.014,16.014,15.845,15.845,452,0
BFIT.US,D,20170817,000000,15.788,15.788,15.74,15.74,819,0
BFIT.US,D,20170818,000000,15.486,15.486,15.486,15.486,154,0
BFIT.US,D,20170822,000000,15.535,15.535,15.525,15.535,2523,0
BFIT.US,D,20170823,000000,15.408,15.515,15.408,15.515,400,0
BFIT.US,D,20170824,000000,15.535,15.545,15.519,15.545,1694,0
BFIT.US,D,20170828,000000,15.456,15.457,15.456,15.457,308,0
BFIT.US,D,20170829,000000,15.289,15.297,15.289,15.297,405,0
BFIT.US,D,20170831,000000,15.525,15.525,15.525,15.525,166,0
BFIT.US,D,20170906,000000,15.505,15.515,15.505,15.515,1201,0
BFIT.US,D,20170907,000000,15.604,15.604,15.555,15.556,2666,0
BFIT.US,D,20170912,000000,15.681,15.788,15.681,15.788,265,0
BFIT.US,D,20170915,000000,15.857,15.857,15.857,15.857,204,0
BFIT.US,D,20170918,000000,15.914,15.914,15.778,15.778,289,0
BFIT.US,D,20170921,000000,15.7,15.7,15.7,15.7,2113,0
BFIT.US,D,20170925,000000,15.613,15.613,15.505,15.505,477,0
BFIT.US,D,20170926,000000,15.622,15.622,15.622,15.622,307,0
BFIT.US,D,20170927,000000,15.7,15.7,15.7,15.7,358,0
BFIT.US,D,20170929,000000,15.651,15.651,15.651,15.651,102,0
BFIT.US,D,20171002,000000,15.69,15.69,15.584,15.584,774,0
BFIT.US,D,20171011,000000,15.857,15.857,15.857,15.857,122,0
BFIT.US,D,20171013,000000,15.837,15.837,15.837,15.837,169,0
BFIT.US,D,20171019,000000,15.7,15.7,15.7,15.7,162,0
BFIT.US,D,20171025,000000,15.826,15.826,15.826,15.826,353,0
BFIT.US,D,20171031,000000,15.867,15.924,15.867,15.924,7146,0
BFIT.US,D,20171107,000000,15.588,15.588,15.588,15.588,261,0
BFIT.US,D,20171113,000000,15.555,15.555,15.555,15.555,687,0
BFIT.US,D,20171114,000000,15.649,15.649,15.649,15.649,1025,0
BFIT.US,D,20171120,000000,16.149,16.149,16.149,16.149,1050,0
BFIT.US,D,20171121,000000,16.227,16.227,16.2,16.2,726,0
BFIT.US,D,20171122,000000,16.227,16.227,16.227,16.227,308,0
BFIT.US,D,20171128,000000,16.276,16.276,16.276,16.276,393,0
BFIT.US,D,20171129,000000,16.403,16.403,16.403,16.403,697,0
BFIT.US,D,20171204,000000,16.253,16.253,16.253,16.253,257,0
BFIT.US,D,20171205,000000,16.201,16.266,16.201,16.266,1333,0
BFIT.US,D,20171208,000000,16.549,16.549,16.548,16.548,356,0
BFIT.US,D,20171218,000000,16.521,16.521,16.521,16.521,1057,0
BFIT.US,D,20171219,000000,16.506,16.506,16.506,16.506,144,0
BFIT.US,D,20171221,000000,16.598,16.598,16.598,16.598,954,0
BFIT.US,D,20171229,000000,16.285,16.354,16.285,16.354,661,0
BFIT.US,D,20180103,000000,16.501,16.501,16.471,16.471,1434,0
BFIT.US,D,20180104,000000,16.501,16.501,16.359,16.422,948,0
BFIT.US,D,20180109,000000,16.383,16.426,16.383,16.426,517,0
BFIT.US,D,20180110,000000,16.375,16.375,16.366,16.366,776,0
BFIT.US,D,20180111,000000,16.457,16.457,16.457,16.457,493,0
BFIT.US,D,20180112,000000,16.501,16.501,16.501,16.501,102,0
BFIT.US,D,20180122,000000,16.893,17.11,16.893,17.11,4235,0
BFIT.US,D,20180123,000000,17.148,17.148,17.148,17.148,233,0
BFIT.US,D,20180124,000000,17.266,17.266,17.186,17.186,793,0
BFIT.US,D,20180125,000000,17.374,17.374,17.28,17.28,1849,0
BFIT.US,D,20180126,000000,17.289,17.289,17.237,17.237,212,0
BFIT.US,D,20180129,000000,17.285,17.285,17.285,17.285,729,0
BFIT.US,D,20180130,000000,17.153,17.173,17.153,17.173,404,0
BFIT.US,D,20180131,000000,17.177,17.177,17.177,17.177,979,0
BFIT.US,D,20180205,000000,16.686,16.706,16.368,16.368,1250,0
BFIT.US,D,20180206,000000,16.325,16.325,16.325,16.325,4,0
BFIT.US,D,20180208,000000,16.323,16.323,16.323,16.323,207,0
BFIT.US,D,20180209,000000,15.99,16.193,15.99,16.193,974,0
BFIT.US,D,20180215,000000,16.686,16.834,16.686,16.726,1441,0
BFIT.US,D,20180216,000000,16.893,16.893,16.864,16.864,387,0
BFIT.US,D,20180220,000000,16.725,16.725,16.725,16.725,122,0
BFIT.US,D,20180223,000000,16.721,16.824,16.721,16.824,391,0
BFIT.US,D,20180226,000000,17.002,17.002,17.002,17.002,153,0
BFIT.US,D,20180301,000000,16.666,16.666,16.386,16.386,1152,0
BFIT.US,D,20180302,000000,16.255,16.255,16.255,16.255,121,0
BFIT.US,D,20180308,000000,16.933,16.933,16.933,16.933,172,0
BFIT.US,D,20180315,000000,17.256,17.256,17.256,17.256,129,0
BFIT.US,D,20180316,000000,17.249,17.249,17.249,17.249,103,0
BFIT.US,D,20180322,000000,17.147,17.147,17.147,17.147,745,0
BFIT.US,D,20180326,000000,16.983,17.08,16.814,17.08,2018,0
BFIT.US,D,20180402,000000,16.982,16.982,16.982,16.982,169,0
BFIT.US,D,20180403,000000,17.177,17.177,17.16,17.16,1821,0
BFIT.US,D,20180404,000000,17.369,17.369,17.369,17.369,643,0
BFIT.US,D,20180405,000000,17.384,17.384,17.384,17.384,283,0
BFIT.US,D,20180406,000000,17.59,17.59,17.454,17.499,3287,0
BFIT.US,D,20180409,000000,17.45,17.45,17.433,17.433,330,0
BFIT.US,D,20180410,000000,17.473,17.473,17.473,17.473,103,0
BFIT.US,D,20180411,000000,17.492,17.492,17.492,17.492,298,0
BFIT.US,D,20180412,000000,17.64,17.659,17.64,17.659,1558,0
BFIT.US,D,20180413,000000,17.57,17.57,17.483,17.483,1732,0
BFIT.US,D,20180418,000000,17.61,17.62,17.61,17.62,1930,0
BFIT.US,D,20180419,000000,17.522,17.522,17.522,17.522,599,0
BFIT.US,D,20180420,000000,17.492,17.492,17.492,17.492,580,0
BFIT.US,D,20180423,000000,17.305,17.427,17.305,17.394,1893,0
BFIT.US,D,20180424,000000,17.345,17.345,17.345,17.345,592,0
BFIT.US,D,20180425,000000,17.295,17.355,17.295,17.355,400,0
BFIT.US,D,20180426,000000,17.454,17.473,17.454,17.473,1399,0
BFIT.US,D,20180430,000000,17.619,17.619,17.502,17.502,525,0
BFIT.US,D,20180501,000000,17.438,17.438,17.438,17.438,606,0
BFIT.US,D,20180504,000000,17.502,17.502,17.476,17.502,5915,0
BFIT.US,D,20180508,000000,17.541,17.555,17.541,17.541,4891,0
BFIT.US,D,20180509,000000,17.6,17.6,17.502,17.502,558,0
BFIT.US,D,20180511,000000,17.679,17.679,17.669,17.669,1639,0
BFIT.US,D,20180514,000000,17.776,17.776,17.776,17.776,267,0
BFIT.US,D,20180515,000000,17.728,17.728,17.647,17.647,920,0
BFIT.US,D,20180516,000000,17.758,17.758,17.758,17.758,1542,0
BFIT.US,D,20180518,000000,17.796,17.796,17.796,17.796,109,0
BFIT.US,D,20180521,000000,17.972,17.972,17.914,17.914,460,0
BFIT.US,D,20180522,000000,17.962,17.962,17.909,17.909,482,0
