<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGRN.US,D,20181127,000000,48.143,48.143,48.143,48.143,419,0
BGRN.US,D,20181128,000000,48.082,48.106,48.071,48.071,1156,0
BGRN.US,D,20181130,000000,48.222,48.222,48.222,48.222,151,0
BGRN.US,D,20181204,000000,48.469,48.479,48.469,48.479,229,0
BGRN.US,D,20181207,000000,48.469,48.469,48.469,48.469,151,0
BGRN.US,D,20181221,000000,48.689,48.719,48.689,48.694,4930,0
BGRN.US,D,20190104,000000,48.906,48.906,48.785,48.785,2268,0
BGRN.US,D,20190108,000000,48.755,48.755,48.755,48.755,274,0
BGRN.US,D,20190109,000000,48.815,48.815,48.815,48.815,251,0
BGRN.US,D,20190110,000000,48.851,48.861,48.805,48.851,2823,0
BGRN.US,D,20190111,000000,48.938,48.938,48.91,48.91,3291,0
BGRN.US,D,20190114,000000,48.918,48.918,48.918,48.918,2136,0
BGRN.US,D,20190115,000000,48.987,49.007,48.987,48.997,8058,0
BGRN.US,D,20190116,000000,48.923,48.997,48.923,48.997,21694,0
BGRN.US,D,20190122,000000,49.008,49.045,48.952,49.008,1051,0
BGRN.US,D,20190123,000000,49.055,49.065,49.055,49.065,571,0
BGRN.US,D,20190124,000000,49.203,49.203,49.203,49.203,1138,0
BGRN.US,D,20190125,000000,49.2,49.2,49.2,49.2,848,0
BGRN.US,D,20190128,000000,49.181,49.19,49.181,49.19,966,0
BGRN.US,D,20190130,000000,49.256,49.331,49.256,49.331,1949,0
BGRN.US,D,20190131,000000,49.477,49.487,49.467,49.477,678,0
BGRN.US,D,20190201,000000,49.418,49.418,49.418,49.418,180,0
BGRN.US,D,20190205,000000,49.42,49.42,49.42,49.42,996,0
BGRN.US,D,20190206,000000,49.505,49.515,49.505,49.515,520,0
BGRN.US,D,20190207,000000,49.487,49.487,49.487,49.487,162,0
BGRN.US,D,20190208,000000,49.559,49.605,49.559,49.605,774,0
BGRN.US,D,20190211,000000,49.562,49.572,49.562,49.572,1158,0
BGRN.US,D,20190212,000000,49.542,49.542,49.542,49.542,574,0
BGRN.US,D,20190214,000000,49.671,49.681,49.661,49.671,1348,0
BGRN.US,D,20190215,000000,49.661,49.681,49.655,49.666,1569,0
BGRN.US,D,20190219,000000,49.727,49.744,49.727,49.744,2386,0
BGRN.US,D,20190221,000000,49.654,49.654,49.654,49.654,105,0
BGRN.US,D,20190222,000000,49.698,49.803,49.698,49.784,1094,0
BGRN.US,D,20190225,000000,49.764,49.764,49.764,49.764,536,0
BGRN.US,D,20190227,000000,49.754,49.754,49.708,49.716,789,0
BGRN.US,D,20190228,000000,49.671,49.671,49.612,49.612,1358,0
BGRN.US,D,20190301,000000,49.622,49.63,49.525,49.63,1488,0
BGRN.US,D,20190306,000000,49.822,49.851,49.822,49.842,3196,0
BGRN.US,D,20190308,000000,50.038,50.038,50.018,50.018,961,0
BGRN.US,D,20190313,000000,50.048,50.082,50.048,50.082,1189,0
BGRN.US,D,20190314,000000,50.047,50.047,50.047,50.047,156,0
BGRN.US,D,20190315,000000,50.099,50.162,50.075,50.162,2344,0
BGRN.US,D,20190318,000000,50.198,50.198,50.151,50.151,1530,0
BGRN.US,D,20190319,000000,50.144,50.188,50.144,50.181,862,0
BGRN.US,D,20190320,000000,50.208,50.208,50.19,50.19,1553,0
BGRN.US,D,20190321,000000,50.343,50.343,50.343,50.343,243,0
BGRN.US,D,20190322,000000,50.604,50.604,50.604,50.604,679,0
BGRN.US,D,20190325,000000,50.575,50.619,50.532,50.619,1040,0
BGRN.US,D,20190326,000000,50.595,50.633,50.488,50.624,3183,0
BGRN.US,D,20190327,000000,50.72,50.757,50.72,50.73,726,0
BGRN.US,D,20190328,000000,50.744,50.744,50.744,50.744,963,0
BGRN.US,D,20190329,000000,50.69,50.69,50.642,50.642,579,0
BGRN.US,D,20190401,000000,50.614,50.614,50.614,50.614,511,0
BGRN.US,D,20190402,000000,50.598,50.651,50.598,50.651,821,0
