<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIB.US,D,20100408,000000,7.3875,7.5115,7.34,7.5115,29200,0
BIB.US,D,20100409,000000,7.5015,7.509,7.485,7.509,8544,0
BIB.US,D,20100412,000000,7.495,7.5175,7.4475,7.4475,19200,0
BIB.US,D,20100413,000000,7.4425,7.5015,7.4425,7.4975,22400,0
BIB.US,D,20100414,000000,7.53,7.599,7.515,7.599,29600,0
BIB.US,D,20100415,000000,7.585,7.6175,7.585,7.6175,16800,0
BIB.US,D,20100416,000000,7.475,7.475,7.454,7.454,4800,0
BIB.US,D,20100419,000000,7.5,7.574,7.375,7.489,18800,0
BIB.US,D,20100420,000000,7.564,7.564,7.444,7.52,23328,0
BIB.US,D,20100421,000000,7.5265,7.5265,7.2,7.279,20960,0
BIB.US,D,20100422,000000,7.269,7.269,6.999,7.16,32336,0
BIB.US,D,20100423,000000,7.31,7.3125,7.1715,7.299,28272,0
BIB.US,D,20100426,000000,7.33,7.34,7.199,7.199,6400,0
BIB.US,D,20100427,000000,7.27,7.359,7.0015,7.0015,13728,0
BIB.US,D,20100428,000000,6.969,7.074,6.969,7.074,28000,0
BIB.US,D,20100429,000000,7.365,7.585,7.365,7.494,49128,0
BIB.US,D,20100430,000000,7.5675,7.5675,7.3775,7.379,7200,0
BIB.US,D,20100503,000000,7.404,7.5715,7.4,7.539,18400,0
BIB.US,D,20100504,000000,7.3115,7.3265,7.1875,7.239,10560,0
BIB.US,D,20100505,000000,6.9375,6.9375,6.7715,6.9165,6720,0
BIB.US,D,20100506,000000,6.8125,6.8125,5.5,5.6675,47200,0
BIB.US,D,20100507,000000,6.6825,6.6825,5.94,6.0225,35584,0
BIB.US,D,20100510,000000,6.5115,6.604,6.3625,6.3625,19192,0
BIB.US,D,20100511,000000,6.2825,6.555,6.2825,6.555,34240,0
BIB.US,D,20100512,000000,6.5665,6.7815,6.5665,6.7815,3200,0
BIB.US,D,20100514,000000,6.4975,6.4975,6.239,6.355,12400,0
BIB.US,D,20100517,000000,6.4175,6.4175,6.1575,6.1575,16800,0
BIB.US,D,20100518,000000,6.515,6.515,6.26,6.26,13600,0
BIB.US,D,20100519,000000,6.149,6.149,6.149,6.149,800,0
BIB.US,D,20100520,000000,6.0325,6.0325,5.715,5.7215,23200,0
BIB.US,D,20100521,000000,5.52,5.7825,5.519,5.6815,44592,0
BIB.US,D,20100524,000000,5.6615,5.79,5.6615,5.6775,6728,0
BIB.US,D,20100525,000000,5.3925,5.6115,5.3925,5.6115,4000,0
BIB.US,D,20100526,000000,5.689,5.7325,5.5265,5.5315,21312,0
BIB.US,D,20100527,000000,5.729,5.809,5.6925,5.809,12000,0
BIB.US,D,20100601,000000,5.774,5.774,5.564,5.5665,3200,0
