<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BICK.US,D,20100413,000000,25.911,25.911,25.526,25.741,18274,0
BICK.US,D,20100414,000000,25.971,26.314,25.971,26.274,22000,0
BICK.US,D,20100415,000000,26.202,26.202,26.04,26.058,15971,0
BICK.US,D,20100416,000000,25.791,25.832,25.185,25.243,44882,0
BICK.US,D,20100419,000000,25.329,25.415,24.941,25.114,10609,0
BICK.US,D,20100420,000000,27.49,27.49,25.347,25.561,42378,0
BICK.US,D,20100421,000000,25.758,25.758,25.357,25.518,50706,0
BICK.US,D,20100422,000000,25.493,25.765,25.329,25.765,24828,0
BICK.US,D,20100423,000000,25.731,25.808,25.577,25.808,28900,0
BICK.US,D,20100426,000000,26.005,26.04,25.304,25.928,22804,0
BICK.US,D,20100427,000000,25.748,25.748,25.251,25.251,29077,0
BICK.US,D,20100428,000000,25.671,25.671,25.123,25.285,15767,0
BICK.US,D,20100429,000000,25.201,25.661,25.201,25.661,29075,0
BICK.US,D,20100430,000000,25.859,25.868,25.502,25.502,13481,0
BICK.US,D,20100503,000000,25.397,25.618,25.381,25.569,12689,0
BICK.US,D,20100504,000000,25.397,25.397,24.428,24.584,14924,0
BICK.US,D,20100505,000000,24.272,24.48,23.999,24.255,35386,0
BICK.US,D,20100506,000000,24.035,24.128,12.857,22.857,48179,0
BICK.US,D,20100507,000000,23.581,23.581,22.759,23.033,13036,0
BICK.US,D,20100510,000000,25.618,25.618,24.393,24.893,42878,0
BICK.US,D,20100511,000000,24.377,24.686,24.377,24.48,3594,0
BICK.US,D,20100512,000000,24.3,24.755,23.332,24.737,32724,0
BICK.US,D,20100513,000000,24.814,24.995,24.523,24.523,48051,0
BICK.US,D,20100514,000000,24.137,24.291,23.999,24.06,4419,0
BICK.US,D,20100517,000000,24.051,24.051,23.377,23.733,20835,0
BICK.US,D,20100518,000000,24.078,24.096,23.35,23.35,7795,0
BICK.US,D,20100519,000000,22.982,23.109,22.577,22.884,7897,0
BICK.US,D,20100520,000000,22.355,22.355,21.812,22.079,13246,0
BICK.US,D,20100521,000000,21.959,22.485,21.559,22.244,11790,0
BICK.US,D,20100524,000000,22.827,22.827,22.485,22.561,4977,0
BICK.US,D,20100525,000000,21.559,22.113,21.43,22.113,11918,0
BICK.US,D,20100526,000000,22.459,22.501,22.158,22.158,5092,0
BICK.US,D,20100527,000000,23.033,23.377,22.833,23.358,14406,0
BICK.US,D,20100528,000000,23.419,23.419,23.1,23.4,6250,0
BICK.US,D,20100601,000000,22.982,23.237,22.866,22.884,4847,0
BICK.US,D,20100602,000000,23.049,23.449,23.049,23.449,13532,0
BICK.US,D,20100603,000000,23.614,23.614,23.049,23.049,18652,0
BICK.US,D,20100604,000000,22.901,22.936,22.849,22.866,1120,0
BICK.US,D,20100607,000000,22.982,22.982,22.542,22.542,5663,0
BICK.US,D,20100608,000000,22.551,22.639,22.534,22.639,970,0
BICK.US,D,20100609,000000,22.884,23.119,22.639,22.639,16353,0
BICK.US,D,20100610,000000,23.109,23.245,23.076,23.237,4199,0
BICK.US,D,20100611,000000,23.358,23.467,23.358,23.449,869,0
BICK.US,D,20100614,000000,23.743,23.787,23.675,23.769,1639,0
BICK.US,D,20100615,000000,23.934,24.507,23.881,24.221,16563,0
BICK.US,D,20100616,000000,23.977,24.507,23.977,24.189,15985,0
BICK.US,D,20100617,000000,24.651,24.651,23.908,24.349,3934,0
BICK.US,D,20100618,000000,24.453,24.453,24.3,24.358,3241,0
BICK.US,D,20100621,000000,25.032,25.158,24.885,24.909,2310,0
BICK.US,D,20100622,000000,24.909,24.909,24.419,24.419,1902,0
BICK.US,D,20100623,000000,24.272,24.584,24.272,24.584,2416,0
BICK.US,D,20100624,000000,24.677,24.677,24.026,24.155,2954,0
BICK.US,D,20100625,000000,23.916,24.318,23.916,24.11,14300,0
BICK.US,D,20100628,000000,24.069,24.309,24.017,24.017,903,0
BICK.US,D,20100629,000000,23.565,23.565,23.092,23.144,3980,0
BICK.US,D,20100630,000000,23.267,23.375,23.187,23.187,1689,0
BICK.US,D,20100701,000000,23.144,23.144,22.612,23.144,4527,0
BICK.US,D,20100702,000000,22.945,23.135,22.945,23.135,2866,0
BICK.US,D,20100706,000000,23.605,23.605,23.185,23.185,1087,0
BICK.US,D,20100707,000000,23.519,23.519,23.492,23.519,641,0
BICK.US,D,20100708,000000,23.709,23.733,23.519,23.733,2224,0
BICK.US,D,20100709,000000,23.743,24.189,23.743,24.155,1651,0
BICK.US,D,20100712,000000,23.959,24.096,23.837,24.096,12147,0
BICK.US,D,20100713,000000,24.272,24.272,24.035,24.173,5371,0
BICK.US,D,20100714,000000,24.06,24.173,24.06,24.173,778,0
BICK.US,D,20100715,000000,24.078,24.078,23.76,23.811,20928,0
BICK.US,D,20100716,000000,23.629,23.777,23.127,23.177,12126,0
BICK.US,D,20100719,000000,23.255,23.368,23.237,23.368,934,0
BICK.US,D,20100720,000000,23.588,23.793,23.546,23.793,2185,0
BICK.US,D,20100721,000000,23.916,24.035,23.76,23.863,5379,0
BICK.US,D,20100722,000000,24.247,24.507,24.247,24.48,4581,0
BICK.US,D,20100723,000000,24.669,24.773,24.523,24.773,5832,0
BICK.US,D,20100726,000000,24.627,24.977,24.627,24.941,34272,0
BICK.US,D,20100727,000000,24.941,24.977,24.909,24.917,835,0
BICK.US,D,20100728,000000,24.814,24.875,24.599,24.714,8518,0
BICK.US,D,20100729,000000,24.705,24.839,24.705,24.839,1192,0
BICK.US,D,20100730,000000,24.951,25.023,24.677,24.959,10776,0
BICK.US,D,20100802,000000,25.483,25.687,25.483,25.687,5367,0
BICK.US,D,20100803,000000,25.518,25.526,25.304,25.432,14396,0
BICK.US,D,20100804,000000,25.561,25.705,25.243,25.585,117607,0
BICK.US,D,20100805,000000,25.61,25.61,25.176,25.329,41799,0
BICK.US,D,20100806,000000,25.215,25.329,25.032,25.285,24303,0
