<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIS.US,D,20100408,000000,4735.44,4799.52,4734.64,4761.2,63,0
BIS.US,D,20100409,000000,4701.76,4701.76,4701.76,4701.76,1,0
BIS.US,D,20100412,000000,4697.04,4733.08,4690.04,4706.44,47,0
BIS.US,D,20100413,000000,4693.88,4745.52,4687.68,4687.68,21,0
BIS.US,D,20100414,000000,4672.8,4695.44,4636.8,4636.8,14,0
BIS.US,D,20100415,000000,4611.8,4623.48,4611.8,4623.48,26,0
BIS.US,D,20100416,000000,4623.48,4700.16,4623.48,4670.44,13,0
BIS.US,D,20100419,000000,4644.64,4758.84,4644.64,4717.32,83,0
BIS.US,D,20100420,000000,4687.68,4719.68,4679,4679,16,0
BIS.US,D,20100421,000000,4789.4,4866.8,4780,4832.4,62,0
BIS.US,D,20100422,000000,4839.44,5005.28,4839.44,4898.88,128,0
BIS.US,D,20100423,000000,4876.96,4876.96,4807.32,4807.32,5,0
BIS.US,D,20100426,000000,4779.2,4858.28,4779.2,4858.28,44,0
BIS.US,D,20100427,000000,4851.16,4975.52,4793.28,4975.52,24,0
BIS.US,D,20100428,000000,4959.16,4969.28,4954.4,4969.28,11,0
BIS.US,D,20100429,000000,4898.88,4898.88,4596.12,4647.76,81,0
BIS.US,D,20100430,000000,4602.36,4719.68,4602.36,4719.68,45,0
BIS.US,D,20100503,000000,4719.68,4719.68,4648.56,4648.56,16,0
BIS.US,D,20100504,000000,4776.84,4855.08,4776.84,4811.28,55,0
BIS.US,D,20100505,000000,5063.16,5063.96,5002.12,5014.6,38,0
BIS.US,D,20100506,000000,5074.92,6043.44,5070.2,5726.6,94,0
BIS.US,D,20100507,000000,6063.04,6063.04,5449.68,5710.92,31,0
BIS.US,D,20100510,000000,5169.56,5427.72,5169.56,5360.48,124,0
BIS.US,D,20100511,000000,5275.16,5275.16,5132.8,5224.32,10,0
BIS.US,D,20100512,000000,5049.08,5049.08,5049.08,5049.08,4,0
BIS.US,D,20100514,000000,5279.92,5440.2,5279.92,5361.28,68,0
BIS.US,D,20100517,000000,5332.32,5332.32,5329.16,5329.16,3,0
BIS.US,D,20100518,000000,5272.84,5452.04,5240,5440.2,72,0
BIS.US,D,20100519,000000,5390.96,5548.96,5390.96,5464.52,38,0
BIS.US,D,20100520,000000,5853.32,5931.56,5832.96,5851.76,10,0
BIS.US,D,20100521,000000,6088,6102.84,5851.76,5940.92,50,0
BIS.US,D,20100524,000000,5984.72,5984.72,5961.24,5980.08,26,0
BIS.US,D,20100525,000000,6238.2,6300.04,5989.44,5989.44,49,0
BIS.US,D,20100526,000000,5857.2,6096.64,5840.76,6094.28,35,0
BIS.US,D,20100527,000000,5886.92,5897.84,5781.36,5781.36,20,0
BIS.US,D,20100601,000000,5849.4,6031.72,5849.4,6031.72,5,0
BIS.US,D,20100602,000000,5922.16,5922.16,5613.12,5613.12,37,0
BIS.US,D,20100603,000000,5574.08,5578.72,5514.6,5518.4,38,0
BIS.US,D,20100607,000000,6012.12,6080.16,5930.76,6080.16,41,0
BIS.US,D,20100608,000000,6165.44,6292.96,6038.68,6231.2,19,0
BIS.US,D,20100609,000000,6107.56,6270.28,6056.72,6270.28,43,0
BIS.US,D,20100610,000000,6053.6,6053.6,5870.52,5870.52,18,0
BIS.US,D,20100611,000000,5937.88,5937.88,5728.88,5730.44,11,0
BIS.US,D,20100615,000000,5491.88,5491.88,5452.72,5452.72,13,0
BIS.US,D,20100616,000000,5516.12,5516.12,5452.72,5495,4,0
BIS.US,D,20100618,000000,5437.12,5485.6,5390.96,5485.6,16,0
BIS.US,D,20100622,000000,5592.8,5724.24,5592.8,5722.68,6,0
BIS.US,D,20100623,000000,5748.48,5748.48,5716.36,5716.36,15,0
BIS.US,D,20100624,000000,5767.28,5787.64,5767.28,5787.64,6,0
BIS.US,D,20100625,000000,5761.8,5762.56,5577.16,5620.28,24,0
BIS.US,D,20100629,000000,5959.68,6034.8,5959.68,6034.8,3,0
BIS.US,D,20100630,000000,6012.92,6232.76,6000.44,6232.76,37,0
BIS.US,D,20100701,000000,6281.96,6698.16,6281.96,6505.84,48,0
BIS.US,D,20100702,000000,6412.68,6412.68,6412.68,6412.68,3,0
