<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BJK.US,D,20080124,000000,31.181,31.181,31.145,31.145,929,0
BJK.US,D,20080125,000000,31.444,33.894,31.371,33.894,1062,0
BJK.US,D,20080128,000000,32.265,32.265,30.827,31.332,5174,0
BJK.US,D,20080129,000000,31.626,31.626,31.522,31.595,8490,0
BJK.US,D,20080130,000000,31.626,32.388,31.626,31.943,10083,0
BJK.US,D,20080131,000000,31.444,32.274,31.444,32.274,9553,0
BJK.US,D,20080201,000000,33.828,33.828,32.652,32.877,5571,0
BJK.US,D,20080204,000000,32.794,32.794,32.652,32.652,3847,0
BJK.US,D,20080205,000000,32.086,32.123,31.973,31.973,4247,0
BJK.US,D,20080206,000000,31.973,32.086,31.814,31.821,2122,0
BJK.US,D,20080207,000000,31.694,31.936,31.407,31.936,2388,0
BJK.US,D,20080208,000000,31.936,31.936,31.905,31.936,662,0
BJK.US,D,20080211,000000,31.595,31.889,31.582,31.889,662,0
BJK.US,D,20080212,000000,32.236,32.538,32.236,32.388,1856,0
BJK.US,D,20080213,000000,32.569,32.576,32.313,32.313,2122,0
BJK.US,D,20080214,000000,32.643,32.652,32.538,32.538,4509,0
BJK.US,D,20080215,000000,32.003,32.003,32.003,32.003,265,0
BJK.US,D,20080219,000000,32.289,32.313,32.199,32.313,1460,0
BJK.US,D,20080220,000000,31.634,31.709,31.634,31.709,795,0
BJK.US,D,20080221,000000,32.214,32.214,31.694,31.694,1195,0
BJK.US,D,20080222,000000,31.785,31.785,31.671,31.671,1195,0
BJK.US,D,20080225,000000,31.973,32.35,31.973,32.35,2122,0
BJK.US,D,20080226,000000,32.652,32.69,32.598,32.69,2388,0
BJK.US,D,20080227,000000,32.388,32.763,32.388,32.652,2919,0
BJK.US,D,20080228,000000,32.313,32.388,32.101,32.161,5309,0
BJK.US,D,20080229,000000,31.588,31.709,31.483,31.483,2521,0
BJK.US,D,20080303,000000,30.903,30.903,30.163,30.82,4377,0
BJK.US,D,20080304,000000,30.873,30.873,29.38,30.163,5440,0
BJK.US,D,20080305,000000,30.428,30.805,30.428,30.714,2122,0
BJK.US,D,20080306,000000,30.767,30.767,30.678,30.678,529,0
BJK.US,D,20080307,000000,29.825,29.825,29.825,29.825,265,0
BJK.US,D,20080311,000000,30.126,30.126,29.9,30.081,1460,0
BJK.US,D,20080312,000000,30.172,30.172,29.923,29.923,1856,0
BJK.US,D,20080313,000000,29.71,29.923,29.637,29.719,1592,0
BJK.US,D,20080314,000000,29.66,29.66,29.66,29.66,529,0
BJK.US,D,20080317,000000,28.424,29.032,28.399,28.86,2388,0
BJK.US,D,20080318,000000,27.465,29.289,27.094,29.289,795,0
BJK.US,D,20080319,000000,29.298,29.372,29.298,29.335,896,0
BJK.US,D,20080320,000000,29.193,29.193,28.913,28.913,2877,0
BJK.US,D,20080324,000000,30.089,30.089,29.764,29.764,929,0
BJK.US,D,20080325,000000,30.623,30.623,29.779,30.36,4509,0
BJK.US,D,20080326,000000,31.611,31.611,30.564,30.615,1326,0
BJK.US,D,20080327,000000,30.888,30.942,30.721,30.721,529,0
BJK.US,D,20080328,000000,30.126,30.172,29.855,29.855,1326,0
BJK.US,D,20080331,000000,29.644,29.644,29.562,29.562,1195,0
BJK.US,D,20080401,000000,30.089,30.307,30.089,30.307,1195,0
BJK.US,D,20080402,000000,30.61,30.692,30.61,30.692,929,0
BJK.US,D,20080403,000000,30.571,30.699,30.571,30.632,2190,0
