<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKCH.US,D,20210715,000000,22.72,23.07,21.65,22.13,138765,0
BKCH.US,D,20210716,000000,22.4,22.45,21.7,21.72,40544,0
BKCH.US,D,20210719,000000,20.92,21.16,20.5,20.77,18004,0
BKCH.US,D,20210720,000000,20.68,21.25,19.85,21.0793,63692,0
BKCH.US,D,20210721,000000,22.15,23.46,22.13,23.07,54840,0
BKCH.US,D,20210722,000000,23.7,23.7,22.8,22.8836,24647,0
BKCH.US,D,20210723,000000,22.88,22.88,22.37,22.64,31556,0
BKCH.US,D,20210726,000000,25,26,24.61,25.82,45974,0
BKCH.US,D,20210727,000000,25,25,23.301,23.77,41184,0
BKCH.US,D,20210728,000000,24.6,25.12,24.46,24.84,32995,0
BKCH.US,D,20210729,000000,24.84,25.19,24.48,24.51,33481,0
BKCH.US,D,20210730,000000,24.02,24.719,23.96,24.63,11822,0
BKCH.US,D,20210802,000000,24.63,25.44,24.53,24.9,28326,0
BKCH.US,D,20210803,000000,24.61,24.75,24.041,24.4,15097,0
BKCH.US,D,20210804,000000,24.71,25.81,24.43,25.75,37046,0
BKCH.US,D,20210805,000000,25.44,27.2793,25.0101,27.05,64962,0
BKCH.US,D,20210806,000000,27.09,28.729,26.8788,28.49,39877,0
BKCH.US,D,20210809,000000,30.11,30.99,29.6,30.05,95536,0
BKCH.US,D,20210810,000000,30.15,30.36,28.75,29.3689,100266,0
BKCH.US,D,20210811,000000,30.11,30.8,29.4,29.6,50060,0
BKCH.US,D,20210812,000000,28.8,29.2,27.68,28.499,144026,0
BKCH.US,D,20210813,000000,29.21,29.58,28.2,28.2,56235,0
BKCH.US,D,20210816,000000,28.44,28.44,27.29,27.465,38683,0
BKCH.US,D,20210817,000000,27.05,27.3,25.32,25.64,59306,0
BKCH.US,D,20210818,000000,25.61,26.7599,25.38,25.84,65243,0
BKCH.US,D,20210819,000000,25.43,26.02,25.23,25.89,28241,0
BKCH.US,D,20210820,000000,26.3,27.7,26.3,27.208,63204,0
BKCH.US,D,20210823,000000,28.54,28.8194,27.8,27.985,77171,0
BKCH.US,D,20210824,000000,28.11,28.145,27.44,28.145,50145,0
BKCH.US,D,20210825,000000,27.93,28.75,27.8368,28.58,54386,0
BKCH.US,D,20210826,000000,27.95,28.28,27.31,27.35,37857,0
BKCH.US,D,20210827,000000,27.51,29.139,27.51,29,73510,0
BKCH.US,D,20210830,000000,28.71,29.2,28.13,29.14,86641,0
BKCH.US,D,20210831,000000,29.03,29.2881,28.63,29.08,81090,0
BKCH.US,D,20210901,000000,29.07,30.219,29.05,29.49,77197,0
