<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLCN.US,D,20180117,000000,23.288,23.424,23.039,23.335,628042,0
BLCN.US,D,20180118,000000,23.385,23.395,23.241,23.316,1365660,0
BLCN.US,D,20180119,000000,23.454,23.501,23.365,23.491,693842,0
BLCN.US,D,20180122,000000,23.597,23.8,23.578,23.8,779750,0
BLCN.US,D,20180123,000000,23.914,23.991,23.837,23.991,943035,0
BLCN.US,D,20180124,000000,24.01,24.107,23.79,23.923,929183,0
BLCN.US,D,20180125,000000,23.923,23.991,23.73,23.79,424469,0
BLCN.US,D,20180126,000000,23.914,24.097,23.842,24.088,715824,0
BLCN.US,D,20180129,000000,24.097,24.107,23.943,24.01,603665,0
BLCN.US,D,20180130,000000,23.884,23.923,23.643,23.726,501887,0
BLCN.US,D,20180131,000000,23.81,23.831,23.578,23.672,244601,0
BLCN.US,D,20180201,000000,23.462,23.558,23.355,23.471,256048,0
BLCN.US,D,20180202,000000,23.202,23.27,22.739,22.768,355486,0
BLCN.US,D,20180205,000000,22.51,22.788,21.662,21.805,267935,0
BLCN.US,D,20180206,000000,21.336,22.287,21.185,22.212,301271,0
BLCN.US,D,20180207,000000,22.145,22.421,22.085,22.105,178872,0
BLCN.US,D,20180208,000000,22.155,22.155,21.363,21.371,148001,0
BLCN.US,D,20180209,000000,21.557,21.7,20.939,21.636,203088,0
BLCN.US,D,20180212,000000,21.825,22.013,21.681,21.932,123453,0
BLCN.US,D,20180213,000000,21.825,22.009,21.74,21.989,69415,0
BLCN.US,D,20180214,000000,21.864,22.461,21.854,22.461,138745,0
BLCN.US,D,20180215,000000,22.807,22.846,22.491,22.826,213421,0
BLCN.US,D,20180216,000000,22.866,23.019,22.806,22.866,102416,0
BLCN.US,D,20180220,000000,22.7,22.886,22.662,22.768,210233,0
BLCN.US,D,20180221,000000,22.807,22.958,22.642,22.642,89133,0
BLCN.US,D,20180222,000000,22.682,22.799,22.577,22.642,92646,0
BLCN.US,D,20180223,000000,22.768,22.97,22.672,22.97,48382,0
BLCN.US,D,20180226,000000,23.059,23.173,22.945,23.173,146473,0
BLCN.US,D,20180227,000000,23.27,23.27,22.856,22.876,224989,0
BLCN.US,D,20180228,000000,22.99,22.99,22.652,22.672,116579,0
BLCN.US,D,20180301,000000,22.652,22.662,22.135,22.305,108869,0
BLCN.US,D,20180302,000000,22.076,22.383,21.901,22.383,74501,0
