<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BND.US,D,20070410,000000,57.657,57.807,57.604,57.791,45371,0
BND.US,D,20070411,000000,57.729,57.831,57.625,57.632,114331,0
BND.US,D,20070412,000000,57.649,57.666,57.571,57.625,101241,0
BND.US,D,20070413,000000,57.632,57.657,57.485,57.533,23335,0
BND.US,D,20070416,000000,57.596,57.596,57.556,57.589,68313,0
BND.US,D,20070417,000000,57.729,57.736,57.684,57.736,33185,0
BND.US,D,20070418,000000,57.8,57.856,57.8,57.845,39409,0
BND.US,D,20070419,000000,57.881,57.881,57.8,57.822,77387,0
BND.US,D,20070420,000000,57.838,57.851,57.768,57.807,41741,0
BND.US,D,20070423,000000,57.822,57.936,57.777,57.881,56000,0
BND.US,D,20070424,000000,57.905,57.989,57.714,57.973,100462,0
BND.US,D,20070425,000000,57.936,58.027,57.905,57.929,342472,0
BND.US,D,20070426,000000,57.897,57.897,57.8,57.807,88669,0
BND.US,D,20070427,000000,57.822,57.831,57.768,57.791,58070,0
BND.US,D,20070430,000000,57.929,57.982,57.905,57.982,46540,0
BND.US,D,20070501,000000,57.89,57.905,57.768,57.851,71036,0
BND.US,D,20070502,000000,57.89,57.921,57.831,57.856,37457,0
BND.US,D,20070503,000000,57.856,57.856,57.649,57.822,43815,0
BND.US,D,20070504,000000,57.897,57.929,57.838,57.865,24883,0
BND.US,D,20070507,000000,57.881,58.005,57.865,57.905,175637,0
BND.US,D,20070508,000000,57.973,57.982,57.856,57.913,44073,0
BND.US,D,20070509,000000,57.965,57.965,57.831,57.845,65073,0
BND.US,D,20070510,000000,57.845,57.897,57.845,57.897,54440,0
BND.US,D,20070511,000000,57.965,57.965,57.807,57.822,49521,0
BND.US,D,20070514,000000,57.838,57.838,57.744,57.785,740427,0
BND.US,D,20070515,000000,57.831,57.838,57.744,57.76,40956,0
BND.US,D,20070516,000000,57.76,57.815,57.736,57.785,73368,0
BND.US,D,20070517,000000,57.729,57.744,57.675,57.696,55349,0
BND.US,D,20070518,000000,57.666,57.666,57.55,57.556,80629,0
BND.US,D,20070521,000000,57.563,57.639,57.508,57.632,64040,0
