<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDW.US,D,20180907,000000,70.328,70.328,70.216,70.241,64404,0
BNDW.US,D,20180910,000000,70.28,70.319,70.231,70.275,61027,0
BNDW.US,D,20180911,000000,70.271,70.271,70.166,70.207,106391,0
BNDW.US,D,20180912,000000,70.251,70.28,70.251,70.256,35810,0
BNDW.US,D,20180913,000000,70.348,70.348,70.251,70.251,25941,0
BNDW.US,D,20180914,000000,70.211,70.211,70.156,70.166,35212,0
BNDW.US,D,20180917,000000,70.176,70.211,70.136,70.181,28725,0
BNDW.US,D,20180918,000000,70.193,70.193,70.084,70.088,18592,0
BNDW.US,D,20180919,000000,70.074,70.074,69.964,69.995,26248,0
BNDW.US,D,20180920,000000,69.997,70.064,69.969,70.037,20049,0
BNDW.US,D,20180921,000000,70.102,70.102,70.045,70.064,24701,0
BNDW.US,D,20180924,000000,70.016,70.016,69.952,69.952,30005,0
BNDW.US,D,20180925,000000,69.943,69.943,69.876,69.905,20428,0
BNDW.US,D,20180926,000000,70.045,70.061,69.969,70.05,11662,0
BNDW.US,D,20180927,000000,70.093,70.102,70.026,70.102,15522,0
BNDW.US,D,20180928,000000,70.146,70.146,70.069,70.078,13025,0
BNDW.US,D,20181001,000000,70.016,70.016,69.969,69.969,12449,0
BNDW.US,D,20181002,000000,69.988,70.064,69.988,70.064,8886,0
BNDW.US,D,20181003,000000,70.035,70.035,69.785,69.809,15486,0
BNDW.US,D,20181004,000000,69.756,69.756,69.641,69.666,15841,0
BNDW.US,D,20181005,000000,69.622,69.622,69.473,69.5,12229,0
BNDW.US,D,20181008,000000,69.622,69.622,69.5,69.539,6338,0
BNDW.US,D,20181009,000000,69.547,69.579,69.53,69.579,4909,0
BNDW.US,D,20181010,000000,69.53,69.564,69.482,69.564,14184,0
BNDW.US,D,20181011,000000,69.691,69.728,69.618,69.709,13476,0
BNDW.US,D,20181012,000000,69.728,69.782,69.661,69.738,8385,0
BNDW.US,D,20181015,000000,69.79,69.79,69.718,69.728,6403,0
BNDW.US,D,20181016,000000,69.783,69.79,69.738,69.783,8301,0
BNDW.US,D,20181017,000000,69.848,69.848,69.756,69.756,10311,0
BNDW.US,D,20181018,000000,69.747,69.79,69.631,69.77,5870,0
BNDW.US,D,20181019,000000,69.733,69.738,69.718,69.728,5515,0
BNDW.US,D,20181022,000000,69.728,69.752,69.709,69.728,10326,0
BNDW.US,D,20181023,000000,69.783,69.867,69.783,69.867,6792,0
BNDW.US,D,20181024,000000,69.905,69.934,69.905,69.929,6907,0
BNDW.US,D,20181025,000000,69.876,69.934,69.867,69.919,3537,0
BNDW.US,D,20181026,000000,70.078,70.125,70.045,70.084,20608,0
BNDW.US,D,20181029,000000,69.943,70.055,69.943,70.055,8809,0
