<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNDX.US,D,20130607,000000,43.083,43.083,42.956,42.956,82715,0
BNDX.US,D,20130610,000000,43.02,43.02,42.625,42.646,150458,0
BNDX.US,D,20130611,000000,42.879,42.879,42.625,42.642,59327,0
BNDX.US,D,20130612,000000,42.791,42.967,42.697,42.808,229168,0
BNDX.US,D,20130613,000000,42.799,42.827,42.667,42.667,123046,0
BNDX.US,D,20130614,000000,42.908,42.908,42.767,42.767,116638,0
BNDX.US,D,20130617,000000,42.879,42.879,42.708,42.799,116111,0
BNDX.US,D,20130618,000000,42.835,42.835,42.658,42.733,161614,0
BNDX.US,D,20130619,000000,42.889,42.889,42.542,42.633,100550,0
BNDX.US,D,20130620,000000,42.542,42.542,42.323,42.497,146287,0
BNDX.US,D,20130621,000000,42.791,42.791,42.295,42.413,254552,0
BNDX.US,D,20130624,000000,42.359,42.413,42.046,42.396,365548,0
BNDX.US,D,20130625,000000,42.445,42.445,42.233,42.259,307065,0
BNDX.US,D,20130626,000000,42.334,42.386,42.23,42.238,1428752,0
BNDX.US,D,20130627,000000,42.48,42.48,42.202,42.343,2341759,0
BNDX.US,D,20130628,000000,42.63,42.63,42.501,42.596,2833858,0
BNDX.US,D,20130701,000000,42.44,42.44,42.372,42.381,2603560,0
BNDX.US,D,20130702,000000,42.254,42.424,42.254,42.347,104934,0
BNDX.US,D,20130703,000000,42.52,42.528,42.332,42.484,43368,0
BNDX.US,D,20130705,000000,42.347,42.347,42.047,42.282,162591,0
BNDX.US,D,20130708,000000,42.494,42.494,42.372,42.408,236664,0
BNDX.US,D,20130709,000000,42.528,42.528,42.372,42.44,72785,0
BNDX.US,D,20130710,000000,42.671,42.671,42.401,42.457,66521,0
BNDX.US,D,20130711,000000,42.586,42.628,42.433,42.518,103752,0
BNDX.US,D,20130712,000000,42.545,42.586,42.448,42.474,493945,0
BNDX.US,D,20130715,000000,42.572,42.662,42.416,42.457,1211227,0
BNDX.US,D,20130716,000000,42.586,42.637,42.44,42.549,684019,0
BNDX.US,D,20130717,000000,42.594,42.602,42.538,42.585,268382,0
BNDX.US,D,20130718,000000,42.602,42.619,42.416,42.572,188440,0
BNDX.US,D,20130719,000000,42.594,42.602,42.392,42.418,106269,0
BNDX.US,D,20130722,000000,42.602,42.62,42.457,42.543,62976,0
BNDX.US,D,20130723,000000,42.637,42.655,42.424,42.62,102809,0
BNDX.US,D,20130724,000000,42.58,42.58,42.416,42.518,114356,0
BNDX.US,D,20130725,000000,42.535,42.535,42.247,42.465,127063,0
BNDX.US,D,20130726,000000,42.417,42.586,42.282,42.586,61833,0
BNDX.US,D,20130729,000000,42.58,42.58,42.416,42.518,741182,0
BNDX.US,D,20130730,000000,42.5,42.531,42.372,42.5,93534,0
BNDX.US,D,20130731,000000,42.538,42.544,42.247,42.408,89276,0
BNDX.US,D,20130801,000000,42.637,42.637,42.391,42.434,76395,0
BNDX.US,D,20130802,000000,42.553,42.595,42.434,42.595,66487,0
BNDX.US,D,20130805,000000,42.595,42.595,42.474,42.529,83261,0
BNDX.US,D,20130806,000000,42.563,42.563,42.448,42.51,100307,0
BNDX.US,D,20130807,000000,42.58,42.595,42.434,42.519,76314,0
BNDX.US,D,20130808,000000,42.572,42.572,42.474,42.539,53350,0
BNDX.US,D,20130809,000000,42.363,42.595,42.363,42.586,50199,0
BNDX.US,D,20130812,000000,42.621,42.621,42.5,42.595,55331,0
BNDX.US,D,20130813,000000,42.5,42.562,42.355,42.465,65905,0
BNDX.US,D,20130814,000000,42.425,42.493,42.213,42.434,74844,0
BNDX.US,D,20130815,000000,42.363,42.372,42.179,42.355,63900,0
BNDX.US,D,20130816,000000,42.312,42.381,42.144,42.338,66861,0
BNDX.US,D,20130819,000000,42.401,42.401,42.102,42.178,109639,0
BNDX.US,D,20130820,000000,42.169,42.391,42.101,42.312,83630,0
