<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOTZ.US,D,20160916,000000,14.312,14.312,14.295,14.295,1543,0
BOTZ.US,D,20160919,000000,14.411,14.439,14.407,14.429,618,0
BOTZ.US,D,20160920,000000,14.556,14.556,14.556,14.556,105,0
BOTZ.US,D,20160922,000000,14.955,14.965,14.867,14.897,3802,0
BOTZ.US,D,20160923,000000,14.907,14.907,14.819,14.848,9525,0
BOTZ.US,D,20160926,000000,14.73,14.73,14.614,14.614,2923,0
BOTZ.US,D,20160927,000000,14.75,16.219,14.698,14.789,3512,0
BOTZ.US,D,20160928,000000,14.867,14.887,14.789,14.887,2970,0
BOTZ.US,D,20160929,000000,14.887,14.887,14.829,14.838,3890,0
BOTZ.US,D,20160930,000000,14.857,14.887,14.78,14.887,3809,0
BOTZ.US,D,20161003,000000,14.936,14.936,14.77,14.835,3546,0
BOTZ.US,D,20161004,000000,14.965,14.965,14.829,14.829,10812,0
BOTZ.US,D,20161005,000000,14.955,14.984,14.955,14.965,1375,0
BOTZ.US,D,20161006,000000,14.974,14.974,14.882,14.917,3851,0
BOTZ.US,D,20161007,000000,14.926,14.936,14.877,14.926,8837,0
BOTZ.US,D,20161010,000000,15.013,15.022,14.99,14.995,11169,0
BOTZ.US,D,20161011,000000,15.031,15.031,14.877,14.877,6239,0
BOTZ.US,D,20161012,000000,14.887,14.887,14.768,14.819,4854,0
BOTZ.US,D,20161013,000000,14.662,14.701,14.583,14.701,6542,0
BOTZ.US,D,20161014,000000,14.75,14.76,14.701,14.701,3062,0
BOTZ.US,D,20161017,000000,14.76,14.789,14.73,14.75,10970,0
BOTZ.US,D,20161018,000000,14.945,14.945,14.858,14.867,3408,0
BOTZ.US,D,20161019,000000,14.936,14.936,14.829,14.838,6221,0
BOTZ.US,D,20161020,000000,14.838,14.877,14.829,14.877,9085,0
BOTZ.US,D,20161021,000000,14.86,14.877,14.86,14.877,286,0
BOTZ.US,D,20161024,000000,15.013,15.013,14.857,14.877,12873,0
BOTZ.US,D,20161025,000000,14.829,14.829,14.73,14.75,15497,0
BOTZ.US,D,20161026,000000,14.737,14.76,14.711,14.75,4113,0
BOTZ.US,D,20161027,000000,14.682,14.682,14.583,14.583,22723,0
BOTZ.US,D,20161028,000000,14.643,14.672,14.603,14.643,3656,0
BOTZ.US,D,20161031,000000,14.682,14.682,14.603,14.603,2678,0
BOTZ.US,D,20161101,000000,14.623,14.623,14.536,14.536,5829,0
BOTZ.US,D,20161102,000000,14.498,14.498,14.401,14.401,10514,0
BOTZ.US,D,20161103,000000,14.574,14.574,14.421,14.458,3315,0
