<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSAE.US,D,20181029,000000,23.563,23.563,23.563,23.563,117,0
BSAE.US,D,20181031,000000,23.582,23.582,23.57,23.57,2123,0
BSAE.US,D,20181101,000000,23.592,23.668,23.592,23.668,1253,0
BSAE.US,D,20181102,000000,23.621,23.621,23.621,23.621,107,0
BSAE.US,D,20181105,000000,23.621,23.621,23.621,23.621,4233,0
BSAE.US,D,20181106,000000,23.574,23.574,23.574,23.574,768,0
BSAE.US,D,20181107,000000,23.648,23.648,23.648,23.648,766,0
BSAE.US,D,20181108,000000,23.648,23.648,23.624,23.624,1064,0
BSAE.US,D,20181112,000000,23.646,23.646,23.646,23.646,360,0
BSAE.US,D,20181113,000000,23.63,23.63,23.63,23.63,105,0
BSAE.US,D,20181114,000000,23.636,23.636,23.636,23.636,222,0
BSAE.US,D,20181115,000000,23.643,23.643,23.643,23.643,570,0
BSAE.US,D,20181116,000000,23.633,23.633,23.633,23.633,103,0
BSAE.US,D,20181119,000000,23.648,23.648,23.648,23.648,1107,0
BSAE.US,D,20181120,000000,23.612,23.621,23.612,23.621,216,0
BSAE.US,D,20181121,000000,23.64,23.64,23.64,23.64,277,0
BSAE.US,D,20181126,000000,23.612,23.612,23.602,23.602,4176,0
BSAE.US,D,20181127,000000,23.592,23.592,23.592,23.592,217,0
BSAE.US,D,20181129,000000,23.657,23.657,23.657,23.657,182,0
BSAE.US,D,20181130,000000,23.648,23.648,23.64,23.643,3199,0
BSAE.US,D,20181203,000000,23.687,23.687,23.687,23.687,211,0
BSAE.US,D,20181206,000000,23.687,23.687,23.652,23.652,1283,0
BSAE.US,D,20181207,000000,23.715,23.715,23.707,23.715,5759,0
BSAE.US,D,20181210,000000,23.707,23.707,23.667,23.667,2426,0
BSAE.US,D,20181211,000000,23.702,23.702,23.702,23.702,42,0
BSAE.US,D,20181212,000000,23.682,23.682,23.682,23.682,3,0
BSAE.US,D,20181213,000000,23.687,23.744,23.687,23.712,957,0
BSAE.US,D,20181214,000000,23.758,23.758,23.758,23.758,67,0
BSAE.US,D,20181217,000000,23.758,23.758,23.758,23.758,3,0
BSAE.US,D,20181218,000000,23.792,23.886,23.78,23.787,3044,0
BSAE.US,D,20181219,000000,23.758,23.758,23.758,23.758,3,0
BSAE.US,D,20181220,000000,23.778,23.778,23.763,23.763,433,0
BSAE.US,D,20181221,000000,23.744,23.744,23.744,23.744,3,0
BSAE.US,D,20181224,000000,23.667,23.677,23.648,23.648,1700,0
BSAE.US,D,20181226,000000,23.667,23.667,23.625,23.625,307,0
BSAE.US,D,20181227,000000,23.687,23.754,23.595,23.682,5732,0
BSAE.US,D,20181228,000000,23.715,23.81,23.675,23.682,13684,0
BSAE.US,D,20181231,000000,23.72,23.724,23.684,23.687,6443,0
BSAE.US,D,20190102,000000,23.744,23.744,23.679,23.685,10822,0
BSAE.US,D,20190103,000000,23.754,23.772,23.648,23.735,3213,0
BSAE.US,D,20190104,000000,23.772,23.792,23.697,23.768,20578,0
BSAE.US,D,20190107,000000,23.763,23.802,23.707,23.75,13441,0
BSAE.US,D,20190108,000000,23.782,23.792,23.737,23.768,9555,0
BSAE.US,D,20190109,000000,23.802,23.876,23.772,23.772,843,0
BSAE.US,D,20190110,000000,23.81,23.81,23.763,23.763,2227,0
BSAE.US,D,20190111,000000,23.81,23.819,23.797,23.797,571,0
BSAE.US,D,20190114,000000,23.808,23.808,23.777,23.777,559,0
BSAE.US,D,20190115,000000,23.838,23.838,23.792,23.792,1038,0
BSAE.US,D,20190116,000000,23.858,23.858,23.819,23.819,315,0
BSAE.US,D,20190117,000000,23.854,23.854,23.848,23.848,434,0
BSAE.US,D,20190118,000000,23.896,23.906,23.886,23.891,1391,0
BSAE.US,D,20190122,000000,23.916,23.916,23.862,23.862,9149,0
BSAE.US,D,20190123,000000,23.93,23.93,23.884,23.891,1392,0
BSAE.US,D,20190124,000000,23.95,23.98,23.926,23.943,1761,0
BSAE.US,D,20190125,000000,23.9,23.971,23.89,23.93,1748,0
BSAE.US,D,20190128,000000,23.934,23.943,23.896,23.896,1105,0
BSAE.US,D,20190129,000000,23.952,23.961,23.916,23.916,1827,0
BSAE.US,D,20190130,000000,23.961,23.961,23.926,23.926,1221,0
BSAE.US,D,20190131,000000,24,24,24,24,510,0
BSAE.US,D,20190201,000000,24.02,24.02,23.956,23.981,1818,0
BSAE.US,D,20190204,000000,24.029,24.049,24,24,802,0
BSAE.US,D,20190205,000000,24.059,24.059,23.99,24.02,2928,0
BSAE.US,D,20190206,000000,24.059,24.059,24.034,24.034,695,0
BSAE.US,D,20190207,000000,24.024,24.039,24.024,24.039,1048,0
BSAE.US,D,20190208,000000,24.069,24.069,24.029,24.029,1055,0
BSAE.US,D,20190211,000000,24.039,24.049,24.034,24.034,461,0
BSAE.US,D,20190212,000000,24.049,24.049,24.039,24.04,1255,0
BSAE.US,D,20190213,000000,24.02,24.059,24.02,24.039,3240,0
BSAE.US,D,20190214,000000,24.044,24.044,24.044,24.044,1,0
BSAE.US,D,20190215,000000,24.053,24.053,24.044,24.044,1270,0
BSAE.US,D,20190219,000000,24.078,24.139,24.064,24.064,18074,0
BSAE.US,D,20190220,000000,24.125,24.125,24.074,24.074,12834,0
BSAE.US,D,20190221,000000,24.116,24.221,24.101,24.101,728,0
BSAE.US,D,20190222,000000,24.118,24.125,24.091,24.091,653,0
BSAE.US,D,20190225,000000,24.134,24.134,24.134,24.134,125,0
BSAE.US,D,20190226,000000,24.171,24.171,24.143,24.143,4513,0
BSAE.US,D,20190227,000000,24.149,24.153,24.149,24.153,1102,0
BSAE.US,D,20190228,000000,24.153,24.153,24.153,24.153,364,0
BSAE.US,D,20190301,000000,24.111,24.111,24.111,24.111,97,0
BSAE.US,D,20190304,000000,24.127,24.143,24.127,24.139,5108,0
BSAE.US,D,20190305,000000,24.153,24.239,24.134,24.148,4865,0
BSAE.US,D,20190306,000000,24.163,24.163,24.153,24.157,4476,0
BSAE.US,D,20190307,000000,24.134,24.134,24.134,24.134,56,0
BSAE.US,D,20190308,000000,24.155,24.176,24.155,24.176,1122,0
BSAE.US,D,20190311,000000,24.163,24.163,24.163,24.163,175,0
BSAE.US,D,20190312,000000,24.181,24.181,24.151,24.171,520,0
BSAE.US,D,20190313,000000,24.201,24.201,24.171,24.171,1102,0
BSAE.US,D,20190314,000000,24.221,24.221,24.181,24.181,3745,0
BSAE.US,D,20190315,000000,24.181,24.211,24.181,24.211,1306,0
BSAE.US,D,20190318,000000,24.249,24.249,24.189,24.201,1593,0
BSAE.US,D,20190319,000000,24.249,24.249,24.211,24.211,1203,0
BSAE.US,D,20190320,000000,24.282,24.282,24.282,24.282,45,0
BSAE.US,D,20190321,000000,24.249,24.287,24.249,24.249,888,0
BSAE.US,D,20190322,000000,24.277,24.285,24.244,24.244,365,0
BSAE.US,D,20190325,000000,24.375,24.375,24.268,24.272,1601,0
BSAE.US,D,20190326,000000,24.277,24.287,24.272,24.272,51608,0
BSAE.US,D,20190327,000000,24.268,24.268,24.216,24.216,2982,0
BSAE.US,D,20190328,000000,24.22,24.238,24.22,24.221,418,0
BSAE.US,D,20190329,000000,24.236,24.236,24.236,24.236,8,0
BSAE.US,D,20190401,000000,24.292,24.297,24.263,24.263,1748,0
BSAE.US,D,20190402,000000,24.277,24.277,24.272,24.272,122,0
BSAE.US,D,20190403,000000,24.282,24.282,24.282,24.282,193,0
BSAE.US,D,20190404,000000,24.297,24.316,24.297,24.298,5177,0
BSAE.US,D,20190405,000000,24.277,24.312,24.211,24.263,4772,0
BSAE.US,D,20190408,000000,24.263,24.263,24.263,24.263,4,0
BSAE.US,D,20190409,000000,24.297,24.297,24.297,24.297,66,0
