<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSBE.US,D,20181019,000000,23.196,23.196,23.196,23.196,102,0
BSBE.US,D,20181022,000000,23.206,23.206,23.197,23.206,1773,0
BSBE.US,D,20181029,000000,23.203,23.203,23.203,23.203,118,0
BSBE.US,D,20181101,000000,23.139,23.139,23.139,23.139,1078,0
BSBE.US,D,20181102,000000,23.163,23.225,23.163,23.225,528,0
BSBE.US,D,20181105,000000,23.225,23.225,23.225,23.225,867,0
BSBE.US,D,20181107,000000,23.203,23.235,23.198,23.235,4534,0
BSBE.US,D,20181108,000000,23.215,23.215,23.215,23.215,306,0
BSBE.US,D,20181113,000000,23.235,23.235,23.143,23.143,1325,0
BSBE.US,D,20181114,000000,23.309,23.327,23.309,23.309,940,0
BSBE.US,D,20181119,000000,23.318,23.336,23.318,23.318,859,0
BSBE.US,D,20181121,000000,23.215,23.215,23.198,23.198,363,0
BSBE.US,D,20181127,000000,23.177,23.177,23.177,23.177,347,0
BSBE.US,D,20181128,000000,23.196,23.3,23.174,23.3,1309,0
BSBE.US,D,20181130,000000,23.244,23.254,23.241,23.254,1723,0
BSBE.US,D,20181203,000000,23.292,23.292,23.283,23.292,914,0
BSBE.US,D,20181206,000000,23.309,23.309,23.235,23.3,930,0
BSBE.US,D,20181207,000000,23.299,23.327,23.299,23.327,1192,0
BSBE.US,D,20181210,000000,23.316,23.331,23.316,23.331,520,0
BSBE.US,D,20181211,000000,23.297,23.297,23.297,23.297,1,0
BSBE.US,D,20181212,000000,23.318,23.318,23.318,23.318,30,0
BSBE.US,D,20181213,000000,23.373,23.383,23.331,23.331,1579,0
BSBE.US,D,20181214,000000,23.373,23.477,23.341,23.341,785,0
BSBE.US,D,20181217,000000,23.393,23.393,23.339,23.36,639,0
BSBE.US,D,20181218,000000,23.534,23.534,23.393,23.393,2331,0
BSBE.US,D,20181219,000000,23.451,23.451,23.383,23.383,1784,0
BSBE.US,D,20181220,000000,23.428,23.428,23.428,23.428,2,0
BSBE.US,D,20181221,000000,23.393,23.393,23.393,23.393,2,0
BSBE.US,D,20181224,000000,23.403,23.403,23.403,23.403,536,0
BSBE.US,D,20181226,000000,23.468,23.468,23.378,23.378,1170,0
BSBE.US,D,20181227,000000,23.472,23.525,23.472,23.482,1132,0
BSBE.US,D,20181228,000000,23.496,23.496,23.473,23.473,1048,0
BSBE.US,D,20181231,000000,23.525,23.525,23.468,23.468,246,0
BSBE.US,D,20190102,000000,23.525,23.535,23.495,23.509,10815,0
BSBE.US,D,20190103,000000,23.582,23.582,23.496,23.54,1513,0
BSBE.US,D,20190104,000000,23.591,23.609,23.573,23.573,3084,0
BSBE.US,D,20190107,000000,23.537,23.564,23.537,23.564,747,0
BSBE.US,D,20190108,000000,23.6,23.6,23.554,23.554,787,0
BSBE.US,D,20190109,000000,23.705,23.722,23.634,23.634,217,0
BSBE.US,D,20190110,000000,23.596,23.596,23.596,23.596,98,0
BSBE.US,D,20190111,000000,23.605,23.655,23.605,23.614,2507,0
BSBE.US,D,20190114,000000,23.638,23.638,23.605,23.605,560,0
BSBE.US,D,20190115,000000,23.629,23.629,23.629,23.629,75,0
BSBE.US,D,20190116,000000,23.705,23.705,23.665,23.665,2727,0
BSBE.US,D,20190117,000000,23.689,23.695,23.689,23.695,418,0
BSBE.US,D,20190118,000000,23.741,23.741,23.695,23.695,3198,0
BSBE.US,D,20190122,000000,23.751,23.751,23.7,23.7,9018,0
BSBE.US,D,20190123,000000,23.705,23.78,23.705,23.732,9789,0
BSBE.US,D,20190124,000000,23.78,23.817,23.76,23.78,2870,0
BSBE.US,D,20190125,000000,23.817,23.817,23.755,23.775,2286,0
BSBE.US,D,20190128,000000,23.751,23.799,23.751,23.78,622,0
BSBE.US,D,20190129,000000,23.817,23.817,23.77,23.77,1948,0
BSBE.US,D,20190130,000000,23.814,23.814,23.804,23.804,417,0
BSBE.US,D,20190131,000000,23.914,23.914,23.889,23.889,1660,0
BSBE.US,D,20190201,000000,23.884,23.884,23.843,23.847,1086,0
BSBE.US,D,20190204,000000,23.852,23.852,23.852,23.852,1,0
BSBE.US,D,20190205,000000,23.95,23.95,23.904,23.904,921,0
