<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCE.US,D,20181019,000000,23.095,23.095,23.095,23.095,102,0
BSCE.US,D,20181022,000000,23.039,23.039,23.039,23.039,229,0
BSCE.US,D,20181025,000000,23.095,23.095,23.095,23.095,226,0
BSCE.US,D,20181101,000000,23.066,23.076,23.048,23.048,2147,0
BSCE.US,D,20181107,000000,23.121,23.131,23.121,23.131,2749,0
BSCE.US,D,20181112,000000,23.121,23.121,23.121,23.121,1078,0
BSCE.US,D,20181114,000000,23.159,23.179,23.159,23.179,221,0
BSCE.US,D,20181121,000000,23.007,23.009,23.007,23.009,284,0
BSCE.US,D,20181128,000000,23.056,23.056,23.056,23.056,184,0
BSCE.US,D,20181130,000000,23.045,23.046,23.039,23.039,1962,0
BSCE.US,D,20181204,000000,23.105,23.105,23.105,23.105,651,0
BSCE.US,D,20181206,000000,23.056,23.056,23.056,23.056,271,0
BSCE.US,D,20181207,000000,23.121,23.121,23.121,23.121,336,0
BSCE.US,D,20181210,000000,23.07,23.07,23.07,23.07,82,0
BSCE.US,D,20181211,000000,23.08,23.08,23.08,23.08,7,0
BSCE.US,D,20181212,000000,23.146,23.146,23.117,23.117,187,0
BSCE.US,D,20181213,000000,23.177,23.177,23.159,23.159,865,0
BSCE.US,D,20181214,000000,23.164,23.164,23.164,23.164,231,0
BSCE.US,D,20181217,000000,23.197,23.197,23.197,23.197,82,0
BSCE.US,D,20181218,000000,23.26,23.355,23.229,23.229,1249,0
BSCE.US,D,20181219,000000,23.26,23.27,23.224,23.224,933,0
BSCE.US,D,20181220,000000,23.27,23.27,23.236,23.236,219,0
BSCE.US,D,20181221,000000,23.253,23.253,23.197,23.197,2458,0
BSCE.US,D,20181224,000000,23.211,23.211,23.211,23.211,5,0
BSCE.US,D,20181226,000000,23.211,23.27,23.211,23.211,100,0
BSCE.US,D,20181227,000000,23.28,23.28,23.271,23.271,218,0
BSCE.US,D,20181228,000000,23.394,23.413,23.296,23.296,1859,0
BSCE.US,D,20181231,000000,23.3,23.3,23.3,23.3,11,0
BSCE.US,D,20190102,000000,23.318,23.356,23.308,23.308,8230,0
BSCE.US,D,20190103,000000,23.341,23.413,23.341,23.365,2282,0
BSCE.US,D,20190104,000000,23.44,23.46,23.382,23.403,7954,0
BSCE.US,D,20190107,000000,23.47,23.47,23.427,23.427,1068,0
BSCE.US,D,20190108,000000,23.48,23.48,23.431,23.431,5676,0
BSCE.US,D,20190109,000000,23.522,23.522,23.522,23.522,855,0
BSCE.US,D,20190110,000000,23.505,23.513,23.47,23.47,1702,0
BSCE.US,D,20190111,000000,23.455,23.484,23.455,23.484,1511,0
BSCE.US,D,20190114,000000,23.431,23.48,23.431,23.48,613,0
BSCE.US,D,20190115,000000,23.542,23.542,23.505,23.505,100,0
BSCE.US,D,20190116,000000,23.548,23.548,23.546,23.546,218,0
BSCE.US,D,20190117,000000,23.543,23.566,23.543,23.566,319,0
BSCE.US,D,20190118,000000,23.638,23.648,23.61,23.61,669,0
BSCE.US,D,20190122,000000,23.668,23.677,23.624,23.624,9574,0
BSCE.US,D,20190123,000000,23.695,23.705,23.666,23.666,3976,0
BSCE.US,D,20190124,000000,23.729,23.729,23.729,23.729,50,0
BSCE.US,D,20190125,000000,23.752,23.752,23.748,23.748,897,0
BSCE.US,D,20190128,000000,23.69,23.705,23.69,23.705,205,0
BSCE.US,D,20190129,000000,23.752,23.827,23.729,23.729,2227,0
BSCE.US,D,20190130,000000,23.743,23.786,23.733,23.774,1708,0
BSCE.US,D,20190131,000000,23.873,23.911,23.834,23.834,15098,0
BSCE.US,D,20190201,000000,23.901,23.966,23.847,23.883,2754,0
BSCE.US,D,20190204,000000,23.844,23.858,23.844,23.858,1173,0
BSCE.US,D,20190205,000000,23.958,23.958,23.921,23.921,1063,0
BSCE.US,D,20190206,000000,23.896,23.896,23.896,23.896,1,0
BSCE.US,D,20190207,000000,23.899,23.95,23.896,23.896,2587,0
BSCE.US,D,20190208,000000,23.852,23.931,23.852,23.883,6338,0
BSCE.US,D,20190211,000000,23.891,23.901,23.848,23.863,7237,0
BSCE.US,D,20190212,000000,23.896,23.896,23.896,23.896,1,0
BSCE.US,D,20190213,000000,23.931,23.931,23.893,23.911,7526,0
BSCE.US,D,20190214,000000,23.957,23.968,23.921,23.946,4187,0
BSCE.US,D,20190215,000000,23.977,23.977,23.921,23.947,2442,0
BSCE.US,D,20190219,000000,23.987,23.987,23.95,23.95,13561,0
BSCE.US,D,20190220,000000,23.987,23.997,23.923,23.923,12743,0
BSCE.US,D,20190221,000000,23.987,23.987,23.95,23.95,712,0
BSCE.US,D,20190222,000000,23.952,23.982,23.944,23.982,2775,0
BSCE.US,D,20190225,000000,24.045,24.045,24.011,24.011,410,0
BSCE.US,D,20190226,000000,23.987,24.036,23.987,24.036,275,0
BSCE.US,D,20190227,000000,24.057,24.057,24.031,24.031,1532,0
BSCE.US,D,20190228,000000,24.081,24.081,24.026,24.026,3922,0
BSCE.US,D,20190301,000000,24.036,24.036,24.036,24.036,274,0
BSCE.US,D,20190304,000000,24.041,24.072,24.041,24.061,1805,0
BSCE.US,D,20190305,000000,24.062,24.081,24.026,24.053,4779,0
BSCE.US,D,20190306,000000,24.091,24.091,24.057,24.057,2825,0
BSCE.US,D,20190307,000000,24.067,24.067,24.067,24.067,1,0
BSCE.US,D,20190308,000000,24.073,24.076,24.073,24.076,1060,0
BSCE.US,D,20190311,000000,24.086,24.086,24.086,24.086,295,0
BSCE.US,D,20190312,000000,24.081,24.125,24.072,24.125,6046,0
BSCE.US,D,20190313,000000,24.114,24.12,24.114,24.12,521,0
BSCE.US,D,20190314,000000,24.14,24.14,24.14,24.14,21,0
BSCE.US,D,20190315,000000,24.171,24.171,24.171,24.171,25,0
BSCE.US,D,20190318,000000,24.215,24.225,24.175,24.175,2725,0
BSCE.US,D,20190319,000000,24.212,24.22,24.212,24.22,341,0
BSCE.US,D,20190320,000000,24.237,24.272,24.237,24.272,3117,0
BSCE.US,D,20190321,000000,24.262,24.262,24.262,24.262,135,0
BSCE.US,D,20190322,000000,24.253,24.253,24.253,24.253,44,0
BSCE.US,D,20190325,000000,24.319,24.319,24.31,24.319,517,0
BSCE.US,D,20190326,000000,24.254,24.347,24.254,24.325,7769,0
BSCE.US,D,20190327,000000,24.3,24.3,24.247,24.247,50105,0
BSCE.US,D,20190328,000000,24.281,24.281,24.253,24.253,1055,0
BSCE.US,D,20190329,000000,24.263,24.315,24.263,24.315,162,0
BSCE.US,D,20190401,000000,24.293,24.293,24.285,24.285,171,0
BSCE.US,D,20190402,000000,24.295,24.295,24.295,24.295,1,0
BSCE.US,D,20190403,000000,24.328,24.328,24.328,24.328,977,0
BSCE.US,D,20190404,000000,24.363,24.363,24.342,24.342,646,0
BSCE.US,D,20190405,000000,24.319,24.371,24.272,24.328,5010,0
BSCE.US,D,20190408,000000,24.319,24.319,24.319,24.319,1,0
BSCE.US,D,20190409,000000,24.332,24.332,24.332,24.332,66,0
BSCE.US,D,20190410,000000,24.375,24.375,24.367,24.367,391,0
BSCE.US,D,20190411,000000,24.314,24.332,24.314,24.332,1388,0
BSCE.US,D,20190412,000000,24.3,24.3,24.3,24.3,228,0
BSCE.US,D,20190415,000000,24.324,24.324,24.324,24.324,1,0
BSCE.US,D,20190416,000000,24.345,24.356,24.345,24.356,792,0
BSCE.US,D,20190417,000000,24.347,24.405,24.347,24.356,1448,0
BSCE.US,D,20190418,000000,24.369,24.4,24.319,24.361,15525,0
BSCE.US,D,20190422,000000,24.368,24.386,24.331,24.352,2638,0
BSCE.US,D,20190423,000000,24.425,24.425,24.376,24.376,713,0
BSCE.US,D,20190424,000000,24.445,24.445,24.4,24.4,360,0
BSCE.US,D,20190425,000000,24.415,24.435,24.396,24.396,5319,0
BSCE.US,D,20190426,000000,24.414,24.445,24.4,24.4,2143,0
BSCE.US,D,20190429,000000,24.435,24.454,24.374,24.405,2433,0
BSCE.US,D,20190430,000000,24.461,24.461,24.441,24.449,827,0
BSCE.US,D,20190501,000000,24.443,24.443,24.425,24.437,2141,0
BSCE.US,D,20190502,000000,24.48,24.48,24.415,24.415,2649,0
BSCE.US,D,20190503,000000,24.462,24.49,24.445,24.445,1538,0
BSCE.US,D,20190506,000000,24.407,24.47,24.407,24.435,1116,0
BSCE.US,D,20190507,000000,24.399,24.461,24.399,24.42,2733,0
BSCE.US,D,20190508,000000,24.446,24.454,24.435,24.451,2328,0
BSCE.US,D,20190509,000000,24.461,24.461,24.418,24.42,894,0
BSCE.US,D,20190510,000000,24.469,24.469,24.44,24.44,114,0
BSCE.US,D,20190513,000000,24.43,24.43,24.43,24.43,15,0
BSCE.US,D,20190514,000000,24.48,24.48,24.449,24.449,274,0
BSCE.US,D,20190515,000000,24.451,24.465,24.451,24.465,100,0
BSCE.US,D,20190516,000000,24.48,24.48,24.48,24.48,15,0
BSCE.US,D,20190517,000000,24.454,24.454,24.454,24.454,124,0
BSCE.US,D,20190520,000000,24.46,24.485,24.46,24.485,264,0
BSCE.US,D,20190521,000000,24.465,24.465,24.465,24.465,328,0
BSCE.US,D,20190522,000000,24.461,24.461,24.445,24.454,22368,0
BSCE.US,D,20190523,000000,24.445,24.445,24.427,24.435,26845,0
BSCE.US,D,20190524,000000,24.425,24.425,24.415,24.415,5384,0
BSCE.US,D,20190528,000000,24.425,24.518,24.425,24.48,3429,0
BSCE.US,D,20190529,000000,24.518,24.518,24.44,24.44,2001,0
BSCE.US,D,20190530,000000,24.547,24.552,24.547,24.552,391,0
BSCE.US,D,20190531,000000,24.523,24.523,24.523,24.523,100,0
BSCE.US,D,20190603,000000,24.547,24.547,24.547,24.547,83,0
BSCE.US,D,20190604,000000,24.604,24.604,24.562,24.562,866,0
BSCE.US,D,20190605,000000,24.604,24.604,24.604,24.604,129,0
BSCE.US,D,20190606,000000,24.608,24.608,24.608,24.608,54,0
BSCE.US,D,20190607,000000,24.628,24.658,24.628,24.633,350,0
BSCE.US,D,20190610,000000,24.688,24.703,24.658,24.658,213,0
BSCE.US,D,20190611,000000,24.643,24.668,24.643,24.668,217,0
BSCE.US,D,20190612,000000,24.688,24.688,24.688,24.688,3,0
BSCE.US,D,20190613,000000,24.708,24.708,24.708,24.708,3,0
BSCE.US,D,20190614,000000,24.708,24.708,24.708,24.708,3,0
BSCE.US,D,20190617,000000,24.713,24.713,24.713,24.713,9,0
BSCE.US,D,20190618,000000,24.769,24.769,24.769,24.769,1,0
BSCE.US,D,20190619,000000,24.863,24.863,24.863,24.863,3,0
BSCE.US,D,20190620,000000,24.895,24.895,24.895,24.895,158,0
BSCE.US,D,20190621,000000,24.87,24.87,24.858,24.858,223,0
BSCE.US,D,20190624,000000,24.881,24.881,24.881,24.881,155,0
BSCE.US,D,20190625,000000,24.913,24.913,24.885,24.885,221,0
BSCE.US,D,20190626,000000,24.93,24.934,24.866,24.885,3132,0
BSCE.US,D,20190627,000000,24.93,24.93,24.93,24.93,132,0
BSCE.US,D,20190628,000000,24.959,24.959,24.959,24.959,82,0
BSCE.US,D,20190701,000000,25.009,25.038,24.994,24.994,870,0
BSCE.US,D,20190702,000000,25.014,25.057,25.014,25.019,3078,0
BSCE.US,D,20190703,000000,25.043,25.043,25.043,25.043,112,0
BSCE.US,D,20190705,000000,25.009,25.009,25.009,25.009,25,0
BSCE.US,D,20190708,000000,25.047,25.047,25.004,25.004,290,0
BSCE.US,D,20190709,000000,24.959,24.979,24.939,24.979,241,0
BSCE.US,D,20190710,000000,24.983,25.028,24.979,24.979,770,0
BSCE.US,D,20190711,000000,24.979,24.979,24.979,24.979,18,0
BSCE.US,D,20190712,000000,24.979,24.979,24.979,24.979,53,0
BSCE.US,D,20190715,000000,25.016,25.016,24.999,24.999,120,0
BSCE.US,D,20190716,000000,25.019,25.019,24.994,24.994,768,0
BSCE.US,D,20190717,000000,25.057,25.057,25.013,25.013,969,0
BSCE.US,D,20190718,000000,25.062,25.062,25.062,25.062,42,0
BSCE.US,D,20190719,000000,25.04,25.075,24.979,25.023,1680,0
BSCE.US,D,20190722,000000,25.028,25.028,25.028,25.028,50,0
BSCE.US,D,20190723,000000,25.085,25.085,24.979,25.068,5628,0
BSCE.US,D,20190724,000000,25.075,25.075,25.075,25.075,50,0
BSCE.US,D,20190725,000000,25.094,25.094,25.075,25.075,995,0
BSCE.US,D,20190726,000000,25.087,25.088,25.08,25.08,721,0
BSCE.US,D,20190729,000000,25.08,25.08,25.08,25.08,74,0
BSCE.US,D,20190730,000000,25.08,25.08,25.08,25.08,51,0
BSCE.US,D,20190731,000000,25.047,25.052,25.047,25.052,7405,0
BSCE.US,D,20190801,000000,25.209,25.219,25.113,25.113,6611,0
BSCE.US,D,20190802,000000,25.094,25.094,25.094,25.094,1,0
BSCE.US,D,20190805,000000,25.089,25.089,25.089,25.089,134,0
BSCE.US,D,20190806,000000,25.128,25.128,25.128,25.128,21,0
BSCE.US,D,20190807,000000,25.16,25.18,25.147,25.147,412,0
BSCE.US,D,20190808,000000,25.16,25.16,25.16,25.16,96,0
BSCE.US,D,20190809,000000,25.16,25.16,25.16,25.16,96,0
BSCE.US,D,20190813,000000,25.138,25.138,25.138,25.138,57,0
BSCE.US,D,20190814,000000,25.175,25.18,25.156,25.156,6316,0
BSCE.US,D,20190815,000000,25.17,25.17,25.17,25.17,1,0
BSCE.US,D,20190816,000000,25.208,25.208,25.208,25.208,4,0
BSCE.US,D,20190819,000000,25.187,25.187,25.17,25.17,3105,0
BSCE.US,D,20190820,000000,25.239,25.239,25.19,25.19,2699,0
