<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCL.US,D,20130722,000000,16.867,16.867,16.765,16.862,39167,0
BSCL.US,D,20130723,000000,16.801,16.819,16.801,16.819,2966,0
BSCL.US,D,20130724,000000,16.749,16.826,16.635,16.782,13853,0
BSCL.US,D,20130725,000000,16.749,16.782,16.749,16.782,1192,0
BSCL.US,D,20130726,000000,16.801,16.801,16.635,16.773,13971,0
BSCL.US,D,20130729,000000,16.61,16.758,16.585,16.74,29135,0
BSCL.US,D,20130730,000000,16.765,16.765,16.561,16.705,43154,0
BSCL.US,D,20130731,000000,16.652,16.765,16.475,16.765,13257,0
BSCL.US,D,20130801,000000,16.497,16.67,16.497,16.67,14412,0
BSCL.US,D,20130802,000000,16.749,16.749,16.497,16.554,117621,0
BSCL.US,D,20130805,000000,16.678,16.678,16.538,16.66,3884,0
BSCL.US,D,20130806,000000,16.57,16.644,16.57,16.644,3403,0
BSCL.US,D,20130807,000000,16.66,16.686,16.652,16.678,4776,0
BSCL.US,D,20130808,000000,16.867,16.867,16.618,16.705,5363,0
BSCL.US,D,20130809,000000,16.705,16.773,16.652,16.749,20914,0
BSCL.US,D,20130814,000000,16.635,16.635,16.512,16.628,6239,0
BSCL.US,D,20130815,000000,16.497,16.561,16.497,16.554,9249,0
BSCL.US,D,20130816,000000,16.49,16.721,16.483,16.506,7882,0
BSCL.US,D,20130819,000000,16.375,16.375,16.356,16.356,6668,0
BSCL.US,D,20130820,000000,16.375,16.375,16.366,16.366,1672,0
BSCL.US,D,20130821,000000,16.4,16.4,16.383,16.383,1464,0
BSCL.US,D,20130823,000000,16.321,16.39,16.321,16.39,1753,0
BSCL.US,D,20130826,000000,16.497,16.506,16.475,16.475,1796,0
BSCL.US,D,20130827,000000,16.57,16.57,16.545,16.545,3022,0
BSCL.US,D,20130828,000000,16.538,16.538,16.512,16.521,1550,0
BSCL.US,D,20130829,000000,16.512,16.521,16.506,16.512,2679,0
BSCL.US,D,20130830,000000,16.703,16.711,16.693,16.711,3244,0
BSCL.US,D,20130903,000000,16.588,16.588,16.435,16.462,17252,0
BSCL.US,D,20130904,000000,16.368,16.477,16.368,16.426,12006,0
BSCL.US,D,20130905,000000,16.323,16.359,16.096,16.309,8349,0
BSCL.US,D,20130906,000000,16.393,16.393,16.368,16.368,4671,0
BSCL.US,D,20130909,000000,16.435,16.435,16.412,16.412,5324,0
BSCL.US,D,20130910,000000,16.33,16.368,16.292,16.368,12982,0
BSCL.US,D,20130911,000000,16.508,16.508,16.34,16.377,16922,0
BSCL.US,D,20130912,000000,16.445,16.454,16.393,16.426,11329,0
BSCL.US,D,20130913,000000,16.393,16.629,16.393,16.435,13886,0
BSCL.US,D,20130916,000000,16.725,16.725,16.283,16.426,14791,0
BSCL.US,D,20130917,000000,16.485,16.485,16.454,16.462,14380,0
BSCL.US,D,20130918,000000,16.454,16.477,16.454,16.477,19176,0
BSCL.US,D,20130919,000000,16.613,16.638,16.597,16.613,6745,0
BSCL.US,D,20130920,000000,16.629,16.629,16.597,16.622,16664,0
BSCL.US,D,20130923,000000,16.656,16.656,16.638,16.638,2034,0
BSCL.US,D,20130924,000000,16.638,16.699,16.622,16.69,7443,0
BSCL.US,D,20130925,000000,16.638,16.638,16.638,16.638,10714,0
BSCL.US,D,20130926,000000,16.681,16.681,16.605,16.681,9884,0
BSCL.US,D,20130927,000000,16.744,16.744,16.674,16.717,2699,0
BSCL.US,D,20130930,000000,16.825,16.959,16.632,16.641,45743,0
BSCL.US,D,20131001,000000,16.496,16.741,16.408,16.576,68209,0
BSCL.US,D,20131002,000000,16.686,16.722,16.531,16.722,9524,0
BSCL.US,D,20131003,000000,16.706,16.706,16.671,16.686,582,0
BSCL.US,D,20131004,000000,16.671,16.696,16.653,16.696,6988,0
BSCL.US,D,20131007,000000,16.731,16.741,16.714,16.714,3940,0
BSCL.US,D,20131008,000000,16.706,16.722,16.653,16.722,21007,0
BSCL.US,D,20131009,000000,16.686,16.686,16.686,16.686,413,0
BSCL.US,D,20131010,000000,16.671,16.679,16.61,16.679,11516,0
BSCL.US,D,20131011,000000,16.653,16.714,16.61,16.679,21515,0
BSCL.US,D,20131014,000000,16.671,16.679,16.644,16.644,8625,0
BSCL.US,D,20131015,000000,16.671,16.671,16.628,16.644,11394,0
BSCL.US,D,20131016,000000,16.628,16.696,16.628,16.679,13232,0
BSCL.US,D,20131017,000000,16.714,16.774,16.706,16.751,54336,0
BSCL.US,D,20131018,000000,16.803,16.813,16.803,16.813,731,0
BSCL.US,D,20131021,000000,16.82,16.82,16.783,16.793,9955,0
BSCL.US,D,20131022,000000,16.863,16.901,16.855,16.855,9245,0
BSCL.US,D,20131023,000000,16.893,16.901,16.893,16.901,224,0
BSCL.US,D,20131024,000000,16.936,16.936,16.863,16.884,20329,0
BSCL.US,D,20131028,000000,16.845,16.893,16.837,16.845,3087,0
BSCL.US,D,20131029,000000,16.884,16.901,16.827,16.901,3338,0
BSCL.US,D,20131031,000000,16.991,16.991,16.952,16.952,4008,0
BSCL.US,D,20131101,000000,16.866,16.866,16.825,16.86,1567,0
BSCL.US,D,20131104,000000,16.842,16.851,16.842,16.851,4252,0
BSCL.US,D,20131105,000000,16.799,16.799,16.762,16.771,3540,0
BSCL.US,D,20131106,000000,16.809,16.809,16.799,16.809,1631,0
BSCL.US,D,20131107,000000,16.842,16.842,16.842,16.842,1030,0
BSCL.US,D,20131108,000000,16.692,16.809,16.666,16.71,6549,0
BSCL.US,D,20131112,000000,16.702,16.702,16.692,16.692,5045,0
BSCL.US,D,20131113,000000,16.728,16.728,16.71,16.719,2061,0
BSCL.US,D,20131114,000000,16.762,16.833,16.762,16.817,3559,0
BSCL.US,D,20131115,000000,16.833,16.833,16.817,16.825,3530,0
BSCL.US,D,20131118,000000,16.851,16.874,16.851,16.874,2554,0
BSCL.US,D,20131119,000000,16.825,16.825,16.825,16.825,2054,0
BSCL.US,D,20131120,000000,16.809,16.809,16.736,16.746,9957,0
BSCL.US,D,20131121,000000,16.728,16.799,16.728,16.789,10036,0
BSCL.US,D,20131122,000000,16.833,16.932,16.825,16.86,13461,0
BSCL.US,D,20131125,000000,16.924,16.976,16.906,16.924,3930,0
BSCL.US,D,20131126,000000,16.967,16.967,16.95,16.95,5281,0
BSCL.US,D,20131127,000000,16.924,16.942,16.924,16.942,3260,0
BSCL.US,D,20131129,000000,16.978,17.035,16.978,17.035,6501,0
BSCL.US,D,20131202,000000,16.968,16.991,16.926,16.991,57012,0
BSCL.US,D,20131203,000000,17.018,17.034,16.978,17.027,204170,0
BSCL.US,D,20131204,000000,16.952,16.978,16.907,16.944,5744,0
BSCL.US,D,20131205,000000,16.934,16.944,16.9,16.944,18196,0
BSCL.US,D,20131206,000000,16.952,16.968,16.926,16.944,12739,0
BSCL.US,D,20131209,000000,16.991,16.999,16.968,16.968,17836,0
BSCL.US,D,20131210,000000,17.018,17.043,17.018,17.034,2867,0
BSCL.US,D,20131211,000000,17.009,17.043,17.009,17.034,7781,0
BSCL.US,D,20131213,000000,16.978,17.009,16.978,16.999,4159,0
BSCL.US,D,20131216,000000,17.051,17.061,17.018,17.027,5842,0
BSCL.US,D,20131217,000000,17.043,17.043,17.027,17.034,5648,0
BSCL.US,D,20131218,000000,17.018,17.138,17.018,17.114,9637,0
BSCL.US,D,20131219,000000,17.051,17.071,17.043,17.061,7924,0
BSCL.US,D,20131220,000000,17.071,17.071,17.071,17.071,694,0
BSCL.US,D,20131223,000000,17.08,17.097,16.991,17.071,12648,0
BSCL.US,D,20131224,000000,17.034,17.034,16.952,16.991,1289,0
BSCL.US,D,20131226,000000,16.952,17.027,16.952,17.027,4918,0
BSCL.US,D,20131227,000000,17.004,17.004,16.995,16.995,1758,0
BSCL.US,D,20131230,000000,17.066,17.066,17.004,17.004,5607,0
BSCL.US,D,20131231,000000,17.004,17.014,16.982,17.004,4553,0
BSCL.US,D,20140102,000000,16.995,17.066,16.995,17.066,4339,0
