<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCM.US,D,20130723,000000,16.629,16.629,16.629,16.629,3017,0
BSCM.US,D,20130725,000000,16.532,16.532,16.532,16.532,485,0
BSCM.US,D,20130729,000000,16.541,16.541,16.524,16.541,6051,0
BSCM.US,D,20130730,000000,16.532,16.532,16.532,16.532,1693,0
BSCM.US,D,20130731,000000,16.423,16.449,16.423,16.449,382,0
BSCM.US,D,20130801,000000,16.44,16.44,16.423,16.423,2380,0
BSCM.US,D,20130802,000000,16.515,16.515,16.515,16.515,1210,0
BSCM.US,D,20130805,000000,16.604,16.604,16.541,16.541,855,0
BSCM.US,D,20130806,000000,16.532,16.532,16.508,16.508,3068,0
BSCM.US,D,20130807,000000,16.541,16.548,16.541,16.548,2417,0
BSCM.US,D,20130808,000000,16.524,16.524,16.524,16.524,380,0
BSCM.US,D,20130809,000000,16.532,16.587,16.482,16.482,24920,0
BSCM.US,D,20130812,000000,16.515,16.515,16.49,16.49,1326,0
BSCM.US,D,20130815,000000,16.245,16.413,16.214,16.214,12805,0
BSCM.US,D,20130816,000000,16.197,16.197,16.143,16.143,1326,0
BSCM.US,D,20130819,000000,16.129,16.129,16.129,16.129,3434,0
BSCM.US,D,20130820,000000,16.183,16.183,16.129,16.129,4362,0
BSCM.US,D,20130821,000000,16.111,16.111,16.094,16.094,1814,0
BSCM.US,D,20130822,000000,16.078,16.078,16.078,16.078,101,0
BSCM.US,D,20130826,000000,16.205,16.205,16.205,16.205,925,0
BSCM.US,D,20130828,000000,16.235,16.269,16.22,16.235,10535,0
BSCM.US,D,20130829,000000,16.295,16.303,16.279,16.287,3126,0
BSCM.US,D,20130830,000000,16.498,16.498,16.473,16.473,3861,0
BSCM.US,D,20130903,000000,16.231,16.231,16.14,16.173,5724,0
BSCM.US,D,20130904,000000,16.098,16.195,16.098,16.116,11458,0
BSCM.US,D,20130905,000000,16.042,16.08,15.973,15.973,4554,0
BSCM.US,D,20130906,000000,16.08,16.08,15.99,15.99,3866,0
BSCM.US,D,20130909,000000,16.074,16.074,16.074,16.074,870,0
BSCM.US,D,20130910,000000,16.033,16.042,16.033,16.033,1737,0
BSCM.US,D,20130911,000000,16.08,16.08,15.973,16.033,24305,0
BSCM.US,D,20130912,000000,16.098,16.148,16.089,16.098,10986,0
BSCM.US,D,20130913,000000,16.098,16.201,16.074,16.074,6132,0
BSCM.US,D,20130916,000000,16.779,16.779,16.116,16.125,16879,0
BSCM.US,D,20130917,000000,16.165,16.165,16.116,16.148,16286,0
BSCM.US,D,20130918,000000,16.148,16.385,16.108,16.385,9160,0
BSCM.US,D,20130919,000000,16.319,16.335,16.309,16.326,4153,0
BSCM.US,D,20130920,000000,16.319,16.395,16.291,16.344,3948,0
BSCM.US,D,20130923,000000,16.326,16.326,16.326,16.326,101,0
BSCM.US,D,20130924,000000,16.385,16.385,16.385,16.385,851,0
BSCM.US,D,20130926,000000,16.43,16.43,16.42,16.43,4440,0
BSCM.US,D,20130927,000000,16.446,16.446,16.438,16.438,6391,0
BSCM.US,D,20130930,000000,16.588,16.621,16.49,16.515,52145,0
BSCM.US,D,20131001,000000,16.36,16.377,16.274,16.318,48706,0
BSCM.US,D,20131002,000000,16.437,16.437,16.437,16.437,408,0
BSCM.US,D,20131003,000000,16.437,16.487,16.437,16.487,238,0
BSCM.US,D,20131004,000000,16.409,16.429,16.395,16.402,11876,0
BSCM.US,D,20131007,000000,16.479,16.479,16.402,16.409,8873,0
BSCM.US,D,20131008,000000,16.429,16.429,16.419,16.419,4031,0
BSCM.US,D,20131009,000000,16.446,16.446,16.419,16.419,2026,0
BSCM.US,D,20131010,000000,16.334,16.367,16.326,16.367,8153,0
BSCM.US,D,20131014,000000,16.446,16.446,16.429,16.429,7686,0
BSCM.US,D,20131015,000000,16.419,16.419,16.409,16.409,6608,0
BSCM.US,D,20131016,000000,16.385,16.456,16.385,16.437,12376,0
BSCM.US,D,20131017,000000,16.495,16.545,16.495,16.545,55204,0
BSCM.US,D,20131018,000000,16.554,16.563,16.522,16.522,8780,0
BSCM.US,D,20131021,000000,16.545,16.545,16.545,16.545,238,0
BSCM.US,D,20131022,000000,16.636,16.643,16.636,16.643,12018,0
BSCM.US,D,20131023,000000,16.684,16.72,16.684,16.694,1979,0
BSCM.US,D,20131024,000000,16.703,16.703,16.65,16.667,14552,0
BSCM.US,D,20131025,000000,16.674,16.684,16.674,16.684,2841,0
BSCM.US,D,20131028,000000,16.667,16.703,16.667,16.694,5269,0
BSCM.US,D,20131029,000000,16.65,16.703,16.643,16.703,2781,0
BSCM.US,D,20131030,000000,16.713,16.713,16.643,16.674,5287,0
