<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCN.US,D,20140924,000000,17.052,17.052,16.991,17.052,8908,0
BSCN.US,D,20140925,000000,17.052,17.052,17.032,17.032,2599,0
BSCN.US,D,20140926,000000,16.991,16.991,16.991,16.991,2015,0
BSCN.US,D,20140929,000000,17.01,17.01,16.991,16.991,431,0
BSCN.US,D,20140930,000000,17.052,17.068,17,17.059,2182,0
BSCN.US,D,20141001,000000,17.145,17.179,17.145,17.179,4781,0
BSCN.US,D,20141002,000000,17.153,17.153,17.153,17.153,240,0
BSCN.US,D,20141007,000000,17.245,17.281,17.239,17.255,4241,0
BSCN.US,D,20141009,000000,17.328,17.337,17.245,17.245,3004,0
BSCN.US,D,20141010,000000,17.321,17.321,17.321,17.321,422,0
BSCN.US,D,20141013,000000,17.389,17.389,17.362,17.362,336,0
BSCN.US,D,20141015,000000,17.635,17.768,17.511,17.52,36792,0
BSCN.US,D,20141017,000000,17.362,17.454,17.362,17.446,2205,0
BSCN.US,D,20141020,000000,17.502,17.502,17.472,17.472,5024,0
BSCN.US,D,20141021,000000,17.472,17.472,17.414,17.454,22087,0
BSCN.US,D,20141022,000000,17.422,17.438,17.414,17.431,4172,0
BSCN.US,D,20141023,000000,17.328,17.38,17.328,17.38,1380,0
BSCN.US,D,20141024,000000,17.405,17.405,17.405,17.405,584,0
BSCN.US,D,20141027,000000,17.422,17.422,17.362,17.362,5560,0
BSCN.US,D,20141028,000000,17.354,17.38,17.337,17.38,2339,0
BSCN.US,D,20141029,000000,17.29,17.321,17.245,17.245,6572,0
BSCN.US,D,20141031,000000,17.245,17.255,17.229,17.255,6407,0
BSCN.US,D,20141103,000000,17.304,17.304,17.205,17.245,3709,0
BSCN.US,D,20141104,000000,17.245,17.245,17.187,17.187,1205,0
BSCN.US,D,20141105,000000,17.187,17.187,17.187,17.187,198,0
BSCN.US,D,20141106,000000,17.197,17.197,17.187,17.187,2248,0
BSCN.US,D,20141107,000000,17.299,17.299,17.29,17.29,271,0
BSCN.US,D,20141110,000000,17.346,17.346,17.254,17.27,5366,0
BSCN.US,D,20141111,000000,17.28,17.29,17.28,17.28,2920,0
BSCN.US,D,20141113,000000,17.222,17.222,17.205,17.213,5249,0
BSCN.US,D,20141114,000000,17.228,17.228,17.228,17.228,2940,0
BSCN.US,D,20141117,000000,17.228,17.228,17.222,17.228,2140,0
BSCN.US,D,20141118,000000,17.178,17.187,17.152,17.168,1361,0
BSCN.US,D,20141121,000000,17.238,17.245,17.238,17.245,9848,0
BSCN.US,D,20141124,000000,17.263,17.299,17.263,17.299,1175,0
BSCN.US,D,20141125,000000,17.327,17.327,17.28,17.327,2159,0
BSCN.US,D,20141126,000000,17.405,17.405,17.398,17.398,426,0
BSCN.US,D,20141201,000000,17.422,17.437,17.369,17.369,18174,0
BSCN.US,D,20141202,000000,17.361,17.361,17.326,17.345,861,0
BSCN.US,D,20141203,000000,17.326,17.336,17.303,17.336,4639,0
BSCN.US,D,20141204,000000,17.326,17.369,17.326,17.369,2448,0
