<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCO.US,D,20140924,000000,16.936,16.994,16.891,16.891,6503,0
BSCO.US,D,20140925,000000,16.91,16.936,16.9,16.9,2615,0
BSCO.US,D,20140929,000000,16.859,16.859,16.859,16.859,195,0
BSCO.US,D,20140930,000000,16.883,16.891,16.844,16.891,6653,0
BSCO.US,D,20141001,000000,17.018,17.062,17.018,17.045,1841,0
BSCO.US,D,20141007,000000,17.122,17.131,17.096,17.131,1314,0
BSCO.US,D,20141008,000000,17.181,17.181,17.181,17.181,1559,0
BSCO.US,D,20141009,000000,17.096,17.238,17.087,17.087,4899,0
BSCO.US,D,20141010,000000,17.198,18.124,17.113,17.113,2782,0
BSCO.US,D,20141014,000000,17.212,17.219,17.198,17.198,9272,0
BSCO.US,D,20141015,000000,17.326,17.549,17.212,17.219,18180,0
BSCO.US,D,20141016,000000,17.307,17.307,17.273,17.273,1890,0
BSCO.US,D,20141017,000000,17.373,17.373,17.149,17.326,985,0
BSCO.US,D,20141020,000000,17.316,17.316,17.316,17.316,1133,0
BSCO.US,D,20141021,000000,17.255,17.255,17.255,17.255,3014,0
BSCO.US,D,20141022,000000,17.157,17.165,17.131,17.165,811,0
BSCO.US,D,20141024,000000,17.207,17.207,17.207,17.207,186,0
BSCO.US,D,20141028,000000,17.219,17.219,17.198,17.198,871,0
BSCO.US,D,20141029,000000,17.165,17.181,17.087,17.131,3064,0
BSCO.US,D,20141030,000000,17.131,17.131,17.131,17.131,584,0
BSCO.US,D,20141103,000000,17.198,17.198,17.053,17.069,5271,0
BSCO.US,D,20141104,000000,17.12,17.12,17.095,17.102,12019,0
BSCO.US,D,20141105,000000,17.069,17.12,17.06,17.12,2008,0
BSCO.US,D,20141106,000000,17.102,17.102,17.06,17.102,1244,0
BSCO.US,D,20141107,000000,17.139,17.172,17.12,17.156,3929,0
BSCO.US,D,20141110,000000,17.129,17.148,17.069,17.069,3036,0
BSCO.US,D,20141111,000000,17.129,17.148,17.095,17.095,3215,0
BSCO.US,D,20141112,000000,17.102,17.139,17.035,17.035,4161,0
BSCO.US,D,20141113,000000,17.095,17.102,17.075,17.095,2741,0
BSCO.US,D,20141114,000000,17.06,17.085,17.053,17.085,3697,0
BSCO.US,D,20141117,000000,17.129,17.129,17.069,17.12,6636,0
BSCO.US,D,20141118,000000,17.18,17.18,17.035,17.069,17532,0
BSCO.US,D,20141119,000000,17.053,17.069,17.043,17.043,10767,0
BSCO.US,D,20141120,000000,17.043,17.06,17.043,17.06,1123,0
