<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCQ.US,D,20160919,000000,17.869,17.869,17.822,17.822,3063,0
BSCQ.US,D,20160921,000000,17.85,17.85,17.85,17.85,10389,0
BSCQ.US,D,20160922,000000,17.869,17.907,17.869,17.907,33963,0
BSCQ.US,D,20160923,000000,17.932,17.935,17.925,17.93,8831,0
BSCQ.US,D,20160926,000000,17.925,17.962,17.925,17.957,12238,0
BSCQ.US,D,20160927,000000,17.962,18,17.962,18,10278,0
BSCQ.US,D,20160928,000000,18,18.007,18,18.007,2863,0
BSCQ.US,D,20160929,000000,18,18.024,17.957,18.003,14196,0
BSCQ.US,D,20160930,000000,17.953,18.024,17.953,18.015,10216,0
BSCQ.US,D,20161003,000000,17.972,17.982,17.905,17.97,63649,0
BSCQ.US,D,20161004,000000,17.907,17.935,17.907,17.935,6179,0
BSCQ.US,D,20161005,000000,17.897,17.897,17.813,17.813,8312,0
BSCQ.US,D,20161006,000000,17.822,17.897,17.813,17.897,1681,0
BSCQ.US,D,20161011,000000,17.841,17.879,17.841,17.879,2583,0
BSCQ.US,D,20161012,000000,17.879,17.879,17.822,17.869,4943,0
BSCQ.US,D,20161013,000000,17.879,17.915,17.869,17.869,2354,0
BSCQ.US,D,20161018,000000,17.85,17.869,17.85,17.869,350,0
BSCQ.US,D,20161019,000000,17.879,17.907,17.879,17.907,2466,0
BSCQ.US,D,20161020,000000,17.888,17.916,17.879,17.916,2645,0
BSCQ.US,D,20161024,000000,17.888,17.897,17.888,17.897,230,0
BSCQ.US,D,20161025,000000,17.888,17.897,17.879,17.879,2701,0
BSCQ.US,D,20161026,000000,17.85,17.879,17.85,17.879,787,0
BSCQ.US,D,20161027,000000,17.804,17.804,17.779,17.779,3956,0
BSCQ.US,D,20161028,000000,17.787,17.787,17.721,17.721,7918,0
BSCQ.US,D,20161031,000000,17.77,17.779,17.77,17.77,2235,0
BSCQ.US,D,20161101,000000,17.719,17.771,17.719,17.771,7921,0
BSCQ.US,D,20161102,000000,17.791,17.791,17.766,17.766,517,0
BSCQ.US,D,20161103,000000,17.752,17.761,17.744,17.761,4059,0
BSCQ.US,D,20161107,000000,17.805,17.805,17.757,17.788,18539,0
BSCQ.US,D,20161109,000000,17.614,17.614,17.508,17.533,10774,0
BSCQ.US,D,20161110,000000,17.515,17.515,17.496,17.496,3360,0
BSCQ.US,D,20161111,000000,17.469,17.469,17.408,17.408,13919,0
BSCQ.US,D,20161114,000000,17.219,17.377,17.219,17.377,2817,0
