<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCR.US,D,20170929,000000,18.304,18.304,18.301,18.304,19590,0
BSCR.US,D,20171002,000000,18.295,18.32,18.295,18.32,3268,0
BSCR.US,D,20171003,000000,18.304,18.34,18.304,18.33,32687,0
BSCR.US,D,20171004,000000,18.378,18.378,18.335,18.335,1363,0
BSCR.US,D,20171005,000000,18.34,18.34,18.328,18.338,5708,0
BSCR.US,D,20171006,000000,18.286,18.32,18.286,18.32,11507,0
BSCR.US,D,20171009,000000,18.33,18.33,18.318,18.33,9866,0
BSCR.US,D,20171010,000000,18.34,18.34,18.33,18.33,3607,0
BSCR.US,D,20171011,000000,18.345,18.368,18.345,18.361,2670,0
BSCR.US,D,20171012,000000,18.36,18.36,18.35,18.357,4136,0
BSCR.US,D,20171013,000000,18.411,18.411,18.4,18.411,7603,0
BSCR.US,D,20171016,000000,18.395,18.395,18.395,18.395,4175,0
BSCR.US,D,20171017,000000,18.378,18.378,18.378,18.378,100,0
BSCR.US,D,20171018,000000,18.378,18.378,18.377,18.377,6997,0
BSCR.US,D,20171019,000000,18.411,18.411,18.395,18.395,3666,0
BSCR.US,D,20171020,000000,18.36,18.36,18.36,18.36,283,0
BSCR.US,D,20171024,000000,18.36,18.368,18.352,18.368,10120,0
BSCR.US,D,20171025,000000,18.295,18.313,18.286,18.313,3170,0
BSCR.US,D,20171030,000000,18.388,18.388,18.388,18.388,224,0
BSCR.US,D,20171102,000000,18.399,18.399,18.391,18.399,1930,0
BSCR.US,D,20171103,000000,18.407,18.407,18.374,18.38,10208,0
BSCR.US,D,20171106,000000,18.402,18.407,18.402,18.407,4792,0
BSCR.US,D,20171107,000000,18.39,18.399,18.382,18.382,17429,0
BSCR.US,D,20171109,000000,18.351,18.354,18.331,18.344,24121,0
BSCR.US,D,20171110,000000,18.262,18.262,18.259,18.262,1969,0
BSCR.US,D,20171113,000000,18.29,18.29,18.258,18.262,6855,0
BSCR.US,D,20171114,000000,18.253,18.262,18.253,18.257,1916,0
BSCR.US,D,20171116,000000,18.3,18.308,18.29,18.29,5112,0
BSCR.US,D,20171117,000000,18.334,18.334,18.305,18.305,5635,0
BSCR.US,D,20171120,000000,18.324,18.324,18.317,18.317,2230,0
BSCR.US,D,20171121,000000,18.344,18.344,18.334,18.334,1058,0
BSCR.US,D,20171122,000000,18.381,18.435,18.37,18.425,5262,0
BSCR.US,D,20171127,000000,18.399,18.415,18.392,18.415,10647,0
BSCR.US,D,20171129,000000,18.399,18.399,18.399,18.399,100,0
BSCR.US,D,20171130,000000,18.399,18.399,18.344,18.354,981,0
BSCR.US,D,20171204,000000,18.397,18.397,18.37,18.39,2088,0
BSCR.US,D,20171205,000000,18.38,18.38,18.378,18.38,13891,0
BSCR.US,D,20171206,000000,18.432,18.433,18.432,18.433,2719,0
BSCR.US,D,20171207,000000,18.433,18.433,18.413,18.433,16543,0
BSCR.US,D,20171208,000000,18.387,18.406,18.385,18.385,2116,0
BSCR.US,D,20171211,000000,18.433,18.433,18.433,18.433,872,0
BSCR.US,D,20171213,000000,18.433,18.462,18.428,18.462,4203,0
BSCR.US,D,20171214,000000,18.462,18.462,18.423,18.443,4680,0
BSCR.US,D,20171215,000000,18.462,18.462,18.443,18.443,21944,0
BSCR.US,D,20171218,000000,18.477,18.479,18.448,18.448,3330,0
BSCR.US,D,20171219,000000,18.413,18.413,18.341,18.37,7418,0
BSCR.US,D,20171220,000000,18.322,18.351,18.322,18.322,6115,0
BSCR.US,D,20171221,000000,18.332,18.332,18.332,18.332,223,0
BSCR.US,D,20171222,000000,18.327,18.327,18.327,18.327,111,0
BSCR.US,D,20171226,000000,18.342,18.342,18.342,18.342,284,0
BSCR.US,D,20171228,000000,18.451,18.457,18.437,18.45,4261,0
BSCR.US,D,20171229,000000,18.447,18.447,18.442,18.442,19797,0
BSCR.US,D,20180102,000000,18.466,18.466,18.385,18.437,23483,0
BSCR.US,D,20180103,000000,18.427,18.447,18.401,18.447,9964,0
BSCR.US,D,20180104,000000,18.4,18.437,18.397,18.437,7478,0
BSCR.US,D,20180105,000000,18.408,18.417,18.365,18.417,18932,0
BSCR.US,D,20180108,000000,18.456,18.456,18.4,18.447,12702,0
BSCR.US,D,20180109,000000,18.417,18.417,18.355,18.357,131439,0
BSCR.US,D,20180110,000000,18.325,18.392,18.291,18.392,200143,0
BSCR.US,D,20180111,000000,18.373,18.408,18.373,18.4,54003,0
BSCR.US,D,20180112,000000,18.365,18.408,18.345,18.394,30692,0
BSCR.US,D,20180116,000000,18.427,18.427,18.392,18.408,32689,0
BSCR.US,D,20180117,000000,18.373,18.373,18.31,18.355,30155,0
BSCR.US,D,20180118,000000,18.274,18.309,18.236,18.244,33240,0
BSCR.US,D,20180119,000000,18.244,18.256,18.227,18.249,11910,0
BSCR.US,D,20180122,000000,18.241,18.254,18.213,18.213,4483,0
BSCR.US,D,20180123,000000,18.272,18.299,18.227,18.291,94350,0
BSCR.US,D,20180124,000000,18.272,18.291,18.263,18.274,5741,0
BSCR.US,D,20180125,000000,18.243,18.325,18.243,18.312,13144,0
BSCR.US,D,20180126,000000,18.325,18.325,18.295,18.317,42986,0
BSCR.US,D,20180129,000000,18.236,18.244,18.217,18.244,35661,0
BSCR.US,D,20180130,000000,18.227,18.254,18.172,18.2,44710,0
BSCR.US,D,20180131,000000,18.208,18.231,18.199,18.225,15440,0
BSCR.US,D,20180201,000000,18.244,18.244,18.134,18.16,15454,0
BSCR.US,D,20180202,000000,18.085,18.085,18.053,18.067,12953,0
BSCR.US,D,20180205,000000,18.039,18.138,18.029,18.124,32506,0
BSCR.US,D,20180206,000000,18.074,18.143,18.067,18.095,99401,0
BSCR.US,D,20180207,000000,18.115,18.115,18.009,18.009,5028,0
BSCR.US,D,20180208,000000,17.962,17.989,17.936,17.943,4792,0
BSCR.US,D,20180209,000000,17.917,17.925,17.91,17.91,2994,0
BSCR.US,D,20180212,000000,17.916,17.934,17.884,17.921,4005,0
BSCR.US,D,20180213,000000,17.894,17.917,17.868,17.917,66900,0
BSCR.US,D,20180214,000000,17.82,17.835,17.82,17.823,10271,0
BSCR.US,D,20180215,000000,17.894,17.898,17.858,17.894,24098,0
BSCR.US,D,20180216,000000,17.925,17.952,17.915,17.917,24526,0
BSCR.US,D,20180220,000000,17.84,17.894,17.84,17.893,17809,0
BSCR.US,D,20180221,000000,17.894,17.894,17.811,17.82,14267,0
BSCR.US,D,20180222,000000,17.877,17.877,17.82,17.849,9932,0
BSCR.US,D,20180223,000000,17.901,17.917,17.876,17.916,11323,0
BSCR.US,D,20180226,000000,17.981,17.981,17.94,17.94,5876,0
BSCR.US,D,20180227,000000,17.898,17.899,17.859,17.859,2513,0
BSCR.US,D,20180228,000000,17.891,17.894,17.88,17.894,6549,0
BSCR.US,D,20180301,000000,17.868,17.91,17.85,17.91,2686,0
BSCR.US,D,20180302,000000,17.848,18.114,17.839,17.848,39646,0
BSCR.US,D,20180305,000000,17.876,17.876,17.833,17.848,3267,0
BSCR.US,D,20180306,000000,17.857,17.867,17.825,17.825,13250,0
BSCR.US,D,20180307,000000,17.819,17.857,17.791,17.791,5805,0
BSCR.US,D,20180308,000000,17.857,17.857,17.824,17.824,6539,0
BSCR.US,D,20180309,000000,17.839,17.839,17.771,17.81,4686,0
BSCR.US,D,20180312,000000,17.8,17.819,17.796,17.804,6480,0
BSCR.US,D,20180313,000000,17.845,17.848,17.805,17.812,10592,0
BSCR.US,D,20180314,000000,17.781,17.857,17.781,17.819,7244,0
BSCR.US,D,20180315,000000,17.843,17.848,17.819,17.835,10395,0
