<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCS.US,D,20180815,000000,18.882,18.882,18.882,18.882,201,0
BSCS.US,D,20180816,000000,18.929,18.929,18.909,18.909,579,0
BSCS.US,D,20180817,000000,18.891,18.891,18.891,18.891,372,0
BSCS.US,D,20180821,000000,18.958,18.958,18.939,18.939,1273,0
BSCS.US,D,20180822,000000,18.958,18.958,18.941,18.949,5186,0
BSCS.US,D,20180823,000000,18.938,18.94,18.938,18.94,1261,0
BSCS.US,D,20180827,000000,18.929,18.929,18.929,18.929,734,0
BSCS.US,D,20180828,000000,18.891,18.909,18.891,18.9,6385,0
BSCS.US,D,20180829,000000,18.865,18.865,18.86,18.86,1208,0
BSCS.US,D,20180830,000000,18.891,18.891,18.845,18.845,993,0
BSCS.US,D,20180831,000000,18.919,18.919,18.909,18.909,906,0
BSCS.US,D,20180904,000000,18.845,18.845,18.836,18.836,2682,0
BSCS.US,D,20180905,000000,18.836,18.836,18.807,18.836,10538,0
BSCS.US,D,20180906,000000,18.895,18.9,18.895,18.9,394,0
BSCS.US,D,20180907,000000,18.817,18.817,18.8,18.8,1964,0
BSCS.US,D,20180910,000000,18.813,18.813,18.813,18.813,1967,0
BSCS.US,D,20180911,000000,18.79,18.79,18.772,18.79,5239,0
BSCS.US,D,20180912,000000,18.836,18.836,18.831,18.831,5016,0
BSCS.US,D,20180913,000000,18.855,18.865,18.855,18.865,2218,0
BSCS.US,D,20180914,000000,18.821,18.827,18.8,18.827,2927,0
BSCS.US,D,20180917,000000,18.808,18.836,18.772,18.808,3827,0
BSCS.US,D,20180918,000000,18.753,18.753,18.745,18.745,6466,0
BSCS.US,D,20180919,000000,18.736,18.736,18.731,18.731,11201,0
BSCS.US,D,20180920,000000,18.745,18.762,18.745,18.748,673,0
BSCS.US,D,20180921,000000,18.762,18.771,18.758,18.771,5804,0
BSCS.US,D,20180924,000000,18.745,18.771,18.745,18.753,5833,0
BSCS.US,D,20180925,000000,18.769,18.817,18.769,18.817,1976,0
BSCS.US,D,20180926,000000,18.79,18.845,18.79,18.845,4645,0
BSCS.US,D,20180927,000000,18.874,18.883,18.86,18.874,2448,0
BSCS.US,D,20181001,000000,18.881,18.891,18.837,18.874,3298,0
BSCS.US,D,20181002,000000,18.865,18.865,18.79,18.79,10188,0
BSCS.US,D,20181003,000000,18.727,18.727,18.717,18.717,5578,0
BSCS.US,D,20181004,000000,18.62,18.64,18.62,18.63,1539,0
BSCS.US,D,20181005,000000,18.593,18.593,18.535,18.547,4978,0
BSCS.US,D,20181008,000000,18.512,18.512,18.507,18.507,1522,0
BSCS.US,D,20181009,000000,18.555,18.555,18.55,18.55,2495,0
BSCS.US,D,20181010,000000,18.533,18.533,18.516,18.516,6141,0
BSCS.US,D,20181011,000000,18.575,18.602,18.526,18.602,2550,0
BSCS.US,D,20181012,000000,18.612,18.64,18.602,18.602,7596,0
BSCS.US,D,20181015,000000,18.593,18.593,18.593,18.593,1591,0
BSCS.US,D,20181016,000000,18.573,18.602,18.573,18.602,4634,0
BSCS.US,D,20181017,000000,18.565,18.565,18.565,18.565,213,0
BSCS.US,D,20181018,000000,18.536,18.536,18.536,18.536,907,0
BSCS.US,D,20181019,000000,18.545,18.545,18.516,18.516,2219,0
BSCS.US,D,20181022,000000,18.565,18.565,18.525,18.525,2697,0
BSCS.US,D,20181023,000000,18.555,18.555,18.525,18.525,804,0
BSCS.US,D,20181024,000000,18.574,18.602,18.574,18.593,3208,0
BSCS.US,D,20181029,000000,18.583,18.584,18.583,18.584,729,0
BSCS.US,D,20181030,000000,18.575,18.575,18.555,18.555,1816,0
BSCS.US,D,20181031,000000,18.535,18.535,18.512,18.512,1110,0
BSCS.US,D,20181101,000000,18.499,18.499,18.499,18.499,1093,0
BSCS.US,D,20181102,000000,18.468,18.468,18.459,18.459,13399,0
BSCS.US,D,20181105,000000,18.497,18.516,18.466,18.489,5029,0
BSCS.US,D,20181106,000000,18.507,18.516,18.449,18.449,8617,0
BSCS.US,D,20181107,000000,18.584,18.593,18.584,18.584,3290,0
BSCS.US,D,20181108,000000,18.53,18.545,18.507,18.507,19703,0
BSCS.US,D,20181112,000000,18.545,18.545,18.522,18.522,2864,0
BSCS.US,D,20181113,000000,18.525,18.525,18.499,18.52,2218,0
BSCS.US,D,20181114,000000,18.497,18.497,18.468,18.468,12357,0
BSCS.US,D,20181115,000000,18.449,18.497,18.449,18.467,16961,0
BSCS.US,D,20181116,000000,18.471,18.497,18.466,18.497,4999,0
BSCS.US,D,20181119,000000,18.487,18.487,18.411,18.411,14985,0
BSCS.US,D,20181120,000000,18.449,18.449,18.449,18.449,2506,0
BSCS.US,D,20181121,000000,18.486,18.486,18.452,18.452,606,0
BSCS.US,D,20181123,000000,18.497,18.497,18.497,18.497,300,0
BSCS.US,D,20181126,000000,18.47,18.507,18.466,18.497,4222,0
BSCS.US,D,20181127,000000,18.478,18.478,18.449,18.478,4543,0
BSCS.US,D,20181128,000000,18.507,18.516,18.495,18.499,6681,0
BSCS.US,D,20181129,000000,18.516,18.516,18.455,18.455,2704,0
BSCS.US,D,20181130,000000,18.458,18.458,18.455,18.455,1190,0
BSCS.US,D,20181203,000000,18.535,18.545,18.516,18.516,3003,0
BSCS.US,D,20181204,000000,18.526,18.526,18.513,18.516,2826,0
