<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCT.US,D,20190917,000000,19.628,19.64,19.595,19.612,6910,0
BSCT.US,D,20190918,000000,19.689,19.701,19.638,19.638,2326,0
BSCT.US,D,20190919,000000,19.719,19.719,19.655,19.655,3356,0
BSCT.US,D,20190920,000000,19.738,19.773,19.738,19.773,898,0
BSCT.US,D,20190923,000000,19.828,19.828,19.793,19.793,7931,0
BSCT.US,D,20190924,000000,19.898,19.898,19.873,19.873,970,0
BSCT.US,D,20190925,000000,19.763,19.768,19.742,19.742,451,0
BSCT.US,D,20190926,000000,19.815,19.828,19.783,19.783,2174,0
BSCT.US,D,20190927,000000,19.818,19.818,19.793,19.793,1165,0
BSCT.US,D,20190930,000000,19.853,19.858,19.853,19.853,2154,0
BSCT.US,D,20191001,000000,19.888,19.888,19.873,19.873,307,0
BSCT.US,D,20191002,000000,19.908,19.917,19.893,19.893,3158,0
BSCT.US,D,20191003,000000,20.015,20.016,19.991,19.991,511,0
BSCT.US,D,20191004,000000,20.054,20.054,20.04,20.04,777,0
BSCT.US,D,20191007,000000,19.986,19.986,19.952,19.952,690,0
BSCT.US,D,20191008,000000,19.996,19.996,19.971,19.971,293,0
BSCT.US,D,20191009,000000,19.986,19.986,19.925,19.943,829,0
BSCT.US,D,20191010,000000,19.858,19.858,19.848,19.848,100,0
BSCT.US,D,20191011,000000,19.788,19.788,19.756,19.756,1399,0
BSCT.US,D,20191014,000000,19.808,19.818,19.808,19.813,6781,0
BSCT.US,D,20191015,000000,19.788,19.788,19.773,19.773,9942,0
BSCT.US,D,20191016,000000,19.788,19.828,19.788,19.808,2654,0
BSCT.US,D,20191017,000000,19.823,19.823,19.823,19.823,13,0
BSCT.US,D,20191018,000000,19.878,19.878,19.863,19.863,5113,0
BSCT.US,D,20191021,000000,19.828,19.828,19.818,19.828,13086,0
BSCT.US,D,20191022,000000,19.858,19.868,19.828,19.834,4662,0
BSCT.US,D,20191023,000000,19.839,19.843,19.839,19.843,1709,0
BSCT.US,D,20191024,000000,19.917,19.917,19.873,19.873,2508,0
BSCT.US,D,20191025,000000,19.878,19.878,19.853,19.853,4100,0
BSCT.US,D,20191028,000000,19.837,19.838,19.808,19.808,1944,0
BSCT.US,D,20191029,000000,19.828,19.828,19.803,19.803,2131,0
BSCT.US,D,20191030,000000,19.808,19.878,19.808,19.858,1773,0
BSCT.US,D,20191031,000000,19.937,20.006,19.917,19.972,3401,0
BSCT.US,D,20191101,000000,19.996,19.996,19.947,19.957,6446,0
BSCT.US,D,20191104,000000,19.903,19.903,19.868,19.898,1934,0
BSCT.US,D,20191105,000000,19.788,19.788,19.758,19.773,3489,0
BSCT.US,D,20191106,000000,19.848,19.848,19.833,19.833,275,0
BSCT.US,D,20191107,000000,19.757,19.758,19.689,19.714,1988,0
BSCT.US,D,20191108,000000,19.729,19.736,19.684,19.699,1743,0
BSCT.US,D,20191111,000000,19.699,19.714,19.699,19.714,100,0
BSCT.US,D,20191112,000000,19.709,19.738,19.694,19.714,5564,0
BSCT.US,D,20191113,000000,19.798,19.798,19.753,19.753,2027,0
BSCT.US,D,20191114,000000,19.858,19.878,19.818,19.833,8566,0
BSCT.US,D,20191115,000000,19.838,19.858,19.799,19.823,3901,0
BSCT.US,D,20191118,000000,19.89,19.898,19.863,19.863,3451,0
BSCT.US,D,20191119,000000,19.878,19.917,19.878,19.908,11189,0
BSCT.US,D,20191120,000000,19.937,19.957,19.922,19.932,1506,0
BSCT.US,D,20191121,000000,19.906,19.906,19.883,19.883,195,0
BSCT.US,D,20191122,000000,19.888,19.937,19.888,19.922,4207,0
BSCT.US,D,20191125,000000,19.96,19.96,19.952,19.952,1625,0
BSCT.US,D,20191126,000000,20.006,20.016,19.995,19.995,799,0
BSCT.US,D,20191127,000000,19.996,20.006,19.972,19.972,4159,0
BSCT.US,D,20191129,000000,19.977,19.986,19.957,19.957,1486,0
BSCT.US,D,20191202,000000,19.908,19.908,19.888,19.888,8078,0
BSCT.US,D,20191203,000000,20.039,20.039,20.021,20.021,2757,0
BSCT.US,D,20191204,000000,19.986,19.986,19.982,19.982,250,0
BSCT.US,D,20191205,000000,19.947,19.972,19.947,19.972,203,0
BSCT.US,D,20191206,000000,19.922,19.963,19.922,19.952,4822,0
BSCT.US,D,20191209,000000,19.982,19.982,19.937,19.962,2121,0
BSCT.US,D,20191210,000000,19.967,19.967,19.932,19.932,366,0
BSCT.US,D,20191211,000000,19.97,20.021,19.97,20.021,1502,0
BSCT.US,D,20191212,000000,19.937,19.937,19.888,19.908,7675,0
BSCT.US,D,20191213,000000,20.035,20.045,20.011,20.021,6825,0
BSCT.US,D,20191216,000000,20.016,20.016,19.977,19.982,4449,0
BSCT.US,D,20191217,000000,19.967,19.981,19.967,19.977,1927,0
BSCT.US,D,20191218,000000,19.927,19.977,19.927,19.947,6314,0
BSCT.US,D,20191219,000000,19.977,19.986,19.947,19.967,11533,0
BSCT.US,D,20191220,000000,19.967,19.986,19.929,19.977,11234,0
BSCT.US,D,20191223,000000,19.893,19.893,19.893,19.893,29082,0
BSCT.US,D,20191224,000000,19.888,19.927,19.888,19.918,4049,0
BSCT.US,D,20191226,000000,19.957,19.967,19.922,19.952,17268,0
BSCT.US,D,20191227,000000,19.996,20.016,19.964,19.982,32456,0
BSCT.US,D,20191230,000000,19.927,20.001,19.908,20.001,19404,0
BSCT.US,D,20191231,000000,19.962,20.001,19.908,20.001,19404,0
BSCT.US,D,20200102,000000,20.055,20.055,19.978,19.982,5591,0
BSCT.US,D,20200103,000000,20.045,20.104,20.023,20.065,18508,0
BSCT.US,D,20200106,000000,20.104,20.104,20.036,20.075,17632,0
BSCT.US,D,20200107,000000,20.045,20.045,20.021,20.021,7439,0
