<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSCU.US,D,20200918,000000,19.8,20.346,19.8,19.878,13751,0
BSCU.US,D,20200921,000000,19.869,19.869,19.849,19.849,648,0
BSCU.US,D,20200922,000000,19.869,19.869,19.83,19.83,2367,0
BSCU.US,D,20200923,000000,19.83,19.83,19.7,19.725,11376,0
BSCU.US,D,20200924,000000,19.72,19.75,19.648,19.651,11842,0
BSCU.US,D,20200925,000000,19.671,19.671,19.616,19.616,1704,0
BSCU.US,D,20200928,000000,19.661,19.72,19.661,19.71,2213,0
BSCU.US,D,20200929,000000,19.73,19.73,19.71,19.73,8410,0
BSCU.US,D,20200930,000000,19.72,19.72,19.7,19.7,6996,0
BSCU.US,D,20201001,000000,19.74,19.76,19.74,19.76,1790,0
BSCU.US,D,20201002,000000,19.73,19.75,19.73,19.73,3725,0
BSCU.US,D,20201005,000000,19.72,19.75,19.671,19.683,10833,0
BSCU.US,D,20201006,000000,19.7,19.7,19.7,19.7,1007,0
BSCU.US,D,20201007,000000,19.69,19.75,19.69,19.7,3180,0
BSCU.US,D,20201008,000000,19.77,19.77,19.76,19.765,524,0
BSCU.US,D,20201009,000000,19.76,19.79,19.75,19.761,910,0
BSCU.US,D,20201012,000000,19.83,19.859,19.83,19.84,4480,0
BSCU.US,D,20201013,000000,19.849,19.849,19.82,19.83,2639,0
BSCU.US,D,20201015,000000,19.83,19.83,19.787,19.787,7526,0
BSCU.US,D,20201016,000000,19.82,19.83,19.8,19.801,1316,0
BSCU.US,D,20201019,000000,19.8,19.81,19.77,19.77,1925,0
BSCU.US,D,20201020,000000,19.72,19.748,19.72,19.748,185,0
BSCU.US,D,20201021,000000,19.74,19.74,19.73,19.74,551,0
BSCU.US,D,20201022,000000,19.71,19.71,19.683,19.683,810,0
BSCU.US,D,20201023,000000,19.712,19.75,19.712,19.73,2813,0
BSCU.US,D,20201026,000000,19.75,19.78,19.74,19.78,4927,0
BSCU.US,D,20201027,000000,19.8,19.8,19.78,19.8,554,0
BSCU.US,D,20201028,000000,19.76,19.76,19.735,19.735,3523,0
BSCU.US,D,20201029,000000,19.69,19.7,19.68,19.68,604,0
BSCU.US,D,20201030,000000,19.671,19.671,19.601,19.601,504,0
BSCU.US,D,20201102,000000,19.656,19.658,19.656,19.658,100,0
BSCU.US,D,20201103,000000,19.651,19.651,19.641,19.641,1175,0
BSCU.US,D,20201104,000000,19.82,19.918,19.82,19.893,835,0
BSCU.US,D,20201105,000000,19.957,19.957,19.94,19.94,200,0
BSCU.US,D,20201109,000000,19.84,19.849,19.82,19.82,5191,0
BSCU.US,D,20201110,000000,19.83,19.869,19.801,19.801,895,0
BSCU.US,D,20201111,000000,19.8,19.83,19.8,19.82,413,0
BSCU.US,D,20201112,000000,19.859,19.903,19.859,19.903,704,0
BSCU.US,D,20201113,000000,19.903,19.918,19.903,19.903,454,0
BSCU.US,D,20201116,000000,19.918,19.947,19.918,19.942,5514,0
BSCU.US,D,20201119,000000,20.097,20.097,20.097,20.097,179,0
BSCU.US,D,20201120,000000,20.087,20.097,20.067,20.067,708,0
BSCU.US,D,20201123,000000,20.067,20.067,20.067,20.067,381,0
BSCU.US,D,20201124,000000,20.087,20.087,20.087,20.087,200,0
BSCU.US,D,20201127,000000,20.137,20.137,20.127,20.127,183,0
BSCU.US,D,20201130,000000,20.137,20.174,20.137,20.174,506,0
BSCU.US,D,20201201,000000,20.197,20.197,20.097,20.109,3684,0
BSCU.US,D,20201202,000000,20.087,20.087,20.087,20.087,250,0
BSCU.US,D,20201207,000000,20.167,20.167,20.117,20.117,210,0
BSCU.US,D,20201208,000000,20.117,20.132,20.102,20.102,4636,0
BSCU.US,D,20201209,000000,20.087,20.087,20.007,20.007,4486,0
BSCU.US,D,20201210,000000,20.037,20.117,20.037,20.092,282541,0
BSCU.US,D,20201211,000000,20.117,20.127,20.077,20.092,12807,0
BSCU.US,D,20201214,000000,20.177,20.177,20.047,20.096,12852,0
BSCU.US,D,20201215,000000,20.117,20.147,20.107,20.142,7448,0
BSCU.US,D,20201216,000000,20.127,20.157,20.126,20.127,4771,0
BSCU.US,D,20201217,000000,20.137,20.137,20.127,20.127,2103,0
BSCU.US,D,20201218,000000,20.157,20.207,20.127,20.127,13788,0
BSCU.US,D,20201221,000000,20.197,20.197,20.097,20.097,21538,0
BSCU.US,D,20201222,000000,20.197,20.197,20.136,20.147,2093,0
BSCU.US,D,20201223,000000,20.147,20.167,20.107,20.157,34999,0
BSCU.US,D,20201224,000000,20.177,20.197,20.177,20.187,5359,0
BSCU.US,D,20201228,000000,20.177,20.227,20.177,20.217,8713,0
BSCU.US,D,20201229,000000,20.187,20.247,20.187,20.229,12346,0
BSCU.US,D,20201230,000000,20.257,20.277,20.227,20.247,12141,0
BSCU.US,D,20201231,000000,20.277,20.287,20.257,20.257,19731,0
BSCU.US,D,20210104,000000,20.267,20.267,20.197,20.197,25084,0
BSCU.US,D,20210105,000000,20.177,20.267,20.147,20.152,12222,0
BSCU.US,D,20210106,000000,20.017,20.027,19.987,20.027,10343,0
BSCU.US,D,20210107,000000,19.997,20.006,19.987,19.997,4276,0
BSCU.US,D,20210108,000000,20.017,20.027,19.947,19.957,13575,0
BSCU.US,D,20210111,000000,19.937,19.946,19.888,19.888,19340,0
BSCU.US,D,20210112,000000,19.829,19.897,19.829,19.889,1548,0
BSCU.US,D,20210113,000000,19.977,20.057,19.977,20.017,9513,0
BSCU.US,D,20210114,000000,20.067,20.067,19.977,19.977,10409,0
BSCU.US,D,20210115,000000,20.015,20.047,20.007,20.007,11796,0
BSCU.US,D,20210119,000000,20.067,20.067,20.007,20.007,18407,0
BSCU.US,D,20210120,000000,20.042,20.057,20.007,20.007,16094,0
BSCU.US,D,20210121,000000,19.977,19.987,19.967,19.967,17373,0
BSCU.US,D,20210122,000000,20.017,20.037,19.957,19.957,32342,0
BSCU.US,D,20210125,000000,20.027,20.027,20.017,20.027,25916,0
BSCU.US,D,20210126,000000,20.027,20.037,20.017,20.017,6328,0
BSCU.US,D,20210127,000000,20.117,20.117,19.997,20.007,11325,0
BSCU.US,D,20210128,000000,20.017,20.017,19.997,19.997,7901,0
BSCU.US,D,20210129,000000,19.918,19.937,19.911,19.923,8932,0
BSCU.US,D,20210201,000000,19.997,19.997,19.957,19.957,14141,0
BSCU.US,D,20210202,000000,19.927,19.947,19.923,19.923,10444,0
BSCU.US,D,20210203,000000,19.957,19.977,19.932,19.932,1205,0
BSCU.US,D,20210204,000000,19.908,19.927,19.899,19.914,3736,0
BSCU.US,D,20210205,000000,19.927,19.927,19.918,19.918,3287,0
BSCU.US,D,20210208,000000,19.926,19.941,19.918,19.918,24010,0
BSCU.US,D,20210209,000000,19.927,19.927,19.927,19.927,562,0
BSCU.US,D,20210210,000000,19.952,19.957,19.952,19.957,2893,0
BSCU.US,D,20210211,000000,19.977,19.977,19.927,19.927,11283,0
BSCU.US,D,20210212,000000,19.908,19.918,19.883,19.883,4236,0
BSCU.US,D,20210216,000000,19.848,19.848,19.719,19.719,8392,0
BSCU.US,D,20210217,000000,19.729,19.759,19.728,19.754,10058,0
BSCU.US,D,20210218,000000,19.724,19.779,19.724,19.749,8142,0
BSCU.US,D,20210219,000000,19.739,19.759,19.639,19.639,53912,0
BSCU.US,D,20210222,000000,19.599,19.618,19.529,19.529,2172,0
BSCU.US,D,20210223,000000,19.549,19.549,19.549,19.549,341,0
BSCU.US,D,20210224,000000,19.559,19.569,19.544,19.569,9571,0
BSCU.US,D,20210225,000000,19.419,19.419,19.25,19.25,16143,0
BSCU.US,D,20210226,000000,19.379,19.419,19.319,19.419,14715,0
BSCU.US,D,20210301,000000,19.469,19.478,19.445,19.459,8598,0
BSCU.US,D,20210302,000000,19.499,19.499,19.467,19.479,13942,0
BSCU.US,D,20210303,000000,19.359,19.389,19.359,19.359,1797,0
BSCU.US,D,20210304,000000,19.339,19.359,19.191,19.201,16180,0
BSCU.US,D,20210305,000000,19.131,19.136,19.091,19.136,10650,0
BSCU.US,D,20210308,000000,19.101,19.101,18.991,18.991,5036,0
BSCU.US,D,20210309,000000,19.171,19.171,19.081,19.081,1907,0
BSCU.US,D,20210310,000000,19.141,19.201,19.141,19.171,8521,0
