<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSDE.US,D,20181207,000000,23.173,23.173,23.173,23.173,176,0
BSDE.US,D,20181210,000000,23.139,23.139,23.139,23.139,83,0
BSDE.US,D,20181213,000000,23.211,23.22,23.174,23.174,1893,0
BSDE.US,D,20181214,000000,23.216,23.216,23.187,23.187,101,0
BSDE.US,D,20181218,000000,23.318,23.318,23.276,23.276,101,0
BSDE.US,D,20181220,000000,23.286,23.286,23.243,23.243,101,0
BSDE.US,D,20190102,000000,23.36,23.371,23.32,23.32,6436,0
BSDE.US,D,20190103,000000,23.344,23.344,23.334,23.334,244,0
BSDE.US,D,20190104,000000,23.52,23.52,23.458,23.458,2976,0
BSDE.US,D,20190108,000000,23.54,23.54,23.54,23.54,153,0
BSDE.US,D,20190109,000000,23.596,23.701,23.588,23.644,7116,0
BSDE.US,D,20190110,000000,23.592,23.616,23.592,23.599,2977,0
BSDE.US,D,20190114,000000,23.606,23.616,23.568,23.568,2035,0
BSDE.US,D,20190115,000000,23.606,23.606,23.606,23.606,53,0
BSDE.US,D,20190118,000000,23.719,23.729,23.664,23.711,580,0
BSDE.US,D,20190122,000000,23.777,23.787,23.724,23.724,9201,0
BSDE.US,D,20190124,000000,23.871,23.881,23.871,23.881,1428,0
BSDE.US,D,20190125,000000,23.852,23.852,23.847,23.847,1046,0
BSDE.US,D,20190128,000000,23.845,23.881,23.845,23.857,447,0
BSDE.US,D,20190129,000000,23.822,23.822,23.803,23.803,118,0
BSDE.US,D,20190130,000000,23.822,23.957,23.822,23.928,3184,0
BSDE.US,D,20190201,000000,24.017,24.049,24.005,24.005,524,0
BSDE.US,D,20190205,000000,24.075,24.075,24.075,24.075,127,0
BSDE.US,D,20190206,000000,24.013,24.027,24.01,24.027,3562,0
BSDE.US,D,20190208,000000,24.005,24.005,23.98,23.98,937,0
BSDE.US,D,20190211,000000,23.932,23.932,23.932,23.932,98,0
BSDE.US,D,20190212,000000,24.005,24.005,24.005,24.005,631,0
BSDE.US,D,20190213,000000,24.01,24.01,24.01,24.01,98,0
BSDE.US,D,20190214,000000,24.06,24.06,24.06,24.06,98,0
BSDE.US,D,20190215,000000,24.038,24.042,24.038,24.042,104,0
BSDE.US,D,20190219,000000,24.127,24.132,24.089,24.089,12671,0
BSDE.US,D,20190220,000000,24.08,24.089,24.022,24.022,12673,0
BSDE.US,D,20190221,000000,24.204,24.204,24.074,24.074,1155,0
BSDE.US,D,20190222,000000,24.07,24.085,24.07,24.085,660,0
BSDE.US,D,20190225,000000,24.117,24.117,24.117,24.117,62,0
BSDE.US,D,20190226,000000,24.161,24.17,24.161,24.17,284,0
BSDE.US,D,20190227,000000,24.157,24.157,24.157,24.157,4,0
BSDE.US,D,20190228,000000,24.166,24.166,24.146,24.146,539,0
BSDE.US,D,20190301,000000,24.175,24.175,24.132,24.132,299,0
BSDE.US,D,20190304,000000,24.184,24.194,24.18,24.18,3077,0
BSDE.US,D,20190305,000000,24.127,24.175,24.127,24.175,290,0
BSDE.US,D,20190306,000000,24.194,24.194,24.149,24.161,1402,0
BSDE.US,D,20190307,000000,24.218,24.218,24.218,24.218,4,0
BSDE.US,D,20190308,000000,24.175,24.175,24.175,24.175,265,0
BSDE.US,D,20190311,000000,24.29,24.29,24.232,24.232,981,0
BSDE.US,D,20190312,000000,24.238,24.311,24.238,24.271,414,0
BSDE.US,D,20190313,000000,24.237,24.237,24.237,24.237,25,0
BSDE.US,D,20190314,000000,24.262,24.262,24.262,24.262,40,0
BSDE.US,D,20190315,000000,24.302,24.302,24.302,24.302,25,0
