<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJL.US,D,20140924,000000,19.18,19.232,19.18,19.232,3979,0
BSJL.US,D,20140925,000000,19.137,19.145,18.966,18.966,7448,0
BSJL.US,D,20140926,000000,19.104,19.104,19.032,19.097,3440,0
BSJL.US,D,20140929,000000,18.958,18.958,18.958,18.958,597,0
BSJL.US,D,20141001,000000,19.01,19.046,18.993,19.025,7922,0
BSJL.US,D,20141002,000000,20.076,20.076,19.07,19.083,6345,0
BSJL.US,D,20141003,000000,19.119,19.145,19.097,19.119,17624,0
BSJL.US,D,20141006,000000,19.18,19.24,19.137,19.162,22039,0
BSJL.US,D,20141007,000000,19.18,19.198,19.154,19.198,5887,0
BSJL.US,D,20141008,000000,19.162,19.162,19.145,19.145,2616,0
BSJL.US,D,20141009,000000,19.131,19.333,19.017,19.038,55815,0
BSJL.US,D,20141010,000000,20.186,20.186,19.032,19.032,7692,0
BSJL.US,D,20141013,000000,20.17,20.17,18.928,19.001,6042,0
BSJL.US,D,20141014,000000,19.032,19.032,18.944,18.966,14553,0
BSJL.US,D,20141015,000000,19.001,19.001,18.823,18.823,3800,0
BSJL.US,D,20141016,000000,19.001,19.001,18.876,18.882,2141,0
BSJL.US,D,20141017,000000,19.01,19.01,19.01,19.01,1003,0
BSJL.US,D,20141020,000000,19.188,19.188,19.18,19.18,4176,0
BSJL.US,D,20141021,000000,19.248,19.35,19.206,19.317,7599,0
BSJL.US,D,20141022,000000,19.37,19.37,19.297,19.297,8701,0
BSJL.US,D,20141023,000000,19.384,19.445,19.376,19.445,6806,0
BSJL.US,D,20141024,000000,19.419,19.419,19.35,19.35,2348,0
BSJL.US,D,20141027,000000,19.333,19.37,19.333,19.35,5186,0
BSJL.US,D,20141028,000000,19.411,19.411,19.362,19.362,7792,0
BSJL.US,D,20141029,000000,19.362,19.436,19.362,19.376,3374,0
BSJL.US,D,20141030,000000,19.356,19.491,19.356,19.452,22068,0
BSJL.US,D,20141031,000000,19.484,19.484,19.484,19.484,366,0
BSJL.US,D,20141103,000000,19.485,19.485,19.356,19.437,4781,0
BSJL.US,D,20141104,000000,19.35,19.412,19.35,19.412,16472,0
BSJL.US,D,20141105,000000,19.403,19.412,19.372,19.394,12422,0
BSJL.US,D,20141106,000000,19.35,19.394,19.334,19.334,4049,0
BSJL.US,D,20141107,000000,19.403,19.447,19.403,19.412,4233,0
BSJL.US,D,20141110,000000,19.386,19.394,19.377,19.377,2372,0
BSJL.US,D,20141111,000000,19.386,19.394,19.356,19.386,12944,0
BSJL.US,D,20141112,000000,19.35,19.372,19.35,19.372,1664,0
BSJL.US,D,20141113,000000,19.35,19.35,19.326,19.334,4530,0
BSJL.US,D,20141114,000000,19.326,19.326,19.312,19.312,2335,0
BSJL.US,D,20141117,000000,19.287,19.287,19.287,19.287,1370,0
BSJL.US,D,20141118,000000,19.257,19.303,19.225,19.225,2877,0
BSJL.US,D,20141119,000000,19.199,19.24,19.199,19.24,649,0
BSJL.US,D,20141120,000000,19.233,19.233,19.225,19.225,1960,0
BSJL.US,D,20141121,000000,19.233,19.257,19.225,19.225,20166,0
BSJL.US,D,20141126,000000,19.287,19.287,19.27,19.279,5147,0
BSJL.US,D,20141128,000000,19.215,19.225,19.097,19.097,8347,0
BSJL.US,D,20141201,000000,19.162,19.17,19.102,19.102,6345,0
BSJL.US,D,20141202,000000,18.925,19.024,18.925,19.007,2335,0
BSJL.US,D,20141203,000000,19.015,19.024,18.949,19.015,9237,0
BSJL.US,D,20141204,000000,19.007,19.015,18.962,18.981,5587,0
BSJL.US,D,20141205,000000,19.029,19.029,18.949,18.949,4787,0
BSJL.US,D,20141208,000000,18.949,18.954,18.881,18.916,2261,0
BSJL.US,D,20141209,000000,18.828,18.828,18.741,18.805,18797,0
BSJL.US,D,20141210,000000,18.643,18.757,18.636,18.643,3302,0
BSJL.US,D,20141211,000000,18.651,18.651,18.651,18.651,458,0
BSJL.US,D,20141212,000000,18.582,18.582,18.466,18.466,7510,0
BSJL.US,D,20141215,000000,18.478,18.478,18.41,18.472,159824,0
BSJL.US,D,20141216,000000,18.387,18.41,18.31,18.41,6318,0
BSJL.US,D,20141217,000000,18.318,18.524,18.318,18.524,52505,0
BSJL.US,D,20141218,000000,18.503,18.51,18.456,18.456,3245,0
BSJL.US,D,20141219,000000,18.781,18.791,18.627,18.791,4831,0
BSJL.US,D,20141222,000000,18.798,18.828,18.798,18.828,976,0
