<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJM.US,D,20140924,000000,18.895,18.918,18.797,18.797,6679,0
BSJM.US,D,20140925,000000,18.67,18.748,18.67,18.67,22235,0
BSJM.US,D,20140926,000000,18.665,18.7,18.665,18.7,3456,0
BSJM.US,D,20140929,000000,18.621,18.621,18.621,18.621,226,0
BSJM.US,D,20141001,000000,18.683,18.7,18.665,18.665,5391,0
BSJM.US,D,20141002,000000,19.718,19.718,18.74,18.74,4626,0
BSJM.US,D,20141003,000000,18.797,18.872,18.765,18.872,3925,0
BSJM.US,D,20141006,000000,18.842,18.842,18.842,18.842,266,0
BSJM.US,D,20141007,000000,18.945,18.945,18.927,18.927,1688,0
BSJM.US,D,20141008,000000,18.969,18.969,18.953,18.953,840,0
BSJM.US,D,20141009,000000,18.901,18.901,18.765,18.765,2406,0
BSJM.US,D,20141010,000000,18.781,19.863,18.657,18.723,14339,0
BSJM.US,D,20141013,000000,19.825,19.825,18.628,18.628,3749,0
BSJM.US,D,20141014,000000,18.628,18.636,18.592,18.592,3680,0
BSJM.US,D,20141015,000000,18.592,18.592,18.592,18.592,249,0
BSJM.US,D,20141016,000000,18.577,18.577,18.489,18.489,735,0
BSJM.US,D,20141017,000000,18.732,18.74,18.732,18.74,4123,0
BSJM.US,D,20141020,000000,18.74,18.88,18.732,18.88,3513,0
BSJM.US,D,20141021,000000,18.953,20.066,18.945,19.066,10613,0
BSJM.US,D,20141022,000000,19.066,19.098,18.918,19.092,6354,0
BSJM.US,D,20141023,000000,19.146,19.146,19.098,19.13,8636,0
BSJM.US,D,20141024,000000,19.178,19.201,19.121,19.162,3587,0
BSJM.US,D,20141027,000000,19.007,19.007,18.978,19.007,2274,0
BSJM.US,D,20141028,000000,19.075,19.13,19.054,19.054,7777,0
BSJM.US,D,20141029,000000,19.106,19.106,19.06,19.06,6893,0
BSJM.US,D,20141030,000000,19.115,19.13,19,19.075,9370,0
BSJM.US,D,20141031,000000,19.138,19.138,19.138,19.138,665,0
BSJM.US,D,20141103,000000,19.161,19.178,19.053,19.153,7546,0
BSJM.US,D,20141105,000000,19.091,19.105,19.059,19.105,9919,0
BSJM.US,D,20141106,000000,19.097,19.097,19.065,19.097,1530,0
BSJM.US,D,20141107,000000,19.097,19.097,19.097,19.097,2807,0
BSJM.US,D,20141110,000000,19.059,19.114,19.059,19.105,7612,0
BSJM.US,D,20141111,000000,19.121,19.145,19.114,19.145,3994,0
BSJM.US,D,20141112,000000,19.027,19.091,19.027,19.091,2254,0
BSJM.US,D,20141113,000000,19.065,19.065,18.959,18.967,7762,0
BSJM.US,D,20141114,000000,19.027,19.027,18.984,18.984,3611,0
BSJM.US,D,20141117,000000,19.019,19.097,18.933,18.933,37630,0
BSJM.US,D,20141118,000000,18.984,19.091,18.942,18.942,5566,0
BSJM.US,D,20141119,000000,18.839,18.861,18.831,18.861,4731,0
BSJM.US,D,20141120,000000,18.855,18.869,18.808,18.869,3275,0
BSJM.US,D,20141121,000000,18.861,18.916,18.855,18.916,11659,0
BSJM.US,D,20141124,000000,18.907,18.907,18.907,18.907,929,0
BSJM.US,D,20141125,000000,18.925,18.925,18.907,18.907,6520,0
BSJM.US,D,20141126,000000,18.899,18.992,18.899,18.951,8062,0
BSJM.US,D,20141128,000000,18.869,18.869,18.697,18.697,7035,0
BSJM.US,D,20141201,000000,18.799,18.799,18.783,18.783,15935,0
BSJM.US,D,20141202,000000,18.716,18.743,18.716,18.725,6584,0
BSJM.US,D,20141203,000000,18.783,18.806,18.783,18.806,480,0
BSJM.US,D,20141204,000000,18.759,18.783,18.759,18.783,699,0
BSJM.US,D,20141205,000000,18.829,18.829,18.759,18.759,3903,0
BSJM.US,D,20141208,000000,18.716,18.751,18.667,18.667,3372,0
BSJM.US,D,20141209,000000,18.628,18.628,18.628,18.628,1320,0
BSJM.US,D,20141210,000000,18.411,18.429,18.404,18.404,3960,0
BSJM.US,D,20141211,000000,18.429,18.452,18.365,18.381,3366,0
BSJM.US,D,20141212,000000,18.381,18.381,18.126,18.171,11837,0
BSJM.US,D,20141215,000000,18.149,18.149,18.118,18.118,479,0
BSJM.US,D,20141216,000000,18.066,18.126,18.029,18.029,4617,0
BSJM.US,D,20141217,000000,18.118,18.227,18.118,18.227,13821,0
BSJM.US,D,20141218,000000,18.269,18.269,18.269,18.269,705,0
BSJM.US,D,20141219,000000,18.551,18.551,18.452,18.452,4333,0
BSJM.US,D,20141222,000000,18.509,18.509,18.466,18.48,12270,0
BSJM.US,D,20141223,000000,18.542,18.551,18.542,18.551,1825,0
BSJM.US,D,20141224,000000,18.524,18.578,18.48,18.534,17759,0
BSJM.US,D,20141226,000000,18.628,18.628,18.586,18.586,2227,0
BSJM.US,D,20141229,000000,18.6,18.607,18.533,18.533,8745,0
BSJM.US,D,20141230,000000,18.541,18.628,18.541,18.577,2095,0
BSJM.US,D,20141231,000000,18.533,18.592,18.533,18.592,6848,0
BSJM.US,D,20150102,000000,18.628,18.636,18.614,18.628,8851,0
BSJM.US,D,20150105,000000,18.541,18.541,18.439,18.5,17110,0
BSJM.US,D,20150106,000000,18.478,18.516,18.434,18.516,4218,0
BSJM.US,D,20150107,000000,18.5,18.577,18.472,18.568,18298,0
BSJM.US,D,20150108,000000,18.65,18.671,18.592,18.658,20593,0
BSJM.US,D,20150109,000000,18.636,18.671,18.559,18.671,11358,0
BSJM.US,D,20150112,000000,18.6,18.6,18.6,18.6,1713,0
BSJM.US,D,20150113,000000,18.607,18.666,18.541,18.541,5810,0
BSJM.US,D,20150114,000000,18.685,18.694,18.685,18.685,571,0
BSJM.US,D,20150115,000000,18.65,18.658,18.585,18.585,1522,0
BSJM.US,D,20150116,000000,18.577,18.702,18.577,18.671,6354,0
BSJM.US,D,20150120,000000,18.671,18.694,18.6,18.6,4668,0
BSJM.US,D,20150121,000000,18.685,18.694,18.641,18.641,4800,0
BSJM.US,D,20150122,000000,18.702,18.702,18.671,18.702,2442,0
BSJM.US,D,20150123,000000,18.709,18.725,18.702,18.702,2986,0
BSJM.US,D,20150126,000000,18.666,18.751,18.666,18.702,2691,0
BSJM.US,D,20150127,000000,18.759,18.759,18.694,18.694,1770,0
BSJM.US,D,20150128,000000,18.585,18.783,18.585,18.783,922,0
BSJM.US,D,20150129,000000,18.677,18.702,18.677,18.677,3542,0
BSJM.US,D,20150130,000000,18.783,18.79,18.743,18.783,8240,0
BSJM.US,D,20150202,000000,18.766,18.845,18.766,18.818,2883,0
BSJM.US,D,20150203,000000,18.897,18.904,18.875,18.897,20640,0
BSJM.US,D,20150204,000000,18.922,18.931,18.89,18.89,1545,0
BSJM.US,D,20150205,000000,18.974,18.991,18.788,18.991,2732,0
BSJM.US,D,20150206,000000,18.974,19.004,18.958,19.004,1919,0
BSJM.US,D,20150209,000000,19.037,19.059,19.032,19.045,8634,0
BSJM.US,D,20150210,000000,19.091,19.178,19.065,19.091,7617,0
BSJM.US,D,20150212,000000,19.083,19.146,19.083,19.146,1163,0
BSJM.US,D,20150217,000000,19.21,19.299,19.21,19.222,13447,0
BSJM.US,D,20150218,000000,19.201,19.222,19.146,19.222,4311,0
BSJM.US,D,20150219,000000,19.244,19.247,19.244,19.247,1962,0
BSJM.US,D,20150220,000000,19.235,19.282,19.235,19.282,7172,0
BSJM.US,D,20150223,000000,19.257,19.257,19.146,19.247,3616,0
BSJM.US,D,20150224,000000,19.299,19.371,19.291,19.371,6877,0
BSJM.US,D,20150225,000000,19.299,19.347,19.282,19.347,12226,0
BSJM.US,D,20150226,000000,19.299,19.371,19.291,19.347,3104,0
BSJM.US,D,20150227,000000,19.427,19.427,19.399,19.427,10962,0
BSJM.US,D,20150302,000000,19.446,19.446,19.423,19.423,6770,0
BSJM.US,D,20150303,000000,19.373,19.389,19.373,19.389,7423,0
BSJM.US,D,20150304,000000,19.423,19.431,19.343,19.366,8467,0
BSJM.US,D,20150305,000000,19.381,19.408,19.381,19.381,779,0
BSJM.US,D,20150306,000000,19.389,19.389,19.225,19.225,2081,0
BSJM.US,D,20150309,000000,19.27,19.285,19.261,19.27,3520,0
BSJM.US,D,20150310,000000,19.701,19.701,19.181,19.197,4426,0
BSJM.US,D,20150311,000000,19.27,19.27,19.173,19.251,1957,0
BSJM.US,D,20150312,000000,19.204,19.218,19.204,19.204,2607,0
BSJM.US,D,20150313,000000,19.109,19.218,19.109,19.204,1564,0
BSJM.US,D,20150316,000000,19.197,19.197,19.117,19.19,9644,0
BSJM.US,D,20150317,000000,19.117,19.117,19.054,19.054,4561,0
BSJM.US,D,20150318,000000,19.141,19.141,19.099,19.133,7423,0
BSJM.US,D,20150319,000000,19.054,19.124,19.054,19.124,4686,0
BSJM.US,D,20150320,000000,19.173,19.19,19.173,19.19,1957,0
BSJM.US,D,20150323,000000,19.19,19.204,19.19,19.197,7033,0
BSJM.US,D,20150324,000000,19.218,19.218,19.218,19.218,1177,0
BSJM.US,D,20150325,000000,19.238,19.246,19.117,19.197,12499,0
BSJM.US,D,20150326,000000,19.181,19.197,19.181,19.19,11596,0
BSJM.US,D,20150327,000000,19.225,19.225,19.218,19.225,3646,0
BSJM.US,D,20150330,000000,19.251,19.251,19.251,19.251,2081,0
BSJM.US,D,20150331,000000,19.246,19.261,19.246,19.246,3385,0
BSJM.US,D,20150401,000000,19.033,19.238,19.033,19.231,3778,0
BSJM.US,D,20150402,000000,19.077,19.231,19.077,19.165,1432,0
BSJM.US,D,20150406,000000,19.204,19.231,19.141,19.231,7814,0
BSJM.US,D,20150407,000000,19.261,19.261,19.261,19.261,2673,0
BSJM.US,D,20150408,000000,19.318,19.318,19.303,19.318,2219,0
BSJM.US,D,20150409,000000,19.416,19.416,19.351,19.351,5011,0
BSJM.US,D,20150410,000000,19.381,19.408,19.381,19.408,1177,0
BSJM.US,D,20150413,000000,19.431,19.431,19.431,19.431,103,0
BSJM.US,D,20150414,000000,19.431,19.431,19.431,19.431,103,0
BSJM.US,D,20150415,000000,19.389,19.389,19.389,19.389,757,0
BSJM.US,D,20150416,000000,19.401,19.416,19.294,19.416,7281,0
BSJM.US,D,20150417,000000,19.431,19.431,19.381,19.401,6770,0
BSJM.US,D,20150420,000000,19.394,19.431,19.394,19.431,5297,0
BSJM.US,D,20150421,000000,19.431,19.431,19.401,19.431,8575,0
BSJM.US,D,20150422,000000,19.446,19.492,19.446,19.492,778,0
BSJM.US,D,20150423,000000,19.456,19.501,19.456,19.463,1432,0
BSJM.US,D,20150424,000000,19.431,19.446,19.431,19.446,4040,0
BSJM.US,D,20150427,000000,19.478,19.492,19.446,19.478,8595,0
BSJM.US,D,20150428,000000,19.47,19.47,19.463,19.463,2219,0
BSJM.US,D,20150429,000000,19.446,19.492,19.446,19.492,916,0
BSJM.US,D,20150430,000000,19.431,19.478,19.389,19.416,5865,0
BSJM.US,D,20150501,000000,19.44,19.44,19.44,19.44,646,0
BSJM.US,D,20150504,000000,19.48,19.48,19.44,19.44,777,0
BSJM.US,D,20150505,000000,19.472,19.472,19.472,19.472,103,0
BSJM.US,D,20150506,000000,19.433,19.503,19.374,19.374,1085,0
BSJM.US,D,20150507,000000,19.396,19.417,19.396,19.41,9105,0
BSJM.US,D,20150508,000000,19.472,19.472,19.352,19.458,2072,0
BSJM.US,D,20150511,000000,19.503,19.503,19.403,19.403,1040,0
BSJM.US,D,20150512,000000,19.433,19.433,19.433,19.433,255,0
BSJM.US,D,20150513,000000,19.382,19.382,19.246,19.304,14919,0
BSJM.US,D,20150514,000000,19.425,19.425,19.39,19.425,13882,0
BSJM.US,D,20150515,000000,19.448,19.458,19.448,19.448,2083,0
BSJM.US,D,20150518,000000,19.465,19.48,19.417,19.472,6672,0
BSJM.US,D,20150519,000000,19.48,19.48,19.458,19.458,2072,0
BSJM.US,D,20150520,000000,19.472,19.487,19.41,19.487,3244,0
BSJM.US,D,20150521,000000,19.472,19.472,19.472,19.472,384,0
BSJM.US,D,20150522,000000,19.48,19.48,19.448,19.48,17382,0
BSJM.US,D,20150526,000000,19.503,19.503,19.433,19.48,14695,0
BSJM.US,D,20150527,000000,19.487,19.487,19.403,19.403,14662,0
BSJM.US,D,20150528,000000,19.448,19.448,19.44,19.448,2748,0
BSJM.US,D,20150529,000000,19.465,19.465,19.403,19.403,3117,0
BSJM.US,D,20150601,000000,19.534,19.534,19.493,19.493,3231,0
BSJM.US,D,20150602,000000,19.502,19.542,19.478,19.519,2992,0
BSJM.US,D,20150603,000000,19.502,19.511,19.389,19.446,2064,0
BSJM.US,D,20150604,000000,19.416,19.463,19.394,19.463,6459,0
BSJM.US,D,20150605,000000,19.394,19.394,19.343,19.343,1032,0
BSJM.US,D,20150608,000000,19.334,19.343,19.224,19.343,7102,0
BSJM.US,D,20150609,000000,19.318,19.326,19.246,19.293,5220,0
BSJM.US,D,20150610,000000,19.268,19.268,19.229,19.259,1011,0
BSJM.US,D,20150611,000000,19.236,19.277,19.236,19.259,1573,0
BSJM.US,D,20150612,000000,19.302,19.31,19.268,19.302,1420,0
BSJM.US,D,20150615,000000,19.284,19.284,19.163,19.217,13569,0
BSJM.US,D,20150616,000000,19.202,19.224,19.195,19.224,4519,0
BSJM.US,D,20150617,000000,19.217,19.224,19.187,19.212,4655,0
BSJM.US,D,20150618,000000,19.236,19.277,19.236,19.259,19508,0
BSJM.US,D,20150619,000000,19.268,19.268,19.236,19.249,2450,0
BSJM.US,D,20150622,000000,19.326,19.326,19.318,19.326,3101,0
