<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJN.US,D,20151014,000000,19.795,19.864,19.795,19.864,511,0
BSJN.US,D,20151027,000000,20.094,20.108,20.025,20.025,2679,0
BSJN.US,D,20151028,000000,20.123,20.123,20.123,20.123,893,0
BSJN.US,D,20151104,000000,20.219,20.219,20.219,20.219,103,0
BSJN.US,D,20151105,000000,20.219,20.219,20.169,20.169,1400,0
BSJN.US,D,20151106,000000,20.092,20.092,20.014,20.014,1273,0
BSJN.US,D,20151109,000000,19.944,19.944,19.944,19.944,298,0
BSJN.US,D,20151110,000000,19.936,19.936,19.936,19.936,103,0
BSJN.US,D,20151112,000000,19.828,19.828,19.768,19.768,510,0
BSJN.US,D,20151113,000000,19.7,19.7,19.7,19.7,761,0
BSJN.US,D,20151116,000000,19.66,19.66,19.66,19.66,103,0
BSJN.US,D,20151119,000000,19.63,19.63,19.63,19.63,1019,0
BSJN.US,D,20151123,000000,19.636,19.636,19.636,19.636,1019,0
BSJN.US,D,20151130,000000,19.739,19.739,19.723,19.723,761,0
BSJN.US,D,20151201,000000,19.764,19.802,19.764,19.802,2947,0
BSJN.US,D,20151202,000000,19.7,19.7,19.7,19.7,714,0
BSJN.US,D,20151203,000000,19.683,19.683,19.683,19.683,613,0
BSJN.US,D,20151204,000000,19.676,19.676,19.676,19.676,1019,0
BSJN.US,D,20151207,000000,19.457,19.457,19.457,19.457,103,0
BSJN.US,D,20151208,000000,19.443,19.443,19.443,19.443,2924,0
BSJN.US,D,20151209,000000,19.466,19.466,19.466,19.466,1019,0
BSJN.US,D,20151210,000000,19.457,19.457,19.394,19.417,1784,0
BSJN.US,D,20151211,000000,19.148,19.148,18.806,18.806,4835,0
BSJN.US,D,20151214,000000,18.938,19.041,18.884,18.946,4823,0
BSJN.US,D,20151215,000000,19.222,19.239,19.204,19.239,9552,0
BSJN.US,D,20151216,000000,19.172,19.172,19.172,19.172,378,0
BSJN.US,D,20151218,000000,19.11,19.11,19.11,19.11,1273,0
BSJN.US,D,20151221,000000,19.068,19.068,19.068,19.068,2039,0
BSJN.US,D,20151222,000000,19.245,19.284,19.23,19.284,10414,0
BSJN.US,D,20151228,000000,19.222,19.292,19.222,19.292,4924,0
BSJN.US,D,20151230,000000,19.261,19.277,19.261,19.277,339,0
BSJN.US,D,20151231,000000,19.318,19.328,19.057,19.057,7469,0
BSJN.US,D,20160104,000000,19.253,19.253,19.253,19.253,393,0
BSJN.US,D,20160106,000000,19.368,19.368,19.356,19.356,1293,0
BSJN.US,D,20160107,000000,19.299,19.322,19.299,19.322,2939,0
BSJN.US,D,20160108,000000,19.277,19.277,19.277,19.277,1900,0
BSJN.US,D,20160111,000000,19.315,19.315,19.315,19.315,457,0
BSJN.US,D,20160112,000000,19.408,19.408,19.284,19.284,6331,0
BSJN.US,D,20160113,000000,19.052,19.052,19.052,19.052,372,0
BSJN.US,D,20160115,000000,18.778,18.778,18.778,18.778,174,0
BSJN.US,D,20160119,000000,19.08,19.417,18.935,18.935,4815,0
BSJN.US,D,20160121,000000,19.002,19.002,18.858,18.858,2714,0
BSJN.US,D,20160122,000000,19.208,19.208,19.202,19.202,788,0
BSJN.US,D,20160125,000000,19.08,19.08,18.988,18.988,1046,0
BSJN.US,D,20160126,000000,19.114,19.17,19.114,19.17,1816,0
BSJN.US,D,20160127,000000,19.168,19.169,19.072,19.08,1233,0
BSJN.US,D,20160128,000000,19.322,19.322,19.161,19.291,3786,0
BSJN.US,D,20160129,000000,19.291,19.291,19.284,19.291,21658,0
BSJN.US,D,20160201,000000,19.249,19.249,19.22,19.22,685,0
BSJN.US,D,20160202,000000,19.119,19.119,19.076,19.107,1235,0
BSJN.US,D,20160203,000000,19.199,19.296,19.019,19.296,6619,0
BSJN.US,D,20160204,000000,19.217,19.217,19.176,19.184,11200,0
BSJN.US,D,20160208,000000,18.964,18.964,18.715,18.715,921,0
BSJN.US,D,20160209,000000,18.97,18.97,18.821,18.899,9630,0
