<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJO.US,D,20160919,000000,20.662,20.687,20.662,20.687,5707,0
BSJO.US,D,20160921,000000,20.721,20.809,20.721,20.809,35162,0
BSJO.US,D,20160922,000000,20.853,20.87,20.841,20.841,19602,0
BSJO.US,D,20160923,000000,20.885,20.885,20.885,20.885,5683,0
BSJO.US,D,20160926,000000,20.818,20.818,20.818,20.818,101,0
BSJO.US,D,20160927,000000,20.809,20.809,20.809,20.809,1449,0
BSJO.US,D,20160928,000000,20.878,20.981,20.818,20.981,17796,0
BSJO.US,D,20160929,000000,20.917,20.917,20.777,20.801,32138,0
BSJO.US,D,20160930,000000,21.008,21.063,21.008,21.063,6040,0
BSJO.US,D,20161004,000000,20.962,20.972,20.945,20.945,32268,0
BSJO.US,D,20161007,000000,20.972,21.015,20.945,21.015,14863,0
BSJO.US,D,20161010,000000,21.085,21.119,21.079,21.119,12569,0
BSJO.US,D,20161011,000000,21.022,21.022,21.022,21.022,3748,0
BSJO.US,D,20161012,000000,21.019,21.019,20.999,21.008,18137,0
BSJO.US,D,20161013,000000,20.9,20.962,20.878,20.962,9541,0
BSJO.US,D,20161014,000000,20.99,21.03,20.99,21.018,6284,0
BSJO.US,D,20161017,000000,21.03,21.03,20.981,20.981,6142,0
BSJO.US,D,20161018,000000,21.07,21.07,21.054,21.054,6831,0
BSJO.US,D,20161019,000000,21.11,21.11,21.11,21.11,246,0
BSJO.US,D,20161024,000000,21.179,21.186,21.179,21.186,663,0
BSJO.US,D,20161025,000000,21.11,21.11,21.11,21.11,101,0
BSJO.US,D,20161026,000000,21.101,21.101,21.101,21.101,349,0
BSJO.US,D,20161027,000000,20.981,20.981,20.972,20.972,3266,0
BSJO.US,D,20161028,000000,20.937,20.937,20.84,20.893,9433,0
BSJO.US,D,20161031,000000,20.846,20.862,20.829,20.829,2781,0
BSJO.US,D,20161101,000000,20.827,20.827,20.697,20.769,20917,0
BSJO.US,D,20161102,000000,20.657,20.677,20.619,20.619,7391,0
BSJO.US,D,20161103,000000,20.56,20.56,20.56,20.56,13826,0
BSJO.US,D,20161104,000000,20.639,20.652,20.569,20.595,12745,0
BSJO.US,D,20161107,000000,20.742,20.804,20.742,20.804,43340,0
BSJO.US,D,20161108,000000,20.647,20.723,20.639,20.705,35843,0
BSJO.US,D,20161109,000000,20.705,20.705,20.672,20.672,12022,0
BSJO.US,D,20161110,000000,20.586,20.586,20.275,20.275,5532,0
BSJO.US,D,20161111,000000,20.465,20.465,20.111,20.111,3965,0
BSJO.US,D,20161114,000000,20.387,20.387,20.387,20.387,17675,0
BSJO.US,D,20161115,000000,20.458,20.542,20.458,20.542,47539,0
BSJO.US,D,20161116,000000,20.417,20.465,20.417,20.458,9272,0
BSJO.US,D,20161117,000000,20.551,20.578,20.525,20.532,8089,0
BSJO.US,D,20161118,000000,20.627,20.627,20.498,20.595,4961,0
BSJO.US,D,20161121,000000,20.619,20.634,20.619,20.634,277,0
BSJO.US,D,20161122,000000,20.657,20.733,20.639,20.697,5668,0
BSJO.US,D,20161125,000000,20.689,20.689,20.66,20.66,598,0
BSJO.US,D,20161128,000000,20.604,20.604,20.604,20.604,600,0
BSJO.US,D,20161129,000000,20.638,20.715,20.638,20.705,1324,0
BSJO.US,D,20161130,000000,20.733,20.769,20.733,20.752,1286,0
BSJO.US,D,20161201,000000,20.722,20.722,20.647,20.647,9852,0
BSJO.US,D,20161202,000000,20.744,20.744,20.744,20.744,152,0
BSJO.US,D,20161205,000000,20.732,20.732,20.696,20.696,33157,0
BSJO.US,D,20161206,000000,20.68,20.718,20.68,20.704,11028,0
BSJO.US,D,20161207,000000,20.75,20.88,20.75,20.88,13430,0
BSJO.US,D,20161208,000000,20.931,20.931,20.903,20.93,3345,0
BSJO.US,D,20161209,000000,20.966,20.994,20.955,20.984,45944,0
BSJO.US,D,20161212,000000,20.994,21.042,20.88,20.88,29977,0
BSJO.US,D,20161213,000000,21.027,21.027,20.921,20.921,19293,0
BSJO.US,D,20161214,000000,20.939,20.994,20.866,20.866,19292,0
BSJO.US,D,20161215,000000,20.903,20.976,20.873,20.976,23808,0
BSJO.US,D,20161216,000000,20.896,20.907,20.896,20.907,1345,0
BSJO.US,D,20161219,000000,20.931,20.931,20.898,20.926,2320,0
BSJO.US,D,20161220,000000,20.88,20.916,20.88,20.916,762,0
BSJO.US,D,20161222,000000,20.938,20.938,20.938,20.938,620,0
BSJO.US,D,20161223,000000,20.926,21.002,20.926,20.958,40144,0
BSJO.US,D,20161227,000000,21.034,21.034,20.966,20.99,37888,0
BSJO.US,D,20161228,000000,21.039,21.056,20.99,20.99,4296,0
BSJO.US,D,20161229,000000,21.056,21.056,21.032,21.033,2387,0
BSJO.US,D,20161230,000000,21.056,21.066,21.018,21.066,5737,0
BSJO.US,D,20170103,000000,21.147,21.147,21.048,21.073,9525,0
BSJO.US,D,20170104,000000,21.132,21.216,21.108,21.147,35097,0
BSJO.US,D,20170105,000000,21.173,21.199,21.173,21.199,58781,0
BSJO.US,D,20170106,000000,21.14,21.232,21.14,21.155,7415,0
BSJO.US,D,20170109,000000,21.232,21.257,21.216,21.239,18401,0
BSJO.US,D,20170110,000000,21.276,21.276,21.224,21.239,19142,0
BSJO.US,D,20170111,000000,21.285,21.285,21.216,21.216,7964,0
BSJO.US,D,20170112,000000,21.232,21.239,21.181,21.209,10387,0
BSJO.US,D,20170113,000000,21.232,21.29,21.224,21.29,21924,0
BSJO.US,D,20170117,000000,21.276,21.276,21.239,21.276,16228,0
BSJO.US,D,20170118,000000,21.267,21.285,21.232,21.257,13236,0
BSJO.US,D,20170119,000000,21.267,21.267,21.267,21.267,291,0
BSJO.US,D,20170120,000000,21.267,21.267,21.239,21.239,1221,0
BSJO.US,D,20170123,000000,21.164,21.164,21.164,21.164,2201,0
BSJO.US,D,20170124,000000,21.19,21.232,21.15,21.201,11656,0
BSJO.US,D,20170125,000000,21.184,21.22,21.181,21.22,5563,0
BSJO.US,D,20170126,000000,21.208,21.314,21.208,21.296,46949,0
BSJO.US,D,20170127,000000,21.253,21.349,21.206,21.339,19415,0
BSJO.US,D,20170130,000000,21.305,21.305,21.269,21.285,2391,0
BSJO.US,D,20170131,000000,21.296,21.296,21.267,21.267,4768,0
BSJO.US,D,20170201,000000,21.265,21.304,21.238,21.266,16700,0
BSJO.US,D,20170202,000000,21.23,21.304,21.222,21.304,7306,0
BSJO.US,D,20170203,000000,21.32,21.337,21.289,21.32,7360,0
BSJO.US,D,20170206,000000,21.337,21.347,21.329,21.337,2274,0
