<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJP.US,D,20170928,000000,21.523,21.523,21.496,21.523,2690,0
BSJP.US,D,20170929,000000,21.557,21.567,21.542,21.542,1451,0
BSJP.US,D,20171002,000000,21.557,21.557,21.549,21.556,3955,0
BSJP.US,D,20171004,000000,21.557,21.557,21.555,21.555,1067,0
BSJP.US,D,20171005,000000,21.598,21.598,21.598,21.598,219,0
BSJP.US,D,20171006,000000,21.549,21.573,21.549,21.573,704,0
BSJP.US,D,20171009,000000,21.591,21.591,21.591,21.591,235,0
BSJP.US,D,20171010,000000,21.613,21.613,21.613,21.613,5122,0
BSJP.US,D,20171011,000000,21.598,21.598,21.589,21.589,3258,0
BSJP.US,D,20171012,000000,21.582,21.582,21.582,21.582,235,0
BSJP.US,D,20171013,000000,21.583,21.598,21.583,21.583,2448,0
BSJP.US,D,20171016,000000,21.598,21.598,21.583,21.583,1285,0
BSJP.US,D,20171017,000000,21.598,21.613,21.594,21.613,697,0
BSJP.US,D,20171018,000000,21.613,21.641,21.613,21.641,581,0
BSJP.US,D,20171019,000000,21.606,21.617,21.606,21.617,1313,0
BSJP.US,D,20171020,000000,21.677,21.677,21.677,21.677,1745,0
BSJP.US,D,20171025,000000,21.641,21.641,21.577,21.577,1304,0
BSJP.US,D,20171026,000000,21.566,21.566,21.536,21.549,5087,0
BSJP.US,D,20171030,000000,21.549,21.557,21.494,21.494,1800,0
BSJP.US,D,20171031,000000,21.575,21.577,21.575,21.577,583,0
BSJP.US,D,20171101,000000,21.606,21.606,21.577,21.577,3099,0
BSJP.US,D,20171102,000000,21.571,21.571,21.545,21.571,2196,0
BSJP.US,D,20171103,000000,21.556,21.576,21.556,21.576,304,0
BSJP.US,D,20171106,000000,21.527,21.545,21.507,21.517,5035,0
BSJP.US,D,20171107,000000,21.545,21.545,21.49,21.49,2550,0
BSJP.US,D,20171108,000000,21.447,21.447,21.398,21.415,1525,0
BSJP.US,D,20171109,000000,21.255,21.255,21.255,21.255,554,0
BSJP.US,D,20171110,000000,21.289,21.317,21.289,21.317,1424,0
BSJP.US,D,20171113,000000,21.301,21.301,21.273,21.273,2305,0
BSJP.US,D,20171114,000000,21.217,21.217,21.217,21.217,3620,0
BSJP.US,D,20171115,000000,21.091,21.155,21.043,21.155,3773,0
BSJP.US,D,20171116,000000,21.292,21.327,21.292,21.327,2859,0
BSJP.US,D,20171117,000000,21.371,21.38,21.345,21.379,3852,0
BSJP.US,D,20171120,000000,21.398,21.411,21.398,21.411,583,0
BSJP.US,D,20171121,000000,21.466,21.466,21.466,21.466,543,0
BSJP.US,D,20171122,000000,21.467,21.498,21.465,21.49,5171,0
BSJP.US,D,20171124,000000,21.527,21.537,21.527,21.537,4072,0
BSJP.US,D,20171127,000000,21.457,21.457,21.406,21.428,3763,0
BSJP.US,D,20171128,000000,21.537,21.552,21.537,21.552,1320,0
BSJP.US,D,20171129,000000,21.545,21.545,21.537,21.537,1620,0
BSJP.US,D,20171130,000000,21.548,21.552,21.548,21.552,1208,0
BSJP.US,D,20171201,000000,21.537,21.571,21.537,21.571,1290,0
BSJP.US,D,20171205,000000,21.592,21.603,21.572,21.588,2510,0
BSJP.US,D,20171206,000000,21.58,21.58,21.562,21.572,2060,0
BSJP.US,D,20171207,000000,21.552,21.572,21.546,21.562,3602,0
BSJP.US,D,20171208,000000,21.612,21.612,21.612,21.612,188,0
