<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJQ.US,D,20180821,000000,22.47,22.472,22.47,22.472,225,0
BSJQ.US,D,20180824,000000,22.524,22.534,22.524,22.524,449,0
BSJQ.US,D,20180827,000000,22.539,22.539,22.539,22.539,166,0
BSJQ.US,D,20180829,000000,22.499,22.499,22.499,22.499,671,0
BSJQ.US,D,20180830,000000,22.561,22.561,22.544,22.544,555,0
BSJQ.US,D,20180904,000000,22.516,22.544,22.516,22.544,3719,0
BSJQ.US,D,20180905,000000,22.534,22.534,22.498,22.498,5892,0
BSJQ.US,D,20180906,000000,22.498,22.524,22.498,22.516,1787,0
BSJQ.US,D,20180910,000000,22.516,22.524,22.503,22.524,2759,0
BSJQ.US,D,20180911,000000,22.524,22.57,22.524,22.57,4455,0
BSJQ.US,D,20180912,000000,22.579,22.58,22.575,22.58,679,0
BSJQ.US,D,20180914,000000,22.607,22.607,22.602,22.604,2966,0
BSJQ.US,D,20180918,000000,22.671,22.68,22.671,22.68,443,0
BSJQ.US,D,20180919,000000,22.661,22.661,22.661,22.661,205,0
BSJQ.US,D,20180920,000000,22.661,22.661,22.647,22.661,2981,0
BSJQ.US,D,20180921,000000,22.661,22.661,22.643,22.661,2478,0
BSJQ.US,D,20180924,000000,22.606,22.624,22.606,22.624,6082,0
BSJQ.US,D,20180925,000000,22.704,22.749,22.698,22.749,1715,0
BSJQ.US,D,20180926,000000,22.739,22.749,22.721,22.721,7610,0
BSJQ.US,D,20180927,000000,22.776,22.776,22.76,22.776,1083,0
BSJQ.US,D,20180928,000000,22.804,22.804,22.804,22.804,857,0
BSJQ.US,D,20181001,000000,22.804,22.804,22.804,22.804,230,0
BSJQ.US,D,20181002,000000,22.73,22.73,22.722,22.726,6772,0
BSJQ.US,D,20181003,000000,22.767,22.767,22.714,22.714,3751,0
BSJQ.US,D,20181004,000000,22.689,22.689,22.555,22.568,3810,0
BSJQ.US,D,20181005,000000,22.533,22.533,22.533,22.533,218,0
BSJQ.US,D,20181008,000000,22.419,22.419,22.381,22.381,979,0
BSJQ.US,D,20181009,000000,22.4,22.4,22.345,22.4,774,0
BSJQ.US,D,20181010,000000,22.345,22.345,22.218,22.227,2494,0
BSJQ.US,D,20181011,000000,22.192,22.245,22.177,22.245,1320,0
BSJQ.US,D,20181012,000000,22.327,22.336,22.327,22.336,993,0
BSJQ.US,D,20181015,000000,22.284,22.336,22.284,22.3,1810,0
BSJQ.US,D,20181016,000000,22.402,22.416,22.393,22.416,1992,0
BSJQ.US,D,20181017,000000,22.362,22.362,22.353,22.353,2460,0
BSJQ.US,D,20181018,000000,22.289,22.29,22.271,22.274,6831,0
BSJQ.US,D,20181019,000000,22.271,22.271,22.254,22.254,5829,0
BSJQ.US,D,20181022,000000,22.317,22.317,22.317,22.317,266,0
BSJQ.US,D,20181023,000000,22.146,22.172,22.146,22.172,317,0
BSJQ.US,D,20181024,000000,22.173,22.182,22.173,22.182,546,0
BSJQ.US,D,20181025,000000,22.182,22.192,22.182,22.192,587,0
BSJQ.US,D,20181029,000000,22.074,22.074,22.074,22.074,730,0
BSJQ.US,D,20181030,000000,22.025,22.025,22.025,22.025,230,0
BSJQ.US,D,20181102,000000,22.156,22.173,22.118,22.156,17848,0
BSJQ.US,D,20181105,000000,22.156,22.192,22.146,22.163,9528,0
BSJQ.US,D,20181106,000000,22.202,22.216,22.202,22.216,1065,0
BSJQ.US,D,20181108,000000,22.367,22.391,22.362,22.362,2361,0
BSJQ.US,D,20181109,000000,22.317,22.317,22.218,22.241,11972,0
BSJQ.US,D,20181112,000000,22.136,22.137,22.092,22.092,3459,0
BSJQ.US,D,20181113,000000,22.065,22.065,22.055,22.055,489,0
BSJQ.US,D,20181114,000000,22.035,22.035,21.966,22.025,3454,0
BSJQ.US,D,20181115,000000,21.975,21.975,21.975,21.975,182,0
BSJQ.US,D,20181116,000000,21.939,21.939,21.874,21.904,845,0
