<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJR.US,D,20190916,000000,24.193,24.193,24.181,24.181,268,0
BSJR.US,D,20190917,000000,24.233,24.233,24.218,24.224,1548,0
BSJR.US,D,20190918,000000,24.233,24.233,24.193,24.223,223,0
BSJR.US,D,20190919,000000,24.251,24.271,24.189,24.189,4823,0
BSJR.US,D,20190920,000000,24.251,24.261,24.203,24.245,1454,0
BSJR.US,D,20190923,000000,24.262,24.262,24.255,24.255,465,0
BSJR.US,D,20190924,000000,24.261,24.261,24.251,24.251,100,0
BSJR.US,D,20190925,000000,24.251,24.251,24.193,24.25,1342,0
BSJR.US,D,20190926,000000,24.273,24.273,24.218,24.218,350,0
BSJR.US,D,20190927,000000,24.243,24.251,24.206,24.206,1000,0
BSJR.US,D,20190930,000000,24.233,24.261,24.233,24.26,1694,0
BSJR.US,D,20191001,000000,24.213,24.235,24.213,24.235,318,0
BSJR.US,D,20191002,000000,24.183,24.183,24.124,24.124,722,0
BSJR.US,D,20191003,000000,24.135,24.173,24.135,24.171,2300,0
BSJR.US,D,20191004,000000,24.196,24.238,24.196,24.238,3446,0
BSJR.US,D,20191007,000000,24.172,24.172,24.172,24.172,54,0
BSJR.US,D,20191008,000000,24.154,24.154,24.093,24.093,3920,0
BSJR.US,D,20191009,000000,24.223,24.223,24.182,24.182,2188,0
BSJR.US,D,20191010,000000,24.203,24.213,24.198,24.198,1262,0
BSJR.US,D,20191011,000000,24.339,24.339,24.297,24.303,2914,0
BSJR.US,D,20191014,000000,24.33,24.33,24.33,24.33,103,0
BSJR.US,D,20191015,000000,24.363,24.363,24.32,24.32,499,0
BSJR.US,D,20191016,000000,24.321,24.368,24.321,24.368,100,0
BSJR.US,D,20191017,000000,24.381,24.381,24.381,24.381,95,0
BSJR.US,D,20191018,000000,24.373,24.373,24.373,24.373,95,0
BSJR.US,D,20191021,000000,24.426,24.426,24.411,24.411,648,0
BSJR.US,D,20191022,000000,24.421,24.421,24.421,24.421,96,0
BSJR.US,D,20191023,000000,24.462,24.462,24.451,24.451,3345,0
BSJR.US,D,20191024,000000,24.455,24.49,24.455,24.49,126,0
BSJR.US,D,20191025,000000,24.504,24.524,24.504,24.524,1207,0
BSJR.US,D,20191028,000000,24.54,24.54,24.54,24.54,68,0
BSJR.US,D,20191029,000000,24.499,24.499,24.499,24.499,79,0
BSJR.US,D,20191030,000000,24.495,24.504,24.445,24.49,1832,0
BSJR.US,D,20191031,000000,24.504,24.504,24.426,24.453,7405,0
BSJR.US,D,20191101,000000,24.495,24.539,24.495,24.539,309,0
BSJR.US,D,20191104,000000,24.587,24.587,24.557,24.557,3204,0
BSJR.US,D,20191105,000000,24.534,24.562,24.529,24.542,6596,0
BSJR.US,D,20191106,000000,24.524,24.534,24.524,24.525,3582,0
BSJR.US,D,20191107,000000,24.524,24.534,24.506,24.506,555,0
BSJR.US,D,20191108,000000,24.475,24.514,24.475,24.504,2137,0
BSJR.US,D,20191111,000000,24.485,24.504,24.47,24.47,1311,0
BSJR.US,D,20191112,000000,24.499,24.499,24.499,24.499,1451,0
BSJR.US,D,20191113,000000,24.509,24.514,24.456,24.463,18702,0
BSJR.US,D,20191114,000000,24.485,24.485,24.465,24.465,74216,0
BSJR.US,D,20191115,000000,24.485,24.491,24.481,24.485,48633,0
BSJR.US,D,20191118,000000,24.514,24.514,24.474,24.494,5147,0
BSJR.US,D,20191119,000000,24.445,24.485,24.435,24.455,33642,0
BSJR.US,D,20191120,000000,24.465,24.485,24.426,24.479,3037,0
BSJR.US,D,20191121,000000,24.465,24.465,24.445,24.465,26002,0
BSJR.US,D,20191122,000000,24.485,24.485,24.435,24.481,5075,0
BSJR.US,D,20191125,000000,24.524,24.524,24.51,24.524,189058,0
BSJR.US,D,20191126,000000,24.534,24.568,24.534,24.568,26834,0
BSJR.US,D,20191127,000000,24.583,24.602,24.583,24.602,47522,0
BSJR.US,D,20191129,000000,24.631,24.631,24.58,24.58,2022,0
BSJR.US,D,20191202,000000,24.544,24.593,24.534,24.566,63159,0
BSJR.US,D,20191203,000000,24.544,24.583,24.524,24.583,33516,0
BSJR.US,D,20191204,000000,24.597,24.597,24.597,24.597,130,0
BSJR.US,D,20191205,000000,24.651,24.651,24.646,24.65,3794,0
BSJR.US,D,20191206,000000,24.685,24.7,24.67,24.69,7459,0
BSJR.US,D,20191209,000000,24.68,24.68,24.68,24.68,1668,0
BSJR.US,D,20191210,000000,24.683,24.687,24.683,24.687,1456,0
BSJR.US,D,20191211,000000,24.712,24.768,24.712,24.754,26085,0
BSJR.US,D,20191212,000000,24.797,24.836,24.787,24.813,13608,0
BSJR.US,D,20191213,000000,24.866,24.866,24.817,24.817,107332,0
BSJR.US,D,20191216,000000,24.905,24.905,24.905,24.905,4458,0
BSJR.US,D,20191217,000000,24.895,24.925,24.895,24.925,1334,0
BSJR.US,D,20191218,000000,24.944,24.958,24.944,24.954,738,0
BSJR.US,D,20191219,000000,24.984,24.993,24.954,24.975,32046,0
BSJR.US,D,20191220,000000,24.981,24.984,24.941,24.944,8989,0
BSJR.US,D,20191223,000000,24.866,24.871,24.856,24.856,5624,0
BSJR.US,D,20191224,000000,24.856,24.856,24.836,24.851,1790,0
BSJR.US,D,20191226,000000,24.915,24.915,24.899,24.9,18074,0
BSJR.US,D,20191227,000000,24.872,24.893,24.872,24.883,5920,0
BSJR.US,D,20191230,000000,24.875,24.875,24.851,24.856,4596,0
BSJR.US,D,20191231,000000,24.856,24.875,24.851,24.856,4596,0
BSJR.US,D,20200102,000000,24.915,24.915,24.898,24.91,13784,0
BSJR.US,D,20200103,000000,24.895,24.912,24.866,24.897,8463,0
BSJR.US,D,20200106,000000,24.856,24.925,24.856,24.9,5386,0
BSJR.US,D,20200107,000000,24.925,24.925,24.877,24.878,6065,0
BSJR.US,D,20200108,000000,24.924,24.944,24.901,24.915,35827,0
BSJR.US,D,20200109,000000,25.07,25.07,24.91,24.949,2831,0
BSJR.US,D,20200110,000000,24.957,24.974,24.957,24.959,3107,0
BSJR.US,D,20200113,000000,24.964,25.012,24.964,24.989,3349,0
BSJR.US,D,20200114,000000,25.012,25.028,24.991,24.993,2308,0
BSJR.US,D,20200115,000000,25.042,25.042,25.022,25.022,3724,0
BSJR.US,D,20200116,000000,25.051,25.061,25.039,25.056,2311,0
BSJR.US,D,20200117,000000,25.066,25.066,25.046,25.046,8080,0
BSJR.US,D,20200121,000000,24.974,24.974,24.925,24.925,63732,0
BSJR.US,D,20200122,000000,24.944,24.949,24.943,24.943,529,0
BSJR.US,D,20200123,000000,24.895,24.925,24.895,24.9,4506,0
BSJR.US,D,20200124,000000,24.905,24.905,24.807,24.844,152553,0
BSJR.US,D,20200127,000000,24.661,24.68,24.6,24.6,4829,0
BSJR.US,D,20200128,000000,24.73,24.805,24.73,24.762,4257,0
BSJR.US,D,20200129,000000,24.846,24.856,24.783,24.783,5537,0
