<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSJS.US,D,20200917,000000,24.426,24.439,24.426,24.439,204,0
BSJS.US,D,20200918,000000,24.9,24.9,24.426,24.426,6498,0
BSJS.US,D,20200921,000000,24.328,24.328,24.134,24.142,3911,0
BSJS.US,D,20200922,000000,24.23,24.23,24.23,24.23,406,0
BSJS.US,D,20200923,000000,24.22,24.23,24.003,24.014,2924,0
BSJS.US,D,20200924,000000,23.914,24.072,23.914,23.993,11130,0
BSJS.US,D,20200925,000000,23.984,23.993,23.97,23.97,7571,0
BSJS.US,D,20200930,000000,24.23,24.23,24.12,24.13,2038,0
BSJS.US,D,20201001,000000,24.22,24.289,24.19,24.279,12697,0
BSJS.US,D,20201002,000000,24.259,24.259,24.249,24.249,3148,0
BSJS.US,D,20201005,000000,24.416,24.456,24.416,24.446,4549,0
BSJS.US,D,20201006,000000,24.486,24.495,24.377,24.377,23555,0
BSJS.US,D,20201007,000000,24.505,24.574,24.505,24.564,915,0
BSJS.US,D,20201009,000000,24.692,24.692,24.692,24.692,3858,0
BSJS.US,D,20201013,000000,24.722,24.722,24.722,24.722,2132,0
BSJS.US,D,20201014,000000,24.702,24.702,24.653,24.653,4462,0
BSJS.US,D,20201019,000000,24.643,24.643,24.525,24.525,5279,0
BSJS.US,D,20201020,000000,24.594,24.614,24.589,24.614,406,0
BSJS.US,D,20201026,000000,24.525,24.525,24.405,24.405,3374,0
BSJS.US,D,20201027,000000,24.476,24.476,24.386,24.386,818,0
BSJS.US,D,20201028,000000,24.21,24.21,24.205,24.21,3960,0
BSJS.US,D,20201029,000000,24.19,24.19,24.19,24.19,3148,0
BSJS.US,D,20201030,000000,24.289,24.303,24.278,24.303,252,0
BSJS.US,D,20201102,000000,24.338,24.366,24.338,24.366,2335,0
BSJS.US,D,20201103,000000,24.486,24.554,24.486,24.544,7212,0
BSJS.US,D,20201104,000000,24.643,24.643,24.624,24.624,5990,0
BSJS.US,D,20201105,000000,24.909,24.909,24.87,24.87,4268,0
BSJS.US,D,20201109,000000,25.205,25.205,25.055,25.055,101,0
BSJS.US,D,20201110,000000,25.034,25.066,25.034,25.066,808,0
BSJS.US,D,20201111,000000,25.076,25.076,25.066,25.066,23302,0
BSJS.US,D,20201112,000000,24.968,24.968,24.968,24.968,2843,0
BSJS.US,D,20201113,000000,24.939,24.948,24.924,24.924,304,0
BSJS.US,D,20201117,000000,25.036,25.037,25.036,25.037,251,0
BSJS.US,D,20201118,000000,25.086,25.086,25.086,25.086,4060,0
BSJS.US,D,20201120,000000,25.076,25.076,25.045,25.045,1381,0
BSJS.US,D,20201123,000000,25.156,25.156,25.156,25.156,100,0
BSJS.US,D,20201124,000000,25.206,25.216,25.176,25.176,27169,0
BSJS.US,D,20201201,000000,25.216,25.216,25.216,25.216,221,0
BSJS.US,D,20201203,000000,25.323,25.323,25.298,25.298,508,0
BSJS.US,D,20201204,000000,25.393,25.393,25.363,25.363,242,0
BSJS.US,D,20201207,000000,25.373,25.373,25.352,25.352,201,0
BSJS.US,D,20201208,000000,25.393,25.393,25.363,25.393,725,0
BSJS.US,D,20201209,000000,25.373,25.373,25.283,25.283,207,0
BSJS.US,D,20201211,000000,25.31,25.343,25.296,25.296,1189,0
BSJS.US,D,20201214,000000,25.303,25.483,25.283,25.288,9297,0
BSJS.US,D,20201215,000000,25.383,25.383,25.368,25.368,779,0
BSJS.US,D,20201216,000000,25.423,25.423,25.328,25.348,1718,0
BSJS.US,D,20201217,000000,25.368,25.368,25.363,25.363,175,0
BSJS.US,D,20201218,000000,25.363,25.367,25.363,25.367,548,0
BSJS.US,D,20201221,000000,25.263,25.263,25.175,25.175,2766,0
BSJS.US,D,20201222,000000,25.226,25.234,25.196,25.196,4813,0
BSJS.US,D,20201223,000000,25.273,25.303,25.273,25.293,2056,0
BSJS.US,D,20201224,000000,25.293,25.333,25.283,25.283,4842,0
BSJS.US,D,20201228,000000,25.343,25.393,25.343,25.37,5083,0
BSJS.US,D,20201229,000000,25.492,25.492,25.407,25.407,15010,0
BSJS.US,D,20201230,000000,25.363,25.363,25.363,25.363,50,0
BSJS.US,D,20201231,000000,25.393,25.393,25.393,25.393,133,0
BSJS.US,D,20210104,000000,25.423,25.426,25.333,25.405,5212,0
BSJS.US,D,20210105,000000,25.443,25.56,25.418,25.443,5936,0
BSJS.US,D,20210106,000000,25.453,25.545,25.363,25.363,19416,0
BSJS.US,D,20210107,000000,25.443,25.555,25.413,25.413,2627,0
BSJS.US,D,20210108,000000,25.458,25.502,25.393,25.432,2630,0
BSJS.US,D,20210112,000000,25.245,25.313,25.245,25.313,3258,0
BSJS.US,D,20210113,000000,25.393,25.393,25.378,25.378,6226,0
BSJS.US,D,20210114,000000,25.443,25.443,25.383,25.383,486,0
BSJS.US,D,20210115,000000,25.333,25.393,25.333,25.383,1656,0
BSJS.US,D,20210119,000000,25.487,25.487,25.328,25.403,590,0
BSJS.US,D,20210120,000000,25.439,25.468,25.428,25.428,4565,0
BSJS.US,D,20210121,000000,25.428,25.458,25.428,25.448,4228,0
BSJS.US,D,20210122,000000,25.438,25.458,25.438,25.453,4379,0
BSJS.US,D,20210125,000000,25.418,25.418,25.363,25.413,7031,0
BSJS.US,D,20210126,000000,25.417,25.438,25.414,25.414,3976,0
BSJS.US,D,20210127,000000,25.308,25.408,25.258,25.278,7696,0
BSJS.US,D,20210128,000000,25.408,25.418,25.373,25.373,765,0
BSJS.US,D,20210129,000000,25.338,25.338,25.338,25.338,1907,0
BSJS.US,D,20210201,000000,25.368,25.398,25.348,25.398,12470,0
BSJS.US,D,20210202,000000,25.443,25.478,25.443,25.45,584,0
BSJS.US,D,20210203,000000,26.797,26.797,25.483,25.483,4678,0
BSJS.US,D,20210204,000000,25.546,25.576,25.524,25.524,5431,0
BSJS.US,D,20210208,000000,25.626,25.64,25.626,25.64,1761,0
BSJS.US,D,20210210,000000,25.596,25.596,25.586,25.586,767,0
BSJS.US,D,20210211,000000,25.611,25.666,25.611,25.626,7786,0
BSJS.US,D,20210212,000000,25.655,25.676,25.655,25.676,478,0
BSJS.US,D,20210216,000000,25.666,25.666,25.591,25.591,1077,0
BSJS.US,D,20210217,000000,25.585,25.606,25.551,25.606,602,0
BSJS.US,D,20210218,000000,25.576,25.576,25.556,25.576,1284,0
BSJS.US,D,20210219,000000,25.563,25.563,25.563,25.563,390,0
BSJS.US,D,20210222,000000,25.556,25.556,25.413,25.413,2516,0
BSJS.US,D,20210223,000000,25.393,25.408,25.378,25.408,2691,0
BSJS.US,D,20210224,000000,25.408,25.458,25.408,25.427,821,0
BSJS.US,D,20210225,000000,25.458,25.458,25.22,25.248,9423,0
BSJS.US,D,20210226,000000,25.2,25.23,25.18,25.18,10959,0
BSJS.US,D,20210301,000000,25.378,25.428,25.378,25.415,2163,0
BSJS.US,D,20210303,000000,25.298,25.298,25.253,25.253,495,0
BSJS.US,D,20210304,000000,25.278,25.278,25.07,25.1,24080,0
BSJS.US,D,20210305,000000,25.12,25.12,25.07,25.105,2331,0
BSJS.US,D,20210308,000000,25.06,25.09,24.971,24.981,10922,0
