<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSML.US,D,20191002,000000,24.779,24.779,24.779,24.779,500,0
BSML.US,D,20191004,000000,24.783,24.783,24.783,24.783,4041,0
BSML.US,D,20191009,000000,24.837,24.837,24.821,24.828,1395,0
BSML.US,D,20191010,000000,24.828,24.848,24.828,24.848,4056,0
BSML.US,D,20191015,000000,24.813,24.813,24.813,24.813,8507,0
BSML.US,D,20191016,000000,24.828,24.828,24.828,24.828,268,0
BSML.US,D,20191021,000000,24.819,24.819,24.804,24.819,9111,0
BSML.US,D,20191023,000000,24.812,24.828,24.812,24.812,1512,0
BSML.US,D,20191024,000000,24.819,24.828,24.819,24.828,659,0
BSML.US,D,20191025,000000,24.784,24.784,24.784,24.784,1009,0
BSML.US,D,20191029,000000,24.828,24.828,24.819,24.819,973,0
BSML.US,D,20191031,000000,24.848,24.848,24.838,24.848,4838,0
BSML.US,D,20191101,000000,24.843,24.848,24.843,24.848,8012,0
BSML.US,D,20191104,000000,24.838,24.838,24.838,24.838,302,0
BSML.US,D,20191106,000000,24.809,24.848,24.809,24.848,553,0
BSML.US,D,20191107,000000,24.812,24.812,24.812,24.812,400,0
BSML.US,D,20191112,000000,24.832,24.832,24.832,24.832,4923,0
BSML.US,D,20191118,000000,24.858,24.858,24.843,24.843,9384,0
BSML.US,D,20191119,000000,24.858,24.858,24.858,24.858,2018,0
BSML.US,D,20191121,000000,24.849,24.849,24.843,24.843,1008,0
BSML.US,D,20191125,000000,24.868,24.868,24.853,24.853,1846,0
BSML.US,D,20191126,000000,24.868,24.868,24.848,24.848,888,0
BSML.US,D,20191127,000000,24.868,24.878,24.848,24.853,11530,0
BSML.US,D,20191202,000000,24.878,24.878,24.878,24.878,202,0
BSML.US,D,20191205,000000,24.878,24.878,24.848,24.848,1312,0
BSML.US,D,20191206,000000,24.838,24.863,24.838,24.863,382,0
BSML.US,D,20191209,000000,24.888,24.888,24.863,24.863,100,0
BSML.US,D,20191210,000000,24.878,24.878,24.873,24.873,893,0
BSML.US,D,20191211,000000,24.888,24.898,24.888,24.898,1829,0
BSML.US,D,20191213,000000,24.888,24.888,24.865,24.873,4429,0
BSML.US,D,20191216,000000,24.863,24.873,24.863,24.873,1004,0
BSML.US,D,20191217,000000,24.878,24.893,24.878,24.893,1008,0
BSML.US,D,20191218,000000,24.908,24.908,24.891,24.898,13995,0
BSML.US,D,20191219,000000,24.898,24.908,24.898,24.898,12488,0
BSML.US,D,20191220,000000,24.898,24.898,24.888,24.888,3298,0
BSML.US,D,20191223,000000,24.908,24.908,24.873,24.878,4564,0
BSML.US,D,20191227,000000,24.903,24.908,24.903,24.903,2321,0
BSML.US,D,20191230,000000,24.918,24.918,24.908,24.908,2801,0
BSML.US,D,20191231,000000,24.908,24.918,24.908,24.918,7975,0
BSML.US,D,20200102,000000,24.918,24.918,24.898,24.908,5489,0
BSML.US,D,20200103,000000,24.908,24.918,24.908,24.908,522,0
BSML.US,D,20200106,000000,24.905,24.908,24.905,24.908,239,0
BSML.US,D,20200108,000000,24.938,24.948,24.933,24.933,285,0
