<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMM.US,D,20191015,000000,24.741,24.81,24.741,24.751,15185,0
BSMM.US,D,20191016,000000,24.751,24.751,24.751,24.751,378,0
BSMM.US,D,20191021,000000,24.714,24.732,24.714,24.717,1111,0
BSMM.US,D,20191022,000000,24.712,24.712,24.712,24.712,400,0
BSMM.US,D,20191023,000000,24.732,24.741,24.717,24.734,2430,0
BSMM.US,D,20191024,000000,24.732,24.732,24.698,24.698,2722,0
BSMM.US,D,20191025,000000,24.683,24.683,24.683,24.683,1203,0
BSMM.US,D,20191028,000000,24.712,24.712,24.702,24.712,4039,0
BSMM.US,D,20191029,000000,24.732,24.732,24.722,24.722,1011,0
BSMM.US,D,20191030,000000,24.697,24.741,24.697,24.732,6799,0
BSMM.US,D,20191031,000000,24.76,24.781,24.76,24.781,8538,0
BSMM.US,D,20191101,000000,24.75,24.75,24.75,24.75,1623,0
BSMM.US,D,20191105,000000,24.741,24.741,24.741,24.741,101,0
BSMM.US,D,20191106,000000,24.761,24.761,24.761,24.761,19901,0
BSMM.US,D,20191107,000000,24.741,24.741,24.716,24.722,3304,0
BSMM.US,D,20191108,000000,24.737,24.737,24.737,24.737,200,0
BSMM.US,D,20191113,000000,24.744,24.751,24.741,24.751,2697,0
BSMM.US,D,20191114,000000,24.751,24.751,24.751,24.751,759,0
BSMM.US,D,20191115,000000,24.751,24.751,24.751,24.751,326,0
BSMM.US,D,20191118,000000,24.754,24.754,24.737,24.746,2196,0
BSMM.US,D,20191119,000000,24.781,24.781,24.746,24.746,2907,0
BSMM.US,D,20191120,000000,24.765,24.791,24.765,24.766,14105,0
BSMM.US,D,20191121,000000,24.746,24.759,24.746,24.759,301,0
BSMM.US,D,20191122,000000,24.761,24.771,24.751,24.751,2029,0
BSMM.US,D,20191125,000000,24.761,24.761,24.761,24.761,16362,0
BSMM.US,D,20191126,000000,24.772,24.781,24.766,24.766,2012,0
BSMM.US,D,20191127,000000,24.781,24.781,24.781,24.781,8148,0
BSMM.US,D,20191129,000000,24.791,24.791,24.791,24.791,110,0
BSMM.US,D,20191202,000000,24.751,24.771,24.751,24.771,1014,0
BSMM.US,D,20191203,000000,24.791,24.8,24.791,24.8,504,0
BSMM.US,D,20191205,000000,24.8,24.8,24.777,24.786,564,0
BSMM.US,D,20191206,000000,24.81,24.81,24.791,24.791,1393,0
BSMM.US,D,20191209,000000,24.815,24.82,24.795,24.795,540,0
BSMM.US,D,20191210,000000,24.8,24.82,24.795,24.795,1066,0
BSMM.US,D,20191211,000000,24.83,24.83,24.791,24.81,1537,0
BSMM.US,D,20191212,000000,24.817,24.82,24.815,24.815,817,0
BSMM.US,D,20191213,000000,24.815,24.83,24.815,24.82,3021,0
BSMM.US,D,20191216,000000,24.817,24.825,24.817,24.825,1016,0
BSMM.US,D,20191217,000000,24.83,24.84,24.828,24.835,12012,0
BSMM.US,D,20191218,000000,24.84,24.84,24.833,24.835,8007,0
BSMM.US,D,20191219,000000,24.83,24.84,24.83,24.83,9873,0
BSMM.US,D,20191220,000000,24.83,24.84,24.825,24.825,4074,0
BSMM.US,D,20191223,000000,24.85,24.85,24.83,24.835,13712,0
BSMM.US,D,20191226,000000,24.838,24.838,24.825,24.825,140,0
BSMM.US,D,20191227,000000,24.826,24.83,24.811,24.83,2337,0
BSMM.US,D,20191230,000000,24.83,24.83,24.815,24.82,2449,0
BSMM.US,D,20191231,000000,24.86,24.86,24.835,24.835,5567,0
BSMM.US,D,20200102,000000,24.845,24.85,24.845,24.845,4861,0
BSMM.US,D,20200103,000000,24.89,24.89,24.854,24.86,3704,0
BSMM.US,D,20200106,000000,24.89,24.9,24.87,24.89,34888,0
BSMM.US,D,20200107,000000,24.9,24.9,24.88,24.88,467,0
BSMM.US,D,20200108,000000,24.91,24.92,24.9,24.91,12180,0
BSMM.US,D,20200109,000000,24.9,24.9,24.892,24.895,4735,0
BSMM.US,D,20200113,000000,24.92,24.92,24.89,24.89,7012,0
BSMM.US,D,20200114,000000,24.9,24.91,24.9,24.9,1121,0
BSMM.US,D,20200115,000000,24.93,24.93,24.89,24.92,13694,0
BSMM.US,D,20200116,000000,24.94,24.94,24.937,24.94,2020,0
BSMM.US,D,20200117,000000,24.924,24.94,24.92,24.92,4884,0
BSMM.US,D,20200121,000000,24.94,24.94,24.937,24.937,158,0
BSMM.US,D,20200122,000000,24.957,24.967,24.957,24.967,2677,0
BSMM.US,D,20200123,000000,24.964,24.977,24.964,24.964,3433,0
BSMM.US,D,20200124,000000,24.974,24.987,24.967,24.967,807,0
BSMM.US,D,20200127,000000,24.984,24.997,24.983,24.983,4869,0
