<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMN.US,D,20190927,000000,24.669,24.669,24.669,24.669,200,0
BSMN.US,D,20191002,000000,24.732,24.732,24.732,24.732,339,0
BSMN.US,D,20191014,000000,24.782,24.792,24.782,24.782,4139,0
BSMN.US,D,20191015,000000,24.802,24.842,24.756,24.772,15980,0
BSMN.US,D,20191021,000000,24.742,24.742,24.727,24.727,3226,0
BSMN.US,D,20191022,000000,24.707,24.707,24.707,24.707,200,0
BSMN.US,D,20191023,000000,24.752,24.752,24.751,24.751,1720,0
BSMN.US,D,20191024,000000,24.742,24.752,24.742,24.742,3026,0
BSMN.US,D,20191025,000000,24.708,24.708,24.708,24.708,1013,0
BSMN.US,D,20191029,000000,24.742,24.742,24.732,24.732,693,0
BSMN.US,D,20191031,000000,24.782,24.802,24.782,24.802,8188,0
BSMN.US,D,20191105,000000,24.752,24.752,24.752,24.752,727,0
BSMN.US,D,20191106,000000,24.772,24.782,24.772,24.772,3094,0
BSMN.US,D,20191113,000000,24.725,24.762,24.725,24.762,3569,0
BSMN.US,D,20191114,000000,24.732,24.732,24.732,24.732,2025,0
BSMN.US,D,20191118,000000,24.741,24.782,24.741,24.752,2420,0
BSMN.US,D,20191119,000000,24.762,24.772,24.748,24.757,1476,0
BSMN.US,D,20191120,000000,24.802,24.802,24.784,24.797,4700,0
BSMN.US,D,20191121,000000,24.792,24.792,24.757,24.757,502,0
BSMN.US,D,20191122,000000,24.78,24.792,24.767,24.767,3355,0
BSMN.US,D,20191125,000000,24.772,24.772,24.772,24.772,16501,0
BSMN.US,D,20191126,000000,24.776,24.782,24.776,24.782,483,0
BSMN.US,D,20191202,000000,24.802,24.802,24.782,24.782,1468,0
BSMN.US,D,20191205,000000,24.807,24.822,24.807,24.807,210,0
BSMN.US,D,20191209,000000,24.83,24.83,24.812,24.812,100,0
BSMN.US,D,20191210,000000,24.822,24.842,24.812,24.817,3603,0
BSMN.US,D,20191211,000000,24.852,24.852,24.852,24.852,1012,0
BSMN.US,D,20191212,000000,24.828,24.828,24.827,24.827,501,0
BSMN.US,D,20191213,000000,24.832,24.852,24.832,24.837,3374,0
BSMN.US,D,20191216,000000,24.846,24.852,24.832,24.832,1821,0
BSMN.US,D,20191217,000000,24.832,24.852,24.832,24.832,10505,0
BSMN.US,D,20191218,000000,24.852,24.852,24.839,24.842,4905,0
BSMN.US,D,20191219,000000,24.852,24.861,24.842,24.842,8647,0
BSMN.US,D,20191220,000000,24.861,24.861,24.842,24.842,5313,0
BSMN.US,D,20191223,000000,24.831,24.837,24.831,24.837,504,0
BSMN.US,D,20191224,000000,24.871,24.881,24.852,24.852,1813,0
BSMN.US,D,20191230,000000,24.881,24.881,24.842,24.881,4069,0
BSMN.US,D,20200102,000000,24.876,24.876,24.86,24.861,5402,0
BSMN.US,D,20200103,000000,24.881,24.901,24.881,24.896,1113,0
