<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMO.US,D,20191014,000000,24.697,24.697,24.697,24.697,3033,0
BSMO.US,D,20191015,000000,24.739,24.739,24.695,24.695,8987,0
BSMO.US,D,20191016,000000,24.7,24.7,24.7,24.7,480,0
BSMO.US,D,20191018,000000,24.68,24.68,24.67,24.67,2825,0
BSMO.US,D,20191021,000000,24.65,24.66,24.64,24.65,8652,0
BSMO.US,D,20191022,000000,24.58,24.63,24.58,24.63,1409,0
BSMO.US,D,20191023,000000,24.631,24.65,24.631,24.635,1113,0
BSMO.US,D,20191024,000000,24.633,24.633,24.633,24.633,2027,0
BSMO.US,D,20191028,000000,24.61,24.62,24.61,24.62,2948,0
BSMO.US,D,20191029,000000,24.63,24.64,24.63,24.63,2355,0
BSMO.US,D,20191030,000000,24.625,24.625,24.625,24.625,250,0
BSMO.US,D,20191031,000000,24.69,24.69,24.681,24.681,2933,0
BSMO.US,D,20191105,000000,24.65,24.65,24.65,24.65,255,0
BSMO.US,D,20191106,000000,24.67,24.67,24.67,24.67,1126,0
BSMO.US,D,20191113,000000,24.643,24.65,24.615,24.615,5844,0
BSMO.US,D,20191114,000000,24.643,24.643,24.643,24.643,2032,0
BSMO.US,D,20191118,000000,24.666,24.666,24.655,24.655,762,0
BSMO.US,D,20191119,000000,24.68,24.68,24.664,24.665,4755,0
BSMO.US,D,20191120,000000,24.7,24.71,24.7,24.71,9442,0
BSMO.US,D,20191121,000000,24.69,24.69,24.68,24.68,100,0
BSMO.US,D,20191122,000000,24.71,24.71,24.69,24.69,749,0
BSMO.US,D,20191125,000000,24.7,24.71,24.695,24.695,16767,0
BSMO.US,D,20191126,000000,24.7,24.7,24.7,24.7,998,0
BSMO.US,D,20191127,000000,24.739,24.739,24.719,24.719,3496,0
BSMO.US,D,20191202,000000,24.719,24.719,24.7,24.7,509,0
BSMO.US,D,20191203,000000,24.729,24.768,24.729,24.749,2813,0
BSMO.US,D,20191209,000000,24.763,24.763,24.758,24.758,358,0
BSMO.US,D,20191210,000000,24.758,24.758,24.758,24.758,448,0
BSMO.US,D,20191211,000000,24.778,24.778,24.778,24.778,1012,0
BSMO.US,D,20191212,000000,24.768,24.768,24.763,24.763,1012,0
BSMO.US,D,20191213,000000,24.788,24.788,24.773,24.773,808,0
BSMO.US,D,20191217,000000,24.766,24.803,24.766,24.788,11004,0
BSMO.US,D,20191218,000000,24.771,24.798,24.771,24.778,2563,0
BSMO.US,D,20191219,000000,24.788,24.798,24.768,24.788,5837,0
BSMO.US,D,20191220,000000,24.788,24.788,24.767,24.773,1852,0
BSMO.US,D,20191223,000000,24.776,24.788,24.773,24.773,1863,0
BSMO.US,D,20191224,000000,24.813,24.818,24.808,24.818,1889,0
BSMO.US,D,20191226,000000,24.808,24.808,24.788,24.788,2404,0
BSMO.US,D,20191227,000000,24.8,24.808,24.794,24.798,1281,0
BSMO.US,D,20191230,000000,24.808,24.828,24.792,24.828,4560,0
BSMO.US,D,20200102,000000,24.814,24.828,24.814,24.823,12404,0
BSMO.US,D,20200103,000000,24.867,24.886,24.867,24.876,1316,0
BSMO.US,D,20200106,000000,24.895,24.895,24.882,24.895,3717,0
BSMO.US,D,20200108,000000,24.913,24.913,24.91,24.91,198,0
BSMO.US,D,20200109,000000,24.905,24.91,24.905,24.91,3231,0
BSMO.US,D,20200110,000000,24.915,24.915,24.91,24.91,2868,0
BSMO.US,D,20200113,000000,24.925,24.925,24.9,24.925,5978,0
BSMO.US,D,20200115,000000,24.974,24.974,24.935,24.96,4263,0
BSMO.US,D,20200116,000000,24.974,24.984,24.965,24.965,2013,0
BSMO.US,D,20200117,000000,24.978,24.984,24.97,24.97,3326,0
BSMO.US,D,20200121,000000,25.012,25.022,25.004,25.004,8126,0
BSMO.US,D,20200122,000000,25.022,25.022,25.007,25.007,3041,0
BSMO.US,D,20200123,000000,25.052,25.052,25.039,25.042,3047,0
BSMO.US,D,20200124,000000,25.054,25.062,25.054,25.057,505,0
BSMO.US,D,20200127,000000,25.092,25.102,25.092,25.097,7398,0
BSMO.US,D,20200128,000000,25.082,25.092,25.067,25.067,3317,0
BSMO.US,D,20200129,000000,25.112,25.112,25.097,25.107,1997,0
BSMO.US,D,20200130,000000,25.112,25.112,25.102,25.102,5676,0
BSMO.US,D,20200131,000000,25.106,25.112,25.106,25.112,277,0
BSMO.US,D,20200203,000000,25.112,25.122,25.102,25.102,1701,0
BSMO.US,D,20200204,000000,25.082,25.082,25.072,25.082,6973,0
BSMO.US,D,20200205,000000,25.072,25.072,25.047,25.047,2581,0
BSMO.US,D,20200206,000000,25.062,25.062,25.047,25.047,400,0
BSMO.US,D,20200207,000000,25.072,25.092,25.072,25.092,1628,0
BSMO.US,D,20200210,000000,25.088,25.088,25.082,25.082,1060,0
