<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMP.US,D,20190927,000000,24.576,24.576,24.576,24.576,200,0
BSMP.US,D,20191001,000000,24.586,24.586,24.586,24.586,1529,0
BSMP.US,D,20191002,000000,24.646,24.646,24.625,24.625,1931,0
BSMP.US,D,20191015,000000,24.606,24.656,24.606,24.638,9499,0
BSMP.US,D,20191021,000000,24.576,24.586,24.567,24.567,8493,0
BSMP.US,D,20191023,000000,24.568,24.576,24.568,24.571,1114,0
BSMP.US,D,20191024,000000,24.557,24.557,24.557,24.557,4066,0
BSMP.US,D,20191028,000000,24.537,24.551,24.537,24.547,12898,0
BSMP.US,D,20191030,000000,24.537,24.557,24.537,24.557,2138,0
BSMP.US,D,20191101,000000,24.636,24.636,24.636,24.636,1327,0
BSMP.US,D,20191104,000000,24.625,24.626,24.611,24.616,5280,0
BSMP.US,D,20191105,000000,24.567,24.567,24.567,24.567,117,0
BSMP.US,D,20191107,000000,24.537,24.537,24.537,24.537,350,0
BSMP.US,D,20191108,000000,24.507,24.517,24.499,24.499,5384,0
BSMP.US,D,20191113,000000,24.547,24.557,24.541,24.541,8224,0
BSMP.US,D,20191114,000000,24.573,24.573,24.573,24.573,2030,0
BSMP.US,D,20191115,000000,24.576,24.576,24.576,24.576,4154,0
BSMP.US,D,20191118,000000,24.596,24.606,24.571,24.571,2309,0
BSMP.US,D,20191119,000000,24.586,24.596,24.576,24.576,3296,0
BSMP.US,D,20191120,000000,24.636,24.636,24.626,24.626,1625,0
BSMP.US,D,20191121,000000,24.611,24.611,24.601,24.601,200,0
BSMP.US,D,20191126,000000,24.636,24.641,24.636,24.641,500,0
BSMP.US,D,20191127,000000,24.668,24.668,24.651,24.651,3504,0
BSMP.US,D,20191203,000000,24.666,24.725,24.666,24.691,9204,0
BSMP.US,D,20191204,000000,24.674,24.674,24.666,24.666,1214,0
BSMP.US,D,20191206,000000,24.684,24.684,24.661,24.661,1016,0
BSMP.US,D,20191209,000000,24.696,24.696,24.681,24.681,401,0
BSMP.US,D,20191210,000000,24.676,24.706,24.676,24.681,1670,0
BSMP.US,D,20191212,000000,24.715,24.715,24.715,24.715,2036,0
BSMP.US,D,20191213,000000,24.735,24.735,24.715,24.715,399,0
BSMP.US,D,20191216,000000,24.715,24.715,24.697,24.697,1131,0
BSMP.US,D,20191217,000000,24.715,24.745,24.71,24.72,11525,0
BSMP.US,D,20191218,000000,24.719,24.72,24.706,24.706,1014,0
BSMP.US,D,20191219,000000,24.696,24.725,24.696,24.706,1133,0
BSMP.US,D,20191220,000000,24.724,24.724,24.697,24.697,2556,0
BSMP.US,D,20191223,000000,24.715,24.715,24.706,24.71,7018,0
BSMP.US,D,20191224,000000,24.745,24.745,24.724,24.724,1309,0
BSMP.US,D,20191226,000000,24.725,24.725,24.71,24.71,299,0
BSMP.US,D,20191227,000000,24.735,24.735,24.725,24.725,2426,0
BSMP.US,D,20191230,000000,24.745,24.75,24.735,24.75,2719,0
BSMP.US,D,20191231,000000,24.754,24.755,24.75,24.75,1728,0
BSMP.US,D,20200102,000000,24.773,24.773,24.755,24.755,6676,0
BSMP.US,D,20200103,000000,24.832,24.852,24.832,24.837,1505,0
BSMP.US,D,20200106,000000,24.862,24.862,24.841,24.847,1447,0
BSMP.US,D,20200107,000000,24.872,24.882,24.857,24.877,2906,0
BSMP.US,D,20200108,000000,24.895,24.912,24.887,24.887,13903,0
BSMP.US,D,20200109,000000,24.902,24.902,24.883,24.897,1853,0
BSMP.US,D,20200110,000000,24.912,24.912,24.897,24.897,9527,0
BSMP.US,D,20200113,000000,24.922,24.922,24.907,24.907,100,0
BSMP.US,D,20200115,000000,24.952,24.976,24.952,24.976,2033,0
BSMP.US,D,20200116,000000,24.997,25,24.991,24.991,1068,0
BSMP.US,D,20200117,000000,25.031,25.031,24.986,24.986,9300,0
BSMP.US,D,20200121,000000,25.051,25.051,25.031,25.036,14307,0
BSMP.US,D,20200122,000000,25.043,25.043,25.031,25.031,250,0
BSMP.US,D,20200123,000000,25.081,25.081,25.081,25.081,2377,0
BSMP.US,D,20200124,000000,25.101,25.111,25.101,25.101,2435,0
BSMP.US,D,20200127,000000,25.141,25.141,25.121,25.121,602,0
BSMP.US,D,20200129,000000,25.156,25.161,25.141,25.151,3039,0
BSMP.US,D,20200130,000000,25.165,25.165,25.156,25.156,1691,0
BSMP.US,D,20200131,000000,25.18,25.18,25.16,25.171,1603,0
BSMP.US,D,20200203,000000,25.161,25.161,25.151,25.151,532,0
BSMP.US,D,20200204,000000,25.121,25.121,25.111,25.111,2304,0
BSMP.US,D,20200205,000000,25.111,25.111,25.101,25.101,4299,0
BSMP.US,D,20200206,000000,25.091,25.091,25.076,25.076,843,0
BSMP.US,D,20200207,000000,25.121,25.141,25.121,25.141,21192,0
BSMP.US,D,20200210,000000,25.141,25.141,25.126,25.126,828,0
BSMP.US,D,20200211,000000,25.141,25.141,25.126,25.131,5204,0
BSMP.US,D,20200212,000000,25.131,25.131,25.116,25.116,1041,0
BSMP.US,D,20200213,000000,25.128,25.131,25.111,25.111,4419,0
BSMP.US,D,20200214,000000,25.143,25.161,25.136,25.136,2752,0
BSMP.US,D,20200218,000000,25.171,25.171,25.146,25.151,8529,0
BSMP.US,D,20200219,000000,25.19,25.19,25.151,25.156,7482,0
BSMP.US,D,20200220,000000,25.19,25.209,25.19,25.19,7523,0
BSMP.US,D,20200224,000000,25.33,25.335,25.33,25.335,1060,0
BSMP.US,D,20200225,000000,25.337,25.344,25.335,25.335,1095,0
BSMP.US,D,20200226,000000,25.335,25.335,25.33,25.33,145,0
BSMP.US,D,20200227,000000,25.364,25.364,25.335,25.344,2052,0
BSMP.US,D,20200228,000000,25.308,25.322,25.308,25.322,210,0
BSMP.US,D,20200302,000000,25.394,25.394,25.325,25.325,1852,0
BSMP.US,D,20200303,000000,25.384,25.402,25.364,25.369,2174,0
BSMP.US,D,20200304,000000,25.374,25.374,25.354,25.354,529,0
BSMP.US,D,20200305,000000,25.394,25.394,25.354,25.364,1126,0
BSMP.US,D,20200309,000000,25.603,25.613,25.57,25.57,341,0
BSMP.US,D,20200310,000000,25.563,25.563,25.317,25.317,2072,0
BSMP.US,D,20200311,000000,25.243,25.243,25.18,25.18,3354,0
BSMP.US,D,20200312,000000,24.387,24.416,24.361,24.361,8374,0
BSMP.US,D,20200316,000000,24.349,24.377,24.348,24.348,2931,0
BSMP.US,D,20200317,000000,24.338,24.338,24.256,24.256,1926,0
BSMP.US,D,20200318,000000,24.033,24.033,23.835,23.835,118,0
BSMP.US,D,20200319,000000,23.904,23.904,23.355,23.355,8483,0
BSMP.US,D,20200320,000000,23.171,23.171,22.867,23.058,2860,0
BSMP.US,D,20200323,000000,22.895,22.994,22.638,22.815,2351,0
BSMP.US,D,20200324,000000,22.964,23.222,22.964,23.222,1010,0
BSMP.US,D,20200325,000000,23.503,24.114,23.503,23.94,2803,0
BSMP.US,D,20200326,000000,24.678,24.805,24.398,24.598,2922,0
BSMP.US,D,20200327,000000,24.779,24.779,24.509,24.683,6558,0
