<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMQ.US,D,20191024,000000,24.395,24.423,24.395,24.395,4082,0
BSMQ.US,D,20191028,000000,24.384,24.385,24.368,24.384,9593,0
BSMQ.US,D,20191029,000000,24.396,24.396,24.378,24.395,1020,0
BSMQ.US,D,20191030,000000,24.404,24.423,24.395,24.414,8343,0
BSMQ.US,D,20191101,000000,24.482,24.492,24.482,24.492,2116,0
BSMQ.US,D,20191104,000000,24.462,24.462,24.462,24.462,761,0
BSMQ.US,D,20191111,000000,24.318,24.318,24.318,24.318,2051,0
BSMQ.US,D,20191113,000000,24.355,24.365,24.34,24.355,16928,0
BSMQ.US,D,20191114,000000,24.382,24.385,24.381,24.381,2554,0
BSMQ.US,D,20191115,000000,24.404,24.414,24.404,24.414,2357,0
BSMQ.US,D,20191119,000000,24.423,24.423,24.4,24.4,1824,0
BSMQ.US,D,20191120,000000,24.452,24.462,24.439,24.462,12944,0
BSMQ.US,D,20191126,000000,24.492,24.492,24.482,24.482,1104,0
BSMQ.US,D,20191203,000000,24.512,24.547,24.512,24.547,2038,0
BSMQ.US,D,20191206,000000,24.542,24.542,24.517,24.517,6135,0
BSMQ.US,D,20191209,000000,24.558,24.562,24.542,24.542,5197,0
BSMQ.US,D,20191210,000000,24.542,24.542,24.542,24.542,249,0
BSMQ.US,D,20191212,000000,24.572,24.572,24.542,24.542,12553,0
BSMQ.US,D,20191213,000000,24.572,24.592,24.542,24.582,3170,0
BSMQ.US,D,20191217,000000,24.582,24.612,24.577,24.577,10202,0
BSMQ.US,D,20191219,000000,24.566,24.577,24.566,24.577,1371,0
BSMQ.US,D,20191220,000000,24.542,24.552,24.522,24.532,11189,0
BSMQ.US,D,20191223,000000,24.537,24.562,24.537,24.542,7831,0
BSMQ.US,D,20191226,000000,24.542,24.542,24.542,24.542,1038,0
BSMQ.US,D,20191230,000000,24.579,24.579,24.577,24.577,1016,0
BSMQ.US,D,20191231,000000,24.579,24.579,24.562,24.562,1567,0
BSMQ.US,D,20200102,000000,24.592,24.612,24.587,24.587,7830,0
BSMQ.US,D,20200103,000000,24.681,24.691,24.681,24.691,1203,0
BSMQ.US,D,20200106,000000,24.711,24.711,24.701,24.701,2081,0
BSMQ.US,D,20200107,000000,24.741,24.75,24.734,24.741,5023,0
BSMQ.US,D,20200108,000000,24.77,24.77,24.759,24.759,4855,0
BSMQ.US,D,20200109,000000,24.78,24.78,24.765,24.765,1372,0
BSMQ.US,D,20200115,000000,24.838,24.847,24.81,24.834,4950,0
BSMQ.US,D,20200116,000000,24.875,24.875,24.872,24.872,568,0
BSMQ.US,D,20200121,000000,24.906,24.925,24.905,24.905,4455,0
BSMQ.US,D,20200122,000000,24.925,24.925,24.905,24.905,3703,0
BSMQ.US,D,20200123,000000,24.964,24.972,24.953,24.953,521,0
BSMQ.US,D,20200127,000000,25.052,25.052,25.037,25.037,563,0
