<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMR.US,D,20190926,000000,24.515,24.515,24.515,24.515,342,0
BSMR.US,D,20191002,000000,24.583,24.583,24.583,24.583,347,0
BSMR.US,D,20191029,000000,24.394,24.405,24.394,24.405,1020,0
BSMR.US,D,20191030,000000,24.405,24.405,24.405,24.405,2039,0
BSMR.US,D,20191104,000000,24.474,24.484,24.474,24.484,511,0
BSMR.US,D,20191105,000000,24.405,24.405,24.405,24.405,231,0
BSMR.US,D,20191113,000000,24.355,24.415,24.355,24.365,28426,0
BSMR.US,D,20191114,000000,24.402,24.402,24.402,24.402,2039,0
BSMR.US,D,20191118,000000,24.435,24.435,24.415,24.415,616,0
BSMR.US,D,20191119,000000,24.425,24.435,24.415,24.415,6009,0
BSMR.US,D,20191120,000000,24.503,24.513,24.484,24.513,6221,0
BSMR.US,D,20191126,000000,24.474,24.484,24.474,24.484,2950,0
BSMR.US,D,20191206,000000,24.495,24.503,24.479,24.479,1323,0
BSMR.US,D,20191209,000000,24.519,24.519,24.508,24.508,100,0
BSMR.US,D,20191210,000000,24.513,24.513,24.513,24.513,249,0
BSMR.US,D,20191212,000000,24.513,24.533,24.513,24.513,507,0
BSMR.US,D,20191217,000000,24.562,24.573,24.548,24.548,10178,0
BSMR.US,D,20191219,000000,24.553,24.553,24.549,24.553,352,0
BSMR.US,D,20191220,000000,24.519,24.519,24.513,24.513,819,0
BSMR.US,D,20191226,000000,24.553,24.553,24.543,24.543,423,0
BSMR.US,D,20191227,000000,24.563,24.563,24.548,24.548,1149,0
BSMR.US,D,20191230,000000,24.56,24.563,24.56,24.563,1117,0
BSMR.US,D,20200102,000000,24.574,24.574,24.566,24.573,4249,0
BSMR.US,D,20200106,000000,24.702,24.712,24.697,24.697,1493,0
BSMR.US,D,20200108,000000,24.761,24.761,24.749,24.749,9335,0
BSMR.US,D,20200109,000000,24.751,24.756,24.751,24.756,1410,0
BSMR.US,D,20200114,000000,24.771,24.79,24.771,24.771,4387,0
BSMR.US,D,20200116,000000,24.87,24.87,24.855,24.855,1039,0
BSMR.US,D,20200117,000000,24.89,24.89,24.89,24.89,529,0
BSMR.US,D,20200122,000000,24.879,24.897,24.877,24.877,4013,0
BSMR.US,D,20200127,000000,25.053,25.053,25.033,25.033,2030,0
BSMR.US,D,20200130,000000,25.096,25.096,25.083,25.083,1999,0
