<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMS.US,D,20190926,000000,24.46,24.46,24.46,24.46,348,0
BSMS.US,D,20191028,000000,24.304,24.314,24.304,24.304,3156,0
BSMS.US,D,20191030,000000,24.334,24.344,24.334,24.344,3461,0
BSMS.US,D,20191031,000000,24.439,24.45,24.439,24.44,2558,0
BSMS.US,D,20191105,000000,24.334,24.334,24.334,24.334,2206,0
BSMS.US,D,20191106,000000,24.334,24.344,24.334,24.344,17396,0
BSMS.US,D,20191108,000000,24.196,24.196,24.196,24.196,104,0
BSMS.US,D,20191112,000000,24.205,24.205,24.205,24.205,8179,0
BSMS.US,D,20191113,000000,24.235,24.304,24.235,24.235,45708,0
BSMS.US,D,20191118,000000,24.301,24.301,24.3,24.3,177,0
BSMS.US,D,20191119,000000,24.307,24.314,24.307,24.314,572,0
BSMS.US,D,20191120,000000,24.392,24.392,24.388,24.388,1640,0
BSMS.US,D,20191121,000000,24.364,24.369,24.364,24.369,3676,0
BSMS.US,D,20191125,000000,24.412,24.412,24.397,24.397,559,0
BSMS.US,D,20191126,000000,24.417,24.45,24.417,24.427,4433,0
BSMS.US,D,20191203,000000,24.431,24.52,24.431,24.495,24785,0
BSMS.US,D,20191206,000000,24.46,24.46,24.44,24.44,1035,0
BSMS.US,D,20191209,000000,24.486,24.486,24.475,24.475,100,0
BSMS.US,D,20191210,000000,24.47,24.47,24.47,24.47,121,0
BSMS.US,D,20191212,000000,24.52,24.52,24.475,24.475,45967,0
BSMS.US,D,20191217,000000,24.51,24.529,24.51,24.51,21940,0
BSMS.US,D,20191219,000000,24.5,24.529,24.5,24.51,963,0
BSMS.US,D,20191220,000000,24.465,24.49,24.459,24.475,1544,0
BSMS.US,D,20191223,000000,24.48,24.49,24.468,24.475,8303,0
BSMS.US,D,20191224,000000,24.49,24.51,24.49,24.495,3338,0
BSMS.US,D,20191230,000000,24.52,24.52,24.52,24.52,1632,0
BSMS.US,D,20200102,000000,24.539,24.549,24.534,24.534,8903,0
BSMS.US,D,20200103,000000,24.647,24.657,24.647,24.657,9989,0
BSMS.US,D,20200106,000000,24.66,24.687,24.66,24.677,1015,0
BSMS.US,D,20200108,000000,24.73,24.73,24.725,24.725,225,0
BSMS.US,D,20200110,000000,24.726,24.74,24.726,24.74,1230,0
BSMS.US,D,20200113,000000,24.775,24.775,24.706,24.726,1241,0
BSMS.US,D,20200114,000000,24.785,24.785,24.77,24.77,328,0
BSMS.US,D,20200116,000000,24.864,24.874,24.851,24.854,2217,0
BSMS.US,D,20200131,000000,25.118,25.118,25.118,25.118,152,0
BSMS.US,D,20200204,000000,25.059,25.059,25.059,25.059,2018,0
BSMS.US,D,20200205,000000,25.03,25.03,25.03,25.03,188,0
BSMS.US,D,20200206,000000,24.992,25.012,24.992,25.012,798,0
BSMS.US,D,20200207,000000,25.059,25.068,25.059,25.068,41020,0
BSMS.US,D,20200210,000000,25.064,25.108,25.064,25.068,7978,0
BSMS.US,D,20200211,000000,25.091,25.091,25.083,25.083,605,0
BSMS.US,D,20200212,000000,25.088,25.088,25.073,25.073,1436,0
BSMS.US,D,20200218,000000,25.167,25.167,25.138,25.138,2756,0
BSMS.US,D,20200219,000000,25.186,25.186,25.167,25.167,179,0
BSMS.US,D,20200220,000000,25.205,25.205,25.205,25.205,200,0
BSMS.US,D,20200221,000000,25.314,25.337,25.314,25.337,5801,0
BSMS.US,D,20200226,000000,25.571,25.582,25.558,25.558,410,0
BSMS.US,D,20200228,000000,25.561,25.561,25.553,25.553,506,0
BSMS.US,D,20200303,000000,25.616,25.616,25.572,25.572,384,0
BSMS.US,D,20200311,000000,25.393,25.393,25.068,25.068,795,0
BSMS.US,D,20200312,000000,23.965,23.965,23.811,23.811,15857,0
BSMS.US,D,20200316,000000,23.81,23.851,23.81,23.851,9752,0
BSMS.US,D,20200317,000000,23.86,23.86,23.7,23.7,2944,0
BSMS.US,D,20200318,000000,23.384,23.488,23.384,23.473,8679,0
BSMS.US,D,20200319,000000,23.414,23.423,22.711,22.711,13102,0
BSMS.US,D,20200323,000000,21.799,21.997,21.799,21.997,178,0
BSMS.US,D,20200324,000000,22.491,22.507,22.332,22.332,1068,0
BSMS.US,D,20200325,000000,23.003,23.683,22.993,23.499,16495,0
BSMS.US,D,20200330,000000,24.826,24.846,24.607,24.607,230,0
BSMS.US,D,20200401,000000,23.923,23.923,23.628,23.628,636,0
BSMS.US,D,20200402,000000,23.504,23.504,23.504,23.504,1362,0
BSMS.US,D,20200406,000000,23.573,23.997,23.573,23.663,7953,0
BSMS.US,D,20200409,000000,24.126,24.289,24.126,24.289,987,0
BSMS.US,D,20200415,000000,24.594,24.594,24.572,24.572,406,0
BSMS.US,D,20200416,000000,24.697,24.707,24.55,24.55,629,0
