<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMT.US,D,20190927,000000,24.368,24.378,24.368,24.368,2047,0
BSMT.US,D,20191009,000000,24.595,24.595,24.595,24.595,2256,0
BSMT.US,D,20191011,000000,24.358,24.358,24.358,24.358,517,0
BSMT.US,D,20191021,000000,24.255,24.255,24.255,24.255,1126,0
BSMT.US,D,20191025,000000,24.213,24.213,24.213,24.213,1038,0
BSMT.US,D,20191028,000000,24.203,24.203,24.203,24.203,505,0
BSMT.US,D,20191031,000000,24.357,24.357,24.357,24.357,112,0
BSMT.US,D,20191101,000000,24.319,24.319,24.311,24.311,1532,0
BSMT.US,D,20191107,000000,24.125,24.135,24.125,24.125,619,0
BSMT.US,D,20191108,000000,24.066,24.066,24.066,24.066,1356,0
BSMT.US,D,20191113,000000,24.105,24.115,24.104,24.104,22482,0
BSMT.US,D,20191119,000000,24.194,24.213,24.184,24.189,23454,0
BSMT.US,D,20191120,000000,24.253,24.276,24.253,24.276,4495,0
BSMT.US,D,20191121,000000,24.248,24.248,24.243,24.248,1125,0
BSMT.US,D,20191125,000000,24.291,24.291,24.276,24.276,302,0
BSMT.US,D,20191202,000000,24.31,24.31,24.272,24.272,353,0
BSMT.US,D,20191203,000000,24.319,24.373,24.319,24.373,15631,0
BSMT.US,D,20191204,000000,24.339,24.339,24.329,24.329,152,0
BSMT.US,D,20191209,000000,24.364,24.364,24.353,24.353,112,0
BSMT.US,D,20191210,000000,24.348,24.358,24.348,24.358,109,0
BSMT.US,D,20191212,000000,24.427,24.427,24.363,24.363,43204,0
BSMT.US,D,20191219,000000,24.378,24.388,24.378,24.388,2142,0
BSMT.US,D,20191220,000000,24.354,24.368,24.353,24.353,1824,0
BSMT.US,D,20191223,000000,24.343,24.343,24.343,24.343,2142,0
BSMT.US,D,20191227,000000,24.388,24.388,24.373,24.373,1323,0
BSMT.US,D,20191230,000000,24.417,24.427,24.407,24.407,2826,0
BSMT.US,D,20200102,000000,24.407,24.417,24.407,24.407,4700,0
BSMT.US,D,20200103,000000,24.476,24.536,24.476,24.536,23454,0
BSMT.US,D,20200106,000000,24.565,24.565,24.561,24.561,430,0
BSMT.US,D,20200109,000000,24.635,24.646,24.626,24.636,2989,0
BSMT.US,D,20200110,000000,24.646,24.646,24.636,24.636,6629,0
BSMT.US,D,20200113,000000,24.636,24.636,24.616,24.616,1840,0
BSMT.US,D,20200114,000000,24.656,24.676,24.656,24.656,6543,0
BSMT.US,D,20200115,000000,24.692,24.723,24.692,24.703,5069,0
BSMT.US,D,20200117,000000,24.752,24.752,24.695,24.695,3872,0
BSMT.US,D,20200127,000000,24.952,24.958,24.952,24.953,1021,0
BSMT.US,D,20200128,000000,24.941,24.941,24.921,24.921,3511,0
BSMT.US,D,20200131,000000,25.047,25.057,25.026,25.052,1122,0
BSMT.US,D,20200203,000000,25.012,25.047,25.007,25.047,10053,0
BSMT.US,D,20200204,000000,24.963,24.967,24.953,24.953,2706,0
BSMT.US,D,20200206,000000,24.931,24.936,24.931,24.936,553,0
BSMT.US,D,20200207,000000,24.977,25.007,24.977,24.987,29144,0
BSMT.US,D,20200212,000000,25.007,25.007,24.997,24.997,426,0
BSMT.US,D,20200218,000000,25.076,25.076,25.067,25.067,555,0
BSMT.US,D,20200219,000000,25.115,25.115,25.095,25.095,290,0
BSMT.US,D,20200220,000000,25.155,25.177,25.155,25.165,4432,0
BSMT.US,D,20200221,000000,25.265,25.29,25.264,25.29,11198,0
BSMT.US,D,20200224,000000,25.482,25.482,25.462,25.462,513,0
BSMT.US,D,20200226,000000,25.541,25.541,25.515,25.515,584,0
BSMT.US,D,20200228,000000,25.56,25.565,25.511,25.54,5387,0
BSMT.US,D,20200302,000000,25.606,25.606,25.531,25.531,201,0
BSMT.US,D,20200304,000000,25.551,25.551,25.531,25.531,1034,0
BSMT.US,D,20200305,000000,25.551,25.551,25.531,25.531,199,0
BSMT.US,D,20200306,000000,25.588,25.616,25.577,25.577,6551,0
BSMT.US,D,20200310,000000,25.472,25.472,25.362,25.362,471,0
BSMT.US,D,20200311,000000,25.085,25.085,24.957,24.957,203,0
BSMT.US,D,20200312,000000,24.172,24.172,23.598,23.598,14798,0
BSMT.US,D,20200313,000000,23.966,24.055,23.966,24.04,35974,0
BSMT.US,D,20200317,000000,23.651,23.711,23.518,23.518,2070,0
BSMT.US,D,20200318,000000,23.17,23.17,23.112,23.112,200,0
BSMT.US,D,20200319,000000,23.089,23.228,22.425,22.425,19907,0
BSMT.US,D,20200323,000000,21.487,21.716,21.467,21.716,2840,0
BSMT.US,D,20200324,000000,22.088,22.101,21.965,22.018,2102,0
BSMT.US,D,20200325,000000,22.548,23.171,22.548,23.171,832,0
BSMT.US,D,20200330,000000,24.691,24.691,24.691,24.691,510,0
BSMT.US,D,20200331,000000,24.443,24.443,24.117,24.279,2028,0
BSMT.US,D,20200402,000000,23.299,23.299,23.299,23.299,587,0
BSMT.US,D,20200403,000000,23.388,23.388,23.269,23.269,216,0
BSMT.US,D,20200408,000000,23.99,23.99,23.875,23.875,1017,0
BSMT.US,D,20200415,000000,24.386,24.521,24.332,24.332,611,0
BSMT.US,D,20200416,000000,24.36,24.551,24.36,24.382,19211,0
BSMT.US,D,20200420,000000,24.471,24.471,24.186,24.289,3544,0
BSMT.US,D,20200421,000000,24.241,24.312,24.067,24.205,2795,0
BSMT.US,D,20200422,000000,24.235,24.245,24.136,24.136,304,0
BSMT.US,D,20200423,000000,24.156,24.156,24.023,24.023,100,0
BSMT.US,D,20200424,000000,23.969,24.019,23.894,23.894,1545,0
BSMT.US,D,20200427,000000,23.979,23.979,23.884,23.884,238,0
BSMT.US,D,20200428,000000,23.969,23.969,23.829,23.829,267,0
BSMT.US,D,20200504,000000,24.077,24.077,23.974,23.974,608,0
BSMT.US,D,20200505,000000,24.116,24.116,23.923,24.033,484,0
BSMT.US,D,20200506,000000,23.962,24.028,23.962,24.028,115,0
BSMT.US,D,20200512,000000,24.303,24.312,24.21,24.215,3239,0
BSMT.US,D,20200513,000000,24.303,24.303,24.279,24.279,2649,0
BSMT.US,D,20200518,000000,24.542,24.542,24.423,24.423,1825,0
BSMT.US,D,20200519,000000,24.562,24.592,24.531,24.547,2649,0
BSMT.US,D,20200520,000000,24.612,24.612,24.577,24.577,237,0
BSMT.US,D,20200521,000000,24.705,24.705,24.657,24.657,101,0
BSMT.US,D,20200526,000000,24.76,24.879,24.76,24.8,1639,0
BSMT.US,D,20200527,000000,24.899,24.909,24.824,24.824,488,0
BSMT.US,D,20200528,000000,24.869,24.869,24.774,24.774,2529,0
BSMT.US,D,20200529,000000,24.938,24.966,24.879,24.879,8236,0
BSMT.US,D,20200601,000000,24.956,24.956,24.897,24.897,1263,0
BSMT.US,D,20200603,000000,24.889,24.919,24.864,24.864,3437,0
BSMT.US,D,20200604,000000,24.947,24.976,24.904,24.904,1273,0
