<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSMU.US,D,20201013,000000,24.579,24.579,24.554,24.554,156,0
BSMU.US,D,20201014,000000,24.529,24.554,24.529,24.554,163,0
BSMU.US,D,20201015,000000,24.609,24.609,24.574,24.574,150,0
BSMU.US,D,20201016,000000,24.589,24.619,24.589,24.604,271,0
BSMU.US,D,20201020,000000,24.609,24.609,24.574,24.574,100,0
BSMU.US,D,20201026,000000,24.589,24.589,24.589,24.589,105,0
BSMU.US,D,20201102,000000,24.592,24.599,24.544,24.544,3661,0
BSMU.US,D,20201119,000000,25.246,25.255,25.221,25.221,454,0
BSMU.US,D,20201120,000000,25.325,25.325,25.29,25.29,788,0
BSMU.US,D,20201124,000000,25.186,25.216,25.186,25.216,754,0
BSMU.US,D,20201211,000000,25.454,25.454,25.429,25.447,6228,0
BSMU.US,D,20201214,000000,25.449,25.449,25.449,25.449,420,0
BSMU.US,D,20201216,000000,25.424,25.424,25.424,25.424,11,0
BSMU.US,D,20201218,000000,25.444,25.444,25.444,25.444,2,0
BSMU.US,D,20201222,000000,25.504,25.514,25.499,25.499,1988,0
BSMU.US,D,20201231,000000,25.494,25.494,25.494,25.494,2,0
BSMU.US,D,20210105,000000,25.604,25.604,25.574,25.574,604,0
BSMU.US,D,20210106,000000,25.549,25.574,25.539,25.539,633,0
BSMU.US,D,20210107,000000,25.574,25.574,25.514,25.514,1908,0
BSMU.US,D,20210108,000000,25.493,25.514,25.409,25.409,2103,0
BSMU.US,D,20210111,000000,25.395,25.434,25.395,25.409,505,0
BSMU.US,D,20210112,000000,25.454,25.464,25.409,25.409,1099,0
BSMU.US,D,20210113,000000,25.434,25.524,25.408,25.469,83951,0
BSMU.US,D,20210114,000000,25.474,25.484,25.459,25.459,464,0
BSMU.US,D,20210115,000000,25.499,25.514,25.479,25.479,4364,0
BSMU.US,D,20210119,000000,25.509,25.509,25.504,25.504,1089,0
BSMU.US,D,20210120,000000,25.519,25.519,25.494,25.494,530,0
BSMU.US,D,20210121,000000,25.559,25.559,25.534,25.534,3539,0
BSMU.US,D,20210122,000000,25.569,25.569,25.549,25.549,197,0
BSMU.US,D,20210125,000000,25.619,25.629,25.599,25.599,6626,0
BSMU.US,D,20210126,000000,25.569,25.659,25.559,25.634,3239,0
BSMU.US,D,20210127,000000,25.719,25.719,25.684,25.684,244,0
BSMU.US,D,20210128,000000,25.679,25.729,25.679,25.694,1779,0
BSMU.US,D,20210201,000000,25.689,25.739,25.679,25.714,1997,0
BSMU.US,D,20210205,000000,25.729,25.779,25.729,25.734,459,0
BSMU.US,D,20210208,000000,25.789,25.789,25.749,25.749,385,0
BSMU.US,D,20210210,000000,25.839,25.849,25.819,25.819,1930,0
BSMU.US,D,20210211,000000,25.859,25.878,25.844,25.844,3778,0
BSMU.US,D,20210212,000000,25.878,25.878,25.834,25.834,825,0
BSMU.US,D,20210217,000000,25.759,25.759,25.734,25.734,294,0
BSMU.US,D,20210219,000000,25.469,25.474,25.444,25.444,990,0
BSMU.US,D,20210222,000000,25.241,25.241,25.196,25.196,307,0
BSMU.US,D,20210225,000000,24.851,24.861,24.796,24.826,5947,0
BSMU.US,D,20210226,000000,24.731,24.891,24.661,24.881,2722,0
BSMU.US,D,20210301,000000,24.851,24.851,24.851,24.851,326,0
BSMU.US,D,20210302,000000,24.871,24.881,24.856,24.856,1284,0
BSMU.US,D,20210303,000000,24.881,24.891,24.856,24.856,701,0
BSMU.US,D,20210304,000000,24.891,24.891,24.866,24.866,103,0
BSMU.US,D,20210305,000000,24.921,24.931,24.916,24.916,2801,0
BSMU.US,D,20210308,000000,24.97,24.97,24.911,24.936,649,0
BSMU.US,D,20210310,000000,25.151,25.151,25.126,25.126,230,0
BSMU.US,D,20210311,000000,25.191,25.191,25.166,25.166,311,0
BSMU.US,D,20210312,000000,25.101,25.101,25.076,25.076,414,0
BSMU.US,D,20210315,000000,25.171,25.181,25.136,25.136,11350,0
BSMU.US,D,20210316,000000,25.151,25.151,25.126,25.126,398,0
BSMU.US,D,20210317,000000,25.131,25.141,25.111,25.111,815,0
BSMU.US,D,20210318,000000,24.951,24.951,24.951,24.951,606,0
BSMU.US,D,20210319,000000,24.951,24.951,24.931,24.936,389,0
BSMU.US,D,20210323,000000,24.991,25.031,24.991,25.006,1075,0
BSMU.US,D,20210324,000000,25.021,25.051,25.021,25.026,440,0
BSMU.US,D,20210329,000000,25.069,25.069,25.046,25.046,304,0
BSMU.US,D,20210330,000000,25.051,25.051,25.051,25.051,129,0
BSMU.US,D,20210331,000000,25.071,25.071,25.03,25.03,888,0
BSMU.US,D,20210405,000000,25.121,25.141,25.106,25.106,6168,0
BSMU.US,D,20210406,000000,25.15,25.151,25.126,25.126,2277,0
BSMU.US,D,20210407,000000,25.171,25.201,25.166,25.166,2319,0
BSMU.US,D,20210408,000000,25.271,25.271,25.255,25.256,427,0
BSMU.US,D,20210409,000000,25.291,25.301,25.266,25.266,2161,0
BSMU.US,D,20210412,000000,25.291,25.311,25.251,25.296,2094,0
BSMU.US,D,20210413,000000,25.301,25.316,25.276,25.316,1001,0
BSMU.US,D,20210414,000000,25.355,25.38,25.355,25.365,1881,0
BSMU.US,D,20210415,000000,25.54,25.54,25.495,25.495,833,0
BSMU.US,D,20210416,000000,25.52,25.52,25.475,25.475,2803,0
BSMU.US,D,20210419,000000,25.45,25.45,25.415,25.415,400,0
BSMU.US,D,20210421,000000,25.4,25.441,25.39,25.441,521,0
BSMU.US,D,20210422,000000,25.52,25.52,25.515,25.515,773,0
BSMU.US,D,20210423,000000,25.53,25.56,25.525,25.55,21770,0
BSMU.US,D,20210426,000000,25.53,25.53,25.53,25.53,394,0
BSMU.US,D,20210428,000000,25.51,25.51,25.485,25.485,791,0
BSMU.US,D,20210429,000000,25.46,25.48,25.43,25.45,1777,0
BSMU.US,D,20210430,000000,25.37,25.44,25.37,25.405,19840,0
BSMU.US,D,20210503,000000,25.39,25.44,25.39,25.4,5244,0
BSMU.US,D,20210504,000000,25.45,25.46,25.45,25.45,2365,0
BSMU.US,D,20210505,000000,25.47,25.48,25.465,25.465,796,0
BSMU.US,D,20210507,000000,25.51,25.53,25.495,25.495,4895,0
BSMU.US,D,20210510,000000,25.505,25.505,25.45,25.475,1696,0
BSMU.US,D,20210511,000000,25.45,25.5,25.45,25.465,2661,0
BSMU.US,D,20210512,000000,25.48,25.48,25.42,25.435,9804,0
BSMU.US,D,20210513,000000,25.44,25.47,25.435,25.45,5893,0
BSMU.US,D,20210514,000000,25.48,25.48,25.455,25.455,6384,0
BSMU.US,D,20210517,000000,25.42,25.49,25.42,25.455,2595,0
BSMU.US,D,20210518,000000,25.455,25.455,25.455,25.455,286,0
BSMU.US,D,20210519,000000,25.455,25.49,25.43,25.43,18074,0
BSMU.US,D,20210520,000000,25.51,25.52,25.485,25.485,11466,0
BSMU.US,D,20210521,000000,25.502,25.52,25.495,25.495,1475,0
BSMU.US,D,20210525,000000,25.53,25.55,25.53,25.55,681,0
BSMU.US,D,20210527,000000,25.58,25.58,25.545,25.545,1769,0
BSMU.US,D,20210528,000000,25.59,25.6,25.545,25.545,14685,0
BSMU.US,D,20210601,000000,25.565,25.59,25.565,25.565,553,0
BSMU.US,D,20210602,000000,25.59,25.64,25.58,25.605,7368,0
BSMU.US,D,20210603,000000,25.63,25.63,25.6,25.6,527,0
BSMU.US,D,20210604,000000,25.68,25.69,25.675,25.675,357,0
BSMU.US,D,20210608,000000,25.705,25.74,25.705,25.725,2223,0
BSMU.US,D,20210609,000000,25.82,25.86,25.795,25.835,3474,0
BSMU.US,D,20210610,000000,25.89,25.89,25.865,25.865,1107,0
BSMU.US,D,20210617,000000,25.81,25.81,25.775,25.775,272,0
BSMU.US,D,20210618,000000,25.79,25.79,25.765,25.765,574,0
BSMU.US,D,20210621,000000,25.77,25.77,25.745,25.745,1584,0
BSMU.US,D,20210622,000000,25.75,25.75,25.735,25.735,128,0
BSMU.US,D,20210623,000000,25.66,25.67,25.64,25.64,3115,0
BSMU.US,D,20210624,000000,25.68,25.68,25.655,25.655,390,0
BSMU.US,D,20210625,000000,25.65,25.65,25.6153,25.6153,1847,0
BSMU.US,D,20210628,000000,25.71,25.71,25.685,25.685,330,0
BSMU.US,D,20210629,000000,25.665,25.7,25.665,25.665,4702,0
BSMU.US,D,20210701,000000,25.675,25.71,25.675,25.685,15247,0
BSMU.US,D,20210702,000000,25.75,25.76,25.725,25.725,4659,0
BSMU.US,D,20210706,000000,25.83,25.83,25.766,25.805,451,0
BSMU.US,D,20210709,000000,25.94,25.94,25.91,25.91,244,0
BSMU.US,D,20210712,000000,25.95,25.95,25.935,25.935,213,0
BSMU.US,D,20210715,000000,25.965,25.975,25.965,25.975,294,0
BSMU.US,D,20210716,000000,26,26,25.97,25.97,193,0
BSMU.US,D,20210719,000000,26.045,26.045,26.035,26.035,278,0
BSMU.US,D,20210720,000000,26.035,26.07,25.98,25.98,4904,0
BSMU.US,D,20210721,000000,26.0293,26.0293,25.945,25.945,468,0
BSMU.US,D,20210723,000000,25.96,25.96,25.96,25.96,102,0
BSMU.US,D,20210727,000000,25.945,25.95,25.91,25.95,579,0
BSMU.US,D,20210728,000000,25.87,25.87,25.87,25.87,1250,0
BSMU.US,D,20210730,000000,25.94,25.94,25.88,25.915,836,0
BSMU.US,D,20210803,000000,25.949,25.95,25.925,25.925,746,0
BSMU.US,D,20210810,000000,25.83,25.85,25.83,25.83,507,0
BSMU.US,D,20210813,000000,25.79,25.81,25.765,25.765,699,0
