<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUG.US,D,20191101,000000,15.759,15.829,15.696,15.829,5500,0
BUG.US,D,20191104,000000,15.888,15.918,15.809,15.809,6635,0
BUG.US,D,20191105,000000,15.779,15.779,15.779,15.779,261,0
BUG.US,D,20191106,000000,15.898,15.918,15.835,15.918,5286,0
BUG.US,D,20191107,000000,15.898,15.898,15.898,15.898,705,0
BUG.US,D,20191108,000000,16.077,16.234,16.077,16.234,872,0
BUG.US,D,20191111,000000,17.667,17.667,16.038,16.306,5071,0
BUG.US,D,20191112,000000,16.286,16.454,16.286,16.454,1450,0
BUG.US,D,20191113,000000,16.464,16.533,16.464,16.495,964,0
BUG.US,D,20191114,000000,16.632,16.632,16.543,16.564,3096,0
BUG.US,D,20191115,000000,16.633,16.653,16.601,16.633,1834,0
BUG.US,D,20191118,000000,16.733,16.839,16.584,16.797,6693,0
BUG.US,D,20191119,000000,16.932,17.056,16.922,17.016,6795,0
BUG.US,D,20191120,000000,16.981,17.108,16.892,16.892,1816,0
BUG.US,D,20191121,000000,16.981,17.01,16.874,16.927,5248,0
BUG.US,D,20191122,000000,16.987,16.987,16.922,16.932,2489,0
BUG.US,D,20191125,000000,16.981,17.206,16.981,17.179,2477,0
BUG.US,D,20191126,000000,17.111,17.111,17.012,17.051,1499,0
BUG.US,D,20191127,000000,17.061,17.126,17.031,17.126,2941,0
BUG.US,D,20191129,000000,17.081,17.16,17.061,17.13,860,0
BUG.US,D,20191202,000000,17.189,17.189,16.783,16.847,3195,0
BUG.US,D,20191203,000000,16.713,16.793,16.633,16.793,2378,0
BUG.US,D,20191204,000000,16.812,16.812,16.763,16.768,5988,0
BUG.US,D,20191205,000000,16.773,16.773,16.71,16.71,1977,0
BUG.US,D,20191206,000000,16.683,16.683,16.683,16.683,395,0
BUG.US,D,20191209,000000,16.584,16.584,16.544,16.544,2934,0
BUG.US,D,20191210,000000,16.581,16.627,16.499,16.499,1588,0
BUG.US,D,20191211,000000,16.454,16.474,16.326,16.38,2988,0
BUG.US,D,20191212,000000,16.385,16.385,16.375,16.376,2926,0
BUG.US,D,20191213,000000,16.479,16.554,16.479,16.554,273,0
BUG.US,D,20191216,000000,16.683,16.683,16.633,16.668,945,0
BUG.US,D,20191217,000000,16.633,16.633,16.598,16.604,1915,0
BUG.US,D,20191218,000000,16.6,16.619,16.599,16.599,756,0
BUG.US,D,20191219,000000,16.713,16.723,16.713,16.723,663,0
BUG.US,D,20191220,000000,16.674,16.674,16.594,16.594,368,0
BUG.US,D,20191223,000000,16.743,16.743,16.683,16.706,987,0
BUG.US,D,20191224,000000,16.77,16.77,16.696,16.753,1742,0
BUG.US,D,20191226,000000,16.842,16.865,16.82,16.822,13776,0
BUG.US,D,20191227,000000,16.693,16.743,16.673,16.728,1833,0
BUG.US,D,20191230,000000,16.802,16.802,16.464,16.524,6343,0
BUG.US,D,20191231,000000,16.574,16.584,16.509,16.539,2285,0
BUG.US,D,20200102,000000,16.635,16.842,16.635,16.785,6054,0
BUG.US,D,20200103,000000,16.682,16.872,16.682,16.852,1209,0
BUG.US,D,20200106,000000,16.972,17.25,16.867,17.215,12322,0
BUG.US,D,20200107,000000,17.25,17.348,17.223,17.31,21412,0
BUG.US,D,20200108,000000,17.33,17.543,17.316,17.479,36472,0
BUG.US,D,20200109,000000,17.628,17.628,17.499,17.529,21582,0
BUG.US,D,20200110,000000,17.693,17.708,17.548,17.588,23095,0
BUG.US,D,20200113,000000,17.708,17.906,17.668,17.863,11018,0
BUG.US,D,20200114,000000,17.906,17.946,17.639,17.842,23591,0
BUG.US,D,20200115,000000,17.857,18.118,17.857,17.977,8372,0
BUG.US,D,20200116,000000,18.115,18.194,18.015,18.155,19207,0
BUG.US,D,20200117,000000,18.353,18.353,17.929,18.031,17715,0
BUG.US,D,20200121,000000,18.135,18.145,17.976,17.976,10579,0
BUG.US,D,20200122,000000,18.105,18.214,17.996,18.016,7157,0
BUG.US,D,20200123,000000,18.036,18.125,17.971,18.011,5058,0
BUG.US,D,20200124,000000,18.165,18.244,17.96,18.006,12043,0
BUG.US,D,20200127,000000,17.767,17.787,17.507,17.618,8030,0
BUG.US,D,20200128,000000,17.628,17.747,17.628,17.694,7537,0
BUG.US,D,20200129,000000,17.757,17.787,17.668,17.707,9104,0
BUG.US,D,20200130,000000,17.588,17.698,17.499,17.698,7705,0
BUG.US,D,20200131,000000,17.787,17.787,17.439,17.499,6442,0
BUG.US,D,20200203,000000,17.698,17.698,17.458,17.646,4406,0
BUG.US,D,20200204,000000,17.807,18.031,17.787,18.022,3931,0
BUG.US,D,20200205,000000,18.333,18.333,17.916,17.959,8040,0
BUG.US,D,20200206,000000,18.005,18.125,18.005,18.076,5033,0
BUG.US,D,20200207,000000,18.234,18.234,18.026,18.105,6414,0
BUG.US,D,20200210,000000,17.936,18.343,17.936,18.253,8956,0
BUG.US,D,20200211,000000,18.253,18.333,18.125,18.145,6377,0
BUG.US,D,20200212,000000,18.194,18.194,17.764,17.935,7670,0
BUG.US,D,20200213,000000,17.906,18.066,17.906,17.946,11923,0
BUG.US,D,20200214,000000,18.085,18.085,17.929,18.026,2924,0
BUG.US,D,20200218,000000,18.076,18.084,17.949,18.051,6430,0
BUG.US,D,20200219,000000,18.224,18.244,18.146,18.165,72864,0
BUG.US,D,20200220,000000,18.145,18.225,17.797,18.065,13081,0
BUG.US,D,20200221,000000,17.936,17.936,17.449,17.522,36012,0
BUG.US,D,20200224,000000,16.932,17.17,16.88,17.011,19136,0
BUG.US,D,20200225,000000,17.141,17.141,16.315,16.415,19695,0
BUG.US,D,20200226,000000,16.584,16.683,16.302,16.318,6154,0
BUG.US,D,20200227,000000,16.156,16.255,15.659,15.91,10784,0
BUG.US,D,20200228,000000,15.43,15.808,15.332,15.708,43614,0
BUG.US,D,20200302,000000,16.096,16.347,15.808,16.241,16154,0
BUG.US,D,20200303,000000,16.27,16.397,15.629,15.778,7444,0
BUG.US,D,20200304,000000,15.986,16.196,15.907,16.181,5897,0
BUG.US,D,20200305,000000,15.937,16.196,15.818,15.863,16161,0
BUG.US,D,20200306,000000,15.659,15.758,15.219,15.355,12427,0
BUG.US,D,20200309,000000,14.685,14.804,14.011,14.143,11849,0
BUG.US,D,20200310,000000,14.516,14.595,14.058,14.542,8542,0
BUG.US,D,20200311,000000,14.297,14.355,13.72,13.934,9247,0
BUG.US,D,20200312,000000,12.895,13.379,12.596,12.727,20337,0
BUG.US,D,20200313,000000,12.984,13.384,12.501,13.165,10229,0
BUG.US,D,20200316,000000,10.956,12.686,10.956,12.463,22365,0
BUG.US,D,20200317,000000,12.06,12.795,12.06,12.702,3713,0
BUG.US,D,20200318,000000,12.408,12.735,11.793,11.917,7774,0
BUG.US,D,20200319,000000,12.274,12.731,12.274,12.731,2854,0
BUG.US,D,20200320,000000,12.974,13.518,12.889,12.889,1625,0
BUG.US,D,20200323,000000,12.885,13.203,12.609,13.128,4916,0
BUG.US,D,20200324,000000,14.029,14.218,13.877,14.21,18540,0
BUG.US,D,20200325,000000,14.317,14.787,14.317,14.401,3690,0
BUG.US,D,20200326,000000,14.397,14.942,14.397,14.942,7240,0
BUG.US,D,20200327,000000,14.566,14.929,14.544,14.824,2849,0
BUG.US,D,20200330,000000,14.894,14.974,14.876,14.882,2590,0
BUG.US,D,20200331,000000,15.003,15.065,14.75,14.75,3499,0
BUG.US,D,20200401,000000,14.694,14.694,14.362,14.362,2063,0
BUG.US,D,20200402,000000,14.327,14.446,14.163,14.271,1154,0
BUG.US,D,20200403,000000,14.244,14.323,14.006,14.087,7416,0
BUG.US,D,20200406,000000,14.692,14.87,14.6,14.87,1984,0
BUG.US,D,20200407,000000,15.023,15.023,14.658,14.726,5203,0
BUG.US,D,20200408,000000,14.745,15.252,14.745,15.186,3363,0
BUG.US,D,20200409,000000,15.459,15.459,15.169,15.282,5272,0
BUG.US,D,20200413,000000,15.44,15.44,15.113,15.302,1823,0
BUG.US,D,20200414,000000,15.629,15.875,15.622,15.649,3035,0
BUG.US,D,20200415,000000,15.51,15.688,15.51,15.688,400,0
BUG.US,D,20200416,000000,15.907,16.176,15.907,16.064,7281,0
BUG.US,D,20200417,000000,16.345,16.345,16.007,16.176,6256,0
BUG.US,D,20200420,000000,16.156,16.644,16.156,16.436,8794,0
BUG.US,D,20200421,000000,16.285,16.285,15.613,15.843,9313,0
BUG.US,D,20200422,000000,16.176,16.236,15.939,16.12,7869,0
BUG.US,D,20200423,000000,16.248,16.248,16.027,16.115,1218,0
BUG.US,D,20200424,000000,16.032,16.391,16.032,16.391,4769,0
BUG.US,D,20200427,000000,16.609,16.793,16.609,16.759,3383,0
BUG.US,D,20200428,000000,17.001,17.001,16.459,16.504,4033,0
BUG.US,D,20200429,000000,16.703,16.892,16.614,16.786,6502,0
BUG.US,D,20200430,000000,16.753,16.891,16.703,16.825,31421,0
BUG.US,D,20200501,000000,16.594,16.594,16.136,16.405,14439,0
BUG.US,D,20200504,000000,16.385,16.494,16.275,16.385,6271,0
BUG.US,D,20200505,000000,16.836,17.001,16.783,16.899,3914,0
BUG.US,D,20200506,000000,17.051,17.205,17.036,17.121,7699,0
BUG.US,D,20200507,000000,17.556,17.986,17.556,17.976,11205,0
BUG.US,D,20200508,000000,18.94,18.94,17.744,17.971,74092,0
BUG.US,D,20200511,000000,17.956,18.373,17.956,18.285,26705,0
BUG.US,D,20200512,000000,18.512,18.512,17.909,17.936,14863,0
BUG.US,D,20200513,000000,17.965,18.016,17.24,17.369,16780,0
BUG.US,D,20200514,000000,17.31,17.598,17.152,17.594,3581,0
BUG.US,D,20200515,000000,17.578,17.809,17.578,17.697,10905,0
BUG.US,D,20200518,000000,17.936,18.145,17.817,17.966,101556,0
BUG.US,D,20200519,000000,17.918,18.051,17.911,17.945,7913,0
BUG.US,D,20200520,000000,18.214,18.482,18.214,18.373,24945,0
BUG.US,D,20200521,000000,18.293,18.343,18.076,18.185,7884,0
BUG.US,D,20200522,000000,18.194,18.502,18.194,18.41,5748,0
