<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CARZ.US,D,20110512,000000,25.477,25.605,25.387,25.563,4745,0
CARZ.US,D,20110513,000000,25.563,25.688,25.172,25.257,20429,0
CARZ.US,D,20110516,000000,25.13,25.148,25.022,25.028,4713,0
CARZ.US,D,20110517,000000,25.028,25.028,24.8,24.91,1618,0
CARZ.US,D,20110518,000000,25.121,25.281,24.91,25.281,2119,0
CARZ.US,D,20110519,000000,25.082,25.224,25.082,25.164,3960,0
CARZ.US,D,20110520,000000,24.976,25.036,24.805,24.868,26403,0
CARZ.US,D,20110523,000000,24.291,24.291,24.027,24.146,2586,0
CARZ.US,D,20110524,000000,24.307,24.376,24.299,24.376,883,0
CARZ.US,D,20110525,000000,24.419,24.496,24.419,24.488,883,0
CARZ.US,D,20110527,000000,24.822,24.822,24.822,24.822,235,0
CARZ.US,D,20110531,000000,25.264,25.342,25.264,25.317,593,0
CARZ.US,D,20110601,000000,25.105,25.105,24.941,24.941,1332,0
CARZ.US,D,20110602,000000,24.767,24.767,24.565,24.565,508,0
CARZ.US,D,20110603,000000,24.805,24.822,24.805,24.814,707,0
CARZ.US,D,20110606,000000,24.672,24.672,24.672,24.672,291,0
CARZ.US,D,20110607,000000,24.775,24.775,24.765,24.765,353,0
CARZ.US,D,20110609,000000,24.341,24.654,24.341,24.654,529,0
CARZ.US,D,20110610,000000,24.187,24.187,24.003,24.003,1564,0
CARZ.US,D,20110614,000000,24.596,24.596,24.544,24.589,1168,0
CARZ.US,D,20110615,000000,24.13,24.383,24.13,24.13,353,0
CARZ.US,D,20110617,000000,24.206,24.206,24.206,24.206,117,0
CARZ.US,D,20110621,000000,24.812,24.84,24.782,24.84,3127,0
CARZ.US,D,20110624,000000,24.934,24.934,24.934,24.934,200,0
CARZ.US,D,20110627,000000,25.247,25.247,25.247,25.247,470,0
CARZ.US,D,20110628,000000,25.463,25.463,25.463,25.463,4682,0
CARZ.US,D,20110629,000000,25.639,25.79,25.639,25.79,863,0
CARZ.US,D,20110630,000000,25.886,26.139,25.886,26.139,353,0
CARZ.US,D,20110701,000000,26.241,26.436,26.241,26.436,1222,0
CARZ.US,D,20110705,000000,26.589,26.655,26.589,26.629,5200,0
CARZ.US,D,20110706,000000,26.689,26.689,26.562,26.562,1002,0
CARZ.US,D,20110707,000000,26.826,26.993,26.712,26.984,72417,0
CARZ.US,D,20110708,000000,26.528,26.689,26.502,26.647,2861,0
CARZ.US,D,20110711,000000,26.173,26.173,25.725,25.725,16141,0
CARZ.US,D,20110713,000000,26.104,26.408,26.104,26.223,1090,0
CARZ.US,D,20110714,000000,26.418,26.418,26.207,26.301,1435,0
CARZ.US,D,20110715,000000,26.444,26.444,26.334,26.391,1302,0
CARZ.US,D,20110718,000000,26.07,26.07,25.725,25.725,3812,0
CARZ.US,D,20110719,000000,26.045,26.257,26.045,26.163,700,0
CARZ.US,D,20110720,000000,26.351,26.351,26.351,26.351,291,0
CARZ.US,D,20110721,000000,26.757,26.757,26.757,26.757,658,0
CARZ.US,D,20110722,000000,26.595,26.918,26.595,26.893,2948,0
CARZ.US,D,20110725,000000,26.697,26.697,26.697,26.697,117,0
CARZ.US,D,20110726,000000,26.792,26.858,26.792,26.801,995,0
CARZ.US,D,20110727,000000,26.319,26.319,26.223,26.223,339,0
CARZ.US,D,20110728,000000,26.07,26.096,25.757,25.757,2417,0
CARZ.US,D,20110729,000000,25.84,25.84,25.797,25.797,767,0
CARZ.US,D,20110801,000000,25.867,26.018,25.409,25.545,14430,0
CARZ.US,D,20110802,000000,24.926,25.097,24.874,24.874,1698,0
CARZ.US,D,20110803,000000,24.4,24.544,24.179,24.526,2270,0
CARZ.US,D,20110804,000000,23.756,23.756,22.873,22.883,1225,0
CARZ.US,D,20110805,000000,23.28,23.28,22.185,22.883,64411,0
CARZ.US,D,20110808,000000,21.745,21.855,20.998,21.271,9517,0
CARZ.US,D,20110809,000000,21.745,22.341,21.643,22.295,6814,0
CARZ.US,D,20110810,000000,21.611,21.908,21.611,21.611,549,0
