<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATH.US,D,20160420,000000,23.986,24.096,23.986,24.084,1983,0
CATH.US,D,20160421,000000,23.952,23.982,23.952,23.972,1888,0
CATH.US,D,20160422,000000,23.872,23.982,23.872,23.982,2058,0
CATH.US,D,20160425,000000,23.923,23.923,23.914,23.914,209,0
CATH.US,D,20160426,000000,23.952,23.962,23.908,23.943,17037,0
CATH.US,D,20160427,000000,23.962,23.962,23.904,23.952,3147,0
CATH.US,D,20160428,000000,24.001,24.038,24.001,24.001,7033,0
CATH.US,D,20160429,000000,23.647,23.647,23.647,23.647,524,0
CATH.US,D,20160502,000000,23.705,23.83,23.676,23.81,2247,0
CATH.US,D,20160503,000000,23.62,23.676,23.524,23.59,1993,0
CATH.US,D,20160504,000000,23.456,23.524,23.42,23.505,3251,0
CATH.US,D,20160505,000000,23.549,23.553,23.445,23.445,1648,0
CATH.US,D,20160509,000000,23.475,23.581,23.475,23.581,2500,0
CATH.US,D,20160510,000000,23.742,23.742,23.733,23.733,2254,0
CATH.US,D,20160511,000000,23.81,23.848,23.666,23.676,2577,0
CATH.US,D,20160512,000000,23.695,23.695,23.495,23.495,314,0
CATH.US,D,20160513,000000,23.62,23.62,23.428,23.428,524,0
CATH.US,D,20160517,000000,23.62,23.62,23.62,23.62,2098,0
CATH.US,D,20160519,000000,23.323,23.343,23.266,23.343,431,0
CATH.US,D,20160520,000000,23.553,23.553,23.505,23.514,1036,0
CATH.US,D,20160524,000000,23.782,23.81,23.782,23.81,37753,0
CATH.US,D,20160525,000000,23.924,23.924,23.924,23.924,314,0
CATH.US,D,20160526,000000,23.952,23.962,23.952,23.962,314,0
CATH.US,D,20160527,000000,24.03,24.038,24.005,24.038,11068,0
CATH.US,D,20160531,000000,24.134,24.134,23.972,24.038,8377,0
CATH.US,D,20160601,000000,24.071,24.071,24.071,24.071,249,0
CATH.US,D,20160602,000000,24.025,24.025,24.025,24.025,381,0
CATH.US,D,20160603,000000,23.952,24.086,23.952,24.086,839,0
CATH.US,D,20160606,000000,24.057,24.143,24.057,24.143,379,0
CATH.US,D,20160607,000000,24.229,24.296,24.21,24.248,4197,0
CATH.US,D,20160608,000000,24.277,24.277,24.277,24.277,209,0
CATH.US,D,20160609,000000,24.229,24.263,24.182,24.242,1516,0
CATH.US,D,20160610,000000,24.048,24.071,24.03,24.048,1574,0
CATH.US,D,20160613,000000,23.992,23.992,23.992,23.992,1259,0
CATH.US,D,20160614,000000,23.705,23.705,23.676,23.676,2320,0
CATH.US,D,20160615,000000,23.82,23.82,23.82,23.82,1385,0
CATH.US,D,20160616,000000,23.514,23.514,23.514,23.514,188,0
CATH.US,D,20160620,000000,24.031,24.031,23.911,23.911,2517,0
CATH.US,D,20160621,000000,23.933,23.982,23.933,23.943,2517,0
CATH.US,D,20160624,000000,23.62,23.62,23.456,23.456,572,0
CATH.US,D,20160627,000000,23.18,23.18,22.828,22.828,1011,0
CATH.US,D,20160628,000000,23.104,23.238,23.104,23.238,2374,0
CATH.US,D,20160629,000000,23.715,23.715,23.715,23.715,105,0
CATH.US,D,20160630,000000,23.965,23.965,23.965,23.965,105,0
CATH.US,D,20160705,000000,23.904,23.904,23.828,23.848,5034,0
CATH.US,D,20160706,000000,23.782,23.839,23.782,23.839,227,0
CATH.US,D,20160707,000000,23.962,24.01,23.962,24.01,339,0
CATH.US,D,20160708,000000,24.296,24.296,24.296,24.296,105,0
CATH.US,D,20160712,000000,24.662,24.692,24.662,24.692,1209,0
CATH.US,D,20160713,000000,24.763,24.763,24.692,24.695,2508,0
CATH.US,D,20160714,000000,24.813,24.813,24.813,24.813,400,0
CATH.US,D,20160715,000000,24.793,24.793,24.725,24.725,1468,0
CATH.US,D,20160718,000000,24.821,24.821,24.821,24.821,209,0
CATH.US,D,20160719,000000,24.749,24.749,24.735,24.745,3103,0
CATH.US,D,20160720,000000,24.877,24.935,24.821,24.915,1468,0
CATH.US,D,20160721,000000,24.867,24.897,24.867,24.877,556360,0
CATH.US,D,20160722,000000,24.868,24.937,24.852,24.937,420,0
CATH.US,D,20160725,000000,24.887,24.887,24.887,24.887,356,0
CATH.US,D,20160726,000000,24.897,24.897,24.811,24.849,2952,0
CATH.US,D,20160727,000000,24.935,24.935,24.811,24.905,1344,0
CATH.US,D,20160728,000000,24.877,24.877,24.877,24.877,209,0
CATH.US,D,20160729,000000,24.789,24.952,24.789,24.952,68090,0
CATH.US,D,20160801,000000,24.867,24.867,24.754,24.801,70187,0
