<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDC.US,D,20140707,000000,29.056,29.093,29.056,29.093,25380,0
CDC.US,D,20140708,000000,29.064,29.084,29.064,29.073,4807,0
CDC.US,D,20140709,000000,29.056,29.128,29.056,29.093,64149,0
CDC.US,D,20140710,000000,29.093,29.093,29.056,29.056,1121,0
CDC.US,D,20140711,000000,29.05,29.05,28.976,29.038,2880,0
CDC.US,D,20140714,000000,29.555,29.555,29.039,29.039,6620,0
CDC.US,D,20140715,000000,29.041,29.05,28.911,28.976,5635,0
CDC.US,D,20140716,000000,29.002,29.084,28.986,29.064,87394,0
CDC.US,D,20140717,000000,29.359,29.359,28.82,28.82,4229,0
CDC.US,D,20140718,000000,28.904,29.064,28.904,29.05,19200,0
CDC.US,D,20140721,000000,28.936,28.936,28.936,28.936,1397,0
CDC.US,D,20140722,000000,29.05,29.064,29.05,29.056,2449,0
CDC.US,D,20140723,000000,29.033,29.033,29.002,29.002,69573,0
CDC.US,D,20140724,000000,29.102,29.102,29.074,29.074,413,0
CDC.US,D,20140725,000000,28.992,28.992,28.921,28.928,4436,0
CDC.US,D,20140728,000000,28.863,29.036,28.863,29.032,3740,0
CDC.US,D,20140729,000000,29.041,29.041,28.928,28.936,30591,0
CDC.US,D,20140730,000000,28.936,28.936,28.758,28.785,6484,0
CDC.US,D,20140731,000000,28.619,28.636,28.387,28.387,3808,0
CDC.US,D,20140801,000000,28.293,28.336,28.196,28.336,38760,0
CDC.US,D,20140804,000000,28.726,28.726,28.16,28.286,4797,0
CDC.US,D,20140805,000000,28.327,28.327,28.044,28.096,11056,0
CDC.US,D,20140806,000000,28.144,28.144,28.118,28.12,4067,0
CDC.US,D,20140807,000000,28.087,28.087,28.018,28.018,1939,0
CDC.US,D,20140808,000000,28.128,28.144,28.128,28.144,3367,0
CDC.US,D,20140811,000000,28.564,28.645,28.485,28.527,191388,0
CDC.US,D,20140812,000000,28.519,28.726,28.395,28.439,7441,0
CDC.US,D,20140813,000000,28.719,28.719,28.493,28.619,13857,0
CDC.US,D,20140814,000000,28.71,28.75,28.685,28.743,7674,0
CDC.US,D,20140815,000000,28.855,28.888,28.645,28.776,78724,0
CDC.US,D,20140818,000000,29.312,29.312,28.869,28.911,17716,0
CDC.US,D,20140819,000000,28.969,29.046,28.969,29.002,1500,0
CDC.US,D,20140820,000000,29.042,29.148,29.042,29.148,56257,0
CDC.US,D,20140821,000000,29.208,29.234,29.189,29.198,6707,0
CDC.US,D,20140822,000000,29.189,29.189,29.088,29.103,6814,0
CDC.US,D,20140825,000000,29.278,29.278,29.189,29.242,18664,0
CDC.US,D,20140826,000000,29.278,29.278,29.189,29.189,32754,0
CDC.US,D,20140827,000000,29.198,29.234,29.195,29.218,31257,0
CDC.US,D,20140828,000000,29.12,29.288,29.12,29.278,14778,0
CDC.US,D,20140829,000000,29.288,29.352,29.288,29.352,8877,0
CDC.US,D,20140902,000000,29.361,29.384,29.195,29.278,13430,0
CDC.US,D,20140903,000000,29.779,29.779,29.33,29.345,42083,0
CDC.US,D,20140904,000000,29.431,29.431,29.304,29.304,3023,0
CDC.US,D,20140905,000000,29.313,29.508,29.296,29.508,32245,0
CDC.US,D,20140908,000000,29.451,29.457,29.327,29.394,8359,0
CDC.US,D,20140909,000000,29.242,29.272,29.155,29.18,13326,0
CDC.US,D,20140910,000000,29.12,29.171,29.052,29.171,6198,0
CDC.US,D,20140911,000000,29.296,29.296,29.129,29.296,9700,0
CDC.US,D,20140912,000000,29.12,29.12,29.033,29.046,3677,0
CDC.US,D,20140915,000000,29.103,29.111,29.042,29.094,3753,0
CDC.US,D,20140916,000000,28.971,29.364,28.971,29.315,6533,0
CDC.US,D,20140917,000000,29.39,29.39,29.272,29.357,2002,0
CDC.US,D,20140918,000000,29.357,29.389,29.325,29.372,9480,0
CDC.US,D,20140919,000000,29.472,29.472,29.38,29.419,7578,0
CDC.US,D,20140922,000000,30.052,30.052,29.232,29.243,17915,0
CDC.US,D,20140923,000000,29.166,29.166,29.099,29.099,3696,0
CDC.US,D,20140924,000000,29.107,29.29,29.062,29.264,4718,0
CDC.US,D,20140925,000000,29.013,29.062,28.948,28.948,6817,0
CDC.US,D,20140926,000000,28.963,29.107,28.963,29.08,4778,0
CDC.US,D,20140929,000000,28.985,29.08,28.971,29.047,8159,0
CDC.US,D,20140930,000000,28.977,28.996,28.954,28.993,3258,0
CDC.US,D,20141001,000000,28.915,28.948,28.771,28.771,2506,0
CDC.US,D,20141002,000000,28.681,28.797,28.681,28.797,2804,0
CDC.US,D,20141003,000000,28.882,29.012,28.882,28.996,13227,0
CDC.US,D,20141006,000000,28.93,28.963,28.93,28.963,1441,0
CDC.US,D,20141007,000000,28.915,28.924,28.672,28.672,9316,0
CDC.US,D,20141008,000000,28.686,29.012,28.655,29.012,8866,0
CDC.US,D,20141009,000000,28.663,28.721,28.638,28.681,3054,0
CDC.US,D,20141010,000000,28.686,28.695,28.463,28.463,4575,0
CDC.US,D,20141013,000000,28.44,28.557,28.179,28.179,30353,0
CDC.US,D,20141014,000000,28.268,28.472,28.254,28.254,10387,0
CDC.US,D,20141015,000000,28.494,28.494,27.584,28.205,46256,0
CDC.US,D,20141016,000000,27.917,28.16,27.708,28.16,26837,0
CDC.US,D,20141017,000000,28.405,28.405,28.247,28.37,1761,0
CDC.US,D,20141020,000000,28.529,28.626,28.502,28.604,5799,0
CDC.US,D,20141021,000000,28.917,29.077,28.794,29.071,6533,0
CDC.US,D,20141022,000000,29.252,29.273,29.003,29.003,50411,0
CDC.US,D,20141023,000000,29.261,29.332,29.146,29.157,37691,0
CDC.US,D,20141024,000000,29.269,29.387,29.052,29.378,38009,0
CDC.US,D,20141027,000000,29.686,29.686,29.26,29.346,40409,0
CDC.US,D,20141028,000000,29.29,29.477,29.29,29.477,9759,0
